context: My Mom and my sisters moved overseas because of Dad's job... response:	However, my first time living alone only lasted for a few days.
context: Why are your things being moved out?\Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you. response:	Put yourself in my shoes.
context: Have they finally made their move?!\What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes. response:	That would never fly with the priestess.
context: What? Rikka's grandfather accidentally let go of their apartment?\It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess. response:	I lied to Toka and told her I'd placed Rikka in a small apartment
context: It's sabotage!\I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment response:	and we are one week into our deceitful life.
context: I guess you'll have to live with me until your new place is sorted out.\Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life. response:	Chimera, I give you my demonic fruit.
context: Activating emergency code: Triple Four!\And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit. response:	I am positive you are immune to red fruits.
context: And so, Rikka temporarily came to live with me.\It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits. response:	This proves nothing!
context: It's pleasant to be woken up by you.\Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing! response:	Try one. They taste as good as strawberries.
context: Put yourself in my shoes.\That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries. response:	That is impossible!
context: That would never fly with the priestess.\I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries.\That is impossible! response:	You're becoming more and more like the priestess.
context: I lied to Toka and told her I'd placed Rikka in a small apartment\and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess. response:	Are you under her influence?!
context: and we are one week into our deceitful life.\Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?! response:	I'm saying it for your own good.
context: Chimera, I give you my demonic fruit.\I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good. response:	Yuta!
context: I am positive you are immune to red fruits.\This proves nothing!\Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good.\Yuta! response:	The fluid! The green, squishy matter is attacking me!
context: This proves nothing!\Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me! response:	Wait! Stay perfectly still.
context: Try one. They taste as good as strawberries.\That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still. response:	Wiping at it will only make it worse.
context: That is impossible!\You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse. response:	You need to dab at it like this...
context: You're becoming more and more like the priestess.\Are you under her influence?!\I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this... response:	If you're heading out, please do take a collapsible umbrella with you.
context: Are you under her influence?!\I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you. response:	You could say we're a couple.
context: I'm saying it for your own good.\Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple. response:	We're a couple, but...
context: Yuta!\The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but... response:	How do you get to romance from this kind of a starting point?
context: The fluid! The green, squishy matter is attacking me!\Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point? response:	I've never even had a normal girlfriend before...
context: Wait! Stay perfectly still.\Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before... response:	Things settled down in a way that isn't much different from before.
context: Wiping at it will only make it worse.\You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before. response:	Guten morgen!
context: You need to dab at it like this...\If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen! response:	My name is Shinka Nibutani, and I'm in Year Two in high school starting today!
context: If you're heading out, please do take a collapsible umbrella with you.\You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today! response:	Nibutani?
context: You could say we're a couple.\We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani? response:	Nibutani!
context: We're a couple, but...\How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani! response:	How do you do, everyone?
context: How do you get to romance from this kind of a starting point?\I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani!\How do you do, everyone? response:	Let's make it another good year.
context: I've never even had a normal girlfriend before...\Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani!\How do you do, everyone?\Let's make it another good year. response:	Sure.
context: Things settled down in a way that isn't much different from before.\Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani!\How do you do, everyone?\Let's make it another good year.\Sure. response:	What's wrong with her?
context: Guten morgen!\My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani!\How do you do, everyone?\Let's make it another good year.\Sure.\What's wrong with her? response:	High school two syndrome?
context: My name is Shinka Nibutani, and I'm in Year Two in high school starting today!\Nibutani?\Nibutani!\How do you do, everyone?\Let's make it another good year.\Sure.\What's wrong with her?\High school two syndrome? response:	I'm going to say this one more time.
context: Nibutani?\Nibutani!\How do you do, everyone?\Let's make it another good year.\Sure.\What's wrong with her?\High school two syndrome?\I'm going to say this one more time. response:	Remember what you promised yesterday.
context: Nibutani!\How do you do, everyone?\Let's make it another good year.\Sure.\What's wrong with her?\High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday. response:	Of course.
context: How do you do, everyone?\Let's make it another good year.\Sure.\What's wrong with her?\High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday.\Of course. response:	Based on the hieroglyphs, the hateful magic barrier attack
context: Let's make it another good year.\Sure.\What's wrong with her?\High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack response:	triggered by the Freemasons...
context: Sure.\What's wrong with her?\High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons... response:	Wrong!
context: What's wrong with her?\High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong! response:	Our uninvited guests the unfathomable parallel world?
context: High school two syndrome?\I'm going to say this one more time.\Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world? response:	Not that either.
context: I'm going to say this one more time.\Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either. response:	Do you mean our discussion about performing the Schrodinger's
context: Remember what you promised yesterday.\Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's response:	cat experiment using Chimera?
context: Of course.\Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera? response:	Never! Don't do it!
context: Based on the hieroglyphs, the hateful magic barrier attack\triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it! response:	You know. How we're living together at my place.
context: triggered by the Freemasons...\Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place. response:	Oh, yes. That.
context: Wrong!\Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That. response:	That is the only thing I spoke to you about.
context: Our uninvited guests the unfathomable parallel world?\Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about. response:	We should drop by the realty office again today.
context: Not that either.\Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today. response:	If you are referring to my new base, it has already been located.
context: Do you mean our discussion about performing the Schrodinger's\cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located. response:	For real?
context: cat experiment using Chimera?\Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real? response:	It is the demon world of the impossibly Wicked One,
context: Never! Don't do it!\You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One, response:	invisible to mere mortals!
context: You know. How we're living together at my place.\Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals! response:	I thought you were being serious!
context: Oh, yes. That.\That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious! response:	I'll yank out your antenna hair!
context: That is the only thing I spoke to you about.\We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair! response:	No, don't!
context: We should drop by the realty office again today.\If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair!\No, don't! response:	I see you lovebirds are already at it.
context: If you are referring to my new base, it has already been located.\For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it. response:	Who are you?
context: For real?\It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it.\Who are you? response:	It's me, Isshiki. Makoto Isshiki!
context: It is the demon world of the impossibly Wicked One,\invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki! response:	Friend of yours?
context: invisible to mere mortals!\I thought you were being serious!\I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours? response:	Nope.
context: I thought you were being serious!\I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope. response:	It's me! The guy in the Light Music Club!
context: I'll yank out your antenna hair!\No, don't!\I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope.\It's me! The guy in the Light Music Club! response:	The guy who sacrificed everything for upperclassman Kumi!
context: No, don't!\I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi! response:	Oh, it's the crew cut guy.
context: I see you lovebirds are already at it.\Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy. response:	Mister Crew Cut!
context: Who are you?\It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut! response:	Stop calling me that! That version of me is dead!
context: It's me, Isshiki. Makoto Isshiki!\Friend of yours?\Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead! response:	Just look at my Rock'n'Roll hair!
context: Friend of yours?\Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair! response:	Isshiki, what happened to your head?
context: Nope.\It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head? response:	Huh?
context: It's me! The guy in the Light Music Club!\The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh? response:	Let's go visit the student councilor.
context: The guy who sacrificed everything for upperclassman Kumi!\Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor. response:	You're getting it all wrong, Sensei.
context: Oh, it's the crew cut guy.\Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei. response:	My hair type changed when it grew back.
context: Mister Crew Cut!\Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back. response:	Whatever you say.
context: Stop calling me that! That version of me is dead!\Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say. response:	Hey, Kumin! Good morning!
context: Just look at my Rock'n'Roll hair!\Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning! response:	I wonder who that was?
context: Isshiki, what happened to your head?\Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was? response:	Kumin.
context: Huh?\Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was?\Kumin. response:	Rikka and Togashi. Morning.
context: Let's go visit the student councilor.\You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was?\Kumin.\Rikka and Togashi. Morning. response:	You're both new Second Years today.
context: You're getting it all wrong, Sensei.\My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was?\Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today. response:	And now you're a Third Year.
context: My hair type changed when it grew back.\Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was?\Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year. response:	Uh-huh. And it's such a let-down.
context: Whatever you say.\Hey, Kumin! Good morning!\I wonder who that was?\Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down. response:	'Cause you'll have to study for university.
context: Hey, Kumin! Good morning!\I wonder who that was?\Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university. response:	Uh-uh, that isn't what I mean. I'm disappointed.
context: I wonder who that was?\Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed. response:	Want to know why?
context: Kumin.\Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why? response:	Why?
context: Rikka and Togashi. Morning.\You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why? response:	Because Year Three is sooo next year.
context: You're both new Second Years today.\And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why?\Because Year Three is sooo next year. response:	That's funny.
