context: Kurogiri, get rid of these guys. response:	Villain - Tomura Shigaraki - Quirk: Decay
context: Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl. response:	Her name and face were kept tightly under wraps by the media,
context: They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media, response:	but she's on the run as the suspect in a series of deaths by blood loss.
context: Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss. response:	I'm Toga! Himiko Toga!
context: Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga! response:	Villain - Himiko Toga
context: They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga response:	It's hard to live!
context: I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live! response:	I want the world to become an easier place to live!
context: At least let me introduce them.\First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live! response:	I want to become Mr. Stainy!
context: First, this cute high school girl.\Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy! response:	I want to kill Mr. Stainy!
context: Her name and face were kept tightly under wraps by the media,\but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy! response:	So let me join the League of Villains, Tomura!
context: but she's on the run as the suspect in a series of deaths by blood loss.\I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura! response:	I don't get her. Is she crazy?
context: I'm Toga! Himiko Toga!\Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy? response:	She can hold a conversation for the most part.
context: Villain - Himiko Toga\It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part. response:	I'm sure she'll be of use.
context: It's hard to live!\I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use. response:	Next, this guy over here.
context: I want the world to become an easier place to live!\I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here. response:	He hasn't committed any flashy crimes,
context: I want to become Mr. Stainy!\I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes, response:	but he holds fast to the hero killer's ideology.
context: I want to kill Mr. Stainy!\So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology. response:	Villain - Dabi
context: So let me join the League of Villains, Tomura!\I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi response:	I'm uneasy about this.
context: I don't get her. Is she crazy?\She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this. response:	Does this organization really have a just cause?
context: She can hold a conversation for the most part.\I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause? response:	Don't tell me you're going to let this crazy woman in?
context: I'm sure she'll be of use.\Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in? response:	Hey, you. You can't even do what that crazy high school girl was able to do.
context: Next, this guy over here.\He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do. response:	Give your name first. You're an adult, right?
context: He hasn't committed any flashy crimes,\but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right? response:	I currently go by Dabi.
context: but he holds fast to the hero killer's ideology.\Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi. response:	That's not what I want to know. What's you're real name?
context: Villain - Dabi\I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name? response:	I'll tell you when it's time.
context: I'm uneasy about this.\Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time. response:	Anyway, I will carry out the will of the hero killer.
context: Does this organization really have a just cause?\Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer. response:	You don't have to say what you haven't been asked.
context: Don't tell me you're going to let this crazy woman in?\Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked. response:	Jeez, everyone's so hung up about Stain, Stain...
context: Hey, you. You can't even do what that crazy high school girl was able to do.\Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain... response:	-I don't like it. -You mustn't, Shigaraki...!
context: Give your name first. You're an adult, right?\I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...! response:	I don't feel good.
context: I currently go by Dabi.\That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good. response:	You're all no good!
context: That's not what I want to know. What's you're real name?\I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good! response:	Please calm down, Tomura Shigaraki.
context: I'll tell you when it's time.\Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki. response:	If what you wish is to come to pass,
context: Anyway, I will carry out the will of the hero killer.\You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass, response:	then we must increase the organization's numbers.
context: You don't have to say what you haven't been asked.\Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers. response:	Strangely enough, we're in the spotlight right now, so now is our chance.
context: Jeez, everyone's so hung up about Stain, Stain...\-I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance. response:	We should not be rejecting them, we should be receiving them.
context: -I don't like it. -You mustn't, Shigaraki...!\I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them. response:	You must use it, all of it...
context: I don't feel good.\You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it... response:	And all the ideology he left behind...
context: You're all no good!\Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind... response:	Shut up.
context: Please calm down, Tomura Shigaraki.\If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind...\Shut up. response:	Where are you going?
context: If what you wish is to come to pass,\then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind...\Shut up.\Where are you going? response:	Shut up!
context: then we must increase the organization's numbers.\Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind...\Shut up.\Where are you going?\Shut up! response:	I don't want to complain about a client, but... he's young. Too young.
context: Strangely enough, we're in the spotlight right now, so now is our chance.\We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind...\Shut up.\Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young. response:	I thought he was going to kill us.
context: We should not be rejecting them, we should be receiving them.\You must use it, all of it...\And all the ideology he left behind...\Shut up.\Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us. response:	He makes me sick...
context: You must use it, all of it...\And all the ideology he left behind...\Shut up.\Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick... response:	Would it be all right to give you an answer at a later date?
context: And all the ideology he left behind...\Shut up.\Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date? response:	I believe he knows what he should do.
context: Shut up.\Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do. response:	It's because he knows that he left without saying anything.
context: Where are you going?\Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything. response:	All Might... Hero Killer...
context: Shut up!\I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer... response:	He's been humbled twice already.
context: I don't want to complain about a client, but... he's young. Too young.\I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already. response:	I'm sure he will reach an answer...
context: I thought he was going to kill us.\He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer... response:	Denki Kaminari
context: He makes me sick...\Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari response:	Everyone... I'm looking forward... to hearing your stories... about training camp...
context: Would it be all right to give you an answer at a later date?\I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp... response:	Rikido Sato
context: I believe he knows what he should do.\It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato response:	Mina Ashido
context: It's because he knows that he left without saying anything.\All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido response:	Eijiro Kirishima
context: All Might... Hero Killer...\He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido\Eijiro Kirishima response:	Hanta Sero Izuku Midoriya
context: He's been humbled twice already.\I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya response:	W-We don't know for sure yet! There might be a last minute twist!
context: I'm sure he will reach an answer...\Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist! response:	Stop, Midoriya. If you say it out loud, it'll probably jinx it.
context: Denki Kaminari\Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it. response:	If we failed the exams,
context: Everyone... I'm looking forward... to hearing your stories... about training camp...\Rikido Sato\Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams, response:	then we'd have to skip training camp and be in summer school hell.
context: Rikido Sato\Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell. response:	And since we didn't pass the practical exam...
context: Mina Ashido\Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam... response:	If you guys still don't get it, then you're dumber than monkeys!
context: Eijiro Kirishima\Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys! response:	Calm down. That's too long.
context: Hanta Sero Izuku Midoriya\W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long. response:	I don't know, either.
context: W-We don't know for sure yet! There might be a last minute twist!\Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either. response:	Our team passed thanks to Mineta, but I was just sleeping the whole time.
context: Stop, Midoriya. If you say it out loud, it'll probably jinx it.\If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time. response:	Minoru Mineta
context: If we failed the exams,\then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta response:	Anyway, since we don't know how they're scoring it...
context: then we'd have to skip training camp and be in summer school hell.\And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it... response:	If you feel bad for us, then I dunno, just bring me back lots of stuff!
context: And since we didn't pass the practical exam...\If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff! response:	Pro Hero - Shota Aizawa
context: If you guys still don't get it, then you're dumber than monkeys!\Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa response:	Once the bell rings, get in your seats.
context: Calm down. That's too long.\I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats. response:	Silence!
context: I don't know, either.\Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence! response:	Morning.
context: Our team passed thanks to Mineta, but I was just sleeping the whole time.\Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence!\Morning. response:	Unfortunately, there are those who did not pass the final exams.
context: Minoru Mineta\Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence!\Morning.\Unfortunately, there are those who did not pass the final exams. response:	Accordingly, for the training camp in the woods...
context: Anyway, since we don't know how they're scoring it...\If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence!\Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods... response:	A last minute twist!
context: If you feel bad for us, then I dunno, just bring me back lots of stuff!\Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence!\Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist! response:	We can go, too?!
context: Pro Hero - Shota Aizawa\Once the bell rings, get in your seats.\Silence!\Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?! response:	Really?!
context: Once the bell rings, get in your seats.\Silence!\Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?!\Really?! response:	Yeah.
context: Silence!\Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?!\Really?!\Yeah. response:	Some failed, but no one failed the written exam.
context: Morning.\Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?!\Really?!\Yeah.\Some failed, but no one failed the written exam. response:	In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.
context: Unfortunately, there are those who did not pass the final exams.\Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?!\Really?!\Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed. response:	I knew it...
context: Accordingly, for the training camp in the woods...\A last minute twist!\We can go, too?!\Really?!\Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it... response:	Just because my team passed didn't mean I scored high enough not to fail...
context: A last minute twist!\We can go, too?!\Really?!\Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail... response:	For this time's exam, we on the villain side
context: We can go, too?!\Really?!\Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side response:	made sure to leave a way for the students to win
context: Really?!\Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win response:	while watching to see how you all would take on the task at hand.
context: Yeah.\Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand. response:	If we hadn't, most of you would've gotten stuck before you started.
context: Some failed, but no one failed the written exam.\In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started. response:	Mashirao Ojiro
context: In the practical, Kirishima, Kaminari, Ashido, Sato, and Sero failed.\I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro response:	So when you said you were really out to crush us...
context: I knew it...\Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us... response:	That was to make you feel cornered.
context: Just because my team passed didn't mean I scored high enough not to fail...\For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered. response:	In the first place, the training camp in the woods is one to increase strength.
context: For this time's exam, we on the villain side\made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength. response:	So those who failed need it the most. They have to get stronger.
