context: Yesterday sucked! response:	I barely had any chances to speak to Onodera,
context: What are they talking about? I can't quite hear.\Wait, you still have that key?\What?\Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago? response:	Promise? Does that mean...
context: Wait, you still have that key?\What?\Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean... response:	Never mind.
context: What?\Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind. response:	In that case, I'll be glad to create an opportunity for you to find out how he feels.
context: Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels. response:	It just so happens that I need to ask Kirisaki-san for a favor, anyway.
context: Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway. response:	Huh? Wait... What are you gonna do?
context: I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do? response:	I'm getting a bad feeling about this...
context: Or do you actually intend to look for the boy you made that promise with ten years ago?\Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this... response:	There's no question that Ichijou-kun has a crush on Kosaki.
context: Wh-What did she just say? Ten years ago?\Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki. response:	Although it's just a woman's intuition.
context: Promise? Does that mean...\Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition. response:	Frankly, those two have been acting suspicious, too!
context: Never mind.\In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too! response:	I'll discover the truth!
context: In that case, I'll be glad to create an opportunity for you to find out how he feels.\It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth! response:	Episode 5: Swimming
context: It just so happens that I need to ask Kirisaki-san for a favor, anyway.\Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming response:	Episode 5: Swimming
context: Huh? Wait... What are you gonna do?\I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming response:	Episode 5: Swimming
context: I'm getting a bad feeling about this...\There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming response:	Helper?
context: There's no question that Ichijou-kun has a crush on Kosaki.\Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming\Helper? response:	Yeah. You see, our swim team is pretty weak.
context: Although it's just a woman's intuition.\Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak. response:	We've got a practice meet tomorrow, but we're a bit short on members.
context: Frankly, those two have been acting suspicious, too!\I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members. response:	I have no doubt that you're athletic enough.
context: I'll discover the truth!\Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough. response:	If you don't mind, I'd really like you to join us.
context: Episode 5: Swimming\Episode 5: Swimming\Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us. response:	Oh, that's totally fine with me! I love exercise!
context: Episode 5: Swimming\Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise! response:	Anyway,
context: Episode 5: Swimming\Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway, response:	BeaDarling, why are you here?
context: Helper?\Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here? response:	Miyamoto, isn't this the girls' swim team?
context: Yeah. You see, our swim team is pretty weak.\We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team? response:	Wh-Why am I here?
context: We've got a practice meet tomorrow, but we're a bit short on members.\I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here? response:	Because I have a favor to ask of you too.
context: I have no doubt that you're athletic enough.\If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too. response:	Well, we'll get into that later.
context: If you don't mind, I'd really like you to join us.\Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later. response:	Damn it... I can't get over that conversation about the promise!
context: Oh, that's totally fine with me! I love exercise!\Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise! response:	I'm not in any shape to help.
context: Anyway,\BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help. response:	Ru-Ru...
context: BeaDarling, why are you here?\Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru... response:	Ruri-chan!
context: Miyamoto, isn't this the girls' swim team?\Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru...\Ruri-chan! response:	Why did you register me as a swimmer...
context: Wh-Why am I here?\Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer... response:	when I can't swim at all?
context: Because I have a favor to ask of you too.\Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all? response:	There's no way I'll be of any help!
context: Well, we'll get into that later.\Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help! response:	Huh? Ichijou-kun?
context: Damn it... I can't get over that conversation about the promise!\I'm not in any shape to help.\Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun? response:	Oh my god, Onodera is as cute in a swimsuit as I imagined!
context: I'm not in any shape to help.\Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined! response:	The key!
context: Ru-Ru...\Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key! response:	It's the same one that she dropped the other day!
context: Ruri-chan!\Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day! response:	All I heard was that Kirisaki-san would be coming.
context: Why did you register me as a swimmer...\when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming. response:	Onodera did say it was the key to a bookcase,
context: when I can't swim at all?\There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase, response:	but if that's all it is, there's no way she'd carry it 24/7!
context: There's no way I'll be of any help!\Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7! response:	Don't tell me... that key's actually...
context: Huh? Ichijou-kun?\Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually... response:	Oh gosh, Ruri-chan! What am I supposed to do?
context: Oh my god, Onodera is as cute in a swimsuit as I imagined!\The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do? response:	Why are you staring? You creep!
context: The key!\It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep! response:	What the hell do you think you're doing?
context: It's the same one that she dropped the other day!\All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing? response:	Shut up! You pervert!
context: All I heard was that Kirisaki-san would be coming.\Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert! response:	There's no way that Ichijou-kun could possibly have feelings for me.
context: Onodera did say it was the key to a bookcase,\but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me. response:	And now Kirisaki-san is here with us too.
context: but if that's all it is, there's no way she'd carry it 24/7!\Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too. response:	How am I supposed to act?
context: Don't tell me... that key's actually...\Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act? response:	Also, this feels a little awkward...
context: Oh gosh, Ruri-chan! What am I supposed to do?\Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward... response:	after seeing them together yesterday.
context: Why are you staring? You creep!\What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday. response:	By the way, what were you two up to inside that storehouse yesterday?
context: What the hell do you think you're doing?\Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday? response:	In the darkness” of a sealed room,” just the two of you,”
context: Shut up! You pervert!\There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,” response:	in that position...” What does all that mean?
context: There's no way that Ichijou-kun could possibly have feelings for me.\And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean? response:	R-R-Ruri-chan! How can you ask that?
context: And now Kirisaki-san is here with us too.\How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that? response:	Th-That was a prank my guys played on us.
context: How am I supposed to act?\Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us. response:	It was an accident, like... We kinda lost our balance.
context: Also, this feels a little awkward...\after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance. response:	An accident, he says.
context: after seeing them together yesterday.\By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says. response:	She did it for me.
context: By the way, what were you two up to inside that storehouse yesterday?\In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me. response:	Thank you, Ruri-chan!
context: In the darkness” of a sealed room,” just the two of you,”\in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me.\Thank you, Ruri-chan! response:	You guys were actually doing something indecent, weren't you?
context: in that position...” What does all that mean?\R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you? response:	Oh, no, we weren't!
context: R-R-Ruri-chan! How can you ask that?\Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't! response:	We were not!
context: Th-That was a prank my guys played on us.\It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not! response:	Hi there, Raku!
context: It was an accident, like... We kinda lost our balance.\An accident, he says.\She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not!\Hi there, Raku! response:	I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!
context: An accident, he says.\She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team! response:	I came to watch!
context: She did it for me.\Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch! response:	Just look at you!
context: Thank you, Ruri-chan!\You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you! response:	What a magnificent sight you are!
context: You guys were actually doing something indecent, weren't you?\Oh, no, we weren't!\We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you!\What a magnificent sight you are! response:	Ichijou-kun, about that favor I need from you...
context: Oh, no, we weren't!\We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you... response:	I want you to teach Kosaki how to swim by tomorrow's meet.
context: We were not!\Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet. response:	So anyway...
context: Hi there, Raku!\I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway... response:	Today we're gonna teach you how to swim. I'm Ichijou, and...
context: I hear that Kirisaki-san and Onodera are gonna help out the girls' swim team!\I came to watch!\Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and... response:	Right! I'm your other instructor, Kirisaki Chitoge!
context: I came to watch!\Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge! response:	Looking forward to working with you!
context: Just look at you!\What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you! response:	L-Likewise.
context: What a magnificent sight you are!\Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise. response:	I never dreamed this would ever happen!
context: Ichijou-kun, about that favor I need from you...\I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen! response:	Oh, crap... I'm getting a little nervous!
context: I want you to teach Kosaki how to swim by tomorrow's meet.\So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous! response:	I guess Ichijou-kun is teaching me how to swim.
context: So anyway...\Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous!\I guess Ichijou-kun is teaching me how to swim. response:	I'm getting a little nervous.
context: Today we're gonna teach you how to swim. I'm Ichijou, and...\Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous!\I guess Ichijou-kun is teaching me how to swim.\I'm getting a little nervous. response:	Hey, Onodera, so you really can't swim?
context: Right! I'm your other instructor, Kirisaki Chitoge!\Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous!\I guess Ichijou-kun is teaching me how to swim.\I'm getting a little nervous.\Hey, Onodera, so you really can't swim? response:	Nope. Oh, Ruri-chan... She set this up without asking me.
context: Looking forward to working with you!\L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous!\I guess Ichijou-kun is teaching me how to swim.\I'm getting a little nervous.\Hey, Onodera, so you really can't swim?\Nope. Oh, Ruri-chan... She set this up without asking me. response:	But I wonder why she's making you help out when she knows you can't swim.
context: L-Likewise.\I never dreamed this would ever happen!\Oh, crap... I'm getting a little nervous!\I guess Ichijou-kun is teaching me how to swim.\I'm getting a little nervous.\Hey, Onodera, so you really can't swim?\Nope. Oh, Ruri-chan... She set this up without asking me.\But I wonder why she's making you help out when she knows you can't swim. response:	Who knows?
