context: But if that's the case, what would become of the Galactic Alliance response:	if the Hideauze are beaten completely?
context: Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current. response:	I'll let you know when we get busy again.
context: He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again. response:	Okay.
context: Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay. response:	As you can see, I'm swamped trying to organize all of these invoices.
context: A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices. response:	And it'd be impossible for somebody with no experience to help.
context: Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help. response:	How about treasure-hunting?
context: It's fine! There's always enough room for one more fisherman.\Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting? response:	We have a place in mind, but it'll take another three days to get there.
context: Nope. Look.\This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there. response:	I see... I'm sorry I got your hopes up.
context: This is how it's been recently, ever since we lost the rip current.\I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up. response:	Okay...
context: I'll let you know when we get busy again.\Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay... response:	Well, it's about time for me to do my deliveries...
context: Okay.\As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries... response:	Then I think I will search myself.
context: As you can see, I'm swamped trying to organize all of these invoices.\And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself. response:	Alright! Alright! Alright!
context: And it'd be impossible for somebody with no experience to help.\How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright! response:	Alright! A little higher! Higher!
context: How about treasure-hunting?\We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher! response:	Idiot! I told you higher!
context: We have a place in mind, but it'll take another three days to get there.\I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher! response:	No! Left! That goes left!
context: I see... I'm sorry I got your hopes up.\Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left! response:	Sorry! I can't!
context: Okay...\Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't! response:	I didn't think finding a job would be this difficult...
context: Well, it's about time for me to do my deliveries...\Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult... response:	Chamber, have you updated your database?
context: Then I think I will search myself.\Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database? response:	As before, there are no jobs that match your aptitude.
context: Alright! Alright! Alright!\Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude. response:	Situation!
context: Alright! A little higher! Higher!\Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation! response:	The fleet's propulsion system is shutting down.
context: Idiot! I told you higher!\No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down. response:	What does it mean?
context: No! Left! That goes left!\Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down.\What does it mean? response:	Yo!
context: Sorry! I can't!\I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down.\What does it mean?\Yo! response:	Pinion!
context: I didn't think finding a job would be this difficult...\Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down.\What does it mean?\Yo!\Pinion! response:	Don't stand there like a lump! You need a change of pace!
context: Chamber, have you updated your database?\As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down.\What does it mean?\Yo!\Pinion!\Don't stand there like a lump! You need a change of pace! response:	Pinion! Fleet stopped. What happened?
context: As before, there are no jobs that match your aptitude.\Situation!\The fleet's propulsion system is shutting down.\What does it mean?\Yo!\Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened? response:	It's a calm day is what's happening!
context: Situation!\The fleet's propulsion system is shutting down.\What does it mean?\Yo!\Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening! response:	Come on, everyone's gathering. Follow me!
context: The fleet's propulsion system is shutting down.\What does it mean?\Yo!\Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me! response:	This is some huge meat, right? It'll go a long way!
context: What does it mean?\Yo!\Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way! response:	I'm impressed you got a hold of that. I can't wait!
context: Yo!\Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait! response:	But is it okay for you to party?
context: Pinion!\Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party? response:	It's been so long since we've had a calm day and there's a lot of repair work that can be done...
context: Don't stand there like a lump! You need a change of pace!\Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done... response:	My assistants are taking care of business while I'm occupied with this.
context: Pinion! Fleet stopped. What happened?\It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this. response:	Really?
context: It's a calm day is what's happening!\Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really? response:	We'll start with Flange's ship.
context: Come on, everyone's gathering. Follow me!\This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship. response:	What are you doing?!
context: This is some huge meat, right? It'll go a long way!\I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship.\What are you doing?! response:	Is the power off?
context: I'm impressed you got a hold of that. I can't wait!\But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship.\What are you doing?!\Is the power off? response:	Yeah, I checked.
context: But is it okay for you to party?\It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship.\What are you doing?!\Is the power off?\Yeah, I checked. response:	Okay, the party's over here.
context: It's been so long since we've had a calm day and there's a lot of repair work that can be done...\My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship.\What are you doing?!\Is the power off?\Yeah, I checked.\Okay, the party's over here. response:	Hey, you're supposed to do that work, Pinion!
context: My assistants are taking care of business while I'm occupied with this.\Really?\We'll start with Flange's ship.\What are you doing?!\Is the power off?\Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion! response:	Jeez...
context: Really?\We'll start with Flange's ship.\What are you doing?!\Is the power off?\Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez... response:	What is this?
context: We'll start with Flange's ship.\What are you doing?!\Is the power off?\Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez...\What is this? response:	The wind's stopped and there are no waves,
context: What are you doing?!\Is the power off?\Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez...\What is this?\The wind's stopped and there are no waves, response:	so we traditionally do ship maintenance on these calm days.
context: Is the power off?\Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez...\What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days. response:	We take the fleet off of the Milky Way and turn off the power,
context: Yeah, I checked.\Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez...\What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power, response:	so everyone but repair technicians get to take a breather from work.
context: Okay, the party's over here.\Hey, you're supposed to do that work, Pinion!\Jeez...\What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work. response:	Oh...
context: Hey, you're supposed to do that work, Pinion!\Jeez...\What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh... response:	Bebel, are you doin' okay?
context: Jeez...\What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay? response:	Yeah.
context: What is this?\The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay?\Yeah. response:	Quite a sight, right? Not many know about this place.
context: The wind's stopped and there are no waves,\so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place. response:	It's beautiful!
context: so we traditionally do ship maintenance on these calm days.\We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful! response:	Ledo, this is what the sea is like when there's no wind.
context: We take the fleet off of the Milky Way and turn off the power,\so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind. response:	Hi!
context: so everyone but repair technicians get to take a breather from work.\Oh...\Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi! response:	Saaya! Melty!
context: Oh...\Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty! response:	You're late!
context: Bebel, are you doin' okay?\Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty!\You're late! response:	Hurry up!
