context: What? response:	ED]
context: In other words, I need it by tomorrow.\That's impossible.\Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay? response:	Tomorrow is the day.
context: That's impossible.\Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay?\Tomorrow is the day. response:	Ah, I can't believe this! Hug me, hug me more!
context: Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more! response:	This one's the best! With this, tomorrow will be perfect.
context: What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect. response:	All right, tomorrow it is!
context: A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is! response:	Guten Morgen!
context: That's like, the best 3D angel ever!\Ojou-sama...\Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen! response:	Mornin', Nii-san!
context: Ojou-sama...\Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san! response:	This'll be fine.
context: Tomorrow, okay?\Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san!\This'll be fine. response:	I'll be heading off now.
context: Tomorrow is the day.\Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san!\This'll be fine.\I'll be heading off now. response:	Kureha!
context: Ah, I can't believe this! Hug me, hug me more!\This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san!\This'll be fine.\I'll be heading off now.\Kureha! response:	O' Hello, Nii-san!
context: This one's the best! With this, tomorrow will be perfect.\All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san!\This'll be fine.\I'll be heading off now.\Kureha!\O' Hello, Nii-san! response:	I'm leaving for a while.
context: All right, tomorrow it is!\Guten Morgen!\Mornin', Nii-san!\This'll be fine.\I'll be heading off now.\Kureha!\O' Hello, Nii-san!\I'm leaving for a while. response:	I won't be back until this evening.
context: Guten Morgen!\Mornin', Nii-san!\This'll be fine.\I'll be heading off now.\Kureha!\O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening. response:	Gotcha.
context: Mornin', Nii-san!\This'll be fine.\I'll be heading off now.\Kureha!\O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening.\Gotcha. response:	Happy Birthday!!
context: This'll be fine.\I'll be heading off now.\Kureha!\O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening.\Gotcha.\Happy Birthday!! response:	Thank you!
context: I'll be heading off now.\Kureha!\O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening.\Gotcha.\Happy Birthday!!\Thank you! response:	Sakamachi Kureha has turned sixteen today.
context: Kureha!\O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening.\Gotcha.\Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today. response:	Congratulations.
context: O' Hello, Nii-san!\I'm leaving for a while.\I won't be back until this evening.\Gotcha.\Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations. response:	Usami-senpai!
context: I'm leaving for a while.\I won't be back until this evening.\Gotcha.\Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai! response:	Okay.
context: I won't be back until this evening.\Gotcha.\Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai!\Okay. response:	Amazing.
context: Gotcha.\Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai!\Okay.\Amazing. response:	Where did you get these from?
context: Happy Birthday!!\Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai!\Okay.\Amazing.\Where did you get these from? response:	They're home cooked.
context: Thank you!\Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai!\Okay.\Amazing.\Where did you get these from?\They're home cooked. response:	Did you make all of them, senpai?
context: Sakamachi Kureha has turned sixteen today.\Congratulations.\Usami-senpai!\Okay.\Amazing.\Where did you get these from?\They're home cooked.\Did you make all of them, senpai? response:	I chose the menu and the ingredients.
context: Congratulations.\Usami-senpai!\Okay.\Amazing.\Where did you get these from?\They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients. response:	You don't have to add unnecessary details.
context: Usami-senpai!\Okay.\Amazing.\Where did you get these from?\They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details. response:	All right.
context: Okay.\Amazing.\Where did you get these from?\They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right. response:	Well, don't let it get cold. Eat up.
context: Amazing.\Where did you get these from?\They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up. response:	Yes, let's eat!
context: Where did you get these from?\They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up.\Yes, let's eat! response:	It's delicious.
context: They're home cooked.\Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious. response:	As for that, Usami-senpai, you're very good at cooking.
context: Did you make all of them, senpai?\I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking. response:	It's nothing special. I live alone, so I have to.
context: I chose the menu and the ingredients.\You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to. response:	I just heard some sort of dragging noise from that corner.
context: You don't have to add unnecessary details.\All right.\Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner. response:	Well, it seems that things do get in this room.
context: All right.\Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room. response:	What?
context: Well, don't let it get cold. Eat up.\Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What? response:	You mean something like a poltergeist?
context: Yes, let's eat!\It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What?\You mean something like a poltergeist? response:	Yes.
context: It's delicious.\As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What?\You mean something like a poltergeist?\Yes. response:	The girl that was living here before was dumped by her boyfriend.
context: As for that, Usami-senpai, you're very good at cooking.\It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What?\You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend. response:	Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-
context: It's nothing special. I live alone, so I have to.\I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What?\You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end- response:	Please, stop! I'm terrible with scary stories!
context: I just heard some sort of dragging noise from that corner.\Well, it seems that things do get in this room.\What?\You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories! response:	It's not that big of a deal.
context: Well, it seems that things do get in this room.\What?\You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal. response:	The television just turns itself on sometimes, that's all.
context: What?\You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all. response:	I'm scared!
context: You mean something like a poltergeist?\Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared! response:	It doesn't hurt you, so it's fine.
context: Yes.\The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine. response:	Now, since we're all excited, it is time to open the long-awaited presents.
context: The girl that was living here before was dumped by her boyfriend.\Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents. response:	Clap, please.
context: Depressed, she knocked her head on the sink and got her hand bitten by her dog, and... and right at the very end-\Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please. response:	This is sort of scary.
context: Please, stop! I'm terrible with scary stories!\It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary. response:	Glasses?
context: It's not that big of a deal.\The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary.\Glasses? response:	You look good in that.
context: The television just turns itself on sometimes, that's all.\I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary.\Glasses?\You look good in that. response:	The rim's curvature is okay.
context: I'm scared!\It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary.\Glasses?\You look good in that.\The rim's curvature is okay. response:	The bridge is stable.
context: It doesn't hurt you, so it's fine.\Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary.\Glasses?\You look good in that.\The rim's curvature is okay.\The bridge is stable. response:	And there's nothing wrong with either temple.
context: Now, since we're all excited, it is time to open the long-awaited presents.\Clap, please.\This is sort of scary.\Glasses?\You look good in that.\The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple. response:	The dazzle of the lenses and the bridge!
context: Clap, please.\This is sort of scary.\Glasses?\You look good in that.\The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge! response:	This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.
context: This is sort of scary.\Glasses?\You look good in that.\The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit. response:	Really?
context: Glasses?\You look good in that.\The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really? response:	Yes. If you have this, there is nothing to be afraid of.
context: You look good in that.\The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of. response:	Amazing!
context: The rim's curvature is okay.\The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing! response:	Thank you for giving me these glasses. This is now the best present.
context: The bridge is stable.\And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present. response:	Kureha-chan, happy birthday.
context: And there's nothing wrong with either temple.\The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday. response:	Something along those lines...
context: The dazzle of the lenses and the bridge!\This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines... response:	Kya, Konoe-senpai!
context: This pair of glasses has strong exorcising powers. It's able to exorcise any spirit.\Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai! response:	Usami-senpai, did you make this yourself?
context: Really?\Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself? response:	Yes. I am a textile arts club member, after all.
context: Yes. If you have this, there is nothing to be afraid of.\Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all. response:	Thank you very much!
context: Amazing!\Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much! response:	I will sleep with Konoe-senpai from tonight onwards.
context: Thank you for giving me these glasses. This is now the best present.\Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards. response:	Attention, please.
context: Kureha-chan, happy birthday.\Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please. response:	Now then, it's time for the second part of your present.
context: Something along those lines...\Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present. response:	What could that be?
context: Kya, Konoe-senpai!\Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present.\What could that be? response:	Take it away, Usami-senpai.
context: Usami-senpai, did you make this yourself?\Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai. response:	Wait. Are we really doing this?
context: Yes. I am a textile arts club member, after all.\Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this? response:	Of course.
context: Thank you very much!\I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course. response:	Script by Narumi Nakuru, Memories of Class version.
context: I will sleep with Konoe-senpai from tonight onwards.\Attention, please.\Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version. response:	Jirou-kin and Barusu, A Late Summer Night's Memories.
context: Attention, please.\Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories. response:	Let the show begin!
context: Now then, it's time for the second part of your present.\What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin! response:	Whoa!
context: What could that be?\Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa! response:	Barusu. Oh, how hard it is to believe.
context: Take it away, Usami-senpai.\Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe. response:	That you are here in my arms.
context: Wait. Are we really doing this?\Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms. response:	Jirou-kin...
context: Of course.\Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin... response:	Please, hug me tighter.
context: Script by Narumi Nakuru, Memories of Class version.\Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin...\Please, hug me tighter. response:	Whoa...
context: Jirou-kin and Barusu, A Late Summer Night's Memories.\Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin...\Please, hug me tighter.\Whoa... response:	Barusu!
context: Let the show begin!\Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin...\Please, hug me tighter.\Whoa...\Barusu! response:	Even if this is our last night together. My love for you is eternal.
context: Whoa!\Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin...\Please, hug me tighter.\Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal. response:	Wow!
context: Barusu. Oh, how hard it is to believe.\That you are here in my arms.\Jirou-kin...\Please, hug me tighter.\Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal.\Wow! response:	Wait, Nakuru. We're overdoing it.
context: That you are here in my arms.\Jirou-kin...\Please, hug me tighter.\Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it. response:	Please bear with it for now. After all, this is Kureha-chan's birthday present.
context: Jirou-kin...\Please, hug me tighter.\Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present. response:	J-Jirou-kin, I too, want to make you and your glasses my love forever.
context: Please, hug me tighter.\Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever. response:	And so, the two lovers made a promise with a kiss.
context: Whoa...\Barusu!\Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss. response:	As expected of Usami-senpai.
context: Barusu!\Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss.\As expected of Usami-senpai. response:	What do you mean by Barusu and Jirou-kin?
context: Even if this is our last night together. My love for you is eternal.\Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss.\As expected of Usami-senpai.\What do you mean by Barusu and Jirou-kin? response:	It's obvious that we're portraying Idiot-Chicken and Subaru here.
context: Wow!\Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss.\As expected of Usami-senpai.\What do you mean by Barusu and Jirou-kin?\It's obvious that we're portraying Idiot-Chicken and Subaru here. response:	Oh, is that so?
context: Wait, Nakuru. We're overdoing it.\Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss.\As expected of Usami-senpai.\What do you mean by Barusu and Jirou-kin?\It's obvious that we're portraying Idiot-Chicken and Subaru here.\Oh, is that so? response:	You can't see it?!
context: Please bear with it for now. After all, this is Kureha-chan's birthday present.\J-Jirou-kin, I too, want to make you and your glasses my love forever.\And so, the two lovers made a promise with a kiss.\As expected of Usami-senpai.\What do you mean by Barusu and Jirou-kin?\It's obvious that we're portraying Idiot-Chicken and Subaru here.\Oh, is that so?\You can't see it?! response:	Attention, please.
