context: TS START response:	A few minutes later
context: TS END\ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake response:	kono gu sae aishi waratterareru you ni
context: ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni response:	atashi wa tatakaunda
context: itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda response:	namida nante misenainda
context: furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda response:	HH
context: mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH response:	I've always walked alone
context: sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone response:	When I turn around, everyone's far behind
context: itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind response:	I'm not afraid of anything anymore,
context: omoide no naka ni ikiteku dake\kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore, response:	I try to whisper to myself
context: kono gu sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself response:	Everyone becomes alone someday
context: atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday response:	They live on only in memories
context: namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories response:	So I can laugh, loving this foolishness
context: HH\I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness response:	I will fight
context: I've always walked alone\When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness\I will fight response:	I will show no tears
context: When I turn around, everyone's far behind\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness\I will fight\I will show no tears response:	ED END
context: I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness\I will fight\I will show no tears\ED END response:	INSERT START
context: I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness\I will fight\I will show no tears\ED END\INSERT START response:	The wall that I backed up to
context: Everyone becomes alone someday\They live on only in memories\So I can laugh, loving this foolishness\I will fight\I will show no tears\ED END\INSERT START\The wall that I backed up to response:	My fingertip smells of iron
context: They live on only in memories\So I can laugh, loving this foolishness\I will fight\I will show no tears\ED END\INSERT START\The wall that I backed up to\My fingertip smells of iron response:	I keep holding on, in this city, anywhere.
context: So I can laugh, loving this foolishness\I will fight\I will show no tears\ED END\INSERT START\The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere. response:	Fly away from here!
context: I will fight\I will show no tears\ED END\INSERT START\The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here! response:	Fly away from here!
context: I will show no tears\ED END\INSERT START\The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here! response:	From now on I'll find you!
context: ED END\INSERT START\The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here!\From now on I'll find you! response:	From now on I'll find you!
context: INSERT START\The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here!\From now on I'll find you!\From now on I'll find you! response:	Play those notes!
context: The wall that I backed up to\My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here!\From now on I'll find you!\From now on I'll find you!\Play those notes! response:	Play those notes!
context: My fingertip smells of iron\I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here!\From now on I'll find you!\From now on I'll find you!\Play those notes!\Play those notes! response:	Look over here!
context: I keep holding on, in this city, anywhere.\Fly away from here!\Fly away from here!\From now on I'll find you!\From now on I'll find you!\Play those notes!\Play those notes!\Look over here! response:	Look over here!
context: Fly away from here!\Fly away from here!\From now on I'll find you!\From now on I'll find you!\Play those notes!\Play those notes!\Look over here!\Look over here! response:	Even if I can't find you in this town
context: Fly away from here!\From now on I'll find you!\From now on I'll find you!\Play those notes!\Play those notes!\Look over here!\Look over here!\Even if I can't find you in this town response:	INSERT END
context: From now on I'll find you!\From now on I'll find you!\Play those notes!\Play those notes!\Look over here!\Look over here!\Even if I can't find you in this town\INSERT END response:	Where... is this?
context: From now on I'll find you!\Play those notes!\Play those notes!\Look over here!\Look over here!\Even if I can't find you in this town\INSERT END\Where... is this? response:	I don't remember anything...
context: Play those notes!\Play those notes!\Look over here!\Look over here!\Even if I can't find you in this town\INSERT END\Where... is this?\I don't remember anything... response:	You're awake?
context: Play those notes!\Look over here!\Look over here!\Even if I can't find you in this town\INSERT END\Where... is this?\I don't remember anything...\You're awake? response:	You...
context: Look over here!\Look over here!\Even if I can't find you in this town\INSERT END\Where... is this?\I don't remember anything...\You're awake?\You... response:	to the Like - hell - I'm - dead Battlefront.
context: Look over here!\Even if I can't find you in this town\INSERT END\Where... is this?\I don't remember anything...\You're awake?\You...\to the Like - hell - I'm - dead Battlefront. response:	This may sound sudden, but will you enlist with us?
context: Even if I can't find you in this town\INSERT END\Where... is this?\I don't remember anything...\You're awake?\You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us? response:	Enlist?
context: INSERT END\Where... is this?\I don't remember anything...\You're awake?\You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist? response:	The fact that you're here means you died.
context: Where... is this?\I don't remember anything...\You're awake?\You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died. response:	Huh?
context: I don't remember anything...\You're awake?\You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died.\Huh? response:	Um... I don't really get what you
context: You're awake?\You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died.\Huh?\Um... I don't really get what you response:	This is the afterlife.
context: You...\to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died.\Huh?\Um... I don't really get what you\This is the afterlife. response:	If you don't do anything you'll be erased.
context: to the Like - hell - I'm - dead Battlefront.\This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died.\Huh?\Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased. response:	Erased?
context: This may sound sudden, but will you enlist with us?\Enlist?\The fact that you're here means you died.\Huh?\Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased.\Erased? response:	By who?
context: Enlist?\The fact that you're here means you died.\Huh?\Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased.\Erased?\By who? response:	By God, of course.
context: The fact that you're here means you died.\Huh?\Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased.\Erased?\By who?\By God, of course. response:	So what's this about enlisting?
context: Huh?\Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased.\Erased?\By who?\By God, of course.\So what's this about enlisting? response:	Into the Like - hell - I'm - dead Battlefront.
context: Um... I don't really get what you\This is the afterlife.\If you don't do anything you'll be erased.\Erased?\By who?\By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront. response:	Well, the title changes a lot.
context: This is the afterlife.\If you don't do anything you'll be erased.\Erased?\By who?\By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot. response:	First it was the Afterlife Battlefront.
context: If you don't do anything you'll be erased.\Erased?\By who?\By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront. response:	But if we called it that, it would sound like we're admitting we're dead, right?
context: Erased?\By who?\By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right? response:	And so we got rid of that.
context: By who?\By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that. response:	We've been changing it since.
context: By God, of course.\So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since. response:	Now it's the Like - hell - I'm - dead Battlefront.
context: So what's this about enlisting?\Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront. response:	Before that, it was the Don't - even - feel - alive Battlefront.
context: Into the Like - hell - I'm - dead Battlefront.\Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront. response:	Though that name was a total joke, so we changed it the next day.
context: Well, the title changes a lot.\First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day. response:	Um...
context: First it was the Afterlife Battlefront.\But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um... response:	Is that a real gun?
context: But if we called it that, it would sound like we're admitting we're dead, right?\And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun? response:	Everyone who comes here reacts like that.
context: And so we got rid of that.\We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun?\Everyone who comes here reacts like that. response:	Try to be more flexible.
context: We've been changing it since.\Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible. response:	Just accept things as they are.
context: Now it's the Like - hell - I'm - dead Battlefront.\Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are. response:	Accept them?
context: Before that, it was the Don't - even - feel - alive Battlefront.\Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are.\Accept them? response:	What should I do?
context: Though that name was a total joke, so we changed it the next day.\Um...\Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are.\Accept them?\What should I do? response:	Fight.
context: Um...\Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are.\Accept them?\What should I do?\Fight. response:	With what?
context: Is that a real gun?\Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are.\Accept them?\What should I do?\Fight.\With what? response:	That.
context: Everyone who comes here reacts like that.\Try to be more flexible.\Just accept things as they are.\Accept them?\What should I do?\Fight.\With what?\That. response:	That's the Like - hell - I'm - dead Battlefront's enemy,
context: Try to be more flexible.\Just accept things as they are.\Accept them?\What should I do?\Fight.\With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy, response:	Angel.
context: Just accept things as they are.\Accept them?\What should I do?\Fight.\With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel. response:	I think I want to change the Like - hell - I'm - dead Battlefront name, after all.
context: Accept them?\What should I do?\Fight.\With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all. response:	Give it some thought.
context: What should I do?\Fight.\With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought. response:	Hey, hey...
context: Fight.\With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey... response:	No matter how you look at it, that's a normal girl...
context: With what?\That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl... response:	What's she talking about?
context: That.\That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about? response:	Um...
context: That's the Like - hell - I'm - dead Battlefront's enemy,\Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about?\Um... response:	Can I go over there?
context: Angel.\I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about?\Um...\Can I go over there? response:	What?!
context: I think I want to change the Like - hell - I'm - dead Battlefront name, after all.\Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about?\Um...\Can I go over there?\What?! response:	Why?!
context: Give it some thought.\Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about?\Um...\Can I go over there?\What?!\Why?! response:	You make no sense!
context: Hey, hey...\No matter how you look at it, that's a normal girl...\What's she talking about?\Um...\Can I go over there?\What?!\Why?!\You make no sense! response:	Why would you do that?!
context: No matter how you look at it, that's a normal girl...\What's she talking about?\Um...\Can I go over there?\What?!\Why?!\You make no sense!\Why would you do that?! response:	Are you an idiot?
context: What's she talking about?\Um...\Can I go over there?\What?!\Why?!\You make no sense!\Why would you do that?!\Are you an idiot? response:	Want to try dying!?
context: Um...\Can I go over there?\What?!\Why?!\You make no sense!\Why would you do that?!\Are you an idiot?\Want to try dying!? response:	That's a joke you'll hear a lot in this world where you can't die.
context: Can I go over there?\What?!\Why?!\You make no sense!\Why would you do that?!\Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die. response:	Well? Was it funny?
context: What?!\Why?!\You make no sense!\Why would you do that?!\Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny? response:	M - My impressions of your joke aside...
context: Why?!\You make no sense!\Why would you do that?!\Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside... response:	At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.
context: You make no sense!\Why would you do that?!\Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls. response:	I'm your ally.
context: Why would you do that?!\Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally. response:	If you tell me not to aim the gun at her, I won't.
context: Are you an idiot?\Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't. response:	You can trust me.
context: Want to try dying!?\That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me. response:	Hey, Yurippe!
context: That's a joke you'll hear a lot in this world where you can't die.\Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe! response:	How's the newbie recruitment going?
context: Well? Was it funny?\M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe!\How's the newbie recruitment going? response:	We're short on hands, so do whatever it
context: M - My impressions of your joke aside...\At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it response:	Huh?
context: At the very least, I'd probably have a more sensible conversation with her than someone who points guns at girls.\I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh? response:	I'm going over there.
context: I'm your ally.\If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh?\I'm going over there. response:	Recruitment failed!
context: If you tell me not to aim the gun at her, I won't.\You can trust me.\Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh?\I'm going over there.\Recruitment failed! response:	I don't know what's going on.
context: You can trust me.\Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh?\I'm going over there.\Recruitment failed!\I don't know what's going on. response:	What's with them?
context: Hey, Yurippe!\How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh?\I'm going over there.\Recruitment failed!\I don't know what's going on.\What's with them? response:	Um...
context: How's the newbie recruitment going?\We're short on hands, so do whatever it\Huh?\I'm going over there.\Recruitment failed!\I don't know what's going on.\What's with them?\Um... response:	Good evening.
context: We're short on hands, so do whatever it\Huh?\I'm going over there.\Recruitment failed!\I don't know what's going on.\What's with them?\Um...\Good evening. response:	Um...
context: Huh?\I'm going over there.\Recruitment failed!\I don't know what's going on.\What's with them?\Um...\Good evening.\Um... response:	Someone's aiming a gun at you.
context: I'm going over there.\Recruitment failed!\I don't know what's going on.\What's with them?\Um...\Good evening.\Um...\Someone's aiming a gun at you. response:	They said you were an angel or something...
context: Recruitment failed!\I don't know what's going on.\What's with them?\Um...\Good evening.\Um...\Someone's aiming a gun at you.\They said you were an angel or something... response:	I'm not an angel.
context: I don't know what's going on.\What's with them?\Um...\Good evening.\Um...\Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel. response:	I thought so.
context: What's with them?\Um...\Good evening.\Um...\Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel.\I thought so. response:	Then
context: Um...\Good evening.\Um...\Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel.\I thought so.\Then response:	I'm the student council president.
context: Good evening.\Um...\Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel.\I thought so.\Then\I'm the student council president. response:	I'm an idiot.
context: Um...\Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel.\I thought so.\Then\I'm the student council president.\I'm an idiot. response:	That girl was making fun of me.
context: Someone's aiming a gun at you.\They said you were an angel or something...\I'm not an angel.\I thought so.\Then\I'm the student council president.\I'm an idiot.\That girl was making fun of me. response:	Dammit!
context: They said you were an angel or something...\I'm not an angel.\I thought so.\Then\I'm the student council president.\I'm an idiot.\That girl was making fun of me.\Dammit! response:	I don't even know who I am...
context: I'm not an angel.\I thought so.\Then\I'm the student council president.\I'm an idiot.\That girl was making fun of me.\Dammit!\I don't even know who I am... response:	I guess I'll go to a hospital.
context: I thought so.\Then\I'm the student council president.\I'm an idiot.\That girl was making fun of me.\Dammit!\I don't even know who I am...\I guess I'll go to a hospital. response:	There are no hospitals here.
context: Then\I'm the student council president.\I'm an idiot.\That girl was making fun of me.\Dammit!\I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here. response:	Huh?
context: I'm the student council president.\I'm an idiot.\That girl was making fun of me.\Dammit!\I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here.\Huh? response:	Why not?
context: I'm an idiot.\That girl was making fun of me.\Dammit!\I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here.\Huh?\Why not? response:	People don't get sick here.
context: That girl was making fun of me.\Dammit!\I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here.\Huh?\Why not?\People don't get sick here. response:	Don't get sick?
context: Dammit!\I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here.\Huh?\Why not?\People don't get sick here.\Don't get sick? response:	Because everyone's dead.
context: I don't even know who I am...\I guess I'll go to a hospital.\There are no hospitals here.\Huh?\Why not?\People don't get sick here.\Don't get sick?\Because everyone's dead. response:	Huh?
context: I guess I'll go to a hospital.\There are no hospitals here.\Huh?\Why not?\People don't get sick here.\Don't get sick?\Because everyone's dead.\Huh? response:	I get it now!
context: There are no hospitals here.\Huh?\Why not?\People don't get sick here.\Don't get sick?\Because everyone's dead.\Huh?\I get it now! response:	You're in on this too!
context: Huh?\Why not?\People don't get sick here.\Don't get sick?\Because everyone's dead.\Huh?\I get it now!\You're in on this too! response:	You're trying to trick me!
context: Why not?\People don't get sick here.\Don't get sick?\Because everyone's dead.\Huh?\I get it now!\You're in on this too!\You're trying to trick me! response:	So this amnesia is your doing too?
context: People don't get sick here.\Don't get sick?\Because everyone's dead.\Huh?\I get it now!\You're in on this too!\You're trying to trick me!\So this amnesia is your doing too? response:	Memory loss is quite common when people come here.
context: Don't get sick?\Because everyone's dead.\Huh?\I get it now!\You're in on this too!\You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here. response:	If you die in an accident, your head gets damaged, after all.
context: Because everyone's dead.\Huh?\I get it now!\You're in on this too!\You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here.\If you die in an accident, your head gets damaged, after all. response:	Then prove it!
context: Huh?\I get it now!\You're in on this too!\You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here.\If you die in an accident, your head gets damaged, after all.\Then prove it! response:	If I'm already dead, I can't die agai...
context: I get it now!\You're in on this too!\You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here.\If you die in an accident, your head gets damaged, after all.\Then prove it!\If I'm already dead, I can't die agai... response:	Hand Sonic.
context: You're in on this too!\You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here.\If you die in an accident, your head gets damaged, after all.\Then prove it!\If I'm already dead, I can't die agai...\Hand Sonic. response:	This is...
context: You're trying to trick me!\So this amnesia is your doing too?\Memory loss is quite common when people come here.\If you die in an accident, your head gets damaged, after all.\Then prove it!\If I'm already dead, I can't die agai...\Hand Sonic.\This is... response:	I'm alive...
