context: You fell into a pond? response:	No wonder you smell so bad.
context: I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do. response:	I guess I have no trouble talking to her when it's just one-to-one.
context: I might look good.\Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one. response:	Why are you making your family cut your hair?
context: Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair? response:	Why don't you get your family to do yours, too? Maybe Yotsuba.
context: Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba. response:	No way in hell.
context: I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell. response:	Maybe I don't fully understand Nino yet.
context: I don't even care about my hairstyle.\Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet. response:	Hey, what happened?
context: Then do something about your weird hair.\This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened? response:	What happened before you came here?
context: This is the only cut Raiha knows how to do.\I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here? response:	Nothing.
context: I guess I have no trouble talking to her when it's just one-to-one.\Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here?\Nothing. response:	Liar.
context: Why are you making your family cut your hair?\Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here?\Nothing.\Liar. response:	That was the first time I saw you looking depressed.
context: Why don't you get your family to do yours, too? Maybe Yotsuba.\No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here?\Nothing.\Liar.\That was the first time I saw you looking depressed. response:	I-I wasn't depressed.
context: No way in hell.\Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here?\Nothing.\Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed. response:	Just tell me.
context: Maybe I don't fully understand Nino yet.\Hey, what happened?\What happened before you came here?\Nothing.\Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me. response:	I like being alone, but I get bored not having anyone to talk to.
context: Hey, what happened?\What happened before you came here?\Nothing.\Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to. response:	Five years ago, I met a girl.
context: What happened before you came here?\Nothing.\Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl. response:	Uesugi Futaro-kun.
context: Nothing.\Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun. response:	It's been a while.
context: Liar.\That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while. response:	Seven Goodbyes Part 2
context: That was the first time I saw you looking depressed.\I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2 response:	Are you...
context: I-I wasn't depressed.\Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2\Are you... response:	The girl from Kyoto?
context: Just tell me.\I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2\Are you...\The girl from Kyoto? response:	U-Um...
context: I like being alone, but I get bored not having anyone to talk to.\Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2\Are you...\The girl from Kyoto?\U-Um... response:	I'm glad you seem to be well.
context: Five years ago, I met a girl.\Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2\Are you...\The girl from Kyoto?\U-Um...\I'm glad you seem to be well. response:	Why are you running away?!
context: Uesugi Futaro-kun.\It's been a while.\Seven Goodbyes Part 2\Are you...\The girl from Kyoto?\U-Um...\I'm glad you seem to be well.\Why are you running away?! response:	I can't meet you yet!
context: It's been a while.\Seven Goodbyes Part 2\Are you...\The girl from Kyoto?\U-Um...\I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet! response:	Why not?!
context: Seven Goodbyes Part 2\Are you...\The girl from Kyoto?\U-Um...\I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet!\Why not?! response:	You're going to listen to me, or you aren't getting this back.
context: Are you...\The girl from Kyoto?\U-Um...\I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back. response:	That's cowardly!
context: The girl from Kyoto?\U-Um...\I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly! response:	Let's see...
context: U-Um...\I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see... response:	How do I keep you from running away?
context: I'm glad you seem to be well.\Why are you running away?!\I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see...\How do I keep you from running away? response:	Hey, that looks perfect.
context: Why are you running away?!\I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see...\How do I keep you from running away?\Hey, that looks perfect. response:	Let's ride that.
context: I can't meet you yet!\Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see...\How do I keep you from running away?\Hey, that looks perfect.\Let's ride that. response:	I don't know your name.
context: Why not?!\You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see...\How do I keep you from running away?\Hey, that looks perfect.\Let's ride that.\I don't know your name. response:	I'm Rena.
context: You're going to listen to me, or you aren't getting this back.\That's cowardly!\Let's see...\How do I keep you from running away?\Hey, that looks perfect.\Let's ride that.\I don't know your name.\I'm Rena. response:	It's been five years, huh?
context: That's cowardly!\Let's see...\How do I keep you from running away?\Hey, that looks perfect.\Let's ride that.\I don't know your name.\I'm Rena.\It's been five years, huh? response:	Rena...
context: Let's see...\How do I keep you from running away?\Hey, that looks perfect.\Let's ride that.\I don't know your name.\I'm Rena.\It's been five years, huh?\Rena... response:	Why are you here?
context: How do I keep you from running away?\Hey, that looks perfect.\Let's ride that.\I don't know your name.\I'm Rena.\It's been five years, huh?\Rena...\Why are you here? response:	To meet you as you are now.
context: Hey, that looks perfect.\Let's ride that.\I don't know your name.\I'm Rena.\It's been five years, huh?\Rena...\Why are you here?\To meet you as you are now. response:	I heard you've been studying hard since then,
context: Let's ride that.\I don't know your name.\I'm Rena.\It's been five years, huh?\Rena...\Why are you here?\To meet you as you are now.\I heard you've been studying hard since then, response:	and that you're top of your class now.
context: I don't know your name.\I'm Rena.\It's been five years, huh?\Rena...\Why are you here?\To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now. response:	And now you're a tutor, huh?
context: I'm Rena.\It's been five years, huh?\Rena...\Why are you here?\To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh? response:	You're amazing.
context: It's been five years, huh?\Rena...\Why are you here?\To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh?\You're amazing. response:	You heard? From whom?
context: Rena...\Why are you here?\To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh?\You're amazing.\You heard? From whom? response:	N-Never mind the small details.
context: Why are you here?\To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh?\You're amazing.\You heard? From whom?\N-Never mind the small details. response:	What are your students like?
context: To meet you as you are now.\I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh?\You're amazing.\You heard? From whom?\N-Never mind the small details.\What are your students like? response:	I don't know if you'd believe me,
context: I heard you've been studying hard since then,\and that you're top of your class now.\And now you're a tutor, huh?\You're amazing.\You heard? From whom?\N-Never mind the small details.\What are your students like?\I don't know if you'd believe me, response:	but I'm teaching my classmates.
context: and that you're top of your class now.\And now you're a tutor, huh?\You're amazing.\You heard? From whom?\N-Never mind the small details.\What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates. response:	They're quintuplets.
context: And now you're a tutor, huh?\You're amazing.\You heard? From whom?\N-Never mind the small details.\What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets. response:	Yeah?
context: You're amazing.\You heard? From whom?\N-Never mind the small details.\What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets.\Yeah? response:	I thought you'd be more surprised.
context: You heard? From whom?\N-Never mind the small details.\What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets.\Yeah?\I thought you'd be more surprised. response:	Oh, really?! I never realized quintuplets actually exist!
context: N-Never mind the small details.\What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets.\Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist! response:	I've only seen them in TV shows!
context: What are your students like?\I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets.\Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows! response:	The problem is that they're all idiots.
context: I don't know if you'd believe me,\but I'm teaching my classmates.\They're quintuplets.\Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots. response:	The eldest is an idiot chasing after a dream.
context: but I'm teaching my classmates.\They're quintuplets.\Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream. response:	She doesn't expect it to work out, but at least she has tenacity, I guess.
context: They're quintuplets.\Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess. response:	But she's stupid.
context: Yeah?\I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid. response:	The second sister is a family-obsessed idiot.
context: I thought you'd be more surprised.\Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot. response:	She's really protective of her sisters, and she's quick to lash out.
context: Oh, really?! I never realized quintuplets actually exist!\I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out. response:	And I thought that's all she was, but now, I don't really know.
context: I've only seen them in TV shows!\The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know. response:	But she's stupid.
context: The problem is that they're all idiots.\The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid. response:	The third is an idiot with self-esteem issues.
context: The eldest is an idiot chasing after a dream.\She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues. response:	She was glum and listless when I first met her,
context: She doesn't expect it to work out, but at least she has tenacity, I guess.\But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her, response:	but she's been more vibrant lately.
context: But she's stupid.\The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately. response:	So I'm relieved.
context: The second sister is a family-obsessed idiot.\She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved. response:	But she's stupid.
context: She's really protective of her sisters, and she's quick to lash out.\And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved.\But she's stupid. response:	The fourth is a meathead idiot.
context: And I thought that's all she was, but now, I don't really know.\But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved.\But she's stupid.\The fourth is a meathead idiot. response:	She's enthusiastic and dependable,
context: But she's stupid.\The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved.\But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable, response:	but she's the biggest source of my headaches.
context: The third is an idiot with self-esteem issues.\She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved.\But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches. response:	Also...
context: She was glum and listless when I first met her,\but she's been more vibrant lately.\So I'm relieved.\But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also... response:	No, I might be imagining it.
context: but she's been more vibrant lately.\So I'm relieved.\But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also...\No, I might be imagining it. response:	But she's stupid.
context: So I'm relieved.\But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also...\No, I might be imagining it.\But she's stupid. response:	The youngest is a stuck-up idiot.
context: But she's stupid.\The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also...\No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot. response:	I don't get along with her.
context: The fourth is a meathead idiot.\She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also...\No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her. response:	She's capable, though.
context: She's enthusiastic and dependable,\but she's the biggest source of my headaches.\Also...\No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though. response:	I don't want her abilities to go to waste.
context: but she's the biggest source of my headaches.\Also...\No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste. response:	But she's stupid.
context: Also...\No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste.\But she's stupid. response:	That about does it.
context: No, I might be imagining it.\But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste.\But she's stupid.\That about does it. response:	What's wrong?
context: But she's stupid.\The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste.\But she's stupid.\That about does it.\What's wrong? response:	No, it's nothing.
context: The youngest is a stuck-up idiot.\I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste.\But she's stupid.\That about does it.\What's wrong?\No, it's nothing. response:	But I guess I'm surprised.
context: I don't get along with her.\She's capable, though.\I don't want her abilities to go to waste.\But she's stupid.\That about does it.\What's wrong?\No, it's nothing.\But I guess I'm surprised. response:	You're facing your problems head-on now, huh?
context: She's capable, though.\I don't want her abilities to go to waste.\But she's stupid.\That about does it.\What's wrong?\No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh? response:	I think you're someone who's needed now.
context: I don't want her abilities to go to waste.\But she's stupid.\That about does it.\What's wrong?\No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now. response:	Itsuki said the same thing to me.
context: But she's stupid.\That about does it.\What's wrong?\No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me. response:	You should never have come into our lives!
context: That about does it.\What's wrong?\No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives! response:	No...
context: What's wrong?\No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives!\No... response:	I haven't changed at all since then.
context: No, it's nothing.\But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives!\No...\I haven't changed at all since then. response:	Oh.
context: But I guess I'm surprised.\You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives!\No...\I haven't changed at all since then.\Oh. response:	I guess I should get out of your life, then, if I'm tying you down.
context: You're facing your problems head-on now, huh?\I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives!\No...\I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down. response:	Student Handbook
context: I think you're someone who's needed now.\Itsuki said the same thing to me.\You should never have come into our lives!\No...\I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook response:	You can have this back, as I promised.
context: Itsuki said the same thing to me.\You should never have come into our lives!\No...\I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised. response:	Yeah.
context: You should never have come into our lives!\No...\I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised.\Yeah. response:	But I'm not giving this back.
context: No...\I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised.\Yeah.\But I'm not giving this back. response:	What?
context: I haven't changed at all since then.\Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised.\Yeah.\But I'm not giving this back.\What? response:	Why not?
context: Oh.\I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised.\Yeah.\But I'm not giving this back.\What?\Why not? response:	Because I'm never going to see you again.
context: I guess I should get out of your life, then, if I'm tying you down.\Student Handbook\You can have this back, as I promised.\Yeah.\But I'm not giving this back.\What?\Why not?\Because I'm never going to see you again. response:	Never?
context: Student Handbook\You can have this back, as I promised.\Yeah.\But I'm not giving this back.\What?\Why not?\Because I'm never going to see you again.\Never? response:	What are you talking about?
context: You can have this back, as I promised.\Yeah.\But I'm not giving this back.\What?\Why not?\Because I'm never going to see you again.\Never?\What are you talking about? response:	Hold on!
context: Yeah.\But I'm not giving this back.\What?\Why not?\Because I'm never going to see you again.\Never?\What are you talking about?\Hold on! response:	Please!
context: But I'm not giving this back.\What?\Why not?\Because I'm never going to see you again.\Never?\What are you talking about?\Hold on!\Please! response:	Open that once you learn to accept yourself.
context: What?\Why not?\Because I'm never going to see you again.\Never?\What are you talking about?\Hold on!\Please!\Open that once you learn to accept yourself. response:	Hey, wait up!
context: Why not?\Because I'm never going to see you again.\Never?\What are you talking about?\Hold on!\Please!\Open that once you learn to accept yourself.\Hey, wait up! response:	Goodbye.
context: Because I'm never going to see you again.\Never?\What are you talking about?\Hold on!\Please!\Open that once you learn to accept yourself.\Hey, wait up!\Goodbye. response:	And so she vanished.
context: Never?\What are you talking about?\Hold on!\Please!\Open that once you learn to accept yourself.\Hey, wait up!\Goodbye.\And so she vanished. response:	The end.
context: What are you talking about?\Hold on!\Please!\Open that once you learn to accept yourself.\Hey, wait up!\Goodbye.\And so she vanished.\The end. response:	Is she asleep?
context: Hold on!\Please!\Open that once you learn to accept yourself.\Hey, wait up!\Goodbye.\And so she vanished.\The end.\Is she asleep? response:	Sorry to bore you with my story.
context: Please!\Open that once you learn to accept yourself.\Hey, wait up!\Goodbye.\And so she vanished.\The end.\Is she asleep?\Sorry to bore you with my story. response:	Why are you crying?
context: Open that once you learn to accept yourself.\Hey, wait up!\Goodbye.\And so she vanished.\The end.\Is she asleep?\Sorry to bore you with my story.\Why are you crying? response:	Y-You've liked her for five years now, haven't you?
context: Hey, wait up!\Goodbye.\And so she vanished.\The end.\Is she asleep?\Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you? response:	That's so sad.
context: Goodbye.\And so she vanished.\The end.\Is she asleep?\Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad. response:	I-It's not that I liked her.
context: And so she vanished.\The end.\Is she asleep?\Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her. response:	I admired her and appreciated her. That's all.
context: The end.\Is she asleep?\Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all. response:	That's what it means to like someone!
context: Is she asleep?\Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone! response:	No, it's not.
context: Sorry to bore you with my story.\Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not. response:	Anyway, you don't need to feel so bad for me.
context: Why are you crying?\Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not.\Anyway, you don't need to feel so bad for me. response:	Well, that was a perfect sob story!
context: Y-You've liked her for five years now, haven't you?\That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not.\Anyway, you don't need to feel so bad for me.\Well, that was a perfect sob story! response:	Just what I needed.
context: That's so sad.\I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not.\Anyway, you don't need to feel so bad for me.\Well, that was a perfect sob story!\Just what I needed. response:	You're horrible.
context: I-It's not that I liked her.\I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not.\Anyway, you don't need to feel so bad for me.\Well, that was a perfect sob story!\Just what I needed.\You're horrible. response:	You should cheer up, though.
context: I admired her and appreciated her. That's all.\That's what it means to like someone!\No, it's not.\Anyway, you don't need to feel so bad for me.\Well, that was a perfect sob story!\Just what I needed.\You're horrible.\You should cheer up, though. response:	I'm sure there's at least one person on this planet
