context: Oh, so you have an older brother? response:	Yup. He's married and even has a kid.
context: What are you going to do about school?\I'll skip for a while.\I've been exiled from my house.\Wow, eccentric.\Chief!\What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while? response:	I just called my brother, and he sounded like he's fed up.
context: I'll skip for a while.\I've been exiled from my house.\Wow, eccentric.\Chief!\What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up. response:	I look great in this!
context: I've been exiled from my house.\Wow, eccentric.\Chief!\What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this! response:	Please! I can work here, right?
context: Wow, eccentric.\Chief!\What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right? response:	I only lent it to you because you wanted to wear one so badly.
context: Chief!\What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly. response:	Besides, didn't you see what happened out there?
context: What an exhibitionist.\The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there? response:	You'll get more customers if I'm here.
context: The access count is through the roof.\So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here. response:	After all, I'm the famous net idol.
context: So you'll have custody for a while?\I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol. response:	Guys are so easy to get.
context: I just called my brother, and he sounded like he's fed up.\I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get. response:	Oh yeah, I should upload the pictures to my blog.
context: I look great in this!\Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog. response:	Only the staff's allowed to wear that uniform.
context: Please! I can work here, right?\I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform. response:	What, isn't it ok if it's just for a little while?
context: I only lent it to you because you wanted to wear one so badly.\Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while? response:	Someone might think we're renting the costume out.
context: Besides, didn't you see what happened out there?\You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out. response:	I heard other places do things like that.
context: You'll get more customers if I'm here.\After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that. response:	I know I'm wearing it better than those boring girls out on the street.
context: After all, I'm the famous net idol.\Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street. response:	Aoi-chan!
context: Guys are so easy to get.\Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan! response:	What? Do you have a problem?
context: Oh yeah, I should upload the pictures to my blog.\Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem? response:	I'm far-
context: Only the staff's allowed to wear that uniform.\What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem?\I'm far- response:	Yup, you're cuter than I am.
context: What, isn't it ok if it's just for a little while?\Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem?\I'm far-\Yup, you're cuter than I am. response:	But you have to give up on taking the photo.
context: Someone might think we're renting the costume out.\I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem?\I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo. response:	All right, back to work.
context: I heard other places do things like that.\I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem?\I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work. response:	Make sure you take the uniform off, Aoi-chan.
context: I know I'm wearing it better than those boring girls out on the street.\Aoi-chan!\What? Do you have a problem?\I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan. response:	I'm back, Misa-chan.
context: Aoi-chan!\What? Do you have a problem?\I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan. response:	It's Aoi-chan in maid uniform.
context: What? Do you have a problem?\I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform. response:	She looks great!
context: I'm far-\Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great! response:	Aoi-chan!
context: Yup, you're cuter than I am.\But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan! response:	What are you doing?!
context: But you have to give up on taking the photo.\All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan!\What are you doing?! response:	Thank you.
context: All right, back to work.\Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan!\What are you doing?!\Thank you. response:	See? I'm far more-
context: Make sure you take the uniform off, Aoi-chan.\I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan!\What are you doing?!\Thank you.\See? I'm far more- response:	A new employee?
context: I'm back, Misa-chan.\It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan!\What are you doing?!\Thank you.\See? I'm far more-\A new employee? response:	No, she's the Chief's niece.
context: It's Aoi-chan in maid uniform.\She looks great!\Aoi-chan!\What are you doing?!\Thank you.\See? I'm far more-\A new employee?\No, she's the Chief's niece. response:	I told her to change, but...
context: She looks great!\Aoi-chan!\What are you doing?!\Thank you.\See? I'm far more-\A new employee?\No, she's the Chief's niece.\I told her to change, but... response:	Who is he, Satsuki-san?
context: Aoi-chan!\What are you doing?!\Thank you.\See? I'm far more-\A new employee?\No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san? response:	Who is that man that's just dripping with pheromones?
context: What are you doing?!\Thank you.\See? I'm far more-\A new employee?\No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones? response:	He just bleeds sexiness.
context: Thank you.\See? I'm far more-\A new employee?\No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness. response:	He's...
context: See? I'm far more-\A new employee?\No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's... response:	I bet it'd feel good to make a guy that good looking worship me.
context: A new employee?\No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me. response:	Aoi-chan, Usui-kun is with Misa-chan.
context: No, she's the Chief's niece.\I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan. response:	They're dating?
context: I told her to change, but...\Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating? response:	They're not quite at that stage... I think.
context: Who is he, Satsuki-san?\Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think. response:	Chief!
context: Who is that man that's just dripping with pheromones?\He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think.\Chief! response:	The evening shift kitchen staff can't show up!
context: He just bleeds sexiness.\He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up! response:	What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?
context: He's...\I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times? response:	Don't scare me like that.
context: I bet it'd feel good to make a guy that good looking worship me.\Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that. response:	A boring woman like that can't possibly be with him.
context: Aoi-chan, Usui-kun is with Misa-chan.\They're dating?\They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him. response:	I'm calling around to find a person that can come in as a substitute, but no luck so far!
context: They're dating?\They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far! response:	Did something happen, Chief?
context: They're not quite at that stage... I think.\Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief? response:	We don't have the kitchen staff when we're about to enter peak hours!
context: Chief!\The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours! response:	Misa-chan, can you cook?
context: The evening shift kitchen staff can't show up!\What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook? response:	Can you help inside?
context: What?! I'm hands full with taking care of Aoi-chan! Why does this have to happen now, of all times?\Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside? response:	Need a hand?
context: Don't scare me like that.\A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside?\Need a hand? response:	You will?
context: A boring woman like that can't possibly be with him.\I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside?\Need a hand?\You will? response:	I can cook, you know?
context: I'm calling around to find a person that can come in as a substitute, but no luck so far!\Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside?\Need a hand?\You will?\I can cook, you know? response:	We can't let non-staff work all of a sudden.
context: Did something happen, Chief?\We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside?\Need a hand?\You will?\I can cook, you know?\We can't let non-staff work all of a sudden. response:	Usui-kun, into the kitchen!
context: We don't have the kitchen staff when we're about to enter peak hours!\Misa-chan, can you cook?\Can you help inside?\Need a hand?\You will?\I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen! response:	Chief!
context: Misa-chan, can you cook?\Can you help inside?\Need a hand?\You will?\I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief! response:	However, only if you pass the test.
context: Can you help inside?\Need a hand?\You will?\I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief!\However, only if you pass the test. response:	Okay.
context: Need a hand?\You will?\I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief!\However, only if you pass the test.\Okay. response:	We'll judge you with the omelet rice.
context: You will?\I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief!\However, only if you pass the test.\Okay.\We'll judge you with the omelet rice. response:	Here are the ingredients and the recipe.
context: I can cook, you know?\We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief!\However, only if you pass the test.\Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe. response:	Are you sure, Chief?
context: We can't let non-staff work all of a sudden.\Usui-kun, into the kitchen!\Chief!\However, only if you pass the test.\Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief? response:	Just do as you like!
context: Usui-kun, into the kitchen!\Chief!\However, only if you pass the test.\Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like! response:	Now!
context: Chief!\However, only if you pass the test.\Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like!\Now! response:	Alright, let's do it.
context: However, only if you pass the test.\Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like!\Now!\Alright, let's do it. response:	Soft and gooey omelet rice.
context: Okay.\We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like!\Now!\Alright, let's do it.\Soft and gooey omelet rice. response:	So good.
context: We'll judge you with the omelet rice.\Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like!\Now!\Alright, let's do it.\Soft and gooey omelet rice.\So good. response:	You pass!
context: Here are the ingredients and the recipe.\Are you sure, Chief?\Just do as you like!\Now!\Alright, let's do it.\Soft and gooey omelet rice.\So good.\You pass! response:	Thanks.
context: Are you sure, Chief?\Just do as you like!\Now!\Alright, let's do it.\Soft and gooey omelet rice.\So good.\You pass!\Thanks. response:	You're really good at cooking.
context: Just do as you like!\Now!\Alright, let's do it.\Soft and gooey omelet rice.\So good.\You pass!\Thanks.\You're really good at cooking. response:	Yeah.
context: Now!\Alright, let's do it.\Soft and gooey omelet rice.\So good.\You pass!\Thanks.\You're really good at cooking.\Yeah. response:	I'd like to eat some, too.
context: Alright, let's do it.\Soft and gooey omelet rice.\So good.\You pass!\Thanks.\You're really good at cooking.\Yeah.\I'd like to eat some, too. response:	Sure, if you place an order.
context: Soft and gooey omelet rice.\So good.\You pass!\Thanks.\You're really good at cooking.\Yeah.\I'd like to eat some, too.\Sure, if you place an order. response:	Aoi-chan, he's not human, so be careful.
context: So good.\You pass!\Thanks.\You're really good at cooking.\Yeah.\I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful. response:	How cold of you, Misa-chan.
context: You pass!\Thanks.\You're really good at cooking.\Yeah.\I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan. response:	But that's part of what I like about you.
context: Thanks.\You're really good at cooking.\Yeah.\I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you. response:	Don't touch me so casually!
context: You're really good at cooking.\Yeah.\I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually! response:	Yeah, yeah.
context: Yeah.\I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah. response:	Where is Misa-chan...
context: I'd like to eat some, too.\Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan... response:	Should we go now?
context: Sure, if you place an order.\Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan...\Should we go now? response:	Aoi-chan!
context: Aoi-chan, he's not human, so be careful.\How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan...\Should we go now?\Aoi-chan! response:	Hey, that's...
context: How cold of you, Misa-chan.\But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan...\Should we go now?\Aoi-chan!\Hey, that's... response:	Who's she?
context: But that's part of what I like about you.\Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan...\Should we go now?\Aoi-chan!\Hey, that's...\Who's she? response:	It's Aoi-chan the net idol!
context: Don't touch me so casually!\Yeah, yeah.\Where is Misa-chan...\Should we go now?\Aoi-chan!\Hey, that's...\Who's she?\It's Aoi-chan the net idol! response:	You know her?
context: Yeah, yeah.\Where is Misa-chan...\Should we go now?\Aoi-chan!\Hey, that's...\Who's she?\It's Aoi-chan the net idol!\You know her? response:	Proves how you are a closet otaku, Ikkun.
context: Where is Misa-chan...\Should we go now?\Aoi-chan!\Hey, that's...\Who's she?\It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun. response:	Since she's a net idol, does she put up swimsuit pictures and such?
context: Should we go now?\Aoi-chan!\Hey, that's...\Who's she?\It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such? response:	Porn's your favorite thing, isn't it, Kurotatsu?
context: Aoi-chan!\Hey, that's...\Who's she?\It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu? response:	Aoi-chan is an innocent type.
context: Hey, that's...\Who's she?\It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type. response:	But she sometimes posts a picture with a cheeky face, and that's so...
context: Who's she?\It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so... response:	Strike!
context: It's Aoi-chan the net idol!\You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike! response:	See? It's so easy.
context: You know her?\Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy. response:	Yet, why is he...
context: Proves how you are a closet otaku, Ikkun.\Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy.\Yet, why is he... response:	Won't you work as a substitute today?
context: Since she's a net idol, does she put up swimsuit pictures and such?\Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy.\Yet, why is he...\Won't you work as a substitute today? response:	I'm a customer today.
context: Porn's your favorite thing, isn't it, Kurotatsu?\Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy.\Yet, why is he...\Won't you work as a substitute today?\I'm a customer today. response:	Then would you like to share a table with me?
context: Aoi-chan is an innocent type.\But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy.\Yet, why is he...\Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me? response:	No thanks.
