context: Whaaat? So lame! response:	Is that the end of Act 1?
context: Decisions and Duels\I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this...\No, no...\Still, they sure are huge.\Something wrong? response:	I-I-I'm so sorry! I'm so sorry!
context: I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this...\No, no...\Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry! response:	No, no... By huge, I meant this ballast area...
context: For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this...\No, no...\Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area... response:	Toudou!
context: No, I'm the one who should be apologizing.\Dragging you into this...\No, no...\Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou! response:	What's this?
context: Dragging you into this...\No, no...\Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou!\What's this? response:	That dragon... it seems just like the little ones aboveground.
context: No, no...\Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou!\What's this?\That dragon... it seems just like the little ones aboveground. response:	Meaning that this really isn't any time to complain, huh?
context: Still, they sure are huge.\Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou!\What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh? response:	A-Are you all right?
context: Something wrong?\I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou!\What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right? response:	Yeah, uh-huh. I'm totally fine, but...
context: I-I-I'm so sorry! I'm so sorry!\No, no... By huge, I meant this ballast area...\Toudou!\What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but... response:	we're kind of in a sticky situation here, huh?
context: No, no... By huge, I meant this ballast area...\Toudou!\What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh? response:	Um, if I'm hindering you, then please let go of me!
context: Toudou!\What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me! response:	If you should get hurt because of me, Amagiri-senpai... I... I...
context: What's this?\That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I... response:	Huh? Toudou?
context: That dragon... it seems just like the little ones aboveground.\Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou? response:	I can't take it any more.
context: Meaning that this really isn't any time to complain, huh?\A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more. response:	Someone else paying the price because of the likes of me!
context: A-Are you all right?\Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me! response:	It's all right.
context: Yeah, uh-huh. I'm totally fine, but...\we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right. response:	You don't have to worry about a thing.
context: we're kind of in a sticky situation here, huh?\Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing. response:	But... but!
context: Um, if I'm hindering you, then please let go of me!\If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing.\But... but! response:	Normally, you'd mop up the floor with an opponent like that, right?
context: If you should get hurt because of me, Amagiri-senpai... I... I...\Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right? response:	So wouldn't it only be fair to believe in me a little more,
context: Huh? Toudou?\I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more, response:	since I put up a good fight against you?
context: I can't take it any more.\Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you? response:	But that's...
context: Someone else paying the price because of the likes of me!\It's all right.\You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's... response:	One more thing...
context: It's all right.\You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's...\One more thing... response:	Don't ever say the likes of me again.
context: You don't have to worry about a thing.\But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's...\One more thing...\Don't ever say the likes of me again. response:	You're so gentle and strong... a lovely young girl, Toudou.
context: But... but!\Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's...\One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou. response:	Right!
context: Normally, you'd mop up the floor with an opponent like that, right?\So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's...\One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right! response:	Right, okay.
context: So wouldn't it only be fair to believe in me a little more,\since I put up a good fight against you?\But that's...\One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay. response:	Go on up.
context: since I put up a good fight against you?\But that's...\One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay.\Go on up. response:	Okay!
context: But that's...\One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay.\Go on up.\Okay! response:	So it's just like the ones up there.
context: One more thing...\Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay.\Go on up.\Okay!\So it's just like the ones up there. response:	Toudou, can you get a read on that thing's Prana flow?
context: Don't ever say the likes of me again.\You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay.\Go on up.\Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow? response:	Yes. I mean, it's a little vague.
context: You're so gentle and strong... a lovely young girl, Toudou.\Right!\Right, okay.\Go on up.\Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague. response:	It seems to be constantly moving inside him.
context: Right!\Right, okay.\Go on up.\Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him. response:	I see.
context: Right, okay.\Go on up.\Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see. response:	Then I guess my only option is to give it a try.
context: Go on up.\Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try. response:	Give it a try?
context: Okay!\So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try.\Give it a try? response:	Yeah. Till now, I never had a Lux that could withstand my Prana.
context: So it's just like the ones up there.\Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana. response:	But I bet this one can!
context: Toudou, can you get a read on that thing's Prana flow?\Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can! response:	Amazing...
context: Yes. I mean, it's a little vague.\It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing... response:	Amagiri-senpai...
context: It seems to be constantly moving inside him.\I see.\Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing...\Amagiri-senpai... response:	Seems like...
context: I see.\Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing...\Amagiri-senpai...\Seems like... response:	Amagiri-senpai!
context: Then I guess my only option is to give it a try.\Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing...\Amagiri-senpai...\Seems like...\Amagiri-senpai! response:	Are you all right?
context: Give it a try?\Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing...\Amagiri-senpai...\Seems like...\Amagiri-senpai!\Are you all right? response:	Amagiri-senpai? Amagiri-senpai!
context: Yeah. Till now, I never had a Lux that could withstand my Prana.\But I bet this one can!\Amazing...\Amagiri-senpai...\Seems like...\Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai! response:	So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?
context: But I bet this one can!\Amazing...\Amagiri-senpai...\Seems like...\Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai? response:	Yeah.
context: Amazing...\Amagiri-senpai...\Seems like...\Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah. response:	If I really push it, I think I can go a little longer.
context: Amagiri-senpai...\Seems like...\Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer. response:	Um, Amagiri-senpai...
context: Seems like...\Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai... response:	why would you go that far to fight?
context: Amagiri-senpai!\Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight? response:	There's someone I want to help out.
context: Are you all right?\Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out. response:	Do you mean Riessfeld-senpai?
context: Amagiri-senpai? Amagiri-senpai!\So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai? response:	Well... yeah.
context: So you're only able to fight at full throttle up to five minutes or so, Amagiri-senpai?\Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah. response:	So of course... uh... um... Amagiri-senpai...
context: Yeah.\If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai... response:	you're in love with Riessfeld-senpai, after all?
context: If I really push it, I think I can go a little longer.\Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all? response:	Huh? Well, sure, as a person I do admire her... but see...
context: Um, Amagiri-senpai...\why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see... response:	But... then... uh...
context: why would you go that far to fight?\There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh... response:	No, I apologize for asking a silly question like that.
context: There's someone I want to help out.\Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that. response:	Uh... right...
context: Do you mean Riessfeld-senpai?\Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right... response:	In that case, I still have a...
context: Well... yeah.\So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a... response:	Huh? What?
context: So of course... uh... um... Amagiri-senpai...\you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a...\Huh? What? response:	No... Nothing!
context: you're in love with Riessfeld-senpai, after all?\Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a...\Huh? What?\No... Nothing! response:	Anyway, isn't the rescue squad taking a long time to get here?
context: Huh? Well, sure, as a person I do admire her... but see...\But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a...\Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here? response:	Uh...
context: But... then... uh...\No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a...\Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh... response:	Can I ask you something now?
context: No, I apologize for asking a silly question like that.\Uh... right...\In that case, I still have a...\Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now? response:	Oh, yes!
context: Uh... right...\In that case, I still have a...\Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now?\Oh, yes! response:	Why are you fighting here, Toudou?
context: In that case, I still have a...\Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou? response:	Because I want to save my father who's being detained as a criminal.
context: Huh? What?\No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal. response:	Five years ago, someone broke into a shop my father and I happened to be in.
context: No... Nothing!\Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in. response:	And in trying to save me when I was taken hostage...
context: Anyway, isn't the rescue squad taking a long time to get here?\Uh...\Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage... response:	My father...
context: Uh...\Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father... response:	ended up killing him.
context: Can I ask you something now?\Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father...\ended up killing him. response:	Normally, he would've gotten off for self-defense,
context: Oh, yes!\Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father...\ended up killing him.\Normally, he would've gotten off for self-defense, response:	but my father was a Genestella.
context: Why are you fighting here, Toudou?\Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father...\ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella. response:	I see.
context: Because I want to save my father who's being detained as a criminal.\Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father...\ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see. response:	So the charges were more serious.
context: Five years ago, someone broke into a shop my father and I happened to be in.\And in trying to save me when I was taken hostage...\My father...\ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see.\So the charges were more serious. response:	Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.
context: And in trying to save me when I was taken hostage...\My father...\ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself. response:	But I was a coward, and I just froze.
context: My father...\ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze. response:	Unless I do something, my father won't be released for several decades.
context: ended up killing him.\Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades. response:	That was when my uncle told me there was just one way to save him.
context: Normally, he would've gotten off for self-defense,\but my father was a Genestella.\I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him. response:	And that's why you came to Asterisk?
context: but my father was a Genestella.\I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk? response:	I no longer have any choice but to throw myself at my uncle's mercy.
context: I see.\So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy. response:	As long as I do what he says, I have nothing to...
context: So the charges were more serious.\Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to... response:	You're wrong about that.
context: Yes. But looking back now, even at age eight, I could've taken the kidnapper out myself.\But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that. response:	Wrong?
context: But I was a coward, and I just froze.\Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong? response:	That's not the path you chose yourself.
context: Unless I do something, my father won't be released for several decades.\That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong?\That's not the path you chose yourself. response:	If you go on like this, sooner or later you'll hit a brick wall.
context: That was when my uncle told me there was just one way to save him.\And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall. response:	Well, to be honest, I only just realized that myself.
context: And that's why you came to Asterisk?\I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself. response:	But me, on my own? I can't possibly...
context: I no longer have any choice but to throw myself at my uncle's mercy.\As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly... response:	There's just no way...
context: As long as I do what he says, I have nothing to...\You're wrong about that.\Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way... response:	You'll be fine.
context: You're wrong about that.\Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way...\You'll be fine. response:	You're not alone, Toudou.
context: Wrong?\That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way...\You'll be fine.\You're not alone, Toudou. response:	At the very least, you have me to help you out.
context: That's not the path you chose yourself.\If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way...\You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out. response:	As long as it's a path that you've chosen yourself, that is.
context: If you go on like this, sooner or later you'll hit a brick wall.\Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way...\You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is. response:	That I've chosen myself...
context: Well, to be honest, I only just realized that myself.\But me, on my own? I can't possibly...\There's just no way...\You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself... response:	S-S-Sorry!
context: But me, on my own? I can't possibly...\There's just no way...\You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry! response:	No, no, I'm the one who should be sorry!
context: There's just no way...\You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry! response:	Uh...
context: You'll be fine.\You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh... response:	You know how you stroke my head a lot, Amagiri-senpai?
context: You're not alone, Toudou.\At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai? response:	Oh, I guess you don't like that?
context: At the very least, you have me to help you out.\As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that? response:	Oh, no...
context: As long as it's a path that you've chosen yourself, that is.\That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no... response:	My father used to stroke my head just like that, too.
context: That I've chosen myself...\S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too. response:	I see.
context: S-S-Sorry!\No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too.\I see. response:	Someone down there?
