context: The report says the Scarlet Flame Golden Lion response:	appeared in the Far North rebel army camp.
context: His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now.\You will go as well.\Me?\Father, I am not one to lead an army. response:	When pacifying the Mermaid Clan, didn't you take over for Ye Hua
context: All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now.\You will go as well.\Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua response:	and thoroughly eliminated the rebel army?
context: I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now.\You will go as well.\Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army? response:	That is correct, Father.
context: There is no need to thank me.\I'll be going now.\You will go as well.\Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father. response:	However, it was because Ye Hua tempered justice with mercy
context: I'll be going now.\You will go as well.\Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy response:	and won the support of the various clan leaders.
context: You will go as well.\Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders. response:	He had also set military tactics. That's why I could defeat the rebel army.
context: Me?\Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army. response:	Do you want to defy my order?
context: Father, I am not one to lead an army.\When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order? response:	I dare not.
context: When pacifying the Mermaid Clan, didn't you take over for Ye Hua\and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not. response:	And also...
context: and thoroughly eliminated the rebel army?\That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not.\And also... response:	The lady in your palace says someone framed her.
context: That is correct, Father.\However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not.\And also...\The lady in your palace says someone framed her. response:	Tell me. Should I give her a response?
context: However, it was because Ye Hua tempered justice with mercy\and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not.\And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response? response:	She does not know any better.
context: and won the support of the various clan leaders.\He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not.\And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better. response:	I have already ordered that she be confined in Xiwu Palace
context: He had also set military tactics. That's why I could defeat the rebel army.\Do you want to defy my order?\I dare not.\And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace response:	as a form of discipline.
context: Do you want to defy my order?\I dare not.\And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline. response:	I actually think this matter ought to be thoroughly investigated.
context: I dare not.\And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated. response:	Tonight, I will change out all the palace maids of Xiwu Palace
context: And also...\The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace response:	and send them to Lord Pu Hua for interrogation.
context: The lady in your palace says someone framed her.\Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation. response:	Change out the palace maids?
context: Tell me. Should I give her a response?\She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids? response:	Father is thinking of your safety.
context: She does not know any better.\I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety. response:	If anything happens in the palace...
context: I have already ordered that she be confined in Xiwu Palace\as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace... response:	Today, it is an attack on someone in your Hall of Beautiful Youth
context: as a form of discipline.\I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth response:	but tomorrow, it could be poison in your tea.
context: I actually think this matter ought to be thoroughly investigated.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea. response:	It is best to investigate this thoroughly.
context: Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly. response:	All right, it is decided.
context: and send them to Lord Pu Hua for interrogation.\Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided. response:	The two of you will wait here.
context: Change out the palace maids?\Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here. response:	In a little while, the clan leaders and Ghost Lord Li Jing will be here
context: Father is thinking of your safety.\If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here response:	to discuss military affairs regarding the Far North rebellion.
context: If anything happens in the palace...\Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion. response:	- Yes. - Yes.
context: Today, it is an attack on someone in your Hall of Beautiful Youth\but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes. response:	Father is using this incident
context: but tomorrow, it could be poison in your tea.\It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident response:	to remove all your loyal palace maids from Xiwu Palace.
context: It is best to investigate this thoroughly.\All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace. response:	You must be even more careful now, Ye Hua.
context: All right, it is decided.\The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua. response:	Greetings to Crown Prince and Third Prince.
context: The two of you will wait here.\In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince. response:	Where is the Heavenly Lord?
context: In a little while, the clan leaders and Ghost Lord Li Jing will be here\to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord? response:	The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.
context: to discuss military affairs regarding the Far North rebellion.\- Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion. response:	Since it is my brother who caused this upheaval
context: - Yes. - Yes.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval response:	I am willing to lead my troops and follow Your Highness to the rebellion.
context: Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion. response:	You?
context: to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You? response:	What is the matter? Does Your Highness doubt my loyalty?
context: You must be even more careful now, Ye Hua.\Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty? response:	Although you are from the Ghost Realm
context: Greetings to Crown Prince and Third Prince.\Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty?\Although you are from the Ghost Realm response:	you have a vested interest in the Celestial Tribe's affairs.
context: Where is the Heavenly Lord?\The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty?\Although you are from the Ghost Realm\you have a vested interest in the Celestial Tribe's affairs. response:	I am not afraid you will be disloyal.
context: The Heavenly Lord has ordered me to lead the troops to the Far North rebellion.\Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty?\Although you are from the Ghost Realm\you have a vested interest in the Celestial Tribe's affairs.\I am not afraid you will be disloyal. response:	However, are the men under you
context: Since it is my brother who caused this upheaval\I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty?\Although you are from the Ghost Realm\you have a vested interest in the Celestial Tribe's affairs.\I am not afraid you will be disloyal.\However, are the men under you response:	truly willing to come with us to eliminate their Eldest Prince, Li Yuan?
context: I am willing to lead my troops and follow Your Highness to the rebellion.\You?\What is the matter? Does Your Highness doubt my loyalty?\Although you are from the Ghost Realm\you have a vested interest in the Celestial Tribe's affairs.\I am not afraid you will be disloyal.\However, are the men under you\truly willing to come with us to eliminate their Eldest Prince, Li Yuan? response:	It is only reasonable for Your Highness to have such apprehensions.
