context: Sensei, could I... response:	Yes?
context: We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you? response:	Can I?
context: We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you?\Can I? response:	Of course! That's why we're inviting you.
context: Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you?\Can I?\Of course! That's why we're inviting you. response:	Could you give me time to think about it?
context: I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you?\Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it? response:	Understood.
context: You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you?\Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood. response:	I thought she'd be jumping at the chance...
context: Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least...\What about you?\Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance... response:	The hole in the ozone layer was discovered during an expedition here,
context: Well, it's better than when Takako used to cut it, at least...\What about you?\Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here, response:	and they were the first in the world to report it.
context: What about you?\Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it. response:	These weather balloons are released twice a day,
context: Can I?\Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day, response:	simultaneously, at places all over the world.
context: Of course! That's why we're inviting you.\Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world. response:	Three, two, one. Release!
context: Could you give me time to think about it?\Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release! response:	Shirase-san didn't come, did she?
context: Understood.\I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she? response:	She probably needs time to be alone and think.
context: I thought she'd be jumping at the chance...\The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think. response:	She hasn't had much to say since the captain made the offer...
context: The hole in the ozone layer was discovered during an expedition here,\and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer... response:	It's here.
context: and they were the first in the world to report it.\These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here. response:	This is the point where we lost communication.
context: These weather balloons are released twice a day,\simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication. response:	To: Mom
context: simultaneously, at places all over the world.\Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication.\To: Mom response:	Dear Mom
context: Three, two, one. Release!\Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication.\To: Mom\Dear Mom response:	Sent from myPhone
context: Shirase-san didn't come, did she?\She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication.\To: Mom\Dear Mom\Sent from myPhone response:	The ridge snack station is back in business!
context: She probably needs time to be alone and think.\She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication.\To: Mom\Dear Mom\Sent from myPhone\The ridge snack station is back in business! response:	Any beers?
context: She hasn't had much to say since the captain made the offer...\It's here.\This is the point where we lost communication.\To: Mom\Dear Mom\Sent from myPhone\The ridge snack station is back in business!\Any beers? response:	Right...
context: It's here.\This is the point where we lost communication.\To: Mom\Dear Mom\Sent from myPhone\The ridge snack station is back in business!\Any beers?\Right... response:	Here you are!
context: This is the point where we lost communication.\To: Mom\Dear Mom\Sent from myPhone\The ridge snack station is back in business!\Any beers?\Right...\Here you are! response:	They're nice and cold!
context: To: Mom\Dear Mom\Sent from myPhone\The ridge snack station is back in business!\Any beers?\Right...\Here you are!\They're nice and cold! response:	That's nice of you.
context: Dear Mom\Sent from myPhone\The ridge snack station is back in business!\Any beers?\Right...\Here you are!\They're nice and cold!\That's nice of you. response:	Thanks!
context: Sent from myPhone\The ridge snack station is back in business!\Any beers?\Right...\Here you are!\They're nice and cold!\That's nice of you.\Thanks! response:	What's the matter?
context: The ridge snack station is back in business!\Any beers?\Right...\Here you are!\They're nice and cold!\That's nice of you.\Thanks!\What's the matter? response:	Nothing! We finished our recording, so I thought...
context: Any beers?\Right...\Here you are!\They're nice and cold!\That's nice of you.\Thanks!\What's the matter?\Nothing! We finished our recording, so I thought... response:	Oh.
context: Right...\Here you are!\They're nice and cold!\That's nice of you.\Thanks!\What's the matter?\Nothing! We finished our recording, so I thought...\Oh. response:	Hey! It's pretty warm today, huh?
context: Here you are!\They're nice and cold!\That's nice of you.\Thanks!\What's the matter?\Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh? response:	Is it? It seems a bit chilly for the middle of summer...
context: They're nice and cold!\That's nice of you.\Thanks!\What's the matter?\Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer... response:	Yeah, I guess...
context: That's nice of you.\Thanks!\What's the matter?\Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess... response:	They launched a weather balloon earlier!
context: Thanks!\What's the matter?\Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier! response:	Could you see it from here?
context: What's the matter?\Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here? response:	Yeah.
context: Nothing! We finished our recording, so I thought...\Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here?\Yeah. response:	I hear today's pick-me-up is anpan!
context: Oh.\Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan! response:	What is it?
context: Hey! It's pretty warm today, huh?\Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan!\What is it? response:	N-Nothing...
context: Is it? It seems a bit chilly for the middle of summer...\Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan!\What is it?\N-Nothing... response:	It's just... you know...
context: Yeah, I guess...\They launched a weather balloon earlier!\Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan!\What is it?\N-Nothing...\It's just... you know... response:	How to put it...
context: They launched a weather balloon earlier!\Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan!\What is it?\N-Nothing...\It's just... you know...\How to put it... response:	What now?!
context: Could you see it from here?\Yeah.\I hear today's pick-me-up is anpan!\What is it?\N-Nothing...\It's just... you know...\How to put it...\What now?! response:	That's my line.
context: Yeah.\I hear today's pick-me-up is anpan!\What is it?\N-Nothing...\It's just... you know...\How to put it...\What now?!\That's my line. response:	Special
context: I hear today's pick-me-up is anpan!\What is it?\N-Nothing...\It's just... you know...\How to put it...\What now?!\That's my line.\Special response:	Today's Menu
context: What is it?\N-Nothing...\It's just... you know...\How to put it...\What now?!\That's my line.\Special\Today's Menu response:	Farewell BBQ Party
context: N-Nothing...\It's just... you know...\How to put it...\What now?!\That's my line.\Special\Today's Menu\Farewell BBQ Party response:	Meat Meat Meat Vegetables (eat them!) Meat
context: It's just... you know...\How to put it...\What now?!\That's my line.\Special\Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat response:	There'll be beer, too!
context: How to put it...\What now?!\That's my line.\Special\Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too! response:	Team A
context: What now?!\That's my line.\Special\Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A response:	About my mother?
context: That's my line.\Special\Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A\About my mother? response:	Kimari, your lack of planning is making this more complicated than it should be.
context: Special\Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be. response:	Why did you even say you'd go talk to her?
context: Today's Menu\Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her? response:	Because...
context: Farewell BBQ Party\Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because... response:	Sorry.
context: Meat Meat Meat Vegetables (eat them!) Meat\There'll be beer, too!\Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because...\Sorry. response:	I'm not particularly depressed or stressed out about it.
context: There'll be beer, too!\Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because...\Sorry.\I'm not particularly depressed or stressed out about it. response:	I actually feel pretty normal, I guess...
context: Team A\About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because...\Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess... response:	Maybe... too normal, I guess?
context: About my mother?\Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because...\Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess? response:	Normal?
context: Kimari, your lack of planning is making this more complicated than it should be.\Why did you even say you'd go talk to her?\Because...\Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal? response:	I was convinced that when I arrived in Antarctica, I would start crying.
context: Why did you even say you'd go talk to her?\Because...\Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying. response:	A Place Further Than the Universe Kobuchizawa Takako
context: Because...\Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako response:	These are the same sights my mother saw.
context: Sorry.\I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw. response:	My mother was so moved by these sights.
context: I'm not particularly depressed or stressed out about it.\I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights. response:	This place is so wonderful, it's no wonder she wanted to come.
context: I actually feel pretty normal, I guess...\Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come. response:	I thought that's what I'd be thinking.
context: Maybe... too normal, I guess?\Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking. response:	But that wasn't what I ended up thinking at all.
context: Normal?\I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all. response:	The most I could muster was Wow, it's just like in the pictures.
context: I was convinced that when I arrived in Antarctica, I would start crying.\A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures. response:	Is that why the first thing you said when we got here was in your face?
context: A Place Further Than the Universe Kobuchizawa Takako\These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face? response:	It was?
context: These are the same sights my mother saw.\My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was? response:	You don't remember?
context: My mother was so moved by these sights.\This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was?\You don't remember? response:	But you came here because your mother was waiting, didn't you?
context: This place is so wonderful, it's no wonder she wanted to come.\I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was?\You don't remember?\But you came here because your mother was waiting, didn't you? response:	You wanted to come here because your mother was here, right?
context: I thought that's what I'd be thinking.\But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was?\You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right? response:	Yeah.
context: But that wasn't what I ended up thinking at all.\The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was?\You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah. response:	That's why you asked Kanae-san over and over,
context: The most I could muster was Wow, it's just like in the pictures.\Is that why the first thing you said when we got here was in your face?\It was?\You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over, response:	took all those jobs, worked so hard to get here...
context: Is that why the first thing you said when we got here was in your face?\It was?\You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here... response:	I know that.
context: It was?\You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that. response:	You said that your mother was waiting for you here!
context: You don't remember?\But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here! response:	Kimari.
context: But you came here because your mother was waiting, didn't you?\You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here!\Kimari. response:	That's not a nice thing to say to Shirase-san...
context: You wanted to come here because your mother was here, right?\Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san... response:	I know all that.
context: Yeah.\That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san...\I know all that. response:	It's like, why did I even come this far, then?
context: That's why you asked Kanae-san over and over,\took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then? response:	But...
context: took all those jobs, worked so hard to get here...\I know that.\You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then?\But... response:	But?
context: I know that.\You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then?\But...\But? response:	But... once we get there, there's nowhere left to go.
context: You said that your mother was waiting for you here!\Kimari.\That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then?\But...\But?\But... once we get there, there's nowhere left to go. response:	It'll be all over.
context: Kimari.\That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then?\But...\But?\But... once we get there, there's nowhere left to go.\It'll be all over. response:	If I go, and nothing changes, I think...
context: That's not a nice thing to say to Shirase-san...\I know all that.\It's like, why did I even come this far, then?\But...\But?\But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think... response:	I'm going to spend the rest of my life feeling the way I do now.
context: I know all that.\It's like, why did I even come this far, then?\But...\But?\But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now. response:	So, before we head inland,
context: It's like, why did I even come this far, then?\But...\But?\But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland, response:	I'd like to talk for about thirty minutes about the civilian research projects
context: But...\But?\But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects response:	that will follow Challenge For Antarctic.
context: But?\But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic. response:	I'm freezing to death.
context: But... once we get there, there's nowhere left to go.\It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death. response:	The beer's icing over.
context: It'll be all over.\If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over. response:	I'm kidding.
context: If I go, and nothing changes, I think...\I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over.\I'm kidding. response:	We just have a few simple words to say.
context: I'm going to spend the rest of my life feeling the way I do now.\So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over.\I'm kidding.\We just have a few simple words to say. response:	Gin-chan?
context: So, before we head inland,\I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over.\I'm kidding.\We just have a few simple words to say.\Gin-chan? response:	Let's go.
context: I'd like to talk for about thirty minutes about the civilian research projects\that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over.\I'm kidding.\We just have a few simple words to say.\Gin-chan?\Let's go. response:	Cheers!
context: that will follow Challenge For Antarctic.\I'm freezing to death.\The beer's icing over.\I'm kidding.\We just have a few simple words to say.\Gin-chan?\Let's go.\Cheers! response:	Cheers!
context: I'm freezing to death.\The beer's icing over.\I'm kidding.\We just have a few simple words to say.\Gin-chan?\Let's go.\Cheers!\Cheers! response:	Okay, this one's cooked!
context: The beer's icing over.\I'm kidding.\We just have a few simple words to say.\Gin-chan?\Let's go.\Cheers!\Cheers!\Okay, this one's cooked! response:	Cold!
context: I'm kidding.\We just have a few simple words to say.\Gin-chan?\Let's go.\Cheers!\Cheers!\Okay, this one's cooked!\Cold! response:	If you don't gobble it up fast, it'll go cold in no time!
context: We just have a few simple words to say.\Gin-chan?\Let's go.\Cheers!\Cheers!\Okay, this one's cooked!\Cold!\If you don't gobble it up fast, it'll go cold in no time! response:	No time to lose!
context: Gin-chan?\Let's go.\Cheers!\Cheers!\Okay, this one's cooked!\Cold!\If you don't gobble it up fast, it'll go cold in no time!\No time to lose! response:	That's the thrill of the Antarctic barbecue.
context: Let's go.\Cheers!\Cheers!\Okay, this one's cooked!\Cold!\If you don't gobble it up fast, it'll go cold in no time!\No time to lose!\That's the thrill of the Antarctic barbecue. response:	I dropped my marshmallow!
