context: Ugh! response:	Die Inuyasha!
context: However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha. response:	Do you intend to use me to kill Inuyasha?
context: It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha? response:	- Exactly. - How dare you?!
context: A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?! response:	Interesting. I'll take the arm.
context: This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm. response:	Lord Sesshomaru!
context: to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru! response:	One more thing...
context: The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing... response:	This hive.
context: Presently, a demon like you cannot touch the Tetsusaiga.\Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing...\This hive. response:	I'm sure it'll come in very handy.
context: Humph... You mentioned that you hate Inuyasha.\Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing...\This hive.\I'm sure it'll come in very handy. response:	Tell me your name.
context: Do you intend to use me to kill Inuyasha?\- Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing...\This hive.\I'm sure it'll come in very handy.\Tell me your name. response:	It is Naraku.
context: - Exactly. - How dare you?!\Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing...\This hive.\I'm sure it'll come in very handy.\Tell me your name.\It is Naraku. response:	Naraku? I shall remember it.
context: Interesting. I'll take the arm.\Lord Sesshomaru!\One more thing...\This hive.\I'm sure it'll come in very handy.\Tell me your name.\It is Naraku.\Naraku? I shall remember it. response:	I'm so glad we're not sleeping in the forest!
context: Lord Sesshomaru!\One more thing...\This hive.\I'm sure it'll come in very handy.\Tell me your name.\It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest! response:	We get to eat a hot meal and sleep under a roof! Heaven!
context: One more thing...\This hive.\I'm sure it'll come in very handy.\Tell me your name.\It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven! response:	Well, excuse me for making you sleep in the wild so often!
context: This hive.\I'm sure it'll come in very handy.\Tell me your name.\It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often! response:	Inuyasha, you take offense so easily these days.
context: I'm sure it'll come in very handy.\Tell me your name.\It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days. response:	Hate the fact that it was Miroku who got us shelter here, huh?
context: Tell me your name.\It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh? response:	Soft, fluffy beddings are sooo nice!
context: It is Naraku.\Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice! response:	That should do it.
context: Naraku? I shall remember it.\I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it. response:	Now the ominous black clouds that hover over this mansion...
context: I'm so glad we're not sleeping in the forest!\We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion... response:	will disappear for good.
context: We get to eat a hot meal and sleep under a roof! Heaven!\Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good. response:	Thank you so much, Lord Monk!
context: Well, excuse me for making you sleep in the wild so often!\Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk! response:	My goodness! When you came suddenly and informed me...
context: Inuyasha, you take offense so easily these days.\Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me... response:	that there were evil clouds overhead...
context: Hate the fact that it was Miroku who got us shelter here, huh?\Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead... response:	I was so afraid of what might happen!
context: Soft, fluffy beddings are sooo nice!\That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen! response:	But now that you have exorcised this place...
context: That should do it.\Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place... response:	I can put my fears to rest.
context: Now the ominous black clouds that hover over this mansion...\will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest. response:	It's just part of a monk's duty.
context: will disappear for good.\Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty. response:	Oh... such bliss! Such bliss!
context: Thank you so much, Lord Monk!\My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss! response:	Thank you for the food!
context: My goodness! When you came suddenly and informed me...\that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food! response:	Finished with the exorcism?
context: that there were evil clouds overhead...\I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism? response:	Now then, I can rest.
context: I was so afraid of what might happen!\But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism?\Now then, I can rest. response:	Hey Miroku... Something still bothers me.
context: But now that you have exorcised this place...\I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me. response:	Yes?
context: I can put my fears to rest.\It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes? response:	When we're desperately looking for a place to sleep...
context: It's just part of a monk's duty.\Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep... response:	you suddenly see a black cloud over the finest mansion in the area.
context: Oh... such bliss! Such bliss!\Thank you for the food!\Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area. response:	How did that happen, I wonder?
context: Thank you for the food!\Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder? response:	Huh? Why bring that up now?
context: Finished with the exorcism?\Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now? response:	You know the saying, A lie is sometimes expedient.
context: Now then, I can rest.\Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient. response:	W-what?!
context: Hey Miroku... Something still bothers me.\Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?! response:	Lie? Was the black cloud a lie?
context: Yes?\When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie? response:	I figured it was a lie.
context: When we're desperately looking for a place to sleep...\you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie. response:	W-what a shyster!
context: you suddenly see a black cloud over the finest mansion in the area.\How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster! response:	Oh yes! He gave me a gift of dumplings, too.
context: How did that happen, I wonder?\Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too. response:	Yea!
context: Huh? Why bring that up now?\You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea! response:	Hey, don't look so happy!
context: You know the saying, A lie is sometimes expedient.\W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy! response:	Calm down.
context: W-what?!\Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy!\Calm down. response:	W-what's that?
context: Lie? Was the black cloud a lie?\I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy!\Calm down.\W-what's that? response:	Aghh! It's coming this way!
context: I figured it was a lie.\W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy!\Calm down.\W-what's that?\Aghh! It's coming this way! response:	Something big is coming.
context: W-what a shyster!\Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy!\Calm down.\W-what's that?\Aghh! It's coming this way!\Something big is coming. response:	Let's run!
context: Oh yes! He gave me a gift of dumplings, too.\Yea!\Hey, don't look so happy!\Calm down.\W-what's that?\Aghh! It's coming this way!\Something big is coming.\Let's run! response:	W-why you! Can't just eat and run!
context: Yea!\Hey, don't look so happy!\Calm down.\W-what's that?\Aghh! It's coming this way!\Something big is coming.\Let's run!\W-why you! Can't just eat and run! response:	But it's big! We're no match for it.
context: Hey, don't look so happy!\Calm down.\W-what's that?\Aghh! It's coming this way!\Something big is coming.\Let's run!\W-why you! Can't just eat and run!\But it's big! We're no match for it. response:	Impossible! Stupid! Like committing suicide!
context: Calm down.\W-what's that?\Aghh! It's coming this way!\Something big is coming.\Let's run!\W-why you! Can't just eat and run!\But it's big! We're no match for it.\Impossible! Stupid! Like committing suicide! response:	What a guy!
context: W-what's that?\Aghh! It's coming this way!\Something big is coming.\Let's run!\W-why you! Can't just eat and run!\But it's big! We're no match for it.\Impossible! Stupid! Like committing suicide!\What a guy! response:	I sense Sacred Jewel fragments.
