context: Holy cow! A seminar on how to become a princess?! response:	That's practically like a seminar made just for me!
context: But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Aim to be a Princess? Usagi's Weird Training
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training response:	I'm late! I'm late!
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late! response:	It's the same, every single morning.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning. response:	Oh, Naru, good morning!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning! response:	Good morning!
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning!\Good morning! response:	You overslept, too, didn't you?
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you? response:	Come on, I'm not you. I was doing my homework.
context: I believe in it, miracle romance\Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework. response:	We had homework?!
context: Aim to be a Princess? Usagi's Weird Training\I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?! response:	Homework, nothing! Science, math, English, social studies...
context: I'm late! I'm late!\It's the same, every single morning.\Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies... response:	Also, a report for Japanese class.
context: It's the same, every single morning.\Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class. response:	And the last one was embroidery for home economics.
context: Oh, Naru, good morning!\Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics. response:	I don't care anymore.
context: Good morning!\You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore. response:	Wow, a cool-Iooking guy!
context: You overslept, too, didn't you?\Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy! response:	Who are they?
context: Come on, I'm not you. I was doing my homework.\We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy!\Who are they? response:	What? Don't you know?
context: We had homework?!\Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy!\Who are they?\What? Don't you know? response:	No.
context: Homework, nothing! Science, math, English, social studies...\Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy!\Who are they?\What? Don't you know?\No. response:	Those girls are attending the Princess Seminar at Rose Mansion.
context: Also, a report for Japanese class.\And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy!\Who are they?\What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion. response:	Rose Mansion is where Countess Rose lives, right?
context: And the last one was embroidery for home economics.\I don't care anymore.\Wow, a cool-Iooking guy!\Who are they?\What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right? response:	The lady who moved here from England recently?
context: I don't care anymore.\Wow, a cool-Iooking guy!\Who are they?\What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently? response:	Yes, I hear Countess Rose is a famous aristocrat back in England.
context: Wow, a cool-Iooking guy!\Who are they?\What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England. response:	And some well-off parents have asked her
context: Who are they?\What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her response:	to provide their daughters with a princess's education.
context: What? Don't you know?\No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education. response:	A princess's education?!
context: No.\Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?! response:	It's supposed to turn you into a sophisticated lady with grace.
context: Those girls are attending the Princess Seminar at Rose Mansion.\Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace. response:	We're late!
context: Rose Mansion is where Countess Rose lives, right?\The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late! response:	Let's see. Your homework yesterday
context: The lady who moved here from England recently?\Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday response:	was to translate page 53 of your textbook, correct?
context: Yes, I hear Countess Rose is a famous aristocrat back in England.\And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct? response:	Princess... was to translate page 53 of your textbook, correct?
context: And some well-off parents have asked her\to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct? response:	Princess Serenity!
context: to provide their daughters with a princess's education.\A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity! response:	Oh, how beautiful she is!
context: A princess's education?!\It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is! response:	Not only that, she is also graceful and refined.
context: It's supposed to turn you into a sophisticated lady with grace.\We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined. response:	She is truly a princess among princesses.
context: We're late!\Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses. response:	Princess, may I ask you for a dance?
context: Let's see. Your homework yesterday\was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance? response:	Yes.
context: was to translate page 53 of your textbook, correct?\Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes. response:	Did you do your homework?!
context: Princess... was to translate page 53 of your textbook, correct?\Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes.\Did you do your homework?! response:	Quiet! How dare you address a princess so?!
context: Princess Serenity!\Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?! response:	Oh, pardon me! Princess, please forgive me!
context: Oh, how beautiful she is!\Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me! response:	It feels so good!
context: Not only that, she is also graceful and refined.\She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good! response:	Wake up.
context: She is truly a princess among princesses.\Princess, may I ask you for a dance?\Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up. response:	Miss Tsukino!
context: Princess, may I ask you for a dance?\Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up.\Miss Tsukino! response:	How dare you address a princess so?
context: Yes.\Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up.\Miss Tsukino!\How dare you address a princess so? response:	Are you still half-asleep?
context: Did you do your homework?!\Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up.\Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep? response:	So, you forgot your homework?
context: Quiet! How dare you address a princess so?!\Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up.\Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework? response:	Well, that is, how should I say this?
context: Oh, pardon me! Princess, please forgive me!\It feels so good!\Wake up.\Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this? response:	Get out!
context: It feels so good!\Wake up.\Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this?\Get out! response:	I need to stop acting like this.
context: Wake up.\Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this?\Get out!\I need to stop acting like this. response:	I need to be more aware of myself as a princess!
context: Miss Tsukino!\How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this?\Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess! response:	That's my girl! Good of you to have noticed that!
context: How dare you address a princess so?\Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this?\Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that! response:	Because otherwise, Tuxedo Mask won't dance with me at the ball!
context: Are you still half-asleep?\So, you forgot your homework?\Well, that is, how should I say this?\Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball! response:	What is that about?
context: So, you forgot your homework?\Well, that is, how should I say this?\Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about? response:	Endymion,
context: Well, that is, how should I say this?\Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion, response:	you will assist Kunzite, defeat Sailor Moon,
context: Get out!\I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon, response:	and steal back the Silver Crystal.
context: I need to stop acting like this.\I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal. response:	I refuse! I will not join forces with anybody.
context: I need to be more aware of myself as a princess!\That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody. response:	I will do things my way.
context: That's my girl! Good of you to have noticed that!\Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way. response:	I will also do things my own way.
context: Because otherwise, Tuxedo Mask won't dance with me at the ball!\What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way. response:	That will be fine, too.
context: What is that about?\Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way.\That will be fine, too. response:	Bring me Sailor Moon's corpse and the Silver Crystal
context: Endymion,\you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal response:	as soon as possible.
context: you will assist Kunzite, defeat Sailor Moon,\and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible. response:	Yes, my lady. I already have a plan in motion.
context: and steal back the Silver Crystal.\I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion. response:	Good.
context: I refuse! I will not join forces with anybody.\I will do things my way.\I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion.\Good. response:	Code name 0091. This is Luna.
context: I will do things my way.\I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna. response:	My secret password is The rabbit on the moon makes rice cakes.
context: I will also do things my own way.\That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes. response:	Please respond.
context: That will be fine, too.\Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond. response:	The moon rice cakes are sticky.
context: Bring me Sailor Moon's corpse and the Silver Crystal\as soon as possible.\Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky. response:	When I grilled them, they puffed up.
context: as soon as possible.\Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up. response:	What is wrong, Luna?
context: Yes, my lady. I already have a plan in motion.\Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna? response:	Yes, well, Usagi seems to lack awareness as a princess,
context: Good.\Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess, response:	That is a difficult question. Oh, shoot...
context: Code name 0091. This is Luna.\My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot... response:	Oh, Artemis...
context: My secret password is The rabbit on the moon makes rice cakes.\Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis... response:	You've found out, huh?
context: Please respond.\The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh? response:	Well, the communication device isn't working well today.
context: The moon rice cakes are sticky.\When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today. response:	So, you were the one giving me orders all this time?!
context: When I grilled them, they puffed up.\What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?! response:	Yeah, kind of.
context: What is wrong, Luna?\Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of. response:	Why didn't you ever tell me?!
context: Yes, well, Usagi seems to lack awareness as a princess,\That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?! response:	Well, you never asked until now.
context: That is a difficult question. Oh, shoot...\Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now. response:	So, I just sort of kept on going.
context: Oh, Artemis...\You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going. response:	Unbelievable.
context: You've found out, huh?\Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable. response:	Now, let us read aloud some of Frances Hineck's poems today.
context: Well, the communication device isn't working well today.\So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today. response:	I am sunken in darkness
context: So, you were the one giving me orders all this time?!\Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness response:	and the golden arrow that reaches me
context: Yeah, kind of.\Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me response:	is a letter from someone dear to me.
context: Why didn't you ever tell me?!\Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me. response:	A kind poison tips the arrow
context: Well, you never asked until now.\So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow response:	and I am a prisoner of love who does not know what to do.
context: So, I just sort of kept on going.\Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do. response:	That's a pretty good poem.
context: Unbelievable.\Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem. response:	What's wrong?!
context: Now, let us read aloud some of Frances Hineck's poems today.\I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?! response:	Those are cheesecakes from Chalbon! They're so lucky!
context: I am sunken in darkness\and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky! response:	Usagi...
context: and the golden arrow that reaches me\is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi... response:	Miss, if you have business here,
context: is a letter from someone dear to me.\A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here, response:	please come in through the front gate.
context: A kind poison tips the arrow\and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here,\please come in through the front gate. response:	Um, well, uh, that is...
context: and I am a prisoner of love who does not know what to do.\That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is... response:	May I help you?
context: That's a pretty good poem.\What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is...\May I help you? response:	Well, I want to attend the Princess Seminar, too,
context: What's wrong?!\Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too, response:	is sort of what I was thinking...
context: Those are cheesecakes from Chalbon! They're so lucky!\Usagi...\Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking... response:	I am sorry, but you must have an introduction from a member.
context: Usagi...\Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member. response:	Introduction... Well, I was introduced to this by her!
