context: I'm Sarashina Ruka, and I'll be joining you as of today. response:	S-Seriously?
context: D-Do you have any intention of working?!\Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger! response:	Rental girlfriend skills in action?
context: Ouch! This is domestic violence!\Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action? response:	What's the problem? I'm free to work where I please, aren't I?
context: Also, being neighbors doesn't mean anything! We barely ever interact!\Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I? response:	Okay, let's get you up to speed on your job.
context: Boss, I'm being bullied!\I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job. response:	Sure thing!
context: I demand you dock his pay!\That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing! response:	O God of Campus Life! Shine a ray of hope on me!
context: That way, he can't afford rentals.\Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me! response:	Welco...
context: Okay. I'll trash his time card.\She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco... response:	Whoa, he's really here.
context: She's got him wrapped around her finger!\Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here. response:	He's in uniform and all.
context: Rental girlfriend skills in action?\What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here.\He's in uniform and all. response:	Ew.
context: What's the problem? I'm free to work where I please, aren't I?\Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here.\He's in uniform and all.\Ew. response:	We'll take the free time option.
context: Okay, let's get you up to speed on your job.\Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here.\He's in uniform and all.\Ew.\We'll take the free time option. response:	Room 5 is all yours.
context: Sure thing!\O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here.\He's in uniform and all.\Ew.\We'll take the free time option.\Room 5 is all yours. response:	Room 5?
context: O God of Campus Life! Shine a ray of hope on me!\Welco...\Whoa, he's really here.\He's in uniform and all.\Ew.\We'll take the free time option.\Room 5 is all yours.\Room 5? response:	Ew.
context: Welco...\Whoa, he's really here.\He's in uniform and all.\Ew.\We'll take the free time option.\Room 5 is all yours.\Room 5?\Ew. response:	Put your dick in a uniform or something, bro.
context: Whoa, he's really here.\He's in uniform and all.\Ew.\We'll take the free time option.\Room 5 is all yours.\Room 5?\Ew.\Put your dick in a uniform or something, bro. response:	Ew.
context: He's in uniform and all.\Ew.\We'll take the free time option.\Room 5 is all yours.\Room 5?\Ew.\Put your dick in a uniform or something, bro.\Ew. response:	There is no God.
context: Ew.\We'll take the free time option.\Room 5 is all yours.\Room 5?\Ew.\Put your dick in a uniform or something, bro.\Ew.\There is no God. response:	Now
context: We'll take the free time option.\Room 5 is all yours.\Room 5?\Ew.\Put your dick in a uniform or something, bro.\Ew.\There is no God.\Now response:	You have a new message.
context: Room 5 is all yours.\Room 5?\Ew.\Put your dick in a uniform or something, bro.\Ew.\There is no God.\Now\You have a new message. response:	Where are you?
context: Room 5?\Ew.\Put your dick in a uniform or something, bro.\Ew.\There is no God.\Now\You have a new message.\Where are you? response:	Mizuhara
context: Ew.\Put your dick in a uniform or something, bro.\Ew.\There is no God.\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: Put your dick in a uniform or something, bro.\Ew.\There is no God.\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: Ew.\There is no God.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: There is no God.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	Mizuhara
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara response:	I'll charge you for an extension
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	What's this about Kuri?
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri? response:	Well, he's been acting weird lately.
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately. response:	This guy's Iwafune
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune response:	He's been coming to college,
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college, response:	but it's like, I dunno... the lights are on, but nobody's home.
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home. response:	You might remember him from his brief appearance in the pub scene
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene response:	Scene? What's that supposed to mean?
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean? response:	Makes sense!
context: What's this about Kuri?\Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense! response:	Dick! Dick!
context: Well, he's been acting weird lately.\This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense!\Dick! Dick! response:	So I did some digging.
context: This guy's Iwafune\He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense!\Dick! Dick!\So I did some digging. response:	Look at this.
context: He's been coming to college,\but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense!\Dick! Dick!\So I did some digging.\Look at this. response:	Uni
context: but it's like, I dunno... the lights are on, but nobody's home.\You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense!\Dick! Dick!\So I did some digging.\Look at this.\Uni response:	Uni
context: You might remember him from his brief appearance in the pub scene\Scene? What's that supposed to mean?\Makes sense!\Dick! Dick!\So I did some digging.\Look at this.\Uni\Uni response:	I'll never love again
context: Scene? What's that supposed to mean?\Makes sense!\Dick! Dick!\So I did some digging.\Look at this.\Uni\Uni\I'll never love again response:	Uni
context: Makes sense!\Dick! Dick!\So I did some digging.\Look at this.\Uni\Uni\I'll never love again\Uni response:	Masayuki > Girls
context: Dick! Dick!\So I did some digging.\Look at this.\Uni\Uni\I'll never love again\Uni\Masayuki > Girls response:	Uni
context: So I did some digging.\Look at this.\Uni\Uni\I'll never love again\Uni\Masayuki > Girls\Uni response:	My love story had an abrupt end
context: Look at this.\Uni\Uni\I'll never love again\Uni\Masayuki > Girls\Uni\My love story had an abrupt end response:	Uni
context: Uni\Uni\I'll never love again\Uni\Masayuki > Girls\Uni\My love story had an abrupt end\Uni response:	There are no umbrellas to block the rain in my heart
context: Uni\I'll never love again\Uni\Masayuki > Girls\Uni\My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart response:	His misogyny is piercing the heavens
context: I'll never love again\Uni\Masayuki > Girls\Uni\My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens response:	He's been tweeting gloomy shit like I'll never love again on his private account.
context: Uni\Masayuki > Girls\Uni\My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account. response:	It's that bad?
context: Masayuki > Girls\Uni\My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad? response:	I had no idea...
context: Uni\My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea... response:	PAM Weekly Karaoke Rankings
context: My love story had an abrupt end\Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings response:	1: Centimeter
context: Uni\There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter response:	Wait, how do you know his private account?
context: There are no umbrellas to block the rain in my heart\His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account? response:	In cyberspace, I see all.
context: His misogyny is piercing the heavens\He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all. response:	You know anything, Kazu-chin?
context: He's been tweeting gloomy shit like I'll never love again on his private account.\It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin? response:	Huh? O-Oh, not at all.
context: It's that bad?\I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all. response:	I do! I know way too much!
context: I had no idea...\PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much! response:	Kuribayashi-san, thank you for renting me the other day.
context: PAM Weekly Karaoke Rankings\1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day. response:	He liked Ruka-chan for real, huh?
context: 1: Centimeter\Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh? response:	(Intro: approx. 90 seconds)
context: Wait, how do you know his private account?\In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds) response:	Anyway, you look out for him, too.
context: In cyberspace, I see all.\You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too. response:	Y-Yeah, of course.
context: You know anything, Kazu-chin?\Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course. response:	What? Kuribayashi-san?
context: Huh? O-Oh, not at all.\I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san? response:	I just think you should apologize to him or something.
context: I do! I know way too much!\Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something. response:	Hmm... But he's old news for me now.
context: Kuribayashi-san, thank you for renting me the other day.\He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now. response:	Mean!
context: He liked Ruka-chan for real, huh?\(Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean! response:	But hey, he paid you.
context: (Intro: approx. 90 seconds)\Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean!\But hey, he paid you. response:	And what you did was out of bounds for a rental girlfriend.
context: Anyway, you look out for him, too.\Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend. response:	I haven't gone back to that job since we started dating!
context: Y-Yeah, of course.\What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating! response:	If you want me to quit, just say the word!
context: What? Kuribayashi-san?\I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word! response:	Besides, I tried to keep his secret! You're the one who followed me!
context: I just think you should apologize to him or something.\Hmm... But he's old news for me now.\Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me! response:	W-Well, yeah, but then you showed up at our college.
context: Hmm... But he's old news for me now.\Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college. response:	Honestly, I do feel bad for Kuribayashi-san,
context: Mean!\But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san, response:	but I needed to do that in order to date you.
context: But hey, he paid you.\And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you. response:	And I was just a rental.
context: And what you did was out of bounds for a rental girlfriend.\I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental. response:	If I met him outside of work and he fell for me, I'd be digging my own grave.
context: I haven't gone back to that job since we started dating!\If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave. response:	Uh, I'm pretty sure it's too late already.
context: If you want me to quit, just say the word!\Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already. response:	Anyway, forget that!
context: Besides, I tried to keep his secret! You're the one who followed me!\W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that! response:	I found a great pastry cafe! How does this Saturday sound?
context: W-Well, yeah, but then you showed up at our college.\Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound? response:	Dun
context: Honestly, I do feel bad for Kuribayashi-san,\but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun response:	It me, dun
context: but I needed to do that in order to date you.\And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun response:	Kneel before me, Keio Boy
context: And I was just a rental.\If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun\Kneel before me, Keio Boy response:	My first paycheck...
context: If I met him outside of work and he fell for me, I'd be digging my own grave.\Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun\Kneel before me, Keio Boy\My first paycheck... response:	What do I do with it?
context: Uh, I'm pretty sure it's too late already.\Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun\Kneel before me, Keio Boy\My first paycheck...\What do I do with it? response:	Save it?
