context: Did Suna say something? response:	From: Yukika-chan Yamato-san, Thank you for your help yesterday. Thanks to you and Takeo-kun, I was able to invite Sunakawa-kun to the zoo. Thank you for listening to me.
context: If you happen to be free,\would it be possible for you to help me?\Yukika-chan, sorry to keep you waiting!\Thank you for coming.\You're going on a date.\Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear. response:	You want him to think you look cute!
context: would it be possible for you to help me?\Yukika-chan, sorry to keep you waiting!\Thank you for coming.\You're going on a date.\Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute! response:	With any luck, I hope he'll like me!
context: Yukika-chan, sorry to keep you waiting!\Thank you for coming.\You're going on a date.\Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me! response:	But I have no idea what kind of clothes I should wear,
context: Thank you for coming.\You're going on a date.\Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear, response:	so that he'll like me...
context: You're going on a date.\Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me... response:	Let's try asking Takeo-kun.
context: Of course you'd want to get ready!\Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun. response:	What kind of clothes does Sunakawa-kun like girls to wear?
context: Yes!\But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear? response:	Suna, what kind of clothes do you like on girls?
context: But I don't know what kind of clothes to wear.\You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls? response:	What kind of question is that?
context: You want him to think you look cute!\With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that? response:	Well, I guess
context: With any luck, I hope he'll like me!\But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess response:	Maybe this fits the zoo theme?
context: But I have no idea what kind of clothes I should wear,\so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess\Maybe this fits the zoo theme? response:	Oh come on, Maybe this fits the zoo theme?
context: so that he'll like me...\Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme? response:	anything normal is fine, if it suits the person.
context: Let's try asking Takeo-kun.\What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person. response:	Normal clothes that suit Japanese...
context: What kind of clothes does Sunakawa-kun like girls to wear?\Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese... response:	Wow these shoes have really high heels!
context: Suna, what kind of clothes do you like on girls?\What kind of question is that?\Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels! response:	I couldn't... Wow these shoes have really high heels!
context: What kind of question is that?\Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels! response:	Traditional Japanese clothes?!
context: Well, I guess\Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?! response:	No, they can be Western clothes.
context: Maybe this fits the zoo theme?\Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes. response:	Cute
context: Oh come on, Maybe this fits the zoo theme?\anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes.\Cute response:	Cute But expensive
context: anything normal is fine, if it suits the person.\Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes.\Cute\Cute But expensive response:	If we're talking clothes that suit anyone...
context: Normal clothes that suit Japanese...\Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes.\Cute\Cute But expensive\If we're talking clothes that suit anyone... response:	Subject: Re: Sunakawa-kun He says school uniform
context: Wow these shoes have really high heels!\I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes.\Cute\Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform response:	I'll wear my uniform.
context: I couldn't... Wow these shoes have really high heels!\Traditional Japanese clothes?!\No, they can be Western clothes.\Cute\Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform. response:	I'm sure he means wear anything, really...
context: Traditional Japanese clothes?!\No, they can be Western clothes.\Cute\Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really... response:	Yukika-chan...
context: No, they can be Western clothes.\Cute\Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan... response:	Yukika-chan's dressed up.
context: Cute\Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up. response:	She froze when she saw Suna!
context: Cute But expensive\If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna! response:	Yeah, Suna's good-looking...
context: If we're talking clothes that suit anyone...\Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking... response:	Seeing him up close, she must be feeling overwhelmed and paralyzed.
context: Subject: Re: Sunakawa-kun He says school uniform\I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed. response:	Talk! Good luck!
context: I'll wear my uniform.\I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck! response:	But she has to talk.
context: I'm sure he means wear anything, really...\Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk. response:	What's the point of asking him out if you won't talk, Yukika-chan?
context: Yukika-chan...\Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan? response:	Let...
context: Yukika-chan's dressed up.\She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let... response:	Let's go to the zoo!
context: She froze when she saw Suna!\Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo! response:	Busai Zoo
context: Yeah, Suna's good-looking...\Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo!\Busai Zoo response:	Okay.
context: Seeing him up close, she must be feeling overwhelmed and paralyzed.\Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo!\Busai Zoo\Okay. response:	The Letter to Me
context: Talk! Good luck!\But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo!\Busai Zoo\Okay.\The Letter to Me response:	The reason I picked the zoo is...
context: But she has to talk.\What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo!\Busai Zoo\Okay.\The Letter to Me\The reason I picked the zoo is... response:	During an elementary school field trip,
context: What's the point of asking him out if you won't talk, Yukika-chan?\Let...\Let's go to the zoo!\Busai Zoo\Okay.\The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip, response:	Sunakawa-kun asked why we call the giraffe kirin.
context: Let...\Let's go to the zoo!\Busai Zoo\Okay.\The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin. response:	No one knew the answer, so that ended it then,
context: Let's go to the zoo!\Busai Zoo\Okay.\The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then, response:	but I knew.
context: Busai Zoo\Okay.\The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew. response:	I really wanted to tell him
context: Okay.\The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him response:	it was because it's named after a mythical beast in China.
context: The Letter to Me\The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China. response:	But I just didn't have the courage to tell him.
context: The reason I picked the zoo is...\During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him. response:	That's why I wanted to make some good memories at the zoo today.
context: During an elementary school field trip,\Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today. response:	Can you take our picture?
context: Sunakawa-kun asked why we call the giraffe kirin.\No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture? response:	Sure.
context: No one knew the answer, so that ended it then,\but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure. response:	So tell that to Suna!
context: but I knew.\I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure.\So tell that to Suna! response:	You're right...
context: I really wanted to tell him\it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure.\So tell that to Suna!\You're right... response:	You're right!! Good luck!!
context: it was because it's named after a mythical beast in China.\But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure.\So tell that to Suna!\You're right...\You're right!! Good luck!! response:	When I look back,
context: But I just didn't have the courage to tell him.\That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure.\So tell that to Suna!\You're right...\You're right!! Good luck!!\When I look back, response:	I think having Sunakawa-kun save me from the ball in dodgeball
context: That's why I wanted to make some good memories at the zoo today.\Can you take our picture?\Sure.\So tell that to Suna!\You're right...\You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball response:	was my prime time moment.
context: Can you take our picture?\Sure.\So tell that to Suna!\You're right...\You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment. response:	Price time? What?
context: Sure.\So tell that to Suna!\You're right...\You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What? response:	Prime time.
context: So tell that to Suna!\You're right...\You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What?\Prime time. response:	It means the best time of your life.
context: You're right...\You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What?\Prime time.\It means the best time of your life. response:	The Best Time of Your Life
context: You're right!! Good luck!!\When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What?\Prime time.\It means the best time of your life.\The Best Time of Your Life response:	That happened way too early!
context: When I look back,\I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What?\Prime time.\It means the best time of your life.\The Best Time of Your Life\That happened way too early! response:	It'll be fine. Suna isn't scary.
context: I think having Sunakawa-kun save me from the ball in dodgeball\was my prime time moment.\Price time? What?\Prime time.\It means the best time of your life.\The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary. response:	Hey, Suna!
context: was my prime time moment.\Price time? What?\Prime time.\It means the best time of your life.\The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna! response:	Where do you want to go afterward?
context: Price time? What?\Prime time.\It means the best time of your life.\The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward? response:	Let's just follow the route.
context: Prime time.\It means the best time of your life.\The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward?\Let's just follow the route. response:	Okay!
context: It means the best time of your life.\The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward?\Let's just follow the route.\Okay! response:	Try it.
context: The Best Time of Your Life\That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward?\Let's just follow the route.\Okay!\Try it. response:	Too Close
context: That happened way too early!\It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward?\Let's just follow the route.\Okay!\Try it.\Too Close response:	I can't!
context: It'll be fine. Suna isn't scary.\Hey, Suna!\Where do you want to go afterward?\Let's just follow the route.\Okay!\Try it.\Too Close\I can't! response:	What are you talking about?
context: Hey, Suna!\Where do you want to go afterward?\Let's just follow the route.\Okay!\Try it.\Too Close\I can't!\What are you talking about? response:	Never mind. It's nothing.
context: Where do you want to go afterward?\Let's just follow the route.\Okay!\Try it.\Too Close\I can't!\What are you talking about?\Never mind. It's nothing. response:	Hey!
context: Let's just follow the route.\Okay!\Try it.\Too Close\I can't!\What are you talking about?\Never mind. It's nothing.\Hey! response:	That's a pretty bird.
context: Okay!\Try it.\Too Close\I can't!\What are you talking about?\Never mind. It's nothing.\Hey!\That's a pretty bird. response:	Um...
context: Try it.\Too Close\I can't!\What are you talking about?\Never mind. It's nothing.\Hey!\That's a pretty bird.\Um... response:	Uh...
context: Too Close\I can't!\What are you talking about?\Never mind. It's nothing.\Hey!\That's a pretty bird.\Um...\Uh... response:	A petting zoo!
context: I can't!\What are you talking about?\Never mind. It's nothing.\Hey!\That's a pretty bird.\Um...\Uh...\A petting zoo! response:	Let's go!
context: What are you talking about?\Never mind. It's nothing.\Hey!\That's a pretty bird.\Um...\Uh...\A petting zoo!\Let's go! response:	She ran.
context: Never mind. It's nothing.\Hey!\That's a pretty bird.\Um...\Uh...\A petting zoo!\Let's go!\She ran. response:	Petting Zoo
context: Hey!\That's a pretty bird.\Um...\Uh...\A petting zoo!\Let's go!\She ran.\Petting Zoo response:	So cute!
context: That's a pretty bird.\Um...\Uh...\A petting zoo!\Let's go!\She ran.\Petting Zoo\So cute! response:	Yamato, you remind me of a cute critter.
context: Um...\Uh...\A petting zoo!\Let's go!\She ran.\Petting Zoo\So cute!\Yamato, you remind me of a cute critter. response:	Oh, me?
context: Uh...\A petting zoo!\Let's go!\She ran.\Petting Zoo\So cute!\Yamato, you remind me of a cute critter.\Oh, me? response:	How?
context: A petting zoo!\Let's go!\She ran.\Petting Zoo\So cute!\Yamato, you remind me of a cute critter.\Oh, me?\How? response:	I guess I'm small, but maybe I'm a carnivore.
context: Let's go!\She ran.\Petting Zoo\So cute!\Yamato, you remind me of a cute critter.\Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore. response:	Roar!
context: She ran.\Petting Zoo\So cute!\Yamato, you remind me of a cute critter.\Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore.\Roar! response:	I love her.
context: Petting Zoo\So cute!\Yamato, you remind me of a cute critter.\Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her. response:	Oh, that one reminds me of Yukika-chan.
context: So cute!\Yamato, you remind me of a cute critter.\Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her.\Oh, that one reminds me of Yukika-chan. response:	That? I don't think so.
context: Yamato, you remind me of a cute critter.\Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so. response:	Really?
context: Oh, me?\How?\I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really? response:	Isn't it cute?
context: How?\I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really?\Isn't it cute? response:	Oh, I see.
context: I guess I'm small, but maybe I'm a carnivore.\Roar!\I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really?\Isn't it cute?\Oh, I see. response:	If that's what you think, I guess that's fine.
context: Roar!\I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really?\Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine. response:	Um...
context: I love her.\Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really?\Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine.\Um... response:	Hmm?
context: Oh, that one reminds me of Yukika-chan.\That? I don't think so.\Really?\Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine.\Um...\Hmm? response:	I'm sorry I took it the wrong way at first.
context: That? I don't think so.\Really?\Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine.\Um...\Hmm?\I'm sorry I took it the wrong way at first. response:	Oh, that's really impressive!
context: Really?\Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine.\Um...\Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive! response:	The gorilla reminds me of you, Takeo-kun.
context: Isn't it cute?\Oh, I see.\If that's what you think, I guess that's fine.\Um...\Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun. response:	You don't always hold back, huh? Does he?
context: Oh, I see.\If that's what you think, I guess that's fine.\Um...\Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he? response:	Maybe, but I wouldn't stand a chance against him...
context: If that's what you think, I guess that's fine.\Um...\Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him... response:	I think he's really strong.
context: Um...\Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong. response:	He is strong!
context: Hmm?\I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong! response:	Why are you laughing?
context: I'm sorry I took it the wrong way at first.\Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong!\Why are you laughing? response:	Well, he would be strong.
context: Oh, that's really impressive!\The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong!\Why are you laughing?\Well, he would be strong. response:	A downpour!
context: The gorilla reminds me of you, Takeo-kun.\You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong!\Why are you laughing?\Well, he would be strong.\A downpour! response:	I'm happy just to get out of the rain for a bit...
context: You don't always hold back, huh? Does he?\Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong!\Why are you laughing?\Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit... response:	If it's with Sunakawa-kun.
context: Maybe, but I wouldn't stand a chance against him...\I think he's really strong.\He is strong!\Why are you laughing?\Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun. response:	So tell Suna that!
context: I think he's really strong.\He is strong!\Why are you laughing?\Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that! response:	Yukika-chan, you won't make any memories with him this way.
context: He is strong!\Why are you laughing?\Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way. response:	It'll be like elementary school.
context: Why are you laughing?\Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school. response:	I'll talk to him...
context: Well, he would be strong.\A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him... response:	Do you look like him?
context: A downpour!\I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him...\Do you look like him? response:	Now that I'm thinking you look like him,
context: I'm happy just to get out of the rain for a bit...\If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him, response:	Takeo-kun, I'm starting to really like gorillas!
context: If it's with Sunakawa-kun.\So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas! response:	I love her
context: So tell Suna that!\Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her response:	Postcards
context: Yukika-chan, you won't make any memories with him this way.\It'll be like elementary school.\I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards response:	Th-There isn't a postcard of the bird you really liked.
context: It'll be like elementary school.\I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards\Th-There isn't a postcard of the bird you really liked. response:	It didn't seem that popular.
