context: Guess what, Yukimura! response:	Yes?
context: Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today, response:	But I didn't in the end.
context: Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end. response:	What are you!? A girl in love!?
context: Prez.\Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!? response:	Does he think I'm dangerous? Why?
context: Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why? response:	Because you sexually harass everyone!
context: What is it this time?\Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone! response:	Be conscious of what you do a little, you perv!
context: Um, if it's a towel...\You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv! response:	My first kiss...
context: You can use mine if you don't mind.\I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss... response:	So, how did you end up like that?
context: I thought I might use it during PE today,\But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that? response:	Well...
context: But I didn't in the end.\What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that?\Well... response:	Crap, it won't open.
context: What are you!? A girl in love!?\Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that?\Well...\Crap, it won't open. response:	Lame. You always brag about your strength.
context: Does he think I'm dangerous? Why?\Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that?\Well...\Crap, it won't open.\Lame. You always brag about your strength. response:	Shut up! This is so tight, no one's gonna be able to open it.
context: Because you sexually harass everyone!\Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that?\Well...\Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it. response:	Could someone do something about this stuck faucet?
context: Be conscious of what you do a little, you perv!\My first kiss...\So, how did you end up like that?\Well...\Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet? response:	Usui-san!
context: My first kiss...\So, how did you end up like that?\Well...\Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san! response:	Maybe Usui-san will do something about it.
context: So, how did you end up like that?\Well...\Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it. response:	That's what happened.
context: Well...\Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it.\That's what happened. response:	You moron! Say things like that first!
context: Crap, it won't open.\Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first! response:	I'll go take a look at it.
context: Lame. You always brag about your strength.\Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first!\I'll go take a look at it. response:	Then I will, too.
context: Shut up! This is so tight, no one's gonna be able to open it.\Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first!\I'll go take a look at it.\Then I will, too. response:	Usui! You go, too!
context: Could someone do something about this stuck faucet?\Usui-san!\Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first!\I'll go take a look at it.\Then I will, too.\Usui! You go, too! response:	Yukimura. Thanks for the towel.
context: Usui-san!\Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first!\I'll go take a look at it.\Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel. response:	I'll be using it on every corner of my body.
context: Maybe Usui-san will do something about it.\That's what happened.\You moron! Say things like that first!\I'll go take a look at it.\Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body. response:	Like here, there, and over there, too.
context: That's what happened.\You moron! Say things like that first!\I'll go take a look at it.\Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too. response:	Yukimura. You're supposed to look grossed out.
context: You moron! Say things like that first!\I'll go take a look at it.\Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out. response:	Don't blush about it.
context: I'll go take a look at it.\Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it. response:	So, moving on to the next agenda item.
context: Then I will, too.\Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item. response:	Regarding the budget for next week's open house.
context: Usui! You go, too!\Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house. response:	What's wrong?
context: Yukimura. Thanks for the towel.\I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong? response:	I can't find the accounting notebook...
context: I'll be using it on every corner of my body.\Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook... response:	You lost it?
context: Like here, there, and over there, too.\Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook...\You lost it? response:	It was with me until a moment ago!
context: Yukimura. You're supposed to look grossed out.\Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook...\You lost it?\It was with me until a moment ago! response:	Hey, has anyone seen the notebook-
context: Don't blush about it.\So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook...\You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook- response:	Secretary! You've got nerves to be sleeping in the middle of a meeting.
context: So, moving on to the next agenda item.\Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook...\You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting. response:	But Prez... I can't keep my eyes open...
context: Regarding the budget for next week's open house.\What's wrong?\I can't find the accounting notebook...\You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open... response:	Brace yourself!
context: What's wrong?\I can't find the accounting notebook...\You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself! response:	Calm down, Prez!
context: I can't find the accounting notebook...\You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez! response:	You haven't written anything about today's meeting!
context: You lost it?\It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting! response:	Good morning.
context: It was with me until a moment ago!\Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting!\Good morning. response:	Good morning.
context: Hey, has anyone seen the notebook-\Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting!\Good morning.\Good morning. response:	Good morning.
context: Secretary! You've got nerves to be sleeping in the middle of a meeting.\But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting!\Good morning.\Good morning.\Good morning. response:	I haven't had to correct people's clothing in a while, too.
context: But Prez... I can't keep my eyes open...\Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting!\Good morning.\Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too. response:	I like this.
context: Brace yourself!\Calm down, Prez!\You haven't written anything about today's meeting!\Good morning.\Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too.\I like this. response:	I'm sorry, President. I'm late.
context: Calm down, Prez!\You haven't written anything about today's meeting!\Good morning.\Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late. response:	Ah, the Head Disciplinary Officer. How rare to see you late.
context: You haven't written anything about today's meeting!\Good morning.\Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late. response:	What the heck is that?!
context: Good morning.\Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?! response:	Is something wrong, President?
context: Good morning.\Good morning.\I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President? response:	What was wrong with me this morning?
context: Good morning.\I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President?\What was wrong with me this morning? response:	Maybe you're tired.
context: I haven't had to correct people's clothing in a while, too.\I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired. response:	President, I'm sorry. I can't find the Accounting Notebook anywhere.
context: I like this.\I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere. response:	There.
context: I'm sorry, President. I'm late.\Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There. response:	I reconstructed as much as possible from memory.
context: Ah, the Head Disciplinary Officer. How rare to see you late.\What the heck is that?!\Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory. response:	It's not accurate, but hold on to that until you find the original.
context: What the heck is that?!\Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original. response:	You wrote all this based on your memory?
context: Is something wrong, President?\What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory? response:	You even have yesterday's note summarized.
context: What was wrong with me this morning?\Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized. response:	Yeah, since the secretary was useless yesterday.
context: Maybe you're tired.\President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday. response:	Hey, Health Rep. Isn't this the list of who used the Infirmary?
context: President, I'm sorry. I can't find the Accounting Notebook anywhere.\There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary? response:	Should you be throwing this away?
context: There.\I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away? response:	What? It can't be.
context: I reconstructed as much as possible from memory.\It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be. response:	What? Why?
context: It's not accurate, but hold on to that until you find the original.\You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be.\What? Why? response:	Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.
context: You wrote all this based on your memory?\You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake. response:	Also, Kataya from this morning and Kosugi from yesterday.
context: You even have yesterday's note summarized.\Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday. response:	What is going on?
context: Yeah, since the secretary was useless yesterday.\Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on? response:	Can you believe that?
context: Hey, Health Rep. Isn't this the list of who used the Infirmary?\Should you be throwing this away?\What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that? response:	No way.
context: Should you be throwing this away?\What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that?\No way. response:	Hey.
context: What? It can't be.\What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that?\No way.\Hey. response:	He's still wearing a blazer.
context: What? Why?\Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that?\No way.\Hey.\He's still wearing a blazer. response:	And a hood, too.
context: Strange. He's always so diligent when it comes to his duties. He would never make this kind of mistake.\Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that?\No way.\Hey.\He's still wearing a blazer.\And a hood, too. response:	Isn't it hot?
context: Also, Kataya from this morning and Kosugi from yesterday.\What is going on?\Can you believe that?\No way.\Hey.\He's still wearing a blazer.\And a hood, too.\Isn't it hot? response:	You're a student council member, right?
context: What is going on?\Can you believe that?\No way.\Hey.\He's still wearing a blazer.\And a hood, too.\Isn't it hot?\You're a student council member, right? response:	Do you need something?
context: Can you believe that?\No way.\Hey.\He's still wearing a blazer.\And a hood, too.\Isn't it hot?\You're a student council member, right?\Do you need something? response:	What is this?
context: No way.\Hey.\He's still wearing a blazer.\And a hood, too.\Isn't it hot?\You're a student council member, right?\Do you need something?\What is this? response:	Maybe they're having a broadcasting test?
context: Hey.\He's still wearing a blazer.\And a hood, too.\Isn't it hot?\You're a student council member, right?\Do you need something?\What is this?\Maybe they're having a broadcasting test? response:	This music...
context: He's still wearing a blazer.\And a hood, too.\Isn't it hot?\You're a student council member, right?\Do you need something?\What is this?\Maybe they're having a broadcasting test?\This music... response:	It really puts people to sleep.
context: And a hood, too.\Isn't it hot?\You're a student council member, right?\Do you need something?\What is this?\Maybe they're having a broadcasting test?\This music...\It really puts people to sleep. response:	Hey, what is this broadcast about?
context: Isn't it hot?\You're a student council member, right?\Do you need something?\What is this?\Maybe they're having a broadcasting test?\This music...\It really puts people to sleep.\Hey, what is this broadcast about? response:	Who are you? Are you the broadcasting rep?
context: You're a student council member, right?\Do you need something?\What is this?\Maybe they're having a broadcasting test?\This music...\It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep? response:	Did you catch a cold or something?
context: Do you need something?\What is this?\Maybe they're having a broadcasting test?\This music...\It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something? response:	Yes.
context: What is this?\Maybe they're having a broadcasting test?\This music...\It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes. response:	Are you performing a broadcasting test?
context: Maybe they're having a broadcasting test?\This music...\It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes.\Are you performing a broadcasting test? response:	Yes.
context: This music...\It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes.\Are you performing a broadcasting test?\Yes. response:	Then could you change the music? This tune makes me really sleepy.
context: It really puts people to sleep.\Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes.\Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy. response:	This is the best tune.
context: Hey, what is this broadcast about?\Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes.\Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune. response:	It relaxes people and put them in like an intoxicated state.
context: Who are you? Are you the broadcasting rep?\Did you catch a cold or something?\Yes.\Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state. response:	What?
context: Did you catch a cold or something?\Yes.\Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state.\What? response:	This actually works more on smart people like you.
context: Yes.\Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you. response:	And you're very honest when you're not alert.
context: Are you performing a broadcasting test?\Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you.\And you're very honest when you're not alert. response:	You listen attentively.
context: Yes.\Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively. response:	You are the heart of the Student Council.
context: Then could you change the music? This tune makes me really sleepy.\This is the best tune.\It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council. response:	I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.
context: This is the best tune.\It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position. response:	We don't need any more girls at Seika.
context: It relaxes people and put them in like an intoxicated state.\What?\This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.\We don't need any more girls at Seika. response:	Are you awake now, Prez?
context: What?\This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.\We don't need any more girls at Seika.\Are you awake now, Prez? response:	You were sleeping in the broadcasting room, so I brought you over to the infirmary.
context: This actually works more on smart people like you.\And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.\We don't need any more girls at Seika.\Are you awake now, Prez?\You were sleeping in the broadcasting room, so I brought you over to the infirmary. response:	Why were you sleeping there?
context: And you're very honest when you're not alert.\You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.\We don't need any more girls at Seika.\Are you awake now, Prez?\You were sleeping in the broadcasting room, so I brought you over to the infirmary.\Why were you sleeping there? response:	Who the heck are youu!?
context: You listen attentively.\You are the heart of the Student Council.\I will now have you make a complete fool out of yourself in front of the teacher, to the point where you'll never regain your position.\We don't need any more girls at Seika.\Are you awake now, Prez?\You were sleeping in the broadcasting room, so I brought you over to the infirmary.\Why were you sleeping there?\Who the heck are youu!? response:	Oh, itsh Usui. What are youu doing here?
