context: The Alliance forces will arrive on this battlefield by evening. response:	Approximately 40,000 strong.
context: In that case, we'll counter with a trick move!\Commence the attack!\Fall back!\Damn it, destroy that scaffold!\Withdraw!\All forces, halt!\Don't let this chance slip!\What in... response:	They're not faring well.
context: Commence the attack!\Fall back!\Damn it, destroy that scaffold!\Withdraw!\All forces, halt!\Don't let this chance slip!\What in...\They're not faring well. response:	Let's ask Lords Kuban and Karim for aid at the front lines.
context: Fall back!\Damn it, destroy that scaffold!\Withdraw!\All forces, halt!\Don't let this chance slip!\What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines. response:	And the Nords?
context: Damn it, destroy that scaffold!\Withdraw!\All forces, halt!\Don't let this chance slip!\What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords? response:	I'm told they're about to launch an attack on Haman.
context: Withdraw!\All forces, halt!\Don't let this chance slip!\What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman. response:	Tell them to hurry.
context: All forces, halt!\Don't let this chance slip!\What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry. response:	As you wish.
context: Don't let this chance slip!\What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish. response:	Nord's long ships?
context: What in...\They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish.\Nord's long ships? response:	After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.
context: They're not faring well.\Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy. response:	But this is likely the full force that the Nords can mobilize now.
context: Let's ask Lords Kuban and Karim for aid at the front lines.\And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now. response:	I'll drive them back.
context: And the Nords?\I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back. response:	We'll sink any ships from Haman.
context: I'm told they're about to launch an attack on Haman.\Tell them to hurry.\As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman. response:	Fight, and make my father Erik proud!
context: Tell them to hurry.\As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud! response:	Hey, that's a fire ship!
context: As you wish.\Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship! response:	The kind that can spread fire?
context: Nord's long ships?\After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire? response:	Clear a pathway, and send it out to sea!
context: After being trounced by the Marquis of Jalucia, I'm amazed they still have troops to deploy.\But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea! response:	You're not escaping.
context: But this is likely the full force that the Nords can mobilize now.\I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping. response:	Letting your guard down on the battlefield? Such foolishness!
context: I'll drive them back.\We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness! response:	Start chipping away from the side!
context: We'll sink any ships from Haman.\Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side! response:	There are too many enemy troops! At this rate, we'll be caught in a pincer attack.
context: Fight, and make my father Erik proud!\Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack. response:	Damn!
context: Hey, that's a fire ship!\The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn! response:	Lords Shahn and Nayuta's forces have finished regrouping.
context: The kind that can spread fire?\Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping. response:	Lords Kuban and Karim are advancing on both flanks.
context: Clear a pathway, and send it out to sea!\You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks. response:	Just one more push before we breach the enemy lines.
context: You're not escaping.\Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines. response:	We'll finish this once and for all.
context: Letting your guard down on the battlefield? Such foolishness!\Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all. response:	I'm heading out, as well.
context: Start chipping away from the side!\There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well. response:	The Waldlind forces are on the move!
context: There are too many enemy troops! At this rate, we'll be caught in a pincer attack.\Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move! response:	I see.
context: Damn!\Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move!\I see. response:	Petr, I want you to tell Lassic to keep fighting while falling back to the main force.
context: Lords Shahn and Nayuta's forces have finished regrouping.\Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force. response:	We'll draw them in, and stop them here.
context: Lords Kuban and Karim are advancing on both flanks.\Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here. response:	You're going out to fight?
context: Just one more push before we breach the enemy lines.\We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight? response:	I won't fight one-on-one.
context: We'll finish this once and for all.\I'm heading out, as well.\The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one. response:	Theo Cornaro!
context: I'm heading out, as well.\The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one.\Theo Cornaro! response:	Theo the Hero is here!
context: The Waldlind forces are on the move!\I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here! response:	Let's drive back the enemy!
context: I see.\Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy! response:	It's the Waldlind army!
context: Petr, I want you to tell Lassic to keep fighting while falling back to the main force.\We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army! response:	Lady Marrine!
context: We'll draw them in, and stop them here.\You're going out to fight?\I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine! response:	Heavy crossbows, take position.
context: You're going out to fight?\I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position. response:	Load the Crest Bullets!
context: I won't fight one-on-one.\Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets! response:	Here it comes! Put up your shields!
context: Theo Cornaro!\Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields! response:	Fire!
context: Theo the Hero is here!\Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields!\Fire! response:	Don't falter!
context: Let's drive back the enemy!\It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields!\Fire!\Don't falter! response:	Strike back!
context: It's the Waldlind army!\Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields!\Fire!\Don't falter!\Strike back! response:	Move in!
context: Lady Marrine!\Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields!\Fire!\Don't falter!\Strike back!\Move in! response:	Explode!
context: Heavy crossbows, take position.\Load the Crest Bullets!\Here it comes! Put up your shields!\Fire!\Don't falter!\Strike back!\Move in!\Explode! response:	Extinguish!
context: Load the Crest Bullets!\Here it comes! Put up your shields!\Fire!\Don't falter!\Strike back!\Move in!\Explode!\Extinguish! response:	Allow me to guide you to the afterlife!
context: Here it comes! Put up your shields!\Fire!\Don't falter!\Strike back!\Move in!\Explode!\Extinguish!\Allow me to guide you to the afterlife! response:	It's a Valkyrie!
context: Fire!\Don't falter!\Strike back!\Move in!\Explode!\Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie! response:	- Don't fall behind. - You too, Irvin.
context: Don't falter!\Strike back!\Move in!\Explode!\Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin. response:	Two units of infantry, advance along with the Knights-at-Arms!
context: Strike back!\Move in!\Explode!\Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms! response:	Parry!
context: Move in!\Explode!\Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry! response:	Until Sir Alexis...
context: Explode!\Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis... response:	until the Union arrives...
context: Extinguish!\Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis...\until the Union arrives... response:	we have to hold out.
context: Allow me to guide you to the afterlife!\It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis...\until the Union arrives...\we have to hold out. response:	Siluca!
context: It's a Valkyrie!\- Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis...\until the Union arrives...\we have to hold out.\Siluca! response:	Sir Theo.
context: - Don't fall behind. - You too, Irvin.\Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis...\until the Union arrives...\we have to hold out.\Siluca!\Sir Theo. response:	The Alliance's main unit... is on the move...
context: Two units of infantry, advance along with the Knights-at-Arms!\Parry!\Until Sir Alexis...\until the Union arrives...\we have to hold out.\Siluca!\Sir Theo.\The Alliance's main unit... is on the move... response:	Yeah.
context: Parry!\Until Sir Alexis...\until the Union arrives...\we have to hold out.\Siluca!\Sir Theo.\The Alliance's main unit... is on the move...\Yeah. response:	With our full force, we must...
context: Until Sir Alexis...\until the Union arrives...\we have to hold out.\Siluca!\Sir Theo.\The Alliance's main unit... is on the move...\Yeah.\With our full force, we must... response:	Marrine.
context: until the Union arrives...\we have to hold out.\Siluca!\Sir Theo.\The Alliance's main unit... is on the move...\Yeah.\With our full force, we must...\Marrine. response:	It's the Union forces!
context: we have to hold out.\Siluca!\Sir Theo.\The Alliance's main unit... is on the move...\Yeah.\With our full force, we must...\Marrine.\It's the Union forces! response:	We managed to hold out!
context: Siluca!\Sir Theo.\The Alliance's main unit... is on the move...\Yeah.\With our full force, we must...\Marrine.\It's the Union forces!\We managed to hold out! response:	All right!
context: Sir Theo.\The Alliance's main unit... is on the move...\Yeah.\With our full force, we must...\Marrine.\It's the Union forces!\We managed to hold out!\All right! response:	Alexis.
context: The Alliance's main unit... is on the move...\Yeah.\With our full force, we must...\Marrine.\It's the Union forces!\We managed to hold out!\All right!\Alexis. response:	Retreat, and regroup.
context: Yeah.\With our full force, we must...\Marrine.\It's the Union forces!\We managed to hold out!\All right!\Alexis.\Retreat, and regroup. response:	At this rate, they'll cut off our escape.
context: With our full force, we must...\Marrine.\It's the Union forces!\We managed to hold out!\All right!\Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape. response:	As you wish.
context: Marrine.\It's the Union forces!\We managed to hold out!\All right!\Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish. response:	Looks like we managed to get through.
context: It's the Union forces!\We managed to hold out!\All right!\Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through. response:	Let's withdraw, too.
context: We managed to hold out!\All right!\Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through.\Let's withdraw, too. response:	And I want to hold a meeting between the three leaders.
context: All right!\Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders. response:	Yes.
context: Alexis.\Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes. response:	Allow me to offer two proposals.
context: Retreat, and regroup.\At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals. response:	First, the Alliance, Union, and Treaty. The three factions all agree to a truce.
context: At this rate, they'll cut off our escape.\As you wish.\Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce. response:	Out of the question.
context: As you wish.\Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question. response:	Why is that?
context: Looks like we managed to get through.\Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that? response:	A truce would only benefit the true enemy lurking across the Continent.
context: Let's withdraw, too.\And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent. response:	True enemy?
context: And I want to hold a meeting between the three leaders.\Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy? response:	Those who caused the Great Hall Tragedy.
context: Yes.\Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy. response:	No, I mean those who have ruled the world from the shadows since long before that.
context: Allow me to offer two proposals.\First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that. response:	Sir Theo knows who I'm referring to.
context: First, the Alliance, Union, and Treaty. The three factions all agree to a truce.\Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to. response:	The Mage Academy.
context: Out of the question.\Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy. response:	That's right.
context: Why is that?\A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy.\That's right. response:	A truce would ensure the court rank system...
context: A truce would only benefit the true enemy lurking across the Continent.\True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy.\That's right.\A truce would ensure the court rank system... response:	In other words, the current system established by the Mage Academy, would remain in place.
context: True enemy?\Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy.\That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place. response:	We Lords are like livestock being raised on a certain feed called court ranks,
context: Those who caused the Great Hall Tragedy.\No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy.\That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks, response:	with which the Mage Academy rewards us.
context: No, I mean those who have ruled the world from the shadows since long before that.\Sir Theo knows who I'm referring to.\The Mage Academy.\That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us. response:	That's exactly why we're calling a truce.
context: Sir Theo knows who I'm referring to.\The Mage Academy.\That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce. response:	It's because of the strife between the Lords, and our constant battling over court ranks
context: The Mage Academy.\That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks response:	is why we're still under the Mage Academy's sway.
context: That's right.\A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway. response:	In fact, the Mage Academy has us right where they want us now.
