context: A healthy soul... response:	A bomb?
context: Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point. response:	What a trap...
context: It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap... response:	Is this it?
context: I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap...\Is this it? response:	My chest...
context: Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap...\Is this it?\My chest... response:	Hey, wait!
context: Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap...\Is this it?\My chest...\Hey, wait! response:	If we give up here, the Kishin will be resurrected!
context: That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap...\Is this it?\My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected! response:	If a Shinigami such as yourself doesn't do it, who will?
context: Aren't they scary just as it is?\Yeah, you make a really good point.\What a trap...\Is this it?\My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will? response:	Say whatever you want.
context: Yeah, you make a really good point.\What a trap...\Is this it?\My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want. response:	I'm a piece of garbage... throw me out with the trash.
context: What a trap...\Is this it?\My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash. response:	I'm a piece of garbage... throw me out with the trash.
context: Is this it?\My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash. response:	Patty-san, I leave the bad guy voice to you...
context: My chest...\Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you... response:	Get a move on, you good for nothing!
context: Hey, wait!\If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing! response:	Amazing, we're gaining speed from the explosions!
context: If we give up here, the Kishin will be resurrected!\If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions! response:	Even more amazing is Patty's bad guy voice.
context: If a Shinigami such as yourself doesn't do it, who will?\Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice. response:	As expected from her...
context: Say whatever you want.\I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her... response:	Fall into bitter agony, you bastard!
context: I'm a piece of garbage... throw me out with the trash.\I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard! response:	You're the worst, Patty!
context: I'm a piece of garbage... throw me out with the trash.\Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty! response:	You idiot!
context: Patty-san, I leave the bad guy voice to you...\Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot! response:	You're an idiot!
context: Get a move on, you good for nothing!\Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot!\You're an idiot! response:	You're an idiot!
context: Amazing, we're gaining speed from the explosions!\Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot!\You're an idiot!\You're an idiot! response:	Come on, just a bit more, okay?
context: Even more amazing is Patty's bad guy voice.\As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot!\You're an idiot!\You're an idiot!\Come on, just a bit more, okay? response:	They're approaching amazingly fast.
context: As expected from her...\Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot!\You're an idiot!\You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast. response:	They're gonna catch up with us.
context: Fall into bitter agony, you bastard!\You're the worst, Patty!\You idiot!\You're an idiot!\You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us. response:	To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.
context: You're the worst, Patty!\You idiot!\You're an idiot!\You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us. response:	Well, you can leave this to me...
context: You idiot!\You're an idiot!\You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me... response:	Could you lend me your tadpole for a while?
context: You're an idiot!\You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while? response:	What are you going to do with my tadpole?
context: You're an idiot!\Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole? response:	What?
context: Come on, just a bit more, okay?\They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What? response:	I'm just going to use him as a little distraction...
context: They're approaching amazingly fast.\They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction... response:	Reach it, My Soul.
context: They're gonna catch up with us.\To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction...\Reach it, My Soul. response:	A Thirsty Heart In Unbearable Solitude?
context: To inject the Kishin with black blood, we have to guard this case as best as we can or else Medusa will kill us.\Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude? response:	Go!
context: Well, you can leave this to me...\Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go! response:	It feels... super!
context: Could you lend me your tadpole for a while?\What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super! response:	It feels... super!
context: What are you going to do with my tadpole?\What?\I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super!\It feels... super! response:	What? No!
context: What?\I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super!\It feels... super!\What? No! response:	Doing unexpected things...
context: I'm just going to use him as a little distraction...\Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super!\It feels... super!\What? No!\Doing unexpected things... response:	Stay away!
context: Reach it, My Soul.\A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super!\It feels... super!\What? No!\Doing unexpected things...\Stay away! response:	Really...
context: A Thirsty Heart In Unbearable Solitude?\Go!\It feels... super!\It feels... super!\What? No!\Doing unexpected things...\Stay away!\Really... response:	I've told you to stop with the surprises!
context: Go!\It feels... super!\It feels... super!\What? No!\Doing unexpected things...\Stay away!\Really...\I've told you to stop with the surprises! response:	I love it!
context: It feels... super!\It feels... super!\What? No!\Doing unexpected things...\Stay away!\Really...\I've told you to stop with the surprises!\I love it! response:	It's black, huh?
context: It feels... super!\What? No!\Doing unexpected things...\Stay away!\Really...\I've told you to stop with the surprises!\I love it!\It's black, huh? response:	What's up with this fight?
context: What? No!\Doing unexpected things...\Stay away!\Really...\I've told you to stop with the surprises!\I love it!\It's black, huh?\What's up with this fight? response:	If you want me to do anything more, tell me!
context: Doing unexpected things...\Stay away!\Really...\I've told you to stop with the surprises!\I love it!\It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me! response:	This is madness?
context: Stay away!\Really...\I've told you to stop with the surprises!\I love it!\It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me!\This is madness? response:	Without letting the person feel fear,
context: Really...\I've told you to stop with the surprises!\I love it!\It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear, response:	Do more...
context: I've told you to stop with the surprises!\I love it!\It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear,\Do more... response:	Can't you do more?
context: I love it!\It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear,\Do more...\Can't you do more? response:	Twisting or digging...
context: It's black, huh?\What's up with this fight?\If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear,\Do more...\Can't you do more?\Twisting or digging... response:	Or tearing something off!
context: What's up with this fight?\If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear,\Do more...\Can't you do more?\Twisting or digging...\Or tearing something off! response:	What are you doing, Maka?
context: If you want me to do anything more, tell me!\This is madness?\Without letting the person feel fear,\Do more...\Can't you do more?\Twisting or digging...\Or tearing something off!\What are you doing, Maka? response:	You didn't go to that room to do this kind of stuff!
context: This is madness?\Without letting the person feel fear,\Do more...\Can't you do more?\Twisting or digging...\Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff! response:	Rawr!
context: Without letting the person feel fear,\Do more...\Can't you do more?\Twisting or digging...\Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr! response:	Dammit, I'm about to be engulfed by the madness, too...
context: Do more...\Can't you do more?\Twisting or digging...\Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too... response:	Hurry up, or else you might not be able to return!
context: Can't you do more?\Twisting or digging...\Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return! response:	Soul?
context: Twisting or digging...\Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul? response:	Damn...
context: Or tearing something off!\What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul?\Damn... response:	This is quite embarrassing...
context: What are you doing, Maka?\You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul?\Damn...\This is quite embarrassing... response:	It's not that different from your usual self.
context: You didn't go to that room to do this kind of stuff!\Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul?\Damn...\This is quite embarrassing...\It's not that different from your usual self. response:	So, just do what needs to be done!
context: Rawr!\Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul?\Damn...\This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done! response:	Yes, I know...
context: Dammit, I'm about to be engulfed by the madness, too...\Hurry up, or else you might not be able to return!\Soul?\Damn...\This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know... response:	I should be able to do it now.
context: Hurry up, or else you might not be able to return!\Soul?\Damn...\This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know...\I should be able to do it now. response:	That feeling I got while I was crazy.
context: Soul?\Damn...\This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy. response:	Now that I am as mad as Chrona...
context: Damn...\This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona... response:	I can match Chrona's wavelength.
context: This is quite embarrassing...\It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength. response:	Feel it...
context: It's not that different from your usual self.\So, just do what needs to be done!\Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it... response:	This is...
context: So, just do what needs to be done!\Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it...\This is... response:	My soul.
context: Yes, I know...\I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it...\This is...\My soul. response:	It's really small.
context: I should be able to do it now.\That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it...\This is...\My soul.\It's really small. response:	That is...
context: That feeling I got while I was crazy.\Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it...\This is...\My soul.\It's really small.\That is... response:	Rebellious, but in the end always bowing to my every whim...
context: Now that I am as mad as Chrona...\I can match Chrona's wavelength.\Feel it...\This is...\My soul.\It's really small.\That is...\Rebellious, but in the end always bowing to my every whim... response:	The best guy!
context: I can match Chrona's wavelength.\Feel it...\This is...\My soul.\It's really small.\That is...\Rebellious, but in the end always bowing to my every whim...\The best guy! response:	My partner's...
context: Feel it...\This is...\My soul.\It's really small.\That is...\Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's... response:	It's Soul's soul.
context: This is...\My soul.\It's really small.\That is...\Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's...\It's Soul's soul. response:	Chrona's soul...
context: My soul.\It's really small.\That is...\Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's...\It's Soul's soul.\Chrona's soul... response:	That's Chrona's soul.
context: It's really small.\That is...\Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's...\It's Soul's soul.\Chrona's soul...\That's Chrona's soul. response:	Why is it...
context: That is...\Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's...\It's Soul's soul.\Chrona's soul...\That's Chrona's soul.\Why is it... response:	I feel a very weak wavelength from it.
context: Rebellious, but in the end always bowing to my every whim...\The best guy!\My partner's...\It's Soul's soul.\Chrona's soul...\That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it. response:	A desert?
context: The best guy!\My partner's...\It's Soul's soul.\Chrona's soul...\That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it.\A desert? response:	It looks like a sand dune...
context: My partner's...\It's Soul's soul.\Chrona's soul...\That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it.\A desert?\It looks like a sand dune... response:	Chrona?
context: It's Soul's soul.\Chrona's soul...\That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it.\A desert?\It looks like a sand dune...\Chrona? response:	I'll be taking my revenge...
context: Chrona's soul...\That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it.\A desert?\It looks like a sand dune...\Chrona?\I'll be taking my revenge... response:	Pumpkin, pumpkin...
context: That's Chrona's soul.\Why is it...\I feel a very weak wavelength from it.\A desert?\It looks like a sand dune...\Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin... response:	Pumpkin, pumpkin...
context: Why is it...\I feel a very weak wavelength from it.\A desert?\It looks like a sand dune...\Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin... response:	Smashing Pumpkin!
context: I feel a very weak wavelength from it.\A desert?\It looks like a sand dune...\Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin! response:	What's up with that?
context: A desert?\It looks like a sand dune...\Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that? response:	As a woman, I have to make sure that my body is soft, right?
context: It looks like a sand dune...\Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right? response:	To think five of them couldn't even touch me...
context: Chrona?\I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me... response:	Don't get too full of yourself, kitten.
context: I'll be taking my revenge...\Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten. response:	As they say, A cornered rat will bite a cat, right?
context: Pumpkin, pumpkin...\Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right? response:	What are you doing, trying to provoke me on my territory?
context: Pumpkin, pumpkin...\Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory? response:	I can't take this anymore... my heart can't take it!
context: Smashing Pumpkin!\What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it! response:	I'll crush you, you little runt.
context: What's up with that?\As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt. response:	Big words from a five-tier cake.
context: As a woman, I have to make sure that my body is soft, right?\To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake. response:	What a vulgar body.
context: To think five of them couldn't even touch me...\Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body. response:	Say, what about you?
context: Don't get too full of yourself, kitten.\As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body.\Say, what about you? response:	It shows everything from below...
context: As they say, A cornered rat will bite a cat, right?\What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body.\Say, what about you?\It shows everything from below... response:	Haven't you died yet?
context: What are you doing, trying to provoke me on my territory?\I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body.\Say, what about you?\It shows everything from below...\Haven't you died yet? response:	The research I did on the black blood is complete.
context: I can't take this anymore... my heart can't take it!\I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body.\Say, what about you?\It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete. response:	All that's left is injecting it into the Kishin.
context: I'll crush you, you little runt.\Big words from a five-tier cake.\What a vulgar body.\Say, what about you?\It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin. response:	No matter how hard you try, it's useless.
context: Big words from a five-tier cake.\What a vulgar body.\Say, what about you?\It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless. response:	This plan will succeed.
context: What a vulgar body.\Say, what about you?\It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless.\This plan will succeed. response:	Once you're done with resurrecting the Kishin, what do you intend to do with the Devil Sword child?
context: Say, what about you?\It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless.\This plan will succeed.\Once you're done with resurrecting the Kishin, what do you intend to do with the Devil Sword child? response:	The black blood investigation is done.
context: It shows everything from below...\Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless.\This plan will succeed.\Once you're done with resurrecting the Kishin, what do you intend to do with the Devil Sword child?\The black blood investigation is done. response:	The results of the investigation are complete.
context: Haven't you died yet?\The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless.\This plan will succeed.\Once you're done with resurrecting the Kishin, what do you intend to do with the Devil Sword child?\The black blood investigation is done.\The results of the investigation are complete. response:	Meaning...
context: The research I did on the black blood is complete.\All that's left is injecting it into the Kishin.\No matter how hard you try, it's useless.\This plan will succeed.\Once you're done with resurrecting the Kishin, what do you intend to do with the Devil Sword child?\The black blood investigation is done.\The results of the investigation are complete.\Meaning... response:	What? Such a boring question...
