context: Serial Killer!! in Akihabara? response:	That serial killer showed up again?
context: Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay! response:	Training on Christmas? You're kidding me.
context: means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay!\Training on Christmas? You're kidding me. response:	murderer?
context: By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay!\Training on Christmas? You're kidding me.\murderer? response:	Screw that murderer. Where the hell is the Royal Guard?
context: It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay!\Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard? response:	They're interfering.
context: Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay!\Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering. response:	All these unneeded presences...
context: It's Christmas Eve. Want to get something to eat somewhere?\Where are you,\I-I'll pay!\Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences... response:	Would my lord be angry that I keep doing this?
context: Where are you,\I-I'll pay!\Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this? response:	I want you to protect Princess Lenessia.
context: I-I'll pay!\Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia. response:	What did he want me to protect her from?
context: Training on Christmas? You're kidding me.\murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from? response:	It's true that People of the Land are weak.
context: murderer?\Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak. response:	But I think she has plenty of strength.
context: Screw that murderer. Where the hell is the Royal Guard?\They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength. response:	Do I have the right to protect her?
context: They're interfering.\All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her? response:	Or the right to say anything?
context: All these unneeded presences...\Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything? response:	I want to be strong...
context: Would my lord be angry that I keep doing this?\I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything?\I want to be strong... response:	The enemy is very skilled.
context: I want you to protect Princess Lenessia.\What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything?\I want to be strong...\The enemy is very skilled. response:	Keep your guard up at all times.
context: What did he want me to protect her from?\It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything?\I want to be strong...\The enemy is very skilled.\Keep your guard up at all times. response:	Assume that his abilities
context: It's true that People of the Land are weak.\But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything?\I want to be strong...\The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities response:	exceed your own, and even mine.
context: But I think she has plenty of strength.\Do I have the right to protect her?\Or the right to say anything?\I want to be strong...\The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine. response:	Make sure you stay with your group, and report in constantly.
context: Do I have the right to protect her?\Or the right to say anything?\I want to be strong...\The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly. response:	Nazuna will coordinate communications at HQ.
context: Or the right to say anything?\I want to be strong...\The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ. response:	Don't try to be heroes.
context: I want to be strong...\The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes. response:	Even if you end up in combat with the target,
context: The enemy is very skilled.\Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target, response:	use formation alpha to delay him.
context: Keep your guard up at all times.\Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him. response:	For this operation, we've put two healers in every team,
context: Assume that his abilities\exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team, response:	so you won't have enough attack power.
context: exceed your own, and even mine.\Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power. response:	Your job is to delay him and contact us.
context: Make sure you stay with your group, and report in constantly.\Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power.\Your job is to delay him and contact us. response:	Got it?
context: Nazuna will coordinate communications at HQ.\Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power.\Your job is to delay him and contact us.\Got it? response:	Got it!
context: Don't try to be heroes.\Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power.\Your job is to delay him and contact us.\Got it?\Got it! response:	Okay. All right, Souji!
context: Even if you end up in combat with the target,\use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power.\Your job is to delay him and contact us.\Got it?\Got it!\Okay. All right, Souji! response:	I think you said everything I wanted to say.
context: use formation alpha to delay him.\For this operation, we've put two healers in every team,\so you won't have enough attack power.\Your job is to delay him and contact us.\Got it?\Got it!\Okay. All right, Souji!\I think you said everything I wanted to say. response:	Just one thing, then.
