context: There's so much I need to talk about. response:	About her.
context: and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being. response:	I don't have time to pay attention to other people.
context: the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people. response:	Mizutani-san.
context: However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san. response:	Little Nines
context: I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san.\Little Nines response:	Excuse me. My name is Mizutani.
context: 10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san.\Little Nines\Excuse me. My name is Mizutani. response:	Is Yoshida-kun here?
context: I have a dream.\In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san.\Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here? response:	Haru? He's...
context: In order to achieve that dream,\I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san.\Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's... response:	It's your fault that Marco died!
context: I am completely focused on calculus for the time being.\I don't have time to pay attention to other people.\Mizutani-san.\Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died! response:	Haru!
context: I don't have time to pay attention to other people.\Mizutani-san.\Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died!\Haru! response:	I told you to control yourself in here!
context: Mizutani-san.\Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died!\Haru!\I told you to control yourself in here! response:	But Mi-chan!
context: Little Nines\Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died!\Haru!\I told you to control yourself in here!\But Mi-chan! response:	He...
context: Excuse me. My name is Mizutani.\Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died!\Haru!\I told you to control yourself in here!\But Mi-chan!\He... response:	You can't blame Marco's death on anyone else.
context: Is Yoshida-kun here?\Haru? He's...\It's your fault that Marco died!\Haru!\I told you to control yourself in here!\But Mi-chan!\He...\You can't blame Marco's death on anyone else. response:	You just suck.
context: Haru? He's...\It's your fault that Marco died!\Haru!\I told you to control yourself in here!\But Mi-chan!\He...\You can't blame Marco's death on anyone else.\You just suck. response:	Anyway, here.
context: It's your fault that Marco died!\Haru!\I told you to control yourself in here!\But Mi-chan!\He...\You can't blame Marco's death on anyone else.\You just suck.\Anyway, here. response:	You have a guest.
context: Haru!\I told you to control yourself in here!\But Mi-chan!\He...\You can't blame Marco's death on anyone else.\You just suck.\Anyway, here.\You have a guest. response:	Huh?
context: I told you to control yourself in here!\But Mi-chan!\He...\You can't blame Marco's death on anyone else.\You just suck.\Anyway, here.\You have a guest.\Huh? response:	Oh, here you go.
context: But Mi-chan!\He...\You can't blame Marco's death on anyone else.\You just suck.\Anyway, here.\You have a guest.\Huh?\Oh, here you go. response:	I was asked to drop these off.
context: He...\You can't blame Marco's death on anyone else.\You just suck.\Anyway, here.\You have a guest.\Huh?\Oh, here you go.\I was asked to drop these off. response:	Misawa GAME Batting Center
context: You can't blame Marco's death on anyone else.\You just suck.\Anyway, here.\You have a guest.\Huh?\Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center response:	Thanks for coming out here.
context: You just suck.\Anyway, here.\You have a guest.\Huh?\Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here. response:	Hey! Are you a spy for the school?
context: Anyway, here.\You have a guest.\Huh?\Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school? response:	Huh?
context: You have a guest.\Huh?\Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school?\Huh? response:	Don't play dumb!
context: Huh?\Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school?\Huh?\Don't play dumb! response:	Ow!
context: Oh, here you go.\I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school?\Huh?\Don't play dumb!\Ow! response:	That hurts!
context: I was asked to drop these off.\Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school?\Huh?\Don't play dumb!\Ow!\That hurts! response:	I was just dropping off some handouts!
context: Misawa GAME Batting Center\Thanks for coming out here.\Hey! Are you a spy for the school?\Huh?\Don't play dumb!\Ow!\That hurts!\I was just dropping off some handouts! response:	Handouts?
context: Thanks for coming out here.\Hey! Are you a spy for the school?\Huh?\Don't play dumb!\Ow!\That hurts!\I was just dropping off some handouts!\Handouts? response:	You better not be lying to me.
context: Hey! Are you a spy for the school?\Huh?\Don't play dumb!\Ow!\That hurts!\I was just dropping off some handouts!\Handouts?\You better not be lying to me. response:	I thought you were going to tell me
context: Huh?\Don't play dumb!\Ow!\That hurts!\I was just dropping off some handouts!\Handouts?\You better not be lying to me.\I thought you were going to tell me response:	to go to school like that one teacher lady.
context: Don't play dumb!\Ow!\That hurts!\I was just dropping off some handouts!\Handouts?\You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady. response:	Hey.
context: Ow!\That hurts!\I was just dropping off some handouts!\Handouts?\You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady.\Hey. response:	What's your name?
context: That hurts!\I was just dropping off some handouts!\Handouts?\You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady.\Hey.\What's your name? response:	Mi-Mizutani Shizuku.
context: I was just dropping off some handouts!\Handouts?\You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady.\Hey.\What's your name?\Mi-Mizutani Shizuku. response:	Shizuku?
context: Handouts?\You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady.\Hey.\What's your name?\Mi-Mizutani Shizuku.\Shizuku? response:	Hmm?
context: You better not be lying to me.\I thought you were going to tell me\to go to school like that one teacher lady.\Hey.\What's your name?\Mi-Mizutani Shizuku.\Shizuku?\Hmm? response:	S-So this is like when someone gets sick
context: I thought you were going to tell me\to go to school like that one teacher lady.\Hey.\What's your name?\Mi-Mizutani Shizuku.\Shizuku?\Hmm?\S-So this is like when someone gets sick response:	and a friend brings him handouts?
context: to go to school like that one teacher lady.\Hey.\What's your name?\Mi-Mizutani Shizuku.\Shizuku?\Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts? response:	Oh, you can call me Haru!
context: Hey.\What's your name?\Mi-Mizutani Shizuku.\Shizuku?\Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru! response:	S-Since we're friends!
context: What's your name?\Mi-Mizutani Shizuku.\Shizuku?\Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends! response:	See you later, Shizuku!
context: Mi-Mizutani Shizuku.\Shizuku?\Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku! response:	Incomprehensible.
context: Shizuku?\Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku!\Incomprehensible. response:	Disturbing.
context: Hmm?\S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku!\Incomprehensible.\Disturbing. response:	That was my first impression.
context: S-So this is like when someone gets sick\and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku!\Incomprehensible.\Disturbing.\That was my first impression. response:	Receipt Ninomiya Saeko For study guide Purchased on May 10th
context: and a friend brings him handouts?\Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku!\Incomprehensible.\Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th response:	Pay up, Saeko-sensei.
context: Oh, you can call me Haru!\S-Since we're friends!\See you later, Shizuku!\Incomprehensible.\Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei. response:	You promised to buy me a study guide if I ran an errand for you.
context: S-Since we're friends!\See you later, Shizuku!\Incomprehensible.\Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you. response:	Thank you, Mizutani-san!
context: See you later, Shizuku!\Incomprehensible.\Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san! response:	I didn't know what to do because
context: Incomprehensible.\Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because response:	he refused to see me.
context: Disturbing.\That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me. response:	How did it go?
context: That was my first impression.\Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me.\How did it go? response:	He called me a friend.
context: Receipt Ninomiya Saeko For study guide Purchased on May 10th\Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me.\How did it go?\He called me a friend. response:	What? That's amazing!
context: Pay up, Saeko-sensei.\You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me.\How did it go?\He called me a friend.\What? That's amazing! response:	In that case, can you persuade him to come to school?
context: You promised to buy me a study guide if I ran an errand for you.\Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me.\How did it go?\He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school? response:	Persuade?
context: Thank you, Mizutani-san!\I didn't know what to do because\he refused to see me.\How did it go?\He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school?\Persuade? response:	You see, Yoshida-kun's suspension has already been lifted.
context: I didn't know what to do because\he refused to see me.\How did it go?\He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted. response:	He did get a bit carried away,
context: he refused to see me.\How did it go?\He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away, response:	but the upperclassmen were at fault.
context: How did it go?\He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault. response:	When it happened, he was suspended without any discussion,
context: He called me a friend.\What? That's amazing!\In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion, response:	so he doesn't trust the school anymore.
context: What? That's amazing!\In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore. response:	I'd have trouble sleeping at night
context: In that case, can you persuade him to come to school?\Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night response:	if he quits school as a result.
context: Persuade?\You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result. response:	So persuade him to come back.
context: You see, Yoshida-kun's suspension has already been lifted.\He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back. response:	Okay, Mizutani-san?
context: He did get a bit carried away,\but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san? response:	I refuse.
context: but the upperclassmen were at fault.\When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san?\I refuse. response:	Wh-Why?!
context: When it happened, he was suspended without any discussion,\so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san?\I refuse.\Wh-Why?! response:	I really need your help!
context: so he doesn't trust the school anymore.\I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san?\I refuse.\Wh-Why?!\I really need your help! response:	Are you telling me to go persuade him?!
context: I'd have trouble sleeping at night\if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san?\I refuse.\Wh-Why?!\I really need your help!\Are you telling me to go persuade him?! response:	Are you a blizzard?!
context: if he quits school as a result.\So persuade him to come back.\Okay, Mizutani-san?\I refuse.\Wh-Why?!\I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?! response:	Out of the question.
context: So persuade him to come back.\Okay, Mizutani-san?\I refuse.\Wh-Why?!\I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question. response:	A raging blizzard!
context: Okay, Mizutani-san?\I refuse.\Wh-Why?!\I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question.\A raging blizzard! response:	Blizzard!
context: I refuse.\Wh-Why?!\I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question.\A raging blizzard!\Blizzard! response:	Never again.
context: Wh-Why?!\I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question.\A raging blizzard!\Blizzard!\Never again. response:	I'm staying clear of that guy.
context: I really need your help!\Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question.\A raging blizzard!\Blizzard!\Never again.\I'm staying clear of that guy. response:	No funny moves.
context: Are you telling me to go persuade him?!\Are you a blizzard?!\Out of the question.\A raging blizzard!\Blizzard!\Never again.\I'm staying clear of that guy.\No funny moves. response:	Make one peep and I rape you.
context: Are you a blizzard?!\Out of the question.\A raging blizzard!\Blizzard!\Never again.\I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you. response:	Good.
context: Out of the question.\A raging blizzard!\Blizzard!\Never again.\I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you.\Good. response:	Follow me.
context: A raging blizzard!\Blizzard!\Never again.\I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you.\Good.\Follow me. response:	Um...
context: Blizzard!\Never again.\I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you.\Good.\Follow me.\Um... response:	Why did you bring me out here?
context: Never again.\I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you.\Good.\Follow me.\Um...\Why did you bring me out here? response:	I found a stray dog on the way over.
context: I'm staying clear of that guy.\No funny moves.\Make one peep and I rape you.\Good.\Follow me.\Um...\Why did you bring me out here?\I found a stray dog on the way over. response:	So I hid it here.
context: No funny moves.\Make one peep and I rape you.\Good.\Follow me.\Um...\Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here. response:	A dog?!
context: Make one peep and I rape you.\Good.\Follow me.\Um...\Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here.\A dog?! response:	What?
context: Good.\Follow me.\Um...\Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here.\A dog?!\What? response:	You see...
context: Follow me.\Um...\Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here.\A dog?!\What?\You see... response:	I'm not too
context: Um...\Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here.\A dog?!\What?\You see...\I'm not too response:	fond of dogs...
context: Why did you bring me out here?\I found a stray dog on the way over.\So I hid it here.\A dog?!\What?\You see...\I'm not too\fond of dogs... response:	Actually, I'm not fond of animals in general.
context: I found a stray dog on the way over.\So I hid it here.\A dog?!\What?\You see...\I'm not too\fond of dogs...\Actually, I'm not fond of animals in general. response:	Sensei!
context: So I hid it here.\A dog?!\What?\You see...\I'm not too\fond of dogs...\Actually, I'm not fond of animals in general.\Sensei! response:	She died!
context: A dog?!\What?\You see...\I'm not too\fond of dogs...\Actually, I'm not fond of animals in general.\Sensei!\She died! response:	Yes, Mimi lived a happy life,
context: What?\You see...\I'm not too\fond of dogs...\Actually, I'm not fond of animals in general.\Sensei!\She died!\Yes, Mimi lived a happy life, response:	since she had so many friends.
context: You see...\I'm not too\fond of dogs...\Actually, I'm not fond of animals in general.\Sensei!\She died!\Yes, Mimi lived a happy life,\since she had so many friends. response:	What's wrong, Mizutani?
context: I'm not too\fond of dogs...\Actually, I'm not fond of animals in general.\Sensei!\She died!\Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani? response:	I need to do my homework,
context: fond of dogs...\Actually, I'm not fond of animals in general.\Sensei!\She died!\Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani?\I need to do my homework, response:	so can I go home now?
context: Actually, I'm not fond of animals in general.\Sensei!\She died!\Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani?\I need to do my homework,\so can I go home now? response:	After that, my classmates began calling me Dry Ice.
context: Sensei!\She died!\Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani?\I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice. response:	What was I supposed to do?
context: She died!\Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani?\I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do? response:	I didn't feel sad at all.
context: Yes, Mimi lived a happy life,\since she had so many friends.\What's wrong, Mizutani?\I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all. response:	Oh, there it is!
context: since she had so many friends.\What's wrong, Mizutani?\I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all.\Oh, there it is! response:	Were you sick of waiting?
context: What's wrong, Mizutani?\I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting? response:	Your breath really stinks!
context: I need to do my homework,\so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting?\Your breath really stinks! response:	That's probably not a stray!
context: so can I go home now?\After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting?\Your breath really stinks!\That's probably not a stray! response:	I managed to return the dog to its owner.
context: After that, my classmates began calling me Dry Ice.\What was I supposed to do?\I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting?\Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner. response:	Why am I here?
context: What was I supposed to do?\I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting?\Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner.\Why am I here? response:	And wait...
context: I didn't feel sad at all.\Oh, there it is!\Were you sick of waiting?\Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner.\Why am I here?\And wait... response:	Who are these guys?
context: Oh, there it is!\Were you sick of waiting?\Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner.\Why am I here?\And wait...\Who are these guys? response:	Yo, Haru.
context: Were you sick of waiting?\Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner.\Why am I here?\And wait...\Who are these guys?\Yo, Haru. response:	What's up, Yamaken?
context: Your breath really stinks!\That's probably not a stray!\I managed to return the dog to its owner.\Why am I here?\And wait...\Who are these guys?\Yo, Haru.\What's up, Yamaken? response:	Who's that?
context: That's probably not a stray!\I managed to return the dog to its owner.\Why am I here?\And wait...\Who are these guys?\Yo, Haru.\What's up, Yamaken?\Who's that? response:	My friend Shizuku.
context: I managed to return the dog to its owner.\Why am I here?\And wait...\Who are these guys?\Yo, Haru.\What's up, Yamaken?\Who's that?\My friend Shizuku. response:	Friend?
context: Why am I here?\And wait...\Who are these guys?\Yo, Haru.\What's up, Yamaken?\Who's that?\My friend Shizuku.\Friend? response:	Heh...
context: And wait...\Who are these guys?\Yo, Haru.\What's up, Yamaken?\Who's that?\My friend Shizuku.\Friend?\Heh... response:	So Haru, could you lend me some money?
context: Who are these guys?\Yo, Haru.\What's up, Yamaken?\Who's that?\My friend Shizuku.\Friend?\Heh...\So Haru, could you lend me some money? response:	Again?
context: Yo, Haru.\What's up, Yamaken?\Who's that?\My friend Shizuku.\Friend?\Heh...\So Haru, could you lend me some money?\Again? response:	I screwed up and my allowance was cut.
context: What's up, Yamaken?\Who's that?\My friend Shizuku.\Friend?\Heh...\So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut. response:	Come on, aren't we friends?
