context: Once upon a time, there was a child. response:	For the child, the world was filled with wonder.
context: Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this. response:	Ahiru, we're leaving!
context: No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving! response:	If you don't hurry, you'll be back to being probationary Ahiru!
context: Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru! response:	Okay!
context: I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay! response:	Mytho hasn't been to class since that day.
context: Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day. response:	Now, go on back to Mytho.
context: Quack, quack, quack, quack, quack! Quack!\The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho. response:	What are you afraid of?
context: The Crow Princess\I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of? response:	I'm afraid of Princess Tutu.
context: I didn't mean for it to be like this.\Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu. response:	It's my fault!
context: Ahiru, we're leaving!\If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault! response:	I wonder if Mytho-sama is all right?
context: If you don't hurry, you'll be back to being probationary Ahiru!\Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right? response:	It's been a week since Mytho stopped coming to class.
context: Okay!\Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class. response:	I wonder if he's with Fakir?
context: Mytho hasn't been to class since that day.\Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir? response:	Fakir, too.
context: Now, go on back to Mytho.\What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too. response:	What the heck are they thinking?
context: What are you afraid of?\I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking? response:	Well, it's not like you can ever tell what Mytho's thinking anyway.
context: I'm afraid of Princess Tutu.\It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway. response:	Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.
context: It's my fault!\I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day. response:	Especially you, Rue-san.
context: I wonder if Mytho-sama is all right?\It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san. response:	It was brilliantly insightful. I would have expected no less.
context: It's been a week since Mytho stopped coming to class.\I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less. response:	Thank you very much.
context: I wonder if he's with Fakir?\Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much. response:	And this would be Ahiru-san's report.
context: Fakir, too.\What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report. response:	My!
context: What the heck are they thinking?\Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report.\My! response:	Ooh!
context: Well, it's not like you can ever tell what Mytho's thinking anyway.\Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report.\My!\Ooh! response:	It was great. The end.
context: Everyone did very well on the report on Sleeping Beauty by the Eleki Troupe the other day.\Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report.\My!\Ooh!\It was great. The end. response:	It was brilliantly succinct. I would have expected no less.
context: Especially you, Rue-san.\It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report.\My!\Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less. response:	Thank you very much.
context: It was brilliantly insightful. I would have expected no less.\Thank you very much.\And this would be Ahiru-san's report.\My!\Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much. response:	That was not a compliment.
context: Thank you very much.\And this would be Ahiru-san's report.\My!\Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment. response:	I see.
context: And this would be Ahiru-san's report.\My!\Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment.\I see. response:	At this rate, I will have to either drop you to the probationary class again,
context: My!\Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again, response:	or have you marry...
context: Ooh!\It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry... response:	That's fine.
context: It was great. The end.\It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine. response:	What?!
context: It was brilliantly succinct. I would have expected no less.\Thank you very much.\That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine.\What?! response:	No way.
context: Thank you very much.\That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine.\What?!\No way. response:	You're fine?
context: That was not a compliment.\I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine.\What?!\No way.\You're fine? response:	You mean, about being dropped to the probationary class?
context: I see.\At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine.\What?!\No way.\You're fine?\You mean, about being dropped to the probationary class? response:	Or about ma-ma-ma-
context: At this rate, I will have to either drop you to the probationary class again,\or have you marry...\That's fine.\What?!\No way.\You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma- response:	Oh, no! What a terrible fever!
context: or have you marry...\That's fine.\What?!\No way.\You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever! response:	And what terrible goose bumps!
context: That's fine.\What?!\No way.\You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps! response:	We gotta go to the doctor's office!
context: What?!\No way.\You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office! response:	Excuse us!
context: No way.\You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us! response:	Hold it right there!
context: You're fine?\You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us!\Hold it right there! response:	If you wish to marry me, let us meet after school.
context: You mean, about being dropped to the probationary class?\Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school. response:	I will be waiting at the pizza shop...
context: Or about ma-ma-ma-\Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop... response:	What's wrong? You've been kind of down lately.
context: Oh, no! What a terrible fever!\And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately. response:	It makes me sad to see you like this.
context: And what terrible goose bumps!\We gotta go to the doctor's office!\Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this. response:	The great thing about you is that no matter what happens, you forget about it right away and cheer up again.
context: We gotta go to the doctor's office!\Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again. response:	That's right, like a bird.
context: Excuse us!\Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird. response:	Oh, my! What's wrong?! Snap out of it!
context: Hold it right there!\If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it! response:	It's your fault.
context: If you wish to marry me, let us meet after school.\I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault. response:	No way!
context: I will be waiting at the pizza shop...\What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way! response:	I don't know... I don't get it anymore.
context: What's wrong? You've been kind of down lately.\It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way!\I don't know... I don't get it anymore. response:	What?
context: It makes me sad to see you like this.\The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way!\I don't know... I don't get it anymore.\What? response:	About what?
context: The great thing about you is that no matter what happens, you forget about it right away and cheer up again.\That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way!\I don't know... I don't get it anymore.\What?\About what? response:	Don't worry, you never got any of the stuff in class anyway, remember?
context: That's right, like a bird.\Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way!\I don't know... I don't get it anymore.\What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember? response:	Not like that. I mean, things like what do I want to do?
context: Oh, my! What's wrong?! Snap out of it!\It's your fault.\No way!\I don't know... I don't get it anymore.\What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do? response:	It's just everything.
context: It's your fault.\No way!\I don't know... I don't get it anymore.\What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything. response:	Wow, it sounds pretty serious.
context: No way!\I don't know... I don't get it anymore.\What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious. response:	Could it be...
context: I don't know... I don't get it anymore.\What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious.\Could it be... response:	Because Mytho-sama hasn't been to class at all?
context: What?\About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all? response:	I knew it.
context: About what?\Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it. response:	At times like this, why don't you try going to the Why-why Bridge?
context: Don't worry, you never got any of the stuff in class anyway, remember?\Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge? response:	A riddle bridge?
context: Not like that. I mean, things like what do I want to do?\It's just everything.\Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge? response:	The Why-why Bridge. You don't know it?
context: It's just everything.\Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it? response:	It's an old bridge over the river to the north.
context: Wow, it sounds pretty serious.\Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north. response:	When you stand on that bridge and talk about things you're not sure of,
context: Could it be...\Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of, response:	they say out of nowhere a voice asks, Why? How come?
context: Because Mytho-sama hasn't been to class at all?\I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come? response:	Is this a scary story?
context: I knew it.\At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story? response:	It's not scary.
context: At times like this, why don't you try going to the Why-why Bridge?\A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary. response:	As the questions keep coming and you keep answering them, it helps sort out your feelings.
context: A riddle bridge?\The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings. response:	Why do you say it in such a scary way?!
context: The Why-why Bridge. You don't know it?\It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?! response:	But you know, that's not all.
context: It's an old bridge over the river to the north.\When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all. response:	That's right. If you can't answer the questions...
context: When you stand on that bridge and talk about things you're not sure of,\they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions... response:	You get swallowed up by the river!
context: they say out of nowhere a voice asks, Why? How come?\Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river! response:	No!
context: Is this a scary story?\It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river!\No! response:	Just kidding!
context: It's not scary.\As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river!\No!\Just kidding! response:	There's just a legend like that.
context: As the questions keep coming and you keep answering them, it helps sort out your feelings.\Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river!\No!\Just kidding!\There's just a legend like that. response:	It's an old, old story.
context: Why do you say it in such a scary way?!\But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river!\No!\Just kidding!\There's just a legend like that.\It's an old, old story. response:	What? Then, what about now?
context: But you know, that's not all.\That's right. If you can't answer the questions...\You get swallowed up by the river!\No!\Just kidding!\There's just a legend like that.\It's an old, old story.\What? Then, what about now? response:	I don't know, stuff like that probably doesn't happen now.
context: That's right. If you can't answer the questions...\You get swallowed up by the river!\No!\Just kidding!\There's just a legend like that.\It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now. response:	No!
context: You get swallowed up by the river!\No!\Just kidding!\There's just a legend like that.\It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No! response:	If it doesn't happen, then talk normally!
context: No!\Just kidding!\There's just a legend like that.\It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally! response:	But there are quite a few people who say they really heard voices.
context: Just kidding!\There's just a legend like that.\It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices. response:	As they say, it doesn't hurt to try, so why don't you go see?
context: There's just a legend like that.\It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see? response:	Yeah, you're right.
context: It's an old, old story.\What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right. response:	That's our Ahiru!
context: What? Then, what about now?\I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru! response:	Well, then...
context: I don't know, stuff like that probably doesn't happen now.\No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru!\Well, then... response:	Be careful!
context: No!\If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru!\Well, then...\Be careful! response:	Nothing to be scared of, nothing to be scared of.
context: If it doesn't happen, then talk normally!\But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru!\Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of. response:	I'm just going to make sure I know what I should do.
context: But there are quite a few people who say they really heard voices.\As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru!\Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do. response:	Make sure and...
context: As they say, it doesn't hurt to try, so why don't you go see?\Yeah, you're right.\That's our Ahiru!\Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and... response:	What'll I do?
context: Yeah, you're right.\That's our Ahiru!\Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and...\What'll I do? response:	Uh, well... Are you here for the riddle bridge?
context: That's our Ahiru!\Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge? response:	It's the Why-why Bridge.
context: Well, then...\Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge. response:	Oh, right, right.
context: Be careful!\Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right. response:	So, Rue-chan, even you have things you're not sure about?
context: Nothing to be scared of, nothing to be scared of.\I'm just going to make sure I know what I should do.\Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about? response:	Is it... about Mytho?
context: I'm just going to make sure I know what I should do.\Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho? response:	That's why I came here, but I've changed my mind.
context: Make sure and...\What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind. response:	I see.
context: What'll I do?\Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see. response:	I'm sure he'll come back to school soon.
context: Uh, well... Are you here for the riddle bridge?\It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon. response:	Why do you think so?
context: It's the Why-why Bridge.\Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon.\Why do you think so? response:	Um, just a feeling.
context: Oh, right, right.\So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling. response:	I'm sorry, that was thoughtless.
