context: It is the turn of the 20th century. response:	The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,
context: the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial.\What? response:	I am from the Black Lizard Planet.
context: However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet. response:	If you're going to joke, do it somewhere else!
context: revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else! response:	I'm not joking.
context: with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking. response:	I'm just lying.
context: Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying. response:	There he is!
context: Wh-who are you?\Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying.\There he is! response:	Is that... Cavorite?
context: Just a passing extraterrestrial.\What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying.\There he is!\Is that... Cavorite? response:	Impossible... at that size...
context: What?\I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying.\There he is!\Is that... Cavorite?\Impossible... at that size... response:	Um...
context: I am from the Black Lizard Planet.\If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying.\There he is!\Is that... Cavorite?\Impossible... at that size...\Um... response:	Incoming. One vehicle!
context: If you're going to joke, do it somewhere else!\I'm not joking.\I'm just lying.\There he is!\Is that... Cavorite?\Impossible... at that size...\Um...\Incoming. One vehicle! response:	Okay, we're out of here.
context: I'm not joking.\I'm just lying.\There he is!\Is that... Cavorite?\Impossible... at that size...\Um...\Incoming. One vehicle!\Okay, we're out of here. response:	They were ready for us.
context: I'm just lying.\There he is!\Is that... Cavorite?\Impossible... at that size...\Um...\Incoming. One vehicle!\Okay, we're out of here.\They were ready for us. response:	Who are you people?
context: There he is!\Is that... Cavorite?\Impossible... at that size...\Um...\Incoming. One vehicle!\Okay, we're out of here.\They were ready for us.\Who are you people? response:	We're under orders to keep you safe until you find asylum in the West.
context: Is that... Cavorite?\Impossible... at that size...\Um...\Incoming. One vehicle!\Okay, we're out of here.\They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West. response:	Then... you're with the Commonwealth?
context: Impossible... at that size...\Um...\Incoming. One vehicle!\Okay, we're out of here.\They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth? response:	Hm? Didn't you tell him, Ange?
context: Um...\Incoming. One vehicle!\Okay, we're out of here.\They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange? response:	I did.
context: Incoming. One vehicle!\Okay, we're out of here.\They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did. response:	I told him we're from the Black Lizard Planet.
context: Okay, we're out of here.\They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet. response:	You mean we're spies!
context: They were ready for us.\Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet.\You mean we're spies! response:	Are you spies always doing this kind of thing?
context: Who are you people?\We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing? response:	Well, sometimes.
context: We're under orders to keep you safe until you find asylum in the West.\Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes. response:	Refrigeration complete.
context: Then... you're with the Commonwealth?\Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete. response:	We'll use it when we get out of here.
context: Hm? Didn't you tell him, Ange?\I did.\I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here. response:	Understood.
context: I did.\I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here.\Understood. response:	Thanks.
context: I told him we're from the Black Lizard Planet.\You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here.\Understood.\Thanks. response:	Now then...
context: You mean we're spies!\Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here.\Understood.\Thanks.\Now then... response:	We've shaken them off. Ready to go back?
context: Are you spies always doing this kind of thing?\Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here.\Understood.\Thanks.\Now then...\We've shaken them off. Ready to go back? response:	Back?
context: Well, sometimes.\Refrigeration complete.\We'll use it when we get out of here.\Understood.\Thanks.\Now then...\We've shaken them off. Ready to go back?\Back? response:	Back where?
context: Refrigeration complete.\We'll use it when we get out of here.\Understood.\Thanks.\Now then...\We've shaken them off. Ready to go back?\Back?\Back where? response:	To the perfect place to hide you.
context: We'll use it when we get out of here.\Understood.\Thanks.\Now then...\We've shaken them off. Ready to go back?\Back?\Back where?\To the perfect place to hide you. response:	So I found an envelope in my bag.
context: Understood.\Thanks.\Now then...\We've shaken them off. Ready to go back?\Back?\Back where?\To the perfect place to hide you.\So I found an envelope in my bag. response:	An envelope?
context: Thanks.\Now then...\We've shaken them off. Ready to go back?\Back?\Back where?\To the perfect place to hide you.\So I found an envelope in my bag.\An envelope? response:	Yup. I was so afraid my cover was blown, but then I saw the flower on it.
context: Now then...\We've shaken them off. Ready to go back?\Back?\Back where?\To the perfect place to hide you.\So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it. response:	Flower?
context: We've shaken them off. Ready to go back?\Back?\Back where?\To the perfect place to hide you.\So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower? response:	New orders, right?
context: Back?\Back where?\To the perfect place to hide you.\So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right? response:	You workaholic! Try to enjoy being a student.
context: Back where?\To the perfect place to hide you.\So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right?\You workaholic! Try to enjoy being a student. response:	So? Who was it from?
context: To the perfect place to hide you.\So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from? response:	Lord Rupert's second son.
context: So I found an envelope in my bag.\An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son. response:	It said to meet him behind the gymnasium after school.
context: An envelope?\Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school. response:	A challenge to a duel?
context: Yup. I was so afraid my cover was blown, but then I saw the flower on it.\Flower?\New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel? response:	It was a love letter!
context: Flower?\New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter! response:	Um.
context: New orders, right?\You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter!\Um. response:	Where are we?
context: You workaholic! Try to enjoy being a student.\So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter!\Um.\Where are we? response:	At school.
context: So? Who was it from?\Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter!\Um.\Where are we?\At school. response:	A very formal and prestigious academy.
context: Lord Rupert's second son.\It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter!\Um.\Where are we?\At school.\A very formal and prestigious academy. response:	Members of the royal family go here.
context: It said to meet him behind the gymnasium after school.\A challenge to a duel?\It was a love letter!\Um.\Where are we?\At school.\A very formal and prestigious academy.\Members of the royal family go here. response:	Why did we come here?
context: A challenge to a duel?\It was a love letter!\Um.\Where are we?\At school.\A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here? response:	Why?
context: It was a love letter!\Um.\Where are we?\At school.\A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here?\Why? response:	Because we're students here.
context: Um.\Where are we?\At school.\A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here?\Why?\Because we're students here. response:	Oh, are you the defector?
context: Where are we?\At school.\A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here?\Why?\Because we're students here.\Oh, are you the defector? response:	Pleased to meet you. I am-
context: At school.\A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here?\Why?\Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am- response:	I know!
context: A very formal and prestigious academy.\Members of the royal family go here.\Why did we come here?\Why?\Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am-\I know! response:	Everyone in the Kingdom knows...
context: Members of the royal family go here.\Why did we come here?\Why?\Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows... response:	You can't mean... you're a spy, too?
context: Why did we come here?\Why?\Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too? response:	Princess?
context: Why?\Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess? response:	Yes, I am a spy.
context: Because we're students here.\Oh, are you the defector?\Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess?\Yes, I am a spy. response:	Our Principal Team has secured asylum seeker E.
context: Oh, are you the defector?\Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E. response:	They are currently hiding him at Queen's Mayfaire Academy.
context: Pleased to meet you. I am-\I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy. response:	What a waste.
context: I know!\Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste. response:	The Princess should be used for more important things.
context: Everyone in the Kingdom knows...\You can't mean... you're a spy, too?\Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things. response:	What about the Wall Team?
context: You can't mean... you're a spy, too?\Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things.\What about the Wall Team? response:	This is the shift schedule.
context: Princess?\Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule. response:	Tell both teams.
context: Yes, I am a spy.\Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule.\Tell both teams. response:	They'll cross the Wall next Thursday.
context: Our Principal Team has secured asylum seeker E.\They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday. response:	Good morning!
context: They are currently hiding him at Queen's Mayfaire Academy.\What a waste.\The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday.\Good morning! response:	Is our school that fascinating?
context: What a waste.\The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating? response:	Oh, sorry. I shouldn't let anyone see me, should I?
context: The Princess should be used for more important things.\What about the Wall Team?\This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I? response:	If you know that, then be careful.
context: What about the Wall Team?\This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful. response:	An omelet?
context: This is the shift schedule.\Tell both teams.\They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet? response:	It's the only thing I can make.
context: Tell both teams.\They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet?\It's the only thing I can make. response:	That's okay, I like them. Thank you.
context: They'll cross the Wall next Thursday.\Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you. response:	Mm, delicious!
context: Good morning!\Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious! response:	We're coordinating a date for your crossing.
context: Is our school that fascinating?\Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing. response:	You'll be staying here until it's decided.
context: Oh, sorry. I shouldn't let anyone see me, should I?\If you know that, then be careful.\An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided. response:	Why...
context: If you know that, then be careful.\An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why... response:	Why would a girl like you be a spy?
context: An omelet?\It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy? response:	When I was born, the word spy was written on my forehead.
context: It's the only thing I can make.\That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead. response:	Are all the lies because you're a spy, too?
context: That's okay, I like them. Thank you.\Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too? response:	The truth wouldn't be very interesting.
context: Mm, delicious!\We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting. response:	What's that?
context: We're coordinating a date for your crossing.\You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that? response:	A chamber pot.
context: You'll be staying here until it's decided.\Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that?\A chamber pot. response:	What?!
context: Why...\Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that?\A chamber pot.\What?! response:	That?
context: Why would a girl like you be a spy?\When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that?\A chamber pot.\What?!\That? response:	Oh.
context: When I was born, the word spy was written on my forehead.\Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that?\A chamber pot.\What?!\That?\Oh. response:	Another lie?
context: Are all the lies because you're a spy, too?\The truth wouldn't be very interesting.\What's that?\A chamber pot.\What?!\That?\Oh.\Another lie? response:	Tell me if there's anything else you need.
context: The truth wouldn't be very interesting.\What's that?\A chamber pot.\What?!\That?\Oh.\Another lie?\Tell me if there's anything else you need. response:	I'll get you anything I can.
context: What's that?\A chamber pot.\What?!\That?\Oh.\Another lie?\Tell me if there's anything else you need.\I'll get you anything I can. response:	Even a person?
context: A chamber pot.\What?!\That?\Oh.\Another lie?\Tell me if there's anything else you need.\I'll get you anything I can.\Even a person? response:	Can you get me a person?
context: What?!\That?\Oh.\Another lie?\Tell me if there's anything else you need.\I'll get you anything I can.\Even a person?\Can you get me a person? response:	He wants his little sister?
context: That?\Oh.\Another lie?\Tell me if there's anything else you need.\I'll get you anything I can.\Even a person?\Can you get me a person?\He wants his little sister? response:	It's not like getting opera tickets.
context: Oh.\Another lie?\Tell me if there's anything else you need.\I'll get you anything I can.\Even a person?\Can you get me a person?\He wants his little sister?\It's not like getting opera tickets. response:	You can't just say, I'd like to add one more to the party.
context: Another lie?\Tell me if there's anything else you need.\I'll get you anything I can.\Even a person?\Can you get me a person?\He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party. response:	Do you think he will threaten not to defect without her?
context: Tell me if there's anything else you need.\I'll get you anything I can.\Even a person?\Can you get me a person?\He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her? response:	He already did.
context: I'll get you anything I can.\Even a person?\Can you get me a person?\He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did. response:	That's that, then!
context: Even a person?\Can you get me a person?\He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did.\That's that, then! response:	Defectors to the West, party of two!
context: Can you get me a person?\He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did.\That's that, then!\Defectors to the West, party of two! response:	You make it sound so easy.
context: He wants his little sister?\It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did.\That's that, then!\Defectors to the West, party of two!\You make it sound so easy. response:	What do we do, Ange?
context: It's not like getting opera tickets.\You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did.\That's that, then!\Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange? response:	What do you suppose they're talking about?
context: You can't just say, I'd like to add one more to the party.\Do you think he will threaten not to defect without her?\He already did.\That's that, then!\Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about? response:	Their escorts for the soiree?
context: Do you think he will threaten not to defect without her?\He already did.\That's that, then!\Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree? response:	Oooh!
context: He already did.\That's that, then!\Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree?\Oooh! response:	Drug Eric and carry him over the Wall alone.
context: That's that, then!\Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone. response:	Aww, but...
context: Defectors to the West, party of two!\You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but... response:	Good idea. We shouldn't take the risk.
context: You make it sound so easy.\What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk. response:	Are you sure we couldn't let them defect together anyway?
context: What do we do, Ange?\What do you suppose they're talking about?\Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway? response:	I mean, it would be so sad to tear them apart.
context: What do you suppose they're talking about?\Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart. response:	Princess, I understand how you feel, but-
context: Their escorts for the soiree?\Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but- response:	I'll gather intel. Princess, I understand how you feel, but-
context: Oooh!\Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but- response:	I'll gather intel.
context: Drug Eric and carry him over the Wall alone.\Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel. response:	I'll find the sister and figure out whether she wants to defect.
context: Aww, but...\Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect. response:	And I'll get more info on Eric.
context: Good idea. We shouldn't take the risk.\Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric. response:	Come on, Ange... And I'll get more info on Eric.
context: Are you sure we couldn't let them defect together anyway?\I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric. response:	Come on, Ange...
context: I mean, it would be so sad to tear them apart.\Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange... response:	We still have four days until Thursday.
context: Princess, I understand how you feel, but-\I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday. response:	Oh, good!
context: I'll gather intel. Princess, I understand how you feel, but-\I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday.\Oh, good! response:	Thank you, Ange!
context: I'll gather intel.\I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday.\Oh, good!\Thank you, Ange! response:	So Eric's little sister is in the hospital up ahead?
context: I'll find the sister and figure out whether she wants to defect.\And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday.\Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead? response:	Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.
