context: That took longer than expected. response:	I-I'm very sorry.
context: Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all? response:	After all, did you say? So something does ring a bell, eh?
context: Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh? response:	Well, dueling that kid without your approval, maybe?
context: Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe? response:	About that, it doesn't really matter.
context: That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter. response:	Even if he is her uncle, he shouldn't be allowed to use another person as a tool.
context: Yes, I understand.\I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool. response:	Julis...
context: I understand, Uncle.\The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis... response:	In fact, if you'd turned a blind eye to what that man Kouichiro was doing,
context: The True Face of the Girl\Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing, response:	I would've been disappointed in you.
context: Uh... So you are mad at me after all?\After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you. response:	If I'd seen what you saw, I would've done the same thing.
context: After all, did you say? So something does ring a bell, eh?\Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing. response:	Thanks. That really makes me happy.
context: Well, dueling that kid without your approval, maybe?\About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy. response:	It's not anything you need to thank me for!
context: About that, it doesn't really matter.\Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for! response:	All I meant was... Uh...
context: Even if he is her uncle, he shouldn't be allowed to use another person as a tool.\Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh... response:	Anyway! That's not what I'm angry about!
context: Julis...\In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about! response:	Well, then...
context: In fact, if you'd turned a blind eye to what that man Kouichiro was doing,\I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then... response:	It's because you lost.
context: I would've been disappointed in you.\If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then...\It's because you lost. response:	But hey...
context: If I'd seen what you saw, I would've done the same thing.\Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then...\It's because you lost.\But hey... response:	You don't have to tell me!
context: Thanks. That really makes me happy.\It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then...\It's because you lost.\But hey...\You don't have to tell me! response:	This is just me being irrational and selfish.
context: It's not anything you need to thank me for!\All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then...\It's because you lost.\But hey...\You don't have to tell me!\This is just me being irrational and selfish. response:	Still, even so...
context: All I meant was... Uh...\Anyway! That's not what I'm angry about!\Well, then...\It's because you lost.\But hey...\You don't have to tell me!\This is just me being irrational and selfish.\Still, even so... response:	I thought that if anyone had a chance, it would be you!
context: Anyway! That's not what I'm angry about!\Well, then...\It's because you lost.\But hey...\You don't have to tell me!\This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you! response:	But in this case, I guess we should probably give Kirin Toudou props.
context: Well, then...\It's because you lost.\But hey...\You don't have to tell me!\This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props. response:	After all, look how powerful she is at just thirteen!
context: It's because you lost.\But hey...\You don't have to tell me!\This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen! response:	Th-Thirteen?
context: But hey...\You don't have to tell me!\This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen? response:	She sure doesn't look her age...
context: You don't have to tell me!\This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age... response:	You certainly seem to have a keen interest in her.
context: This is just me being irrational and selfish.\Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her. response:	Oh, never mind.
context: Still, even so...\I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind. response:	At Seidoukan, there are three people that I simply can't defeat at my current level...
context: I thought that if anyone had a chance, it would be you!\But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level... response:	You and Claudia...
context: But in this case, I guess we should probably give Kirin Toudou props.\After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia... response:	Not Claudia, either?
context: After all, look how powerful she is at just thirteen!\Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either? response:	She may not look it, but she is Rank 2 at our school.
context: Th-Thirteen?\She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school. response:	She is, huh?
context: She sure doesn't look her age...\You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh? response:	Her alias is the Master of a Thousand Eyes.
context: You certainly seem to have a keen interest in her.\Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes. response:	She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.
context: Oh, never mind.\At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future. response:	See the future? You mean precognition?
context: At Seidoukan, there are three people that I simply can't defeat at my current level...\You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition? response:	Rumor has it that she can see up to tens of seconds into the future.
context: You and Claudia...\Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future. response:	Claudia remains undefeated since she started here.
context: Not Claudia, either?\She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here. response:	In that regard alone, Kirin Toudou is no different,
context: She may not look it, but she is Rank 2 at our school.\She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different, response:	but there's one definitive thing that sets her apart.
context: She is, huh?\Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart. response:	It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.
context: Her alias is the Master of a Thousand Eyes.\She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega. response:	Even if it's only been for three months,
context: She wields the Ogre Lux, Pan-Dora, which has the ability to see the future.\See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months, response:	to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.
context: See the future? You mean precognition?\Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary. response:	Still, we're going to have to rethink our battle strategy for the Phoenix Festa.
context: Rumor has it that she can see up to tens of seconds into the future.\Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa. response:	Now that your abilities are no longer a secret, we'll have to scrap our current game plan.
context: Claudia remains undefeated since she started here.\In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan. response:	Sorry.
context: In that regard alone, Kirin Toudou is no different,\but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry. response:	But only after you acquire a new school emblem.
context: but there's one definitive thing that sets her apart.\It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem. response:	Uh, what's this place?
context: It's the fact that Toudou is neither an Ogre Lux wielder nor a Strega.\Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem.\Uh, what's this place? response:	Surprised, much?
context: Even if it's only been for three months,\to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much? response:	This is the student council's resting room, you know.
context: to have successfully defended her No. 1 ranking with only a Japanese sword is extraordinary.\Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know. response:	Uh, I was told to get my new school emblem here...
context: Still, we're going to have to rethink our battle strategy for the Phoenix Festa.\Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here... response:	Yes, so I've been told.
context: Now that your abilities are no longer a secret, we'll have to scrap our current game plan.\Sorry.\But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told. response:	You came to get this, right?
context: Sorry.\But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right? response:	Thanks!
context: But only after you acquire a new school emblem.\Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right?\Thanks! response:	By the way, Claudia. Where exactly did you take this out from?
context: Uh, what's this place?\Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from? response:	That's my secret.
context: Surprised, much?\This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret. response:	Still, I have to say I never thought that you'd duel Ms. Toudou.
context: This is the student council's resting room, you know.\Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou. response:	Well, one thing led to another, you know.
context: Uh, I was told to get my new school emblem here...\Yes, so I've been told.\You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know. response:	With Mr. Kouichiro Toudou, you mean?
context: Yes, so I've been told.\You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean? response:	You know him?
context: You came to get this, right?\Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him? response:	Yes, since he's quite a troublemaker.
context: Thanks!\By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker. response:	He's an employee of Seidoukan Academy's parent company,
context: By the way, Claudia. Where exactly did you take this out from?\That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company, response:	GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY
context: That's my secret.\Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY response:	Galaxy, of the Integrated Enterprise Foundation.
context: Still, I have to say I never thought that you'd duel Ms. Toudou.\Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation. response:	As he's basically in charge of scouting operations for our school, he wields considerable clout.
context: Well, one thing led to another, you know.\With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout. response:	You mean he's one of the top brass?
context: With Mr. Kouichiro Toudou, you mean?\You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass? response:	I suppose executive candidate would be accurate?
context: You know him?\Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate? response:	Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.
context: Yes, since he's quite a troublemaker.\He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board. response:	Towards that end, he appears to be wringing everything he can out of his own niece.
context: He's an employee of Seidoukan Academy's parent company,\GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece. response:	So just as I thought, she's being forced to duel by that guy?
context: GALAXY ORGANIZATIONAL CHART INTEGRATED ENTERPRISE FOUNDATION SEIDOUKAN ACADEMY\Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy? response:	I don't know about that.
context: Galaxy, of the Integrated Enterprise Foundation.\As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that. response:	She does seem to have her own agenda.
context: As he's basically in charge of scouting operations for our school, he wields considerable clout.\You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda. response:	However, securing an executive position won't be easy for Mr. Toudou.
context: You mean he's one of the top brass?\I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou. response:	If you have an irrational sense of self-interest,
context: I suppose executive candidate would be accurate?\Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest, response:	you'll never advance at the Integrated Enterprise Foundation.
context: Of course, Mr. Toudou seems more than eager to claim a spot on the executive board.\Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation. response:	Only those who have undergone numerous levels of the psychological adjustment program,
context: Towards that end, he appears to be wringing everything he can out of his own niece.\So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program, response:	and had their personal desires completely eradicated are suited for the position.
context: So just as I thought, she's being forced to duel by that guy?\I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position. response:	You seem to know a lot about it.
context: I don't know about that.\She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it. response:	Yes, because my mother is one of them.
context: She does seem to have her own agenda.\However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it.\Yes, because my mother is one of them. response:	So Ayato, what are you planning to do about Ms. Toudou?
context: However, securing an executive position won't be easy for Mr. Toudou.\If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it.\Yes, because my mother is one of them.\So Ayato, what are you planning to do about Ms. Toudou? response:	Kirin Toudou?
context: If you have an irrational sense of self-interest,\you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it.\Yes, because my mother is one of them.\So Ayato, what are you planning to do about Ms. Toudou?\Kirin Toudou? response:	Yo, Amagiri, someone's here to see you!
context: you'll never advance at the Integrated Enterprise Foundation.\Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it.\Yes, because my mother is one of them.\So Ayato, what are you planning to do about Ms. Toudou?\Kirin Toudou?\Yo, Amagiri, someone's here to see you! response:	Amagiri!
context: Only those who have undergone numerous levels of the psychological adjustment program,\and had their personal desires completely eradicated are suited for the position.\You seem to know a lot about it.\Yes, because my mother is one of them.\So Ayato, what are you planning to do about Ms. Toudou?\Kirin Toudou?\Yo, Amagiri, someone's here to see you!\Amagiri! response:	Drawing room in use
