context: The Master was as cute as always today... response:	She truly is an angel from Heaven.
context: Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score! response:	I guess I'll head over to Bomba's place later.
context: How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later. response:	I'm sure he'll be lonely without you around.
context: Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around. response:	Huh? You already knew about this?
context: WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this? response:	Huh? Yeah, he'd mentioned it at the Enoshima aquarium.
context: I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium. response:	That was so long ago!
context: Yeah. I'll have to ask my brother, though.\Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago! response:	Well, guess I'll make dinner.
context: Sure, that's fine.\Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner. response:	So full...
context: Score!\I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner.\So full... response:	It was quite filling, wasn't it?
context: I guess I'll head over to Bomba's place later.\I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it? response:	Well, I'm going to Bomba's. I'll be back tomorrow.
context: I'm sure he'll be lonely without you around.\Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow. response:	U-um, about me being here...
context: Huh? You already knew about this?\Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here... response:	You'd rather I not say anything?
context: Huh? Yeah, he'd mentioned it at the Enoshima aquarium.\That was so long ago!\Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything? response:	No, it's all right. I get the feeling he'd be worried otherwise...
context: That was so long ago!\Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise... response:	'Kay.
context: Well, guess I'll make dinner.\So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay. response:	Well, I'm off.
context: So full...\It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off. response:	See you!
context: It was quite filling, wasn't it?\Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off.\See you! response:	S-see you later.
context: Well, I'm going to Bomba's. I'll be back tomorrow.\U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off.\See you!\S-see you later. response:	Master... your brother is kind, isn't he?
context: U-um, about me being here...\You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off.\See you!\S-see you later.\Master... your brother is kind, isn't he? response:	Yup!
context: You'd rather I not say anything?\No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off.\See you!\S-see you later.\Master... your brother is kind, isn't he?\Yup! response:	Kindness like this...
context: No, it's all right. I get the feeling he'd be worried otherwise...\'Kay.\Well, I'm off.\See you!\S-see you later.\Master... your brother is kind, isn't he?\Yup!\Kindness like this... response:	It sort of reminds me of Ebina.
context: 'Kay.\Well, I'm off.\See you!\S-see you later.\Master... your brother is kind, isn't he?\Yup!\Kindness like this...\It sort of reminds me of Ebina. response:	Kirie, let's play a game!
context: Well, I'm off.\See you!\S-see you later.\Master... your brother is kind, isn't he?\Yup!\Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game! response:	Yes, Master!
context: See you!\S-see you later.\Master... your brother is kind, isn't he?\Yup!\Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master! response:	It feels a little strange being under someone else's roof...
context: S-see you later.\Master... your brother is kind, isn't he?\Yup!\Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof... response:	Well, what's YOUR house like?
context: Master... your brother is kind, isn't he?\Yup!\Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like? response:	It's pretty old and rundown.
context: Yup!\Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown. response:	Our house, huh...?
context: Kindness like this...\It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...? response:	Big Brother! I'm back!
context: It sort of reminds me of Ebina.\Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back! response:	What the heck, Kirie? You're so late, that I was worried you'd gotten lost!
context: Kirie, let's play a game!\Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost! response:	I-I took the long way home.
context: Yes, Master!\It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home. response:	You don't say.
context: It feels a little strange being under someone else's roof...\Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say. response:	Big Brother!
context: Well, what's YOUR house like?\It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say.\Big Brother! response:	Give me a piggyback ride! C'MON!
context: It's pretty old and rundown.\Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say.\Big Brother!\Give me a piggyback ride! C'MON! response:	Sure. No problem.
context: Our house, huh...?\Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say.\Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem. response:	Kirie...
context: Big Brother! I'm back!\What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say.\Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie... response:	Kirie!
context: What the heck, Kirie? You're so late, that I was worried you'd gotten lost!\I-I took the long way home.\You don't say.\Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie...\Kirie! response:	Th-the Master is calling out to me while she's dreaming!
context: I-I took the long way home.\You don't say.\Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming! response:	You're riding a fish...
context: You don't say.\Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish... response:	A fish?! Don't tell me she's formed a bond with my storybook!
context: Big Brother!\Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook! response:	Kirie, you're gonna fall.
context: Give me a piggyback ride! C'MON!\Sure. No problem.\Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall. response:	Fall?!
context: Sure. No problem.\Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?! response:	Well then, Master, I'll be on my way.
context: Kirie...\Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way. response:	Sure. See you!
context: Kirie!\Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way.\Sure. See you! response:	Woo-hoo!
context: Th-the Master is calling out to me while she's dreaming!\You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo! response:	That Kirie, I'm tellin' you...
context: You're riding a fish...\A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you... response:	Up until the start of elementary school, she'd be all like, Big Brother!
context: A fish?! Don't tell me she's formed a bond with my storybook!\Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother! response:	Are you listening, Taihei?!
context: Kirie, you're gonna fall.\Fall?!\Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?! response:	Y-yeah. I'm listening...
context: Fall?!\Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening... response:	Are you? Are you listening? You gotta listen!
context: Well then, Master, I'll be on my way.\Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen! response:	But now, my Kirie...!
context: Sure. See you!\Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...! response:	She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...
context: Woo-hoo!\That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I... response:	Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!
context: That Kirie, I'm tellin' you...\Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?! response:	H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!
context: Up until the start of elementary school, she'd be all like, Big Brother!\Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?! response:	Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!
context: Are you listening, Taihei?!\Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?! response:	Taihei?
context: Y-yeah. I'm listening...\Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei? response:	Don't abandon me!
context: Are you? Are you listening? You gotta listen!\But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me! response:	Taihei?
context: But now, my Kirie...!\She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me!\Taihei? response:	Taihei!
context: She's gone off and made some great friends, like Tanukichi and Ebina, and I... I...\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me!\Taihei?\Taihei! response:	TAIHEI!
context: Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me!\Taihei?\Taihei!\TAIHEI! response:	My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?
context: H-hey! I am! Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me!\Taihei?\Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie? response:	Huh?
context: Are you listening, Taihei? Well, Taihei?! Taihei! Are you listening? Hey, are you listening?!\Taihei?\Don't abandon me!\Taihei?\Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh? response:	Kirie?
context: Taihei?\Don't abandon me!\Taihei?\Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie? response:	Huh? What did you just say?
context: Don't abandon me!\Taihei?\Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie?\Huh? What did you just say? response:	I love you!
context: Taihei?\Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie?\Huh? What did you just say?\I love you! response:	They're ending it HERE?!
context: Taihei!\TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie?\Huh? What did you just say?\I love you!\They're ending it HERE?! response:	I can't stand it, Master!
context: TAIHEI!\My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie?\Huh? What did you just say?\I love you!\They're ending it HERE?!\I can't stand it, Master! response:	And I bet it'll follow the standard pattern of him not hearing over the sound of the train!
context: My, my... reading manga indoors on a hot day with the AC blasting sure is great, huh, Kirie?\Huh?\Kirie?\Huh? What did you just say?\I love you!\They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train! response:	It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?
context: Huh?\Kirie?\Huh? What did you just say?\I love you!\They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh? response:	Root for them...?
context: Kirie?\Huh? What did you just say?\I love you!\They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...? response:	Say goodbye.
context: Huh? What did you just say?\I love you!\They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye. response:	Kirie, what's got you yelling all of a sudden?
context: I love you!\They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden? response:	Th-that vision just now was my dark side... and that was something I would've said up till recently!
context: They're ending it HERE?!\I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently! response:	It looks like those two are a couple now!
context: I can't stand it, Master!\And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now! response:	So, for our next girls' day out...
context: And I bet it'll follow the standard pattern of him not hearing over the sound of the train!\It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out... response:	If you two start dating...
context: It's kinda vexing, but you want to root for them because a romantic comedy needs a happy ending, huh?\Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating... response:	What kind of boy would you like to...?
context: Root for them...?\Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...? response:	Umaru sure is cute, huh?
context: Say goodbye.\Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh? response:	She's got a great bod, and she's smart too.
context: Kirie, what's got you yelling all of a sudden?\Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too. response:	And good at sports!
context: Th-that vision just now was my dark side... and that was something I would've said up till recently!\It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports! response:	She's perfect!
context: It looks like those two are a couple now!\So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports!\She's perfect! response:	Umaru? That's MISS Umaru to you, punk!
context: So, for our next girls' day out...\If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk! response:	I'm so embarrassed!
context: If you two start dating...\What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed! response:	Kirie, what's got you crouching all of a sudden?
context: What kind of boy would you like to...?\Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden? response:	I didn't want to admit that I just can't get used to being part of a community.
context: Umaru sure is cute, huh?\She's got a great bod, and she's smart too.\And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community. response:	All I would ever do is despise the people around me.
context: She's got a great bod, and she's smart too.\And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me. response:	Master.
context: And good at sports!\She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master. response:	Huh?
context: She's perfect!\Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master.\Huh? response:	I've... made an enemy I must defeat.
context: Umaru? That's MISS Umaru to you, punk!\I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master.\Huh?\I've... made an enemy I must defeat. response:	Kirie?
context: I'm so embarrassed!\Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master.\Huh?\I've... made an enemy I must defeat.\Kirie? response:	M-Master!
context: Kirie, what's got you crouching all of a sudden?\I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master.\Huh?\I've... made an enemy I must defeat.\Kirie?\M-Master! response:	Huh?!
context: I didn't want to admit that I just can't get used to being part of a community.\All I would ever do is despise the people around me.\Master.\Huh?\I've... made an enemy I must defeat.\Kirie?\M-Master!\Huh?! response:	She sure gets emotionally involved with her manga...
