context: Takahashi. response:	I'll say this once, so listen carefully.
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 5 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ... response:	We kissed...
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed... response:	It was with boy I've liked since spring...
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed...\It was with boy I've liked since spring... response:	Yet...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed...\It was with boy I've liked since spring...\Yet... response:	I love you.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed...\It was with boy I've liked since spring...\Yet...\I love you. response:	As if it were a miracle...
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed...\It was with boy I've liked since spring...\Yet...\I love you.\As if it were a miracle... response:	Yano cast a spell on me.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 5 ...\We kissed...\It was with boy I've liked since spring...\Yet...\I love you.\As if it were a miracle...\Yano cast a spell on me. response:	Morning!
context: Episode 5 ...\We kissed...\It was with boy I've liked since spring...\Yet...\I love you.\As if it were a miracle...\Yano cast a spell on me.\Morning! response:	Good morning!
context: We kissed...\It was with boy I've liked since spring...\Yet...\I love you.\As if it were a miracle...\Yano cast a spell on me.\Morning!\Good morning! response:	Morning.
context: It was with boy I've liked since spring...\Yet...\I love you.\As if it were a miracle...\Yano cast a spell on me.\Morning!\Good morning!\Morning. response:	I didn't get a wink of sleep.
context: Yet...\I love you.\As if it were a miracle...\Yano cast a spell on me.\Morning!\Good morning!\Morning.\I didn't get a wink of sleep. response:	Morning.
context: I love you.\As if it were a miracle...\Yano cast a spell on me.\Morning!\Good morning!\Morning.\I didn't get a wink of sleep.\Morning. response:	Nana, is your face puffy?
context: As if it were a miracle...\Yano cast a spell on me.\Morning!\Good morning!\Morning.\I didn't get a wink of sleep.\Morning.\Nana, is your face puffy? response:	What am I gonna do about my face?
context: Yano cast a spell on me.\Morning!\Good morning!\Morning.\I didn't get a wink of sleep.\Morning.\Nana, is your face puffy?\What am I gonna do about my face? response:	Until yesterday...
context: Morning!\Good morning!\Morning.\I didn't get a wink of sleep.\Morning.\Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday... response:	Morning.
context: Good morning!\Morning.\I didn't get a wink of sleep.\Morning.\Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday...\Morning. response:	G-Good morning.
context: Morning.\I didn't get a wink of sleep.\Morning.\Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday...\Morning.\G-Good morning. response:	Hey, morning.
context: I didn't get a wink of sleep.\Morning.\Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday...\Morning.\G-Good morning.\Hey, morning. response:	That thing went pretty well the other day, don't you think?
context: Morning.\Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday...\Morning.\G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think? response:	It's... it's no good...
context: Nana, is your face puffy?\What am I gonna do about my face?\Until yesterday...\Morning.\G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good... response:	I might not be able to look him straight in the face anymore...
context: What am I gonna do about my face?\Until yesterday...\Morning.\G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore... response:	Or so I thought...
context: Until yesterday...\Morning.\G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought... response:	Hey, take a look at this. Looks cool, right?
context: Morning.\G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right? response:	That's pretty awesome.
context: G-Good morning.\Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome. response:	Mizu-chin.
context: Hey, morning.\That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin. response:	You. Is it true that you and Yano kissed?
context: That thing went pretty well the other day, don't you think?\It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed? response:	What? When did...?!
context: It's... it's no good...\I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?! response:	I won't forgive you! Spill the beans!
context: I might not be able to look him straight in the face anymore...\Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans! response:	No way... we were seen.
context: Or so I thought...\Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen. response:	So, what's going on now? Are you two gonna go out?
context: Hey, take a look at this. Looks cool, right?\That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out? response:	Huh? Oh, I see...
context: That's pretty awesome.\Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see... response:	Sorry, but you'd better not come to me with your love problems anymore!
context: Mizu-chin.\You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore! response:	Though I'll definitely support you when you're breaking up, so come to me for that!
context: You. Is it true that you and Yano kissed?\What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that! response:	We'll be dating, won't we?
context: What? When did...?!\I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we? response:	Yano hasn't said anything to me yet...
context: I won't forgive you! Spill the beans!\No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet... response:	And I haven't gotten any text messages...
context: No way... we were seen.\So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages... response:	But he never sent me any text messages before, either.
context: So, what's going on now? Are you two gonna go out?\Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either. response:	He's slowly starting to get on my nerves.
context: Huh? Oh, I see...\Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves. response:	Here he comes!
context: Sorry, but you'd better not come to me with your love problems anymore!\Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes! response:	Takahashi.
context: Though I'll definitely support you when you're breaking up, so come to me for that!\We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes!\Takahashi. response:	Y-Y-Y-Yes?!
context: We'll be dating, won't we?\Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes!\Takahashi.\Y-Y-Y-Yes?! response:	Umm... they said that thing will be on Saturday.
context: Yano hasn't said anything to me yet...\And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes!\Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday. response:	Ah... okay.
context: And I haven't gotten any text messages...\But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes!\Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay. response:	I see...
context: But he never sent me any text messages before, either.\He's slowly starting to get on my nerves.\Here he comes!\Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay.\I see... response:	You okay? You seem a little out of it today.
context: He's slowly starting to get on my nerves.\Here he comes!\Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay.\I see...\You okay? You seem a little out of it today. response:	I-It's because I couldn't get to sleep last night!
context: Here he comes!\Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay.\I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night! response:	Crap!
context: Takahashi.\Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay.\I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap! response:	Um, I mean...
context: Y-Y-Y-Yes?!\Umm... they said that thing will be on Saturday.\Ah... okay.\I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean... response:	I'm such a moron for not being able to fall asleep over a kiss!
context: Umm... they said that thing will be on Saturday.\Ah... okay.\I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss! response:	And what was he talking about? He's reminding me about upcoming events?
context: Ah... okay.\I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events? response:	Repeat after me, then.
context: I see...\You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then. response:	Today, a student council meeting at three.
context: You okay? You seem a little out of it today.\I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three. response:	Thursday, a student council event review meeting.
context: I-It's because I couldn't get to sleep last night!\Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting. response:	Saturday, the event.
context: Crap!\Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event. response:	Today, a student council meeting at three.
context: Um, I mean...\I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three. response:	Tuesday-
context: I'm such a moron for not being able to fall asleep over a kiss!\And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three.\Tuesday- response:	Thursday.
context: And what was he talking about? He's reminding me about upcoming events?\Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three.\Tuesday-\Thursday. response:	Thursday, the event review meeting.
context: Repeat after me, then.\Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three.\Tuesday-\Thursday.\Thursday, the event review meeting. response:	Today, a student council meeting at three. Lunch at twelve.
context: Today, a student council meeting at three.\Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three.\Tuesday-\Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve. response:	Saturday, the event.
context: Thursday, a student council event review meeting.\Saturday, the event.\Today, a student council meeting at three.\Tuesday-\Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event. response:	Today, a student council meeting at three. Lunch at twelve.
context: Saturday, the event.\Today, a student council meeting at three.\Tuesday-\Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve. response:	Thursday, the event.
context: Today, a student council meeting at three.\Tuesday-\Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event. response:	Moron. Saturday, the event. Today, a movie at four.
context: Tuesday-\Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four. response:	Geez... what's up with him?
context: Thursday.\Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him? response:	Today, the student council meeting.
context: Thursday, the event review meeting.\Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting. response:	Thursday, the event review meeting.
context: Today, a student council meeting at three. Lunch at twelve.\Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting. response:	Saturday, the event!
context: Saturday, the event.\Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event! response:	Today, a movie at four!
context: Today, a student council meeting at three. Lunch at twelve.\Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four! response:	Correct! Good job.
context: Thursday, the event.\Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four!\Correct! Good job. response:	Today, a m-movie at four?
context: Moron. Saturday, the event. Today, a movie at four.\Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four!\Correct! Good job.\Today, a m-movie at four? response:	A movie... at four?
context: Geez... what's up with him?\Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four!\Correct! Good job.\Today, a m-movie at four?\A movie... at four? response:	Ah, geez!
context: Today, the student council meeting.\Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four!\Correct! Good job.\Today, a m-movie at four?\A movie... at four?\Ah, geez! response:	My heart hasn't stopped pounding since this morning...
context: Thursday, the event review meeting.\Saturday, the event!\Today, a movie at four!\Correct! Good job.\Today, a m-movie at four?\A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning... response:	Don't give me that cute smile!
context: Saturday, the event!\Today, a movie at four!\Correct! Good job.\Today, a m-movie at four?\A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile! response:	Now that I feel so relieved, my sleepiness has caught up with me...
context: Today, a movie at four!\Correct! Good job.\Today, a m-movie at four?\A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me... response:	Yano finally smiled at me today.
context: Correct! Good job.\Today, a m-movie at four?\A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today. response:	It means it wasn't a fake.
context: Today, a m-movie at four?\A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake. response:	I wasn't taking it the wrong way.
context: A movie... at four?\Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way. response:	What happened yesterday really did...
context: Ah, geez!\My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did... response:	Geez, she's still sleeping!
context: My heart hasn't stopped pounding since this morning...\Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping! response:	Didn't she sleep at all last night?
context: Don't give me that cute smile!\Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night? response:	Nana! The student council meeting's at three!
context: Now that I feel so relieved, my sleepiness has caught up with me...\Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three! response:	A date... a date...
context: Yano finally smiled at me today.\It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date... response:	Sign: A date... a date...
context: It means it wasn't a fake.\I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date... response:	What am I gonna do...?
context: I wasn't taking it the wrong way.\What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date...\What am I gonna do...? response:	I'm so nervous...
context: What happened yesterday really did...\Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date...\What am I gonna do...?\I'm so nervous... response:	Huh? It's already this late...
context: Geez, she's still sleeping!\Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date...\What am I gonna do...?\I'm so nervous...\Huh? It's already this late... response:	Ah, the student council meeting...
context: Didn't she sleep at all last night?\Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date...\What am I gonna do...?\I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting... response:	Shoot... it's long over...
context: Nana! The student council meeting's at three!\A date... a date...\Sign: A date... a date...\What am I gonna do...?\I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over... response:	No way... no way!
context: A date... a date...\Sign: A date... a date...\What am I gonna do...?\I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over...\No way... no way! response:	Ya-
context: Sign: A date... a date...\What am I gonna do...?\I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over...\No way... no way!\Ya- response:	He lef-
context: What am I gonna do...?\I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over...\No way... no way!\Ya-\He lef- response:	You're finally up.
context: I'm so nervous...\Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over...\No way... no way!\Ya-\He lef-\You're finally up. response:	Y-You're still here?
context: Huh? It's already this late...\Ah, the student council meeting...\Shoot... it's long over...\No way... no way!\Ya-\He lef-\You're finally up.\Y-You're still here? response:	What do you mean?
context: Ah, the student council meeting...\Shoot... it's long over...\No way... no way!\Ya-\He lef-\You're finally up.\Y-You're still here?\What do you mean? response:	I went to the student council meeting in your place.
context: Shoot... it's long over...\No way... no way!\Ya-\He lef-\You're finally up.\Y-You're still here?\What do you mean?\I went to the student council meeting in your place. response:	I took notes for you, too.
context: No way... no way!\Ya-\He lef-\You're finally up.\Y-You're still here?\What do you mean?\I went to the student council meeting in your place.\I took notes for you, too. response:	And here are the handouts.
context: Ya-\He lef-\You're finally up.\Y-You're still here?\What do you mean?\I went to the student council meeting in your place.\I took notes for you, too.\And here are the handouts. response:	You need to take survey during homeroom, and this is to be submitted next week.
