context: Coming all the way out here, it's no wonder it's cold. response:	We are pretty far from Clarines.
context: Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah...\Zen, did something happen?\You're in a hurry? response:	No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.
context: he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah...\Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction. response:	Well, I'll leave you here.
context: But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah...\Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here. response:	It's cold, so don't wander around.
context: He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah...\Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around. response:	Okay!
context: You can tell what he's thinking immediately.\Yeah...\Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around.\Okay! response:	Later!
context: Yeah...\Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around.\Okay!\Later! response:	There is a lot that can be gained from being outside.
context: Zen, did something happen?\You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around.\Okay!\Later!\There is a lot that can be gained from being outside. response:	Zen!
context: You're in a hurry?\No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around.\Okay!\Later!\There is a lot that can be gained from being outside.\Zen! response:	Be careful!
context: No, it's the usual fort inspection. Fort Laxdo is under my jurisdiction.\Well, I'll leave you here.\It's cold, so don't wander around.\Okay!\Later!\There is a lot that can be gained from being outside.\Zen!\Be careful! response:	This country we experience...
context: Well, I'll leave you here.\It's cold, so don't wander around.\Okay!\Later!\There is a lot that can be gained from being outside.\Zen!\Be careful!\This country we experience... response:	And the people we meet...
context: It's cold, so don't wander around.\Okay!\Later!\There is a lot that can be gained from being outside.\Zen!\Be careful!\This country we experience...\And the people we meet... response:	And the feelings we come to know from them...
context: Okay!\Later!\There is a lot that can be gained from being outside.\Zen!\Be careful!\This country we experience...\And the people we meet...\And the feelings we come to know from them... response:	Episode 5: This Path, the Crystallization of Premonition
context: Later!\There is a lot that can be gained from being outside.\Zen!\Be careful!\This country we experience...\And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition response:	I don't see anyone on watch.
context: There is a lot that can be gained from being outside.\Zen!\Be careful!\This country we experience...\And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch. response:	Hey! Is anyone here?
context: Zen!\Be careful!\This country we experience...\And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here? response:	We're from the royal guards! Hey!
context: Be careful!\This country we experience...\And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey! response:	P-Please wait...
context: This country we experience...\And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait... response:	Hey, are you all right?
context: And the people we meet...\And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right? response:	Everyone... Even the prince is here?
context: And the feelings we come to know from them...\Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here? response:	Regular reports stopped coming, so we came to see what was going on.
context: Episode 5: This Path, the Crystallization of Premonition\I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on. response:	-You can't sta- -Master!
context: I don't see anyone on watch.\Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master! response:	Everyone inside the fort is sleeping.
context: Hey! Is anyone here?\We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping. response:	Sleeping?
context: We're from the royal guards! Hey!\P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping? response:	Wh-Who is he?
context: P-Please wait...\Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he? response:	I'm his attendant!
context: Hey, are you all right?\Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he?\I'm his attendant! response:	It's still a trial period, though.
context: Everyone... Even the prince is here?\Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he?\I'm his attendant!\It's still a trial period, though. response:	Come on, I've handed my reins to you.
context: Regular reports stopped coming, so we came to see what was going on.\-You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he?\I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you. response:	I don't have them.
context: -You can't sta- -Master!\Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he?\I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them. response:	I'm going in.
context: Everyone inside the fort is sleeping.\Sleeping?\Wh-Who is he?\I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them.\I'm going in. response:	Y-You can't!
context: Sleeping?\Wh-Who is he?\I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them.\I'm going in.\Y-You can't! response:	This place has been possessed by a fearsome evil spirit!
context: Wh-Who is he?\I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them.\I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit! response:	Evil spirit?
context: I'm his attendant!\It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them.\I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit? response:	About twenty days ago...
context: It's still a trial period, though.\Come on, I've handed my reins to you.\I don't have them.\I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago... response:	One after another, everyone started to complain about their bodies feeling strange.
context: Come on, I've handed my reins to you.\I don't have them.\I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange. response:	Like their bodies felt heavy, or their vision was going dark.
context: I don't have them.\I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark. response:	Most people seemed to lose their sense of balance.
context: I'm going in.\Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance. response:	The physician also fell sick while he was tending to the others.
context: Y-You can't!\This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others. response:	We couldn't find the reason behind it, so it must be the work of an evil spirit...
context: This place has been possessed by a fearsome evil spirit!\Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit... response:	What about you?
context: Evil spirit?\About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you? response:	I am not that sick.
context: About twenty days ago...\One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick. response:	However, I was in no state to go down the snowy road...
context: One after another, everyone started to complain about their bodies feeling strange.\Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick.\However, I was in no state to go down the snowy road... response:	I'll take a look inside.
context: Like their bodies felt heavy, or their vision was going dark.\Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside. response:	Huh?!
context: Most people seemed to lose their sense of balance.\The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?! response:	Please, wait! What if something happens to you, as well, Your Highness?!
context: The physician also fell sick while he was tending to the others.\We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?! response:	If that happens, then there's no point.
context: We couldn't find the reason behind it, so it must be the work of an evil spirit...\What about you?\I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point. response:	I won't push myself.
context: What about you?\I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself. response:	You should rest.
context: I am not that sick.\However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself.\You should rest. response:	You did well to endure it until now.
context: However, I was in no state to go down the snowy road...\I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself.\You should rest.\You did well to endure it until now. response:	Yes, sir.
context: I'll take a look inside.\Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself.\You should rest.\You did well to endure it until now.\Yes, sir. response:	Zen, you must come out before sunset.
context: Huh?!\Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself.\You should rest.\You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset. response:	Yeah. Mitsuhide, stay outside and keep watch.
context: Please, wait! What if something happens to you, as well, Your Highness?!\If that happens, then there's no point.\I won't push myself.\You should rest.\You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch. response:	I want to avoid having everyone inside.
context: If that happens, then there's no point.\I won't push myself.\You should rest.\You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside. response:	Roger.
context: I won't push myself.\You should rest.\You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger. response:	W-Wait a minute!
context: You should rest.\You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger.\W-Wait a minute! response:	Normally, wouldn't the master be waiting outside?
context: You did well to endure it until now.\Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside? response:	If it's some kind of sickness.
context: Yes, sir.\Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness. response:	If we know where that sickness is coming from,
context: Zen, you must come out before sunset.\Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from, response:	it'll be better than going back empty-handed, though.
context: Yeah. Mitsuhide, stay outside and keep watch.\I want to avoid having everyone inside.\Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though. response:	Is it all right not to stop him?
context: I want to avoid having everyone inside.\Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him? response:	He's worried about the soldiers.
context: Roger.\W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers. response:	Mitsuhide, aren't you a close aide of the prince?
context: W-Wait a minute!\Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince? response:	Yeah, Zen's.
context: Normally, wouldn't the master be waiting outside?\If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's. response:	I don't see anything out of the ordinary.
context: If it's some kind of sickness.\If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary. response:	What if it really was an evil spirit?
context: If we know where that sickness is coming from,\it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit? response:	If something like that really exists, I'd like to try fighting it.
context: it'll be better than going back empty-handed, though.\Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it. response:	This is the armory, huh?
context: Is it all right not to stop him?\He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh? response:	It doesn't seem like it'd have anything to do with... this?
context: He's worried about the soldiers.\Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this? response:	The armory was empty?
context: Mitsuhide, aren't you a close aide of the prince?\Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty? response:	Seems the soldier earlier didn't know, either.
context: Yeah, Zen's.\I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either. response:	There were claw marks, too. Someone probably took advantage of this opportunity.
context: I don't see anything out of the ordinary.\What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity. response:	Shall we switch to bandit hunting?
context: What if it really was an evil spirit?\If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting? response:	That's my specialty!
context: If something like that really exists, I'd like to try fighting it.\This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty! response:	-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?
context: This is the armory, huh?\It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...? response:	What if we ask Shirayuki to come?
context: It doesn't seem like it'd have anything to do with... this?\The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come? response:	She might know something about what's happened to the soldiers.
context: The armory was empty?\Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers. response:	Mitsuhide!
context: Seems the soldier earlier didn't know, either.\There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide! response:	Right!
context: There were claw marks, too. Someone probably took advantage of this opportunity.\Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide!\Right! response:	I hope he can bring her before sunset.
context: Shall we switch to bandit hunting?\That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide!\Right!\I hope he can bring her before sunset. response:	Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?
context: That's my specialty!\-Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide!\Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion? response:	You tell him what's important calmly, Miss Kiki,
context: -Put those away. We need to investigate the cause and help the soldiers recover first. -Specialty...?\What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide!\Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki, response:	but don't you think your partner's a little soft on him?
context: What if we ask Shirayuki to come?\She might know something about what's happened to the soldiers.\Mitsuhide!\Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him? response:	I wonder...
context: She might know something about what's happened to the soldiers.\Mitsuhide!\Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder... response:	They're here.
context: Mitsuhide!\Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder...\They're here. response:	Hm?
context: Right!\I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder...\They're here.\Hm? response:	Did the physician prescribe the medicine?
context: I hope he can bring her before sunset.\Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder...\They're here.\Hm?\Did the physician prescribe the medicine? response:	Yes, at first...
context: Hey, Miss Kiki, don't tell me Mitsuhide doesn't tell Prince Zen his opinion?\You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder...\They're here.\Hm?\Did the physician prescribe the medicine?\Yes, at first... response:	But there weren't enough medicinal herbs during this time.
context: You tell him what's important calmly, Miss Kiki,\but don't you think your partner's a little soft on him?\I wonder...\They're here.\Hm?\Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time. response:	Weren't enough?
context: but don't you think your partner's a little soft on him?\I wonder...\They're here.\Hm?\Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough? response:	In cold climates, the medicinal properties of the herbs are lower,
context: I wonder...\They're here.\Hm?\Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower, response:	so a larger amount is necessary.
context: They're here.\Hm?\Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary. response:	Really?
context: Hm?\Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really? response:	All right. Did you notice anything else?
context: Did the physician prescribe the medicine?\Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really?\All right. Did you notice anything else? response:	No, I was often outside keeping watch...
context: Yes, at first...\But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really?\All right. Did you notice anything else?\No, I was often outside keeping watch... response:	Sorry I'm not much help...
context: But there weren't enough medicinal herbs during this time.\Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really?\All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help... response:	Oh no, i-it's fine!
context: Weren't enough?\In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really?\All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine! response:	My name is Shuka.
context: In cold climates, the medicinal properties of the herbs are lower,\so a larger amount is necessary.\Really?\All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka. response:	Please let me know if there's anything I can do.
