context: Is This the End!? A Brutally Transcendent Power Attacks Gohan response:	Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!
context: How does that feel?\Not yet?\Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful, response:	they don't know if they can beat him or not!
context: Not yet?\Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not! response:	And yet, here I am, so far away...
context: Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away... response:	I want to go and fight as well. However, getting worked up won't help.
context: Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help. response:	Goku and Piccolo are sure to do well!
context: Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well! response:	You must realize the only thing we can do is to continue our training now,
context: It's not good to get so carried away!\How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now, response:	so that if we do get to Namek, we'll be able to fight as hard as we'd like to.
context: How am I supposed to be calm about this?\Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to. response:	Goku, after how I warned you against getting near Freeza...
context: Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,\they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza... response:	He wields enough terrifying power to destroy the entire universe!
context: they don't know if they can beat him or not!\And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe! response:	Kaio-sama?
context: And yet, here I am, so far away...\I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama? response:	What is it, you guys? Why aren't you training?
context: I want to go and fight as well. However, getting worked up won't help.\Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training? response:	What is the matter? You are so absorbed in thought.
context: Goku and Piccolo are sure to do well!\You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought. response:	Your face is so pallid. Are you all right?
context: You must realize the only thing we can do is to continue our training now,\so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right? response:	M- My face has been this color since birth!
context: so that if we do get to Namek, we'll be able to fight as hard as we'd like to.\Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth! response:	I- I trust nothing bad has happened on Planet Namek?
context: Goku, after how I warned you against getting near Freeza...\He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek? response:	Is it Goku?
context: He wields enough terrifying power to destroy the entire universe!\Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku? response:	Or maybe Piccolo?
context: Kaio-sama?\What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo? response:	I'm finished!
context: What is it, you guys? Why aren't you training?\What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo?\I'm finished! response:	I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!
context: What is the matter? You are so absorbed in thought.\Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake! response:	I want to be a cloud, too.
context: Your face is so pallid. Are you all right?\M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too. response:	Oh dear, that looks just like Krillin!
context: M- My face has been this color since birth!\I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin! response:	Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!
context: I- I trust nothing bad has happened on Planet Namek?\Is it Goku?\Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really! response:	I don't suppose they could have left me behind and gone back to Earth, could they?
context: Is it Goku?\Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they? response:	Or maybe they've been wiped out by Vegeta, or that Freeza guy!
context: Or maybe Piccolo?\I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy! response:	No, that couldn't be! I mean, Son-kun is here, after all!
context: I'm finished!\I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all! response:	They're okay, for sure!
context: I've had it! I want a bed! I want a shower! I want cake with strawberries, and lots of strawberry cake!\I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure! response:	They're okay...
context: I want to be a cloud, too.\Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay... response:	So, this is the end for me? What a shame! I wanted to get married, even just once...
context: Oh dear, that looks just like Krillin!\Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once... response:	Krillin's Ki is dropping rapidly.
context: Speaking of which, what could he possibly be dilly-dallying around about right now? I mean, really!\I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly. response:	Hold on just a while longer, everyone. Just until I've fully recovered. Please!
context: I don't suppose they could have left me behind and gone back to Earth, could they?\Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please! response:	So, you've finally snuffed it, then?
context: Or maybe they've been wiped out by Vegeta, or that Freeza guy!\No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then? response:	Krillin...
context: No, that couldn't be! I mean, Son-kun is here, after all!\They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin... response:	Krillin-san!
context: They're okay, for sure!\They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin...\Krillin-san! response:	So fast!
context: They're okay...\So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin...\Krillin-san!\So fast! response:	You're thinking of saving him? It's pointless, he'll die momentarily.
context: So, this is the end for me? What a shame! I wanted to get married, even just once...\Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin...\Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily. response:	How about instead, you worry about your own safety?
context: Krillin's Ki is dropping rapidly.\Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin...\Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety? response:	Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...
context: Hold on just a while longer, everyone. Just until I've fully recovered. Please!\So, you've finally snuffed it, then?\Krillin...\Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin... response:	Out...
context: So, you've finally snuffed it, then?\Krillin...\Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out... response:	Out...
context: Krillin...\Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out... response:	OUT OF MY WAY!!
context: Krillin-san!\So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out...\OUT OF MY WAY!! response:	What!?
context: So fast!\You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out...\OUT OF MY WAY!!\What!? response:	That kid's power is rising so fast!
context: You're thinking of saving him? It's pointless, he'll die momentarily.\How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out...\OUT OF MY WAY!!\What!?\That kid's power is rising so fast! response:	How can this be? Such incredible energy!
context: How about instead, you worry about your own safety?\Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out...\OUT OF MY WAY!!\What!?\That kid's power is rising so fast!\How can this be? Such incredible energy! response:	I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?
context: Then again, you can worry all you like, it doesn't matter if you're a Nameksei-jin...\Out...\Out...\OUT OF MY WAY!!\What!?\That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!? response:	U- Unbelievable!
context: Out...\Out...\OUT OF MY WAY!!\What!?\That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable! response:	H- He may be closer to becoming a Super Saiyajin than anyone else!
context: Out...\OUT OF MY WAY!!\What!?\That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else! response:	K- Krillin-san!
context: OUT OF MY WAY!!\What!?\That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san! response:	Krillin-san...
context: What!?\That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san... response:	Krillin-san!
context: That kid's power is rising so fast!\How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san...\Krillin-san! response:	It's okay! He's managed to hang on!
context: How can this be? Such incredible energy!\I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san...\Krillin-san!\It's okay! He's managed to hang on! response:	Don't die, Krillin-san!
context: I can't believe it! When that kid loses his senses and flies off the handle, he can call up that much power!?\U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san...\Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san! response:	We don't have time to be worrying about him!
context: U- Unbelievable!\H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san...\Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him! response:	Do you think Freeza would die from just that?
context: H- He may be closer to becoming a Super Saiyajin than anyone else!\K- Krillin-san!\Krillin-san...\Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that? response:	You aren't any ordinary runt, are you? Even I found that to be a little bit painful!
context: K- Krillin-san!\Krillin-san...\Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful! response:	You did that to the wrong person.
context: Krillin-san...\Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person. response:	Of course, like I said before, the fact that you're going to die remains.
context: Krillin-san!\It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains. response:	For all your effort, you've only managed to incur my wrath.
context: It's okay! He's managed to hang on!\Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath. response:	Damn it.
context: Don't die, Krillin-san!\We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it. response:	It looks like we were hoping for too much after all. Now we're a laughingstock!
context: We don't have time to be worrying about him!\Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock! response:	Impossible! His Ki just keeps growing stronger and stronger!
context: Do you think Freeza would die from just that?\You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger! response:	Who could have known he can control his battle power this much!?
context: You aren't any ordinary runt, are you? Even I found that to be a little bit painful!\You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!? response:	I will take the pain I have felt, and return it to you many times over!
context: You did that to the wrong person.\Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over! response:	Freeza's power just billowed up suddenly! At this rate, everyone will be...
context: Of course, like I said before, the fact that you're going to die remains.\For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be... response:	You idiot! Get out of there!
context: For all your effort, you've only managed to incur my wrath.\Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there! response:	Oh no, don't you suffer any damage just yet.
context: Damn it.\It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet. response:	The fun is just beginning, after all.
context: It looks like we were hoping for too much after all. Now we're a laughingstock!\Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all. response:	You're just a kid after all, aren't you? Is that the extent of your power?
context: Impossible! His Ki just keeps growing stronger and stronger!\Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power? response:	Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!
context: Who could have known he can control his battle power this much!?\I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast! response:	All right! Once again! I'll pound you with yet another intensive shot!
context: I will take the pain I have felt, and return it to you many times over!\Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot! response:	Take this!
context: Freeza's power just billowed up suddenly! At this rate, everyone will be...\You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this! response:	And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.
context: You idiot! Get out of there!\Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san. response:	Don't be in such a hurry, Vegeta.
context: Oh no, don't you suffer any damage just yet.\The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta. response:	Once I finish with the runt, I'll have plenty of time to play with you.
context: The fun is just beginning, after all.\You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you. response:	Our fates are sealed...
context: You're just a kid after all, aren't you? Is that the extent of your power?\Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed... response:	So then, how would you like me to deal with you, hmm?
