context: I've been tall ever since I was young. response:	When we line up for morning assembly, I'm always at the end.
context: You don't get a vacation.\You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me? response:	Yeah!
context: You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me?\Yeah! response:	I heard you've been trying really hard on the basketball team.
context: Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team. response:	You're great Kotani-kun.
context: Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun. response:	My name... is Otani, you idiot!
context: Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot! response:	Move, you amazon.
context: No matter what I do, I always draw attention to myself.\Here you go.\Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon. response:	Here you go, Sensei.
context: Here you go.\Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei. response:	Oh, thanks.
context: Are you making fun of me?\Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei.\Oh, thanks. response:	I was being kind and helping you!
context: Yeah!\I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei.\Oh, thanks.\I was being kind and helping you! response:	How can you turn around and call me an amazon?!
context: I heard you've been trying really hard on the basketball team.\You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei.\Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?! response:	I could call you Kyoshinhei instead
context: You're great Kotani-kun.\My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei.\Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead response:	Shut up, midget!
context: My name... is Otani, you idiot!\Move, you amazon.\Here you go, Sensei.\Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget! response:	Oh, you wanna fight?
context: Move, you amazon.\Here you go, Sensei.\Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight? response:	Bring it on!
context: Here you go, Sensei.\Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight?\Bring it on! response:	Okay, All Hanshin-Kyojin...
context: Oh, thanks.\I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin... response:	Who are you calling that?!
context: I was being kind and helping you!\How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?! response:	Would you please stop calling me that!
context: How can you turn around and call me an amazon?!\I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that! response:	All Hanshin-Kyojin...
context: I could call you Kyoshinhei instead\Shut up, midget!\Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin... response:	The first time Nakano-sensei called us that was on the first day of school.
context: Shut up, midget!\Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school. response:	Does no one want to be class representative?
context: Oh, you wanna fight?\Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative? response:	Hey, what about All Hanshin-Kyojin over there?
context: Bring it on!\Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there? response:	We'll have Koizumi and Otani do it.
context: Okay, All Hanshin-Kyojin...\Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it. response:	Whaaat?
context: Who are you calling that?!\Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat? response:	Hello!
context: Would you please stop calling me that!\All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat?\Hello! response:	What the hell?!
context: All Hanshin-Kyojin...\The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat?\Hello!\What the hell?! response:	What are you doing?! I'm trying to get out!
context: The first time Nakano-sensei called us that was on the first day of school.\Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat?\Hello!\What the hell?!\What are you doing?! I'm trying to get out! response:	Move, you amazon.
context: Does no one want to be class representative?\Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat?\Hello!\What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon. response:	You're the one who should move, midget.
context: Hey, what about All Hanshin-Kyojin over there?\We'll have Koizumi and Otani do it.\Whaaat?\Hello!\What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget. response:	Okay, okay. The lovers spat ends here.
context: We'll have Koizumi and Otani do it.\Whaaat?\Hello!\What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here. response:	We're not lovers!
context: Whaaat?\Hello!\What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers! response:	These summer classes are such a pain.
context: Hello!\What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain. response:	Nobu-chan, you failed the midterm test so it can't be helped.
context: What the hell?!\What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped. response:	Well, my darling is going to school for basketball practice anyway,
context: What are you doing?! I'm trying to get out!\Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway, response:	Nakao-kun, huh? That's nice.
context: Move, you amazon.\You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice. response:	Ahh, if I only had a boyfriend, too.
context: You're the one who should move, midget.\Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too. response:	No, at the very least, just someone I like. Then I would be more motivated.
context: Okay, okay. The lovers spat ends here.\We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated. response:	But you sure are weird, Chiharu-chan.
context: We're not lovers!\These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan. response:	You actually signed up for this.
context: These summer classes are such a pain.\Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this. response:	As expected from the top student of our grade. You sure think differently from the rest of us.
context: Nobu-chan, you failed the midterm test so it can't be helped.\Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us. response:	Well, I didn't want to feel left out.
context: Well, my darling is going to school for basketball practice anyway,\Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out. response:	Okay, okay. We get it.
context: Nakao-kun, huh? That's nice.\Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it. response:	Hey, I heard that during summer classes all the different classes are grouped together.
context: Ahh, if I only had a boyfriend, too.\No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together. response:	I wonder if there'll be any nice guys there.
context: No, at the very least, just someone I like. Then I would be more motivated.\But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there. response:	As long as I won't have to see that midget Otani, it'll be heaven.
context: But you sure are weird, Chiharu-chan.\You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven. response:	I don't really like guys that I don't know.
context: You actually signed up for this.\As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know. response:	Why are you here?
context: As expected from the top student of our grade. You sure think differently from the rest of us.\Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here? response:	I was going to ask the same thing!
context: Well, I didn't want to feel left out.\Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing! response:	Oh, right.
context: Okay, okay. We get it.\Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing!\Oh, right. response:	I forget that Otani is a dimwit.
context: Hey, I heard that during summer classes all the different classes are grouped together.\I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit. response:	You have no right to say that!
context: I wonder if there'll be any nice guys there.\As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit.\You have no right to say that! response:	I'm only here because I snored during the graduation ceremony!
context: As long as I won't have to see that midget Otani, it'll be heaven.\I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony! response:	That's nothing to be proud of!
context: I don't really like guys that I don't know.\Why are you here?\I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of! response:	At least I didn't fail!
context: Why are you here?\I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail! response:	Snoring is so uncool.
context: I was going to ask the same thing!\Oh, right.\I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool. response:	All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?
context: Oh, right.\I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too? response:	I asked you to stop calling me that!
context: I forget that Otani is a dimwit.\You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that! response:	Nobu-chan, switch seats with me!
context: You have no right to say that!\I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me! response:	Nobu-chan.
context: I'm only here because I snored during the graduation ceremony!\That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan. response:	Darling.
context: That's nothing to be proud of!\At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan.\Darling. response:	Oh, I see.
context: At least I didn't fail!\Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan.\Darling.\Oh, I see. response:	Um... sitting next to a guy.
context: Snoring is so uncool.\All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan.\Darling.\Oh, I see.\Um... sitting next to a guy. response:	Okay. You can't do it.
context: All Hanshin-Kyojin, will you perform your comedy routine over the summer, too?\I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan.\Darling.\Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it. response:	I get it. Okay.
context: I asked you to stop calling me that!\Nobu-chan, switch seats with me!\Nobu-chan.\Darling.\Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay. response:	This... This is the worst!
context: Nobu-chan, switch seats with me!\Nobu-chan.\Darling.\Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay.\This... This is the worst! response:	This is the worst summer ever.
context: Nobu-chan.\Darling.\Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay.\This... This is the worst!\This is the worst summer ever. response:	I wonder if there'll be any nice guys there.
context: Darling.\Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay.\This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there. response:	Sorry, I'm late.
context: Oh, I see.\Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay.\This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late. response:	Ah, Suzuki.
context: Um... sitting next to a guy.\Okay. You can't do it.\I get it. Okay.\This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki. response:	I haven't taken attendance yet. You're just in time.
context: Okay. You can't do it.\I get it. Okay.\This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time. response:	Starting with Class 1...
context: I get it. Okay.\This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1... response:	Abe!
context: This... This is the worst!\This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe! response:	Here.
context: This is the worst summer ever.\I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe!\Here. response:	Ida!
context: I wonder if there'll be any nice guys there.\Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe!\Here.\Ida! response:	Yeah.
context: Sorry, I'm late.\Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe!\Here.\Ida!\Yeah. response:	Ueno!
context: Ah, Suzuki.\I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe!\Here.\Ida!\Yeah.\Ueno! response:	Here.
context: I haven't taken attendance yet. You're just in time.\Starting with Class 1...\Abe!\Here.\Ida!\Yeah.\Ueno!\Here. response:	Endo!
context: Starting with Class 1...\Abe!\Here.\Ida!\Yeah.\Ueno!\Here.\Endo! response:	Here.
context: Abe!\Here.\Ida!\Yeah.\Ueno!\Here.\Endo!\Here. response:	Omaki!
context: Here.\Ida!\Yeah.\Ueno!\Here.\Endo!\Here.\Omaki! response:	Here.
context: Ida!\Yeah.\Ueno!\Here.\Endo!\Here.\Omaki!\Here. response:	Hey, can I sit behind you?
context: Yeah.\Ueno!\Here.\Endo!\Here.\Omaki!\Here.\Hey, can I sit behind you? response:	Ah, y-yes!
context: Ueno!\Here.\Endo!\Here.\Omaki!\Here.\Hey, can I sit behind you?\Ah, y-yes! response:	Please take a seat!
context: Here.\Endo!\Here.\Omaki!\Here.\Hey, can I sit behind you?\Ah, y-yes!\Please take a seat! response:	If you sit behind Koizumi, you won't be able to see the board.
context: Endo!\Here.\Omaki!\Here.\Hey, can I sit behind you?\Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board. response:	Shut up, Otani!
context: Here.\Omaki!\Here.\Hey, can I sit behind you?\Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani! response:	Sorry... I'm a little tall.
context: Omaki!\Here.\Hey, can I sit behind you?\Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall. response:	That's fine. I can see.
context: Here.\Hey, can I sit behind you?\Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see. response:	It's love!
context: Hey, can I sit behind you?\Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see.\It's love! response:	Maybe this'll be the best summer ever!
context: Ah, y-yes!\Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see.\It's love!\Maybe this'll be the best summer ever! response:	He's dreamy.
context: Please take a seat!\If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see.\It's love!\Maybe this'll be the best summer ever!\He's dreamy. response:	What's up with her?
context: If you sit behind Koizumi, you won't be able to see the board.\Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see.\It's love!\Maybe this'll be the best summer ever!\He's dreamy.\What's up with her? response:	Who knows?
