context: Zeref... response:	You are mine...
context: Now look here...\Ark of Embodiment.\You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand! response:	You still seem plenty kickin' to me!
context: Ark of Embodiment.\You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me! response:	Hold up a sec...
context: You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec... response:	What're we supposed to do now?
context: Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now? response:	If that thing goes wild like it did before, this cliff is gonna break quick!
context: Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick! response:	As for me, I can fly. But, you...
context: Clam it!\How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you... response:	Oh, yeah!
context: How'bout you try runnin' yourself next time!\I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah! response:	We could do that!
context: I've taken a lot of damage! I can just now barely stand!\You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah!\We could do that! response:	What? You're so annoying.
context: You still seem plenty kickin' to me!\Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah!\We could do that!\What? You're so annoying. response:	I knew those glasses you wear make you smart!
context: Hold up a sec...\What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah!\We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart! response:	Now look here... I'm smart even without the glasses.
context: What're we supposed to do now?\If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah!\We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses. response:	Among all the Fairies, I'm the most...
context: If that thing goes wild like it did before, this cliff is gonna break quick!\As for me, I can fly. But, you...\Oh, yeah!\We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most... response:	So there you go!
context: As for me, I can fly. But, you...\Oh, yeah!\We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go! response:	What?!
context: Oh, yeah!\We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go!\What?! response:	Heave-ho!
context: We could do that!\What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go!\What?!\Heave-ho! response:	Hey, big-boy!
context: What? You're so annoying.\I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go!\What?!\Heave-ho!\Hey, big-boy! response:	Over here!
context: I knew those glasses you wear make you smart!\Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go!\What?!\Heave-ho!\Hey, big-boy!\Over here! response:	We'll have a head-to-head battle, Man-to-Man!
context: Now look here... I'm smart even without the glasses.\Among all the Fairies, I'm the most...\So there you go!\What?!\Heave-ho!\Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man! response:	Now bring it on, fair and square!
context: Among all the Fairies, I'm the most...\So there you go!\What?!\Heave-ho!\Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square! response:	Take Over: Beast Soul!
context: So there you go!\What?!\Heave-ho!\Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul! response:	Gotcha!
context: What?!\Heave-ho!\Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha! response:	Hold it!
context: Heave-ho!\Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha!\Hold it! response:	Hey there.
context: Hey, big-boy!\Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha!\Hold it!\Hey there. response:	How about that? Worked like a cha-
context: Over here!\We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha!\Hold it!\Hey there.\How about that? Worked like a cha- response:	Don't go making me the decoy just'cause I can fly!
context: We'll have a head-to-head battle, Man-to-Man!\Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha!\Hold it!\Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly! response:	I'm gonna fall!
context: Now bring it on, fair and square!\Take Over: Beast Soul!\Gotcha!\Hold it!\Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall! response:	The communication between two lovers...
context: Take Over: Beast Soul!\Gotcha!\Hold it!\Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers... response:	That's not how it is!
context: Gotcha!\Hold it!\Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers...\That's not how it is! response:	Great!
context: Hold it!\Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers...\That's not how it is!\Great! response:	You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.
context: Hey there.\How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers...\That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas. response:	You truly showed me well your pitiful struggle against death...
context: How about that? Worked like a cha-\Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers...\That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death... response:	But you fight with not even a hint of elegance, unbefitting of a wizard...
context: Don't go making me the decoy just'cause I can fly!\I'm gonna fall!\The communication between two lovers...\That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard... response:	Honestly...
context: I'm gonna fall!\The communication between two lovers...\That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly... response:	I think I'm going to puke.
context: The communication between two lovers...\That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke. response:	Even in the World of Great Magic
context: That's not how it is!\Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke.\Even in the World of Great Magic response:	that will shortly be upon us, trash like you will not be needed.
context: Great!\You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed. response:	Those without magic power will be eliminated, and only wizards will be left alive?
context: You did well in defeating my Sacred Guardian Beast, Thunderclap Belcusas.\You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive? response:	A World of Great Magic, you say?
context: You truly showed me well your pitiful struggle against death...\But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say? response:	Give me a break.
context: But you fight with not even a hint of elegance, unbefitting of a wizard...\Honestly...\I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break. response:	Only 10 of people in the world are wizards!
context: Honestly...\I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards! response:	The other 90 don't have any magic!
context: I think I'm going to puke.\Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic! response:	That's right. In the World of Great Magic, those 90 cannot survive.
context: Even in the World of Great Magic\that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive. response:	You think we'll let you get away with that?
context: that will shortly be upon us, trash like you will not be needed.\Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that? response:	But what're they for?
context: Those without magic power will be eliminated, and only wizards will be left alive?\A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for? response:	Humans who can't use magic are no better than a candle that can't be lit!
context: A World of Great Magic, you say?\Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit! response:	They have no use!
context: Give me a break.\Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use! response:	Everyone in this world is here because we help one another to survive!
context: Only 10 of people in the world are wizards!\The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive! response:	Belcusas's attack from before must have injured his arm.
context: The other 90 don't have any magic!\That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm. response:	Help one another? Are you talking about guilds?
context: That's right. In the World of Great Magic, those 90 cannot survive.\You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds? response:	That's your ego.
context: You think we'll let you get away with that?\But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego. response:	You people are powerless. All you do is eat up resources!
context: But what're they for?\Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources! response:	No...
context: Humans who can't use magic are no better than a candle that can't be lit!\They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources!\No... response:	We all need each other.
context: They have no use!\Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources!\No...\We all need each other. response:	We bring the power, and the normal people pay the rewards.
context: Everyone in this world is here because we help one another to survive!\Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources!\No...\We all need each other.\We bring the power, and the normal people pay the rewards. response:	The world is built up from those requests...
context: Belcusas's attack from before must have injured his arm.\Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources!\No...\We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests... response:	That's how guilds were born.
context: Help one another? Are you talking about guilds?\That's your ego.\You people are powerless. All you do is eat up resources!\No...\We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born. response:	Don't you dare belittle guilds.
context: That's your ego.\You people are powerless. All you do is eat up resources!\No...\We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds. response:	How dare you talk dirt about those wizards struggling just to survive!
context: You people are powerless. All you do is eat up resources!\No...\We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive! response:	In the end, you people cannot understand.
context: No...\We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand. response:	You cannot get close to the true depths of magic...
context: We all need each other.\We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic... response:	You, who do not know the true terror of Zeref.
context: We bring the power, and the normal people pay the rewards.\The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref. response:	When Zeref shows his true power...
context: The world is built up from those requests...\That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power... response:	You will be able to do nothing, nothing, nothing except grovel before him!
context: That's how guilds were born.\Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him! response:	Fairy Tail will never bow down!
context: Don't you dare belittle guilds.\How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down! response:	Because we're a giant candle that shines light down on the deepest darkness!
context: How dare you talk dirt about those wizards struggling just to survive!\In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness! response:	Take this!
context: In the end, you people cannot understand.\You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this! response:	Fairy Tail, huh?
context: You cannot get close to the true depths of magic...\You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh? response:	Not as elegant as your name would suggest.
context: You, who do not know the true terror of Zeref.\When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest. response:	As I thought!
context: When Zeref shows his true power...\You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought! response:	Trash like you aren't needed in the World of Great Magic!
context: You will be able to do nothing, nothing, nothing except grovel before him!\Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic! response:	Elfman!
context: Fairy Tail will never bow down!\Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman! response:	Call me trash if you want!
context: Because we're a giant candle that shines light down on the deepest darkness!\Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want! response:	But I'll never forgive you calling my friends trash!
context: Take this!\Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash! response:	A Man cannot let that stand!
context: Fairy Tail, huh?\Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand! response:	Is that so?
context: Not as elegant as your name would suggest.\As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so? response:	Elfman!
context: As I thought!\Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so?\Elfman! response:	I got you.
context: Trash like you aren't needed in the World of Great Magic!\Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so?\Elfman!\I got you. response:	The basics of a Take Over is to know your opponent.
context: Elfman!\Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so?\Elfman!\I got you.\The basics of a Take Over is to know your opponent. response:	Isn't that right, Nee-chan?
context: Call me trash if you want!\But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so?\Elfman!\I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan? response:	I'll be taking this arm!
context: But I'll never forgive you calling my friends trash!\A Man cannot let that stand!\Is that so?\Elfman!\I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm! response:	My Blade of Darkness!
context: A Man cannot let that stand!\Is that so?\Elfman!\I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness! response:	Take this!
context: Is that so?\Elfman!\I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness!\Take this! response:	In my left hand dwells a shield of gold that defends against all!
context: Elfman!\I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all! response:	You underestimated me. I won't be beaten so...
context: I got you.\The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so... response:	What I was really after was your glasses!
context: The basics of a Take Over is to know your opponent.\Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses! response:	Now, Ever!
context: Isn't that right, Nee-chan?\I'll be taking this arm!\My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever! response:	The only people who can call me that are the Raijinshuu and Laxus.
context: I'll be taking this arm!\My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus. response:	But this time I'll let you do it, special.
context: My Blade of Darkness!\Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special. response:	Because I can make sure the mouth of someone who insults Fairy Tail
context: Take this!\In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail response:	never opens again by turning them into stone!
context: In my left hand dwells a shield of gold that defends against all!\You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone! response:	Shoot!
context: You underestimated me. I won't be beaten so...\What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot! response:	Stone Eyes!
context: What I was really after was your glasses!\Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot!\Stone Eyes! response:	But that's...
context: Now, Ever!\The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot!\Stone Eyes!\But that's... response:	Why didn't my Stone Eyes...?
context: The only people who can call me that are the Raijinshuu and Laxus.\But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot!\Stone Eyes!\But that's...\Why didn't my Stone Eyes...? response:	Ever!
context: But this time I'll let you do it, special.\Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot!\Stone Eyes!\But that's...\Why didn't my Stone Eyes...?\Ever! response:	Ah...
context: Because I can make sure the mouth of someone who insults Fairy Tail\never opens again by turning them into stone!\Shoot!\Stone Eyes!\But that's...\Why didn't my Stone Eyes...?\Ever!\Ah... response:	Even with the bodies of the two loves in front of me,
context: never opens again by turning them into stone!\Shoot!\Stone Eyes!\But that's...\Why didn't my Stone Eyes...?\Ever!\Ah...\Even with the bodies of the two loves in front of me, response:	I could not be moved, even a tad.
context: Shoot!\Stone Eyes!\But that's...\Why didn't my Stone Eyes...?\Ever!\Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad. response:	It was quite a fun act.
context: Stone Eyes!\But that's...\Why didn't my Stone Eyes...?\Ever!\Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act. response:	Glasses?
context: But that's...\Why didn't my Stone Eyes...?\Ever!\Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act.\Glasses? response:	But I'm sure I...
context: Why didn't my Stone Eyes...?\Ever!\Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act.\Glasses?\But I'm sure I... response:	My magic is the power of imagination.
context: Ever!\Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act.\Glasses?\But I'm sure I...\My magic is the power of imagination. response:	The Ark of Embodiment.
context: Ah...\Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act.\Glasses?\But I'm sure I...\My magic is the power of imagination.\The Ark of Embodiment. response:	Anything I wish for is immediately embodied into reality.
context: Even with the bodies of the two loves in front of me,\I could not be moved, even a tad.\It was quite a fun act.\Glasses?\But I'm sure I...\My magic is the power of imagination.\The Ark of Embodiment.\Anything I wish for is immediately embodied into reality. response:	That magic is ridiculous...
