context: Damn it, Mob. response:	You could've let me know if you had other plans.
context: Moss always grows where the sun doesn't shine much!\See?\This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah!\Looks like you're awake. response:	Where am I
context: See?\This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah!\Looks like you're awake.\Where am I response:	Are you all right?
context: This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah!\Looks like you're awake.\Where am I\Are you all right? response:	Do you remember how you lost?
context: If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah!\Looks like you're awake.\Where am I\Are you all right?\Do you remember how you lost? response:	Not at all...
context: Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah!\Looks like you're awake.\Where am I\Are you all right?\Do you remember how you lost?\Not at all... response:	Nii-san, does your head hurt?
context: Let's go, Nii-san.\Yeah!\Looks like you're awake.\Where am I\Are you all right?\Do you remember how you lost?\Not at all...\Nii-san, does your head hurt? response:	What could it be? Nothing serious, I hope.
context: Yeah!\Looks like you're awake.\Where am I\Are you all right?\Do you remember how you lost?\Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope. response:	I hope you didn't suffer any brain damage.
context: Looks like you're awake.\Where am I\Are you all right?\Do you remember how you lost?\Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage. response:	Ritsu...
context: Where am I\Are you all right?\Do you remember how you lost?\Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu... response:	I'm so glad you're okay.
context: Are you all right?\Do you remember how you lost?\Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay. response:	You're okay, right?
context: Do you remember how you lost?\Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay.\You're okay, right? response:	Nii-san...
context: Not at all...\Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay.\You're okay, right?\Nii-san... response:	Let's hurry home.
context: Nii-san, does your head hurt?\What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay.\You're okay, right?\Nii-san...\Let's hurry home. response:	Right, Hanazawa-kun?
context: What could it be? Nothing serious, I hope.\I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay.\You're okay, right?\Nii-san...\Let's hurry home.\Right, Hanazawa-kun? response:	We can't.
context: I hope you didn't suffer any brain damage.\Ritsu...\I'm so glad you're okay.\You're okay, right?\Nii-san...\Let's hurry home.\Right, Hanazawa-kun?\We can't. response:	I'm not sure why, but we can't use our powers in this room.
context: Ritsu...\I'm so glad you're okay.\You're okay, right?\Nii-san...\Let's hurry home.\Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room. response:	It was futile, no matter how many times I tried.
context: I'm so glad you're okay.\You're okay, right?\Nii-san...\Let's hurry home.\Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried. response:	Usually, it'd be easy for me to bust a hole into this wall.
context: You're okay, right?\Nii-san...\Let's hurry home.\Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall. response:	Oh, you're right.
context: Nii-san...\Let's hurry home.\Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right. response:	But that's okay. Ritsu's with us.
context: Let's hurry home.\Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us. response:	Huh?
context: Right, Hanazawa-kun?\We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us.\Huh? response:	What can your little brother do?
context: We can't.\I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us.\Huh?\What can your little brother do? response:	He's really smart.
context: I'm not sure why, but we can't use our powers in this room.\It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us.\Huh?\What can your little brother do?\He's really smart. response:	Unlike me, who can't do anything without psychic powers,
context: It was futile, no matter how many times I tried.\Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us.\Huh?\What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers, response:	he can figure anything out and solve any problem.
context: Usually, it'd be easy for me to bust a hole into this wall.\Oh, you're right.\But that's okay. Ritsu's with us.\Huh?\What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem. response:	Even without relying on powers.
context: Oh, you're right.\But that's okay. Ritsu's with us.\Huh?\What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers. response:	You're proud of him, huh? So much so that you rely on him.
context: But that's okay. Ritsu's with us.\Huh?\What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him. response:	I admire him. I admire him immensely.
context: Huh?\What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely. response:	That's not fair...
context: What can your little brother do?\He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair... response:	You won't even let me apologize.
context: He's really smart.\Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize. response:	That's not fair!
context: Unlike me, who can't do anything without psychic powers,\he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize.\That's not fair! response:	Even I...
context: he can figure anything out and solve any problem.\Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize.\That's not fair!\Even I... response:	Your sealed room is amazing as usual, Sakurai-kun.
context: Even without relying on powers.\You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize.\That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun. response:	Of course.
context: You're proud of him, huh? So much so that you rely on him.\I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize.\That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course. response:	That aside, what now?
context: I admire him. I admire him immensely.\That's not fair...\You won't even let me apologize.\That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now? response:	Are we going to make those intruders a new part of the upper echelon?
context: That's not fair...\You won't even let me apologize.\That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon? response:	You're jumping the gun.
context: You won't even let me apologize.\That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun. response:	First, we need to brainwash them thoroughly.
context: That's not fair!\Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly. response:	Hey, hold on a second, you guys.
context: Even I...\Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys. response:	Are you planning to turn decent talent into junk?
context: Your sealed room is amazing as usual, Sakurai-kun.\Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk? response:	That group of middle schoolers will be recruited to HQ.
context: Of course.\That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ. response:	Suzuki-kun, was it?
context: That aside, what now?\Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it? response:	I call all the shots in the 7th Division, including personnel decisions.
context: Are we going to make those intruders a new part of the upper echelon?\You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions. response:	I'm going to take them, especially the kid in the uniform.
context: You're jumping the gun.\First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform. response:	We really connected.
context: First, we need to brainwash them thoroughly.\Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected. response:	He'll be a great friend.
context: Hey, hold on a second, you guys.\Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend. response:	Quit acting like you're more than a temp trainee.
context: Are you planning to turn decent talent into junk?\That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee. response:	I'm not very kind.
context: That group of middle schoolers will be recruited to HQ.\Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind. response:	Oh, don't get so mad.
context: Suzuki-kun, was it?\I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad. response:	Are you actually upset about your coworkers being defeated?
context: I call all the shots in the 7th Division, including personnel decisions.\I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated? response:	Apparently, you guys got along better than I thought.
context: I'm going to take them, especially the kid in the uniform.\We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought. response:	Calm down, old man.
context: We really connected.\He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man. response:	That was a compliment.
context: He'll be a great friend.\Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment. response:	Stop it, Sakurai.
context: Quit acting like you're more than a temp trainee.\I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment.\Stop it, Sakurai. response:	Everyone at HQ hates one another.
context: I'm not very kind.\Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another. response:	I feel at home here.
context: Oh, don't get so mad.\Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here. response:	Hmph. Kids these days...
context: Are you actually upset about your coworkers being defeated?\Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days... response:	Hey! Who the hell are you?!
context: Apparently, you guys got along better than I thought.\Calm down, old man.\That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?! response:	Is he with the intruders?
context: Calm down, old man.\That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders? response:	What do you want?
context: That was a compliment.\Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders?\What do you want? response:	Hey, get the others!
context: Stop it, Sakurai.\Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders?\What do you want?\Hey, get the others! response:	Hey, what are you guys talking about? What's going on inside?
context: Everyone at HQ hates one another.\I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders?\What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside? response:	Don't move, you suspicious jerk! Tell us who you are!
context: I feel at home here.\Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders?\What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are! response:	Oh, yeah...
context: Hmph. Kids these days...\Hey! Who the hell are you?!\Is he with the intruders?\What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah... response:	Does he have a gun?! Be careful.
context: Hey! Who the hell are you?!\Is he with the intruders?\What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful. response:	Ah... Crap.
context: Is he with the intruders?\What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap. response:	I ran out of business cards.
context: What do you want?\Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards. response:	B-Business cards?
context: Hey, get the others!\Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards.\B-Business cards? response:	Did he say business cards?
context: Hey, what are you guys talking about? What's going on inside?\Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards.\B-Business cards?\Did he say business cards? response:	Anyway, listen, you guys.
context: Don't move, you suspicious jerk! Tell us who you are!\Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards.\B-Business cards?\Did he say business cards?\Anyway, listen, you guys. response:	Is something going on inside?
context: Oh, yeah...\Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards.\B-Business cards?\Did he say business cards?\Anyway, listen, you guys.\Is something going on inside? response:	S-Stay back!
context: Does he have a gun?! Be careful.\Ah... Crap.\I ran out of business cards.\B-Business cards?\Did he say business cards?\Anyway, listen, you guys.\Is something going on inside?\S-Stay back! response:	We have nothing to say to some weird outsider!
context: Ah... Crap.\I ran out of business cards.\B-Business cards?\Did he say business cards?\Anyway, listen, you guys.\Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider! response:	Hmm... That's strange.
context: I ran out of business cards.\B-Business cards?\Did he say business cards?\Anyway, listen, you guys.\Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange. response:	I'm usually informed when something happens,
context: B-Business cards?\Did he say business cards?\Anyway, listen, you guys.\Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens, response:	but I haven't heard anything.
context: Did he say business cards?\Anyway, listen, you guys.\Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything. response:	What are you talking about?
context: Anyway, listen, you guys.\Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about? response:	Could he mean...
context: Is something going on inside?\S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about?\Could he mean... response:	So, let me get straight to the point.
context: S-Stay back!\We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about?\Could he mean...\So, let me get straight to the point. response:	Can you all use psychic powers?
context: We have nothing to say to some weird outsider!\Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about?\Could he mean...\So, let me get straight to the point.\Can you all use psychic powers? response:	H-How does he know about that?
context: Hmm... That's strange.\I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about?\Could he mean...\So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that? response:	He knows about our organization?
context: I'm usually informed when something happens,\but I haven't heard anything.\What are you talking about?\Could he mean...\So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that?\He knows about our organization? response:	He's acting pretty important...
context: but I haven't heard anything.\What are you talking about?\Could he mean...\So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that?\He knows about our organization?\He's acting pretty important... response:	Sorry, but I'm getting nowhere with you guys.
context: What are you talking about?\Could he mean...\So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that?\He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys. response:	Hold it, you damned intruder!
context: Could he mean...\So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that?\He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder! response:	S-Stop it! He might be...
context: So, let me get straight to the point.\Can you all use psychic powers?\H-How does he know about that?\He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be... response:	I think so, too...
context: Can you all use psychic powers?\H-How does he know about that?\He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too... response:	Let go.
context: H-How does he know about that?\He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too...\Let go. response:	I'm only here to talk about work with my subordinate.
context: He knows about our organization?\He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too...\Let go.\I'm only here to talk about work with my subordinate. response:	Subordinate?
context: He's acting pretty important...\Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too...\Let go.\I'm only here to talk about work with my subordinate.\Subordinate? response:	Subordinate? Could it be?
context: Sorry, but I'm getting nowhere with you guys.\Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too...\Let go.\I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be? response:	Everyone here is the 7th Division Leader's subordinate.
context: Hold it, you damned intruder!\S-Stop it! He might be...\I think so, too...\Let go.\I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate. response:	But Division Leader Ishiguro is a direct subordinate of the boss...
context: S-Stop it! He might be...\I think so, too...\Let go.\I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss... response:	Which means...
context: I think so, too...\Let go.\I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means... response:	I was so rude!
context: Let go.\I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude! response:	I-I'm going to be killed!
context: I'm only here to talk about work with my subordinate.\Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude!\I-I'm going to be killed! response:	What? Are you not feeling well?
