context: Hm? response:	Just one more time...
context: Captain.\Nice save, Daichi-san.\It's in.\Front, front.\Nice, Inuoka.\Bring it.\Tora.\Let's do this, Hinata. One, two... response:	All right.
context: Nice save, Daichi-san.\It's in.\Front, front.\Nice, Inuoka.\Bring it.\Tora.\Let's do this, Hinata. One, two...\All right. response:	Kai-san, nice cover.
context: It's in.\Front, front.\Nice, Inuoka.\Bring it.\Tora.\Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover. response:	Wow, the supporting players on both teams are doing a good job.
context: Front, front.\Nice, Inuoka.\Bring it.\Tora.\Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job. response:	They're not flashy, but they keep the ball in play.
context: Nice, Inuoka.\Bring it.\Tora.\Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play. response:	There wouldn't be a match without them.
context: Bring it.\Tora.\Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them. response:	Kenma.
context: Tora.\Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma. response:	One more!
context: Let's do this, Hinata. One, two...\All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma.\One more! response:	Even if I'm only average on offense,
context: All right.\Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma.\One more!\Even if I'm only average on offense, response:	I'm still Nekoma's ace!
context: Kai-san, nice cover.\Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma.\One more!\Even if I'm only average on offense,\I'm still Nekoma's ace! response:	All right.
context: Wow, the supporting players on both teams are doing a good job.\They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma.\One more!\Even if I'm only average on offense,\I'm still Nekoma's ace!\All right. response:	Damn.
context: They're not flashy, but they keep the ball in play.\There wouldn't be a match without them.\Kenma.\One more!\Even if I'm only average on offense,\I'm still Nekoma's ace!\All right.\Damn. response:	Taketora-san is more fired up than usual.
context: There wouldn't be a match without them.\Kenma.\One more!\Even if I'm only average on offense,\I'm still Nekoma's ace!\All right.\Damn.\Taketora-san is more fired up than usual. response:	Karasuno's team has a a similar kind of guy. Maybe that's why.
context: Kenma.\One more!\Even if I'm only average on offense,\I'm still Nekoma's ace!\All right.\Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why. response:	Or maybe he got inspired by the battle between Inuoka and 10.
context: One more!\Even if I'm only average on offense,\I'm still Nekoma's ace!\All right.\Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10. response:	Hinata-kun and Kageyama-kun's quick sets haven't been syncing...
context: Even if I'm only average on offense,\I'm still Nekoma's ace!\All right.\Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing... response:	That's because they're trying to do normal quick sets,
context: I'm still Nekoma's ace!\All right.\Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets, response:	instead of the freak quick sets
context: All right.\Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets response:	where Kageyama matches Hinata perfectly.
context: Damn.\Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly. response:	But Hinata needs to develop his skills.
context: Taketora-san is more fired up than usual.\Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills. response:	You're still straining. Your timing's slower than usual.
context: Karasuno's team has a a similar kind of guy. Maybe that's why.\Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual. response:	His body has to learn,
context: Or maybe he got inspired by the battle between Inuoka and 10.\Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn, response:	and the only way is through repetition.
context: Hinata-kun and Kageyama-kun's quick sets haven't been syncing...\That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition. response:	He'll have to keep training, but once he has a unique set of skills...
context: That's because they're trying to do normal quick sets,\instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills... response:	They'll become a pair of oni.
context: instead of the freak quick sets\where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni. response:	Karasuno Nekoma
context: where Kageyama matches Hinata perfectly.\But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma response:	Nice serve.
context: But Hinata needs to develop his skills.\You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma\Nice serve. response:	Which way should I receive? Over or under?
context: You're still straining. Your timing's slower than usual.\His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under? response:	Cover, cover.
context: His body has to learn,\and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under?\Cover, cover. response:	Ryu.
context: and the only way is through repetition.\He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under?\Cover, cover.\Ryu. response:	All right! Asahi-san's not the only one
context: He'll have to keep training, but once he has a unique set of skills...\They'll become a pair of oni.\Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under?\Cover, cover.\Ryu.\All right! Asahi-san's not the only one response:	who can score in a pinch.
context: They'll become a pair of oni.\Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under?\Cover, cover.\Ryu.\All right! Asahi-san's not the only one\who can score in a pinch. response:	Wow.
context: Karasuno Nekoma\Nice serve.\Which way should I receive? Over or under?\Cover, cover.\Ryu.\All right! Asahi-san's not the only one\who can score in a pinch.\Wow. response:	He blew away the block.
context: Nice serve.\Which way should I receive? Over or under?\Cover, cover.\Ryu.\All right! Asahi-san's not the only one\who can score in a pinch.\Wow.\He blew away the block. response:	Yes! Yes! Yes!
context: Which way should I receive? Over or under?\Cover, cover.\Ryu.\All right! Asahi-san's not the only one\who can score in a pinch.\Wow.\He blew away the block.\Yes! Yes! Yes! response:	I won't just keep getting blocked by you.
context: Cover, cover.\Ryu.\All right! Asahi-san's not the only one\who can score in a pinch.\Wow.\He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you. response:	I'll block you, too.
context: Ryu.\All right! Asahi-san's not the only one\who can score in a pinch.\Wow.\He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too. response:	Hinata.
context: All right! Asahi-san's not the only one\who can score in a pinch.\Wow.\He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too.\Hinata. response:	Like Kageyama says, don't strain too much.
context: who can score in a pinch.\Wow.\He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much. response:	Maintain a broad perspective.
context: Wow.\He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective. response:	Y-Yes.
context: He blew away the block.\Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes. response:	Fukunaga.
context: Yes! Yes! Yes!\I won't just keep getting blocked by you.\I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes.\Fukunaga. response:	The guy with thick crewcut dashed forward...
context: I won't just keep getting blocked by you.\I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward... response:	Maintain a broad perspective.
context: I'll block you, too.\Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective. response:	And now 7, from behind 2?
context: Hinata.\Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2? response:	Nice one touch.
context: Like Kageyama says, don't strain too much.\Maintain a broad perspective.\Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch. response:	Chance ball.
context: Maintain a broad perspective.\Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch.\Chance ball. response:	Fast!
context: Y-Yes.\Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch.\Chance ball.\Fast! response:	Nekoma's 7 reacts fast, too.
context: Fukunaga.\The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch.\Chance ball.\Fast!\Nekoma's 7 reacts fast, too. response:	They influence each other in a tight battle.
context: The guy with thick crewcut dashed forward...\Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch.\Chance ball.\Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle. response:	At times, they push each other's abilities to new heights.
context: Maintain a broad perspective.\And now 7, from behind 2?\Nice one touch.\Chance ball.\Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights. response:	They are indeed rivals.
context: And now 7, from behind 2?\Nice one touch.\Chance ball.\Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals. response:	He got it through.
context: Nice one touch.\Chance ball.\Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through. response:	It landed in.
context: Chance ball.\Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through.\It landed in. response:	All right.
context: Fast!\Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through.\It landed in.\All right. response:	Still a little too high...
context: Nekoma's 7 reacts fast, too.\They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through.\It landed in.\All right.\Still a little too high... response:	One more.
context: They influence each other in a tight battle.\At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through.\It landed in.\All right.\Still a little too high...\One more. response:	All right.
context: At times, they push each other's abilities to new heights.\They are indeed rivals.\He got it through.\It landed in.\All right.\Still a little too high...\One more.\All right. response:	Damn.
context: They are indeed rivals.\He got it through.\It landed in.\All right.\Still a little too high...\One more.\All right.\Damn. response:	Karasuno Nekoma
context: He got it through.\It landed in.\All right.\Still a little too high...\One more.\All right.\Damn.\Karasuno Nekoma response:	We can't let them reach 20 points we do.
context: It landed in.\All right.\Still a little too high...\One more.\All right.\Damn.\Karasuno Nekoma\We can't let them reach 20 points we do. response:	Inuoka, serve.
context: All right.\Still a little too high...\One more.\All right.\Damn.\Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve. response:	Yes.
context: Still a little too high...\One more.\All right.\Damn.\Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve.\Yes. response:	The lanky guy rotates to rear guard,
context: One more.\All right.\Damn.\Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve.\Yes.\The lanky guy rotates to rear guard, response:	and comb-head becomes vanguard...
context: All right.\Damn.\Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve.\Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard... response:	It's fun playing against Lanky, but...
context: Damn.\Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve.\Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but... response:	This guy is scary.
context: Karasuno Nekoma\We can't let them reach 20 points we do.\Inuoka, serve.\Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary. response:	Inuoka's 20 cm taller than you, and yet you've played an even match.
context: We can't let them reach 20 points we do.\Inuoka, serve.\Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match. response:	That's amazing, shrimpy.
context: Inuoka, serve.\Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy. response:	You can call me a shrimp, but you're the real shrimp.
context: Yes.\The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp. response:	Hey.
context: The lanky guy rotates to rear guard,\and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey. response:	What are you doing?
context: and comb-head becomes vanguard...\It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing? response:	Let's do our usual quick set this time.
context: It's fun playing against Lanky, but...\This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing?\Let's do our usual quick set this time. response:	The zoomy one, not the floaty one?
context: This guy is scary.\Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one? response:	That's right.
context: Inuoka's 20 cm taller than you, and yet you've played an even match.\That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right. response:	But I was starting to get the hang of the floaty one.
context: That's amazing, shrimpy.\You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one. response:	Not this time.
context: You can call me a shrimp, but you're the real shrimp.\Hey.\What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one.\Not this time. response:	Not while that guy is vanguard.
context: Hey.\What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard. response:	But why?
context: What are you doing?\Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard.\But why? response:	Just because.
context: Let's do our usual quick set this time.\The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard.\But why?\Just because. response:	Huh?
context: The zoomy one, not the floaty one?\That's right.\But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard.\But why?\Just because.\Huh? response:	It's my intuition.
context: That's right.\But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard.\But why?\Just because.\Huh?\It's my intuition. response:	Inuoka, nice serve.
context: But I was starting to get the hang of the floaty one.\Not this time.\Not while that guy is vanguard.\But why?\Just because.\Huh?\It's my intuition.\Inuoka, nice serve. response:	Yes.
context: Not this time.\Not while that guy is vanguard.\But why?\Just because.\Huh?\It's my intuition.\Inuoka, nice serve.\Yes. response:	That always feels so good.
context: Not while that guy is vanguard.\But why?\Just because.\Huh?\It's my intuition.\Inuoka, nice serve.\Yes.\That always feels so good. response:	I think that was a good decision.
context: But why?\Just because.\Huh?\It's my intuition.\Inuoka, nice serve.\Yes.\That always feels so good.\I think that was a good decision. response:	What?
context: Just because.\Huh?\It's my intuition.\Inuoka, nice serve.\Yes.\That always feels so good.\I think that was a good decision.\What? response:	Sorry, sorry. I didn't react at all.
context: Huh?\It's my intuition.\Inuoka, nice serve.\Yes.\That always feels so good.\I think that was a good decision.\What?\Sorry, sorry. I didn't react at all. response:	I think the freak quick set is more effective
context: It's my intuition.\Inuoka, nice serve.\Yes.\That always feels so good.\I think that was a good decision.\What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective response:	against that third year middle blocker.
context: Inuoka, nice serve.\Yes.\That always feels so good.\I think that was a good decision.\What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker. response:	Kuro-san, don't worry.
context: Yes.\That always feels so good.\I think that was a good decision.\What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry. response:	It's because the normal quick set
context: That always feels so good.\I think that was a good decision.\What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set response:	would be an easy target for that skilled middle blocker.
context: I think that was a good decision.\What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker. response:	Okay, it's my serve next.
context: What?\Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next. response:	That sure was amazing.
context: Sorry, sorry. I didn't react at all.\I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing. response:	Get it over the net, okay?
context: I think the freak quick set is more effective\against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay? response:	Those guys are what you call superhuman.
context: against that third year middle blocker.\Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman. response:	I know that.
context: Kuro-san, don't worry.\It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman.\I know that. response:	Okay, then...
context: It's because the normal quick set\would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman.\I know that.\Okay, then... response:	Let's get that point back.
context: would be an easy target for that skilled middle blocker.\Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman.\I know that.\Okay, then...\Let's get that point back. response:	Hinata, nice serve.
context: Okay, it's my serve next.\That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman.\I know that.\Okay, then...\Let's get that point back.\Hinata, nice serve. response:	Nice receive.
context: That sure was amazing.\Get it over the net, okay?\Those guys are what you call superhuman.\I know that.\Okay, then...\Let's get that point back.\Hinata, nice serve.\Nice receive. response:	Wow, they got jumbled...
context: Get it over the net, okay?\Those guys are what you call superhuman.\I know that.\Okay, then...\Let's get that point back.\Hinata, nice serve.\Nice receive.\Wow, they got jumbled... response:	Who's getting this one?
context: Those guys are what you call superhuman.\I know that.\Okay, then...\Let's get that point back.\Hinata, nice serve.\Nice receive.\Wow, they got jumbled...\Who's getting this one? response:	It's gotta be that strong-looking guy...
context: I know that.\Okay, then...\Let's get that point back.\Hinata, nice serve.\Nice receive.\Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy... response:	4!
context: Okay, then...\Let's get that point back.\Hinata, nice serve.\Nice receive.\Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy...\4! response:	Back row attack...
context: Let's get that point back.\Hinata, nice serve.\Nice receive.\Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy...\4!\Back row attack... response:	The three in front were decoys!
context: Hinata, nice serve.\Nice receive.\Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy...\4!\Back row attack...\The three in front were decoys! response:	Our block's been completely thwarted.
context: Nice receive.\Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy...\4!\Back row attack...\The three in front were decoys!\Our block's been completely thwarted. response:	Chance ball.
context: Wow, they got jumbled...\Who's getting this one?\It's gotta be that strong-looking guy...\4!\Back row attack...\The three in front were decoys!\Our block's been completely thwarted.\Chance ball. response:	Who's next?
context: Who's getting this one?\It's gotta be that strong-looking guy...\4!\Back row attack...\The three in front were decoys!\Our block's been completely thwarted.\Chance ball.\Who's next? response:	An A quick.
context: It's gotta be that strong-looking guy...\4!\Back row attack...\The three in front were decoys!\Our block's been completely thwarted.\Chance ball.\Who's next?\An A quick. response:	Wow.
context: 4!\Back row attack...\The three in front were decoys!\Our block's been completely thwarted.\Chance ball.\Who's next?\An A quick.\Wow. response:	In a split second.
context: Back row attack...\The three in front were decoys!\Our block's been completely thwarted.\Chance ball.\Who's next?\An A quick.\Wow.\In a split second. response:	That was quite a solid quick.
context: The three in front were decoys!\Our block's been completely thwarted.\Chance ball.\Who's next?\An A quick.\Wow.\In a split second.\That was quite a solid quick. response:	Maybe it's because he's keeping a close eye on our unpredictable Hinata.
context: Our block's been completely thwarted.\Chance ball.\Who's next?\An A quick.\Wow.\In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata. response:	All right, my serve.
context: Chance ball.\Who's next?\An A quick.\Wow.\In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve. response:	Karasuno Nekoma
context: Who's next?\An A quick.\Wow.\In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma response:	Yamamoto, nice serve.
context: An A quick.\Wow.\In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve. response:	Crap.
context: Wow.\In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve.\Crap. response:	Sorry, cover!
context: In a split second.\That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve.\Crap.\Sorry, cover! response:	Open.
context: That was quite a solid quick.\Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve.\Crap.\Sorry, cover!\Open. response:	Asahi-san.
context: Maybe it's because he's keeping a close eye on our unpredictable Hinata.\All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve.\Crap.\Sorry, cover!\Open.\Asahi-san. response:	Who's attacking next?
context: All right, my serve.\Karasuno Nekoma\Yamamoto, nice serve.\Crap.\Sorry, cover!\Open.\Asahi-san.\Who's attacking next? response:	Another A quick?
context: Karasuno Nekoma\Yamamoto, nice serve.\Crap.\Sorry, cover!\Open.\Asahi-san.\Who's attacking next?\Another A quick? response:	He didn't jump!
context: Yamamoto, nice serve.\Crap.\Sorry, cover!\Open.\Asahi-san.\Who's attacking next?\Another A quick?\He didn't jump! response:	What was that?
