context: And so... response:	Can anyone tell me what AD means?
context: It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack. response:	First I'll announce the members participating in the operation.
context: What kind?\Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation. response:	I've already made arrangements for us to take the tests in Angel's class.
context: Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class. response:	Wouldn't it be best to just attack with all our members?
context: Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members? response:	It wouldn't be best!
context: But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best! response:	We can't afford any mistakes this time!
context: If her emotions aren't made of steel...\If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time! response:	If our plans are exposed, they'll immediately move us to a different classroom,
context: If she has a human soul, same as us, then...\That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom, response:	and we'll lose any hopes of ruining Angel's tests!
context: That loss of dignity will be an effective emotional attack.\First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests! response:	I see.
context: First I'll announce the members participating in the operation.\I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see. response:	Count me out then.
context: I've already made arrangements for us to take the tests in Angel's class.\Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then. response:	That kind of work is for the girly members.
context: Wouldn't it be best to just attack with all our members?\It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then.\That kind of work is for the girly members. response:	Which is why the participants will be...
context: It wouldn't be best!\We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then.\That kind of work is for the girly members.\Which is why the participants will be... response:	Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,
context: We can't afford any mistakes this time!\If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then.\That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun, response:	and Otonashi - kun.
context: If our plans are exposed, they'll immediately move us to a different classroom,\and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then.\That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun. response:	Me again?
context: and we'll lose any hopes of ruining Angel's tests!\I see.\Count me out then.\That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again? response:	Please call me Christ
context: I see.\Count me out then.\That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again?\Please call me Christ response:	I just chose the normal looking members.
context: Count me out then.\That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again?\Please call me Christ\I just chose the normal looking members. response:	Now then...
context: That kind of work is for the girly members.\Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again?\Please call me Christ\I just chose the normal looking members.\Now then... response:	Operation start!
context: Which is why the participants will be...\Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again?\Please call me Christ\I just chose the normal looking members.\Now then...\Operation start! response:	Seating will be decided on the morning of the tests by lottery.
context: Takamatsu - kun, Hinata - kun, Oyama - kun, Takeyama - kun,\and Otonashi - kun.\Me again?\Please call me Christ\I just chose the normal looking members.\Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery. response:	If we don't get a seat close to Angel, it'll be difficult to interfere.
context: and Otonashi - kun.\Me again?\Please call me Christ\I just chose the normal looking members.\Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere. response:	Got it?
context: Me again?\Please call me Christ\I just chose the normal looking members.\Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it? response:	Get the seat in front of her.
context: Please call me Christ\I just chose the normal looking members.\Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her. response:	Don't ask the impossible.
context: I just chose the normal looking members.\Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her.\Don't ask the impossible. response:	Let's see...
context: Now then...\Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her.\Don't ask the impossible.\Let's see... response:	20...
context: Operation start!\Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her.\Don't ask the impossible.\Let's see...\20... response:	I missed!
context: Seating will be decided on the morning of the tests by lottery.\If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her.\Don't ask the impossible.\Let's see...\20...\I missed! response:	11.
context: If we don't get a seat close to Angel, it'll be difficult to interfere.\Got it?\Get the seat in front of her.\Don't ask the impossible.\Let's see...\20...\I missed!\11. response:	Quite far from Angel.
context: Got it?\Get the seat in front of her.\Don't ask the impossible.\Let's see...\20...\I missed!\11.\Quite far from Angel. response:	33...
context: Get the seat in front of her.\Don't ask the impossible.\Let's see...\20...\I missed!\11.\Quite far from Angel.\33... response:	Totally no good!
context: Don't ask the impossible.\Let's see...\20...\I missed!\11.\Quite far from Angel.\33...\Totally no good! response:	Down to me, huh...
context: Let's see...\20...\I missed!\11.\Quite far from Angel.\33...\Totally no good!\Down to me, huh... response:	25...
context: 20...\I missed!\11.\Quite far from Angel.\33...\Totally no good!\Down to me, huh...\25... response:	I'm pretty far too.
context: I missed!\11.\Quite far from Angel.\33...\Totally no good!\Down to me, huh...\25...\I'm pretty far too. response:	Yay! I got number 1!
context: 11.\Quite far from Angel.\33...\Totally no good!\Down to me, huh...\25...\I'm pretty far too.\Yay! I got number 1! response:	What the hell's with this damn thing!?
context: Quite far from Angel.\33...\Totally no good!\Down to me, huh...\25...\I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!? response:	Isn't anyone close to her?
context: 33...\Totally no good!\Down to me, huh...\25...\I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her? response:	I don't care if it's beside or in front!
context: Totally no good!\Down to me, huh...\25...\I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front! response:	I got the seat in front of her.
context: Down to me, huh...\25...\I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her. response:	Alright!!
context: 25...\I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her.\Alright!! response:	So, what should I do?
context: I'm pretty far too.\Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her.\Alright!!\So, what should I do? response:	When the answer sheets get passed out, take two of them.
context: Yay! I got number 1!\What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her.\Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them. response:	And when they're collected at the end, switch one with Angel's.
context: What the hell's with this damn thing!?\Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her.\Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's. response:	Leave that sheet blank
context: Isn't anyone close to her?\I don't care if it's beside or in front!\I got the seat in front of her.\Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank response:	No, that would be too suspicious...
context: I don't care if it's beside or in front!\I got the seat in front of her.\Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious... response:	Write down lots of stupid answers.
context: I got the seat in front of her.\Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers. response:	Like what?
context: Alright!!\So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers.\Like what? response:	Just write about what you'd like to be in the future.
context: So, what should I do?\When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future. response:	It's a physics test, you know...
context: When the answer sheets get passed out, take two of them.\And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know... response:	It's fine, just write pilot and dolphin trainer and stuff.
context: And when they're collected at the end, switch one with Angel's.\Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff. response:	That's pretty stupid...
context: Leave that sheet blank\No, that would be too suspicious...\Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid... response:	What do we do when the tests are collected?
context: No, that would be too suspicious...\Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected? response:	Hinata - kun, wait for the right moment, then do something stupid!
context: Write down lots of stupid answers.\Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid! response:	Make it so everyone focuses on you.
context: Like what?\Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you. response:	That's just...
context: Just write about what you'd like to be in the future.\It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just... response:	Why do you think I included you in this operation?
context: It's a physics test, you know...\It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation? response:	I never thought it'd be for a clown act!
context: It's fine, just write pilot and dolphin trainer and stuff.\That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act! response:	And then at that moment,
context: That's pretty stupid...\What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment, response:	after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.
context: What do we do when the tests are collected?\Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one. response:	If anything goes wrong, make sure you don't panic and just help each other out.
context: Hinata - kun, wait for the right moment, then do something stupid!\Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out. response:	Okay?
context: Make it so everyone focuses on you.\That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay? response:	Ah, wait a second...
context: That's just...\Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second... response:	What should I put down for her name?
context: Why do you think I included you in this operation?\I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second...\What should I put down for her name? response:	Angel.
context: I never thought it'd be for a clown act!\And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second...\What should I put down for her name?\Angel. response:	Are you an idiot?
context: And then at that moment,\after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second...\What should I put down for her name?\Angel.\Are you an idiot? response:	Isn't Student Council President fine?
context: after gathering all the tests from behind him, Takeyama - kun will switch out Angel's test paper with the fake one.\If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second...\What should I put down for her name?\Angel.\Are you an idiot?\Isn't Student Council President fine? response:	Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?
context: If anything goes wrong, make sure you don't panic and just help each other out.\Okay?\Ah, wait a second...\What should I put down for her name?\Angel.\Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right? response:	No way!
context: Okay?\Ah, wait a second...\What should I put down for her name?\Angel.\Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way! response:	Being unable to write your own name is too unbelievably stupid!
context: Ah, wait a second...\What should I put down for her name?\Angel.\Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid! response:	And wait, how do you people not know her name yet anyway?
context: What should I put down for her name?\Angel.\Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway? response:	We've never had a chance to find out.
context: Angel.\Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out. response:	That's messed up!
context: Are you an idiot?\Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up! response:	Fine, go find out what it is then.
context: Isn't Student Council President fine?\Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then. response:	Go to the staffroom and check the register.
context: Yeah! She's going to be an idiot who writes I want to be a dolphin trainer on her test anyway, right?\No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register. response:	Geez, you could be a bit more
context: No way!\Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more response:	Where are you going?
context: Being unable to write your own name is too unbelievably stupid!\And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going? response:	The test is about to start.
context: And wait, how do you people not know her name yet anyway?\We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going?\The test is about to start. response:	I just... got a bit nervous.
context: We've never had a chance to find out.\That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going?\The test is about to start.\I just... got a bit nervous. response:	Dammit, what do I do?
context: That's messed up!\Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going?\The test is about to start.\I just... got a bit nervous.\Dammit, what do I do? response:	It would be too cruel to hand in her test under the name Student Council President...
context: Fine, go find out what it is then.\Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going?\The test is about to start.\I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President... response:	No, worse than that...
context: Go to the staffroom and check the register.\Geez, you could be a bit more\Where are you going?\The test is about to start.\I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that... response:	Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...
context: Geez, you could be a bit more\Where are you going?\The test is about to start.\I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with... response:	I want to be a train company director! is just...
context: Where are you going?\The test is about to start.\I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just... response:	Are you that worried?
context: The test is about to start.\I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just...\Are you that worried? response:	No, that's not it...
context: I just... got a bit nervous.\Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just...\Are you that worried?\No, that's not it... response:	Calm down.
context: Dammit, what do I do?\It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just...\Are you that worried?\No, that's not it...\Calm down. response:	It's okay.
context: It would be too cruel to hand in her test under the name Student Council President...\No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just...\Are you that worried?\No, that's not it...\Calm down.\It's okay. response:	Um...
context: No, worse than that...\Answering the question What is the resulting amperage when applying 3.0V to a conductor with 20Q resistance? with...\I want to be a train company director! is just...\Are you that worried?\No, that's not it...\Calm down.\It's okay.\Um... response:	I'm Otonashi.
