context: Interviews with Monster Girls response:	Demi-chans Want to Learn
context: I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do.\One thing?\Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests? response:	What do I do, Yukki?!
context: Well, he scolded you for not studying,\so there's only one thing to do.\One thing?\Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?! response:	Help me study!
context: so there's only one thing to do.\One thing?\Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?!\Help me study! response:	Oh, good idea.
context: One thing?\Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?!\Help me study!\Oh, good idea. response:	Let's study together for the proficiency tests.
context: Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?!\Help me study!\Oh, good idea.\Let's study together for the proficiency tests. response:	O-Okay...
context: But the exams are over!\Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?!\Help me study!\Oh, good idea.\Let's study together for the proficiency tests.\O-Okay... response:	I did all right on the exams,
context: Midterms are over, but proficiency tests are coming up.\What? More tests?\What do I do, Yukki?!\Help me study!\Oh, good idea.\Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams, response:	so now I can relax and...
context: What? More tests?\What do I do, Yukki?!\Help me study!\Oh, good idea.\Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams,\so now I can relax and... response:	Huh?
context: What do I do, Yukki?!\Help me study!\Oh, good idea.\Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams,\so now I can relax and...\Huh? response:	The Amazing Van Deursen
context: Help me study!\Oh, good idea.\Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams,\so now I can relax and...\Huh?\The Amazing Van Deursen response:	The Amazing Van Deursen, volume 7.
context: Oh, good idea.\Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams,\so now I can relax and...\Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7. response:	I remember this!
context: Let's study together for the proficiency tests.\O-Okay...\I did all right on the exams,\so now I can relax and...\Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this! response:	My father used to read this all the time.
context: O-Okay...\I did all right on the exams,\so now I can relax and...\Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time. response:	But why was it lying in the hallway?
context: I did all right on the exams,\so now I can relax and...\Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time.\But why was it lying in the hallway? response:	Even if someone dropped it, it's a bit old for kids these days...
context: so now I can relax and...\Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days... response:	Satou-sensei!
context: Huh?\The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei! response:	Oh, so you dropped the book.
context: The Amazing Van Deursen\The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book. response:	I-I'm sorry for bringing manga to school.
context: The Amazing Van Deursen, volume 7.\I remember this!\My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school. response:	It's fine, as long as you don't read it during class!
context: I remember this!\My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class! response:	You're just trading with a friend, aren't you?
context: My father used to read this all the time.\But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you? response:	Our secret.
context: But why was it lying in the hallway?\Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret. response:	Yes, thank you!
context: Even if someone dropped it, it's a bit old for kids these days...\Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret.\Yes, thank you! response:	I'm surprised, though.
context: Satou-sensei!\Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret.\Yes, thank you!\I'm surprised, though. response:	I wouldn't have thought you'd like comedy and gag-type manga like this.
context: Oh, so you dropped the book.\I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret.\Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this. response:	Huh?
context: I-I'm sorry for bringing manga to school.\It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret.\Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh? response:	Oh, no! I don't!
context: It's fine, as long as you don't read it during class!\You're just trading with a friend, aren't you?\Our secret.\Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't! response:	I had a classmate who wanted to read it,
context: You're just trading with a friend, aren't you?\Our secret.\Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't!\I had a classmate who wanted to read it, response:	and I just happened to have it at home!
context: Our secret.\Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home! response:	I see.
context: Yes, thank you!\I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home!\I see. response:	My parents love manga, so we have a lot of it at home,
context: I'm surprised, though.\I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home, response:	but I don't read that much!
context: I wouldn't have thought you'd like comedy and gag-type manga like this.\Huh?\Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much! response:	I see.
context: Huh?\Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see. response:	I'm not that interested in silly stuff. I just...
context: Oh, no! I don't!\I had a classmate who wanted to read it,\and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see.\I'm not that interested in silly stuff. I just... response:	I'm lying! I actually love gag manga!
context: I had a classmate who wanted to read it,\and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga! response:	But it's incredibly embarrassing to come out and say I like it.
context: and I just happened to have it at home!\I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it. response:	Maybe it's because there are lots of raunchy ones.
context: I see.\My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones. response:	I just have to try not to let it show.
context: My parents love manga, so we have a lot of it at home,\but I don't read that much!\I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show. response:	Huh?
context: but I don't read that much!\I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh? response:	Y-Yes?
context: I see.\I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh?\Y-Yes? response:	Isn't this volume 7?
context: I'm not that interested in silly stuff. I just...\I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh?\Y-Yes?\Isn't this volume 7? response:	You're lending this one out first?
context: I'm lying! I actually love gag manga!\But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh?\Y-Yes?\Isn't this volume 7?\You're lending this one out first? response:	Oh, I c-confused it with volume 1!
context: But it's incredibly embarrassing to come out and say I like it.\Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh?\Y-Yes?\Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1! response:	Ah, I can understand that!
context: Maybe it's because there are lots of raunchy ones.\I just have to try not to let it show.\Huh?\Y-Yes?\Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that! response:	Depending on the font, 1 and 7 can look a lot alike.
context: I just have to try not to let it show.\Huh?\Y-Yes?\Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike. response:	Yeah, exactly.
context: Huh?\Y-Yes?\Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly. response:	I'm lying.
context: Y-Yes?\Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying. response:	I felt so free after the exams,
context: Isn't this volume 7?\You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying.\I felt so free after the exams, response:	I started reading and couldn't stop,
context: You're lending this one out first?\Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying.\I felt so free after the exams,\I started reading and couldn't stop, response:	so I was planning to continue reading it at school!
context: Oh, I c-confused it with volume 1!\Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying.\I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school! response:	Back in the day, this Van Deursen manga was really popular.
context: Ah, I can understand that!\Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying.\I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular. response:	Yes...
context: Depending on the font, 1 and 7 can look a lot alike.\Yeah, exactly.\I'm lying.\I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes... response:	I know that very well.
context: Yeah, exactly.\I'm lying.\I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well. response:	Van Deursen, a chivalrous vampire thief,
context: I'm lying.\I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief, response:	punishes unjust authority figures by sucking their blood.
context: I felt so free after the exams,\I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood. response:	The manga depicted this with a comedic touch.
context: I started reading and couldn't stop,\so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch. response:	Flash
context: so I was planning to continue reading it at school!\Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash response:	The notes that Van Deursen sent to his targets were so funny!
context: Back in the day, this Van Deursen manga was really popular.\Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny! response:	Rumble Rumble...
context: Yes...\I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble... response:	They were written in code.
context: I know that very well.\Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code. response:	The answer was always Not enough blood.
context: Van Deursen, a chivalrous vampire thief,\punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code.\The answer was always Not enough blood. response:	A code...?
