context: We've come to this island to execute a certain mission. response:	Y-Yes... It is to capture the legendary Black Wizard, Zeref.
context: Humans were once a single being, and such is true for magic.\Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you?\Lost Magic!\Why did you form a Dark Guild? response:	Are not both sides of the same coin, Makarov?
context: Spirit o' peace, huh?\Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you?\Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov? response:	This world is filled with things that cannot be measured as good or evil.
context: Perhaps you are still too young to grasp this subject, boy.\And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you?\Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil. response:	Be you good or evil, the spirit of Fairy Tail shall never waver.
context: And hey! Stop callin' me boy!\Master... Purehito...\Why? Why you?\Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver. response:	This boy has learned his way with words, he has!
context: Master... Purehito...\Why? Why you?\Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has! response:	Enough with the boy.
context: Why? Why you?\Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy. response:	You are no longer a member of the guild.
context: Lost Magic!\Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild. response:	But I do not wish to fight you.
context: Why did you form a Dark Guild?\Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you. response:	Will you leave now, at once?
context: Are not both sides of the same coin, Makarov?\This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once? response:	My heart aches as well, if only a smidgen...
context: This world is filled with things that cannot be measured as good or evil.\Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen... response:	I will not let you harm the guild!
context: Be you good or evil, the spirit of Fairy Tail shall never waver.\This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild! response:	You dare defy me, boy?
context: This boy has learned his way with words, he has!\Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy? response:	Sweep away darkness, rain of light!
context: Enough with the boy.\You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light! response:	How crude, Makarov!
context: You are no longer a member of the guild.\But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov! response:	Devour the light, shadow of eternal darkness!
context: But I do not wish to fight you.\Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness! response:	In that case...
context: Will you leave now, at once?\My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case... response:	The 28th form of Amaterasu's magic circle, in an instant?!
context: My heart aches as well, if only a smidgen...\I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?! response:	You cannot beat me.
context: I will not let you harm the guild!\You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me. response:	Magic dances to my will, freely, without restriction!
context: You dare defy me, boy?\Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction! response:	W-What is this?
context: Sweep away darkness, rain of light!\How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this? response:	Grand Defense Magic Circle!
context: How crude, Makarov!\Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle! response:	Three Divine Pillars!
context: Devour the light, shadow of eternal darkness!\In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars! response:	Amaterasu's 100th formation.
context: In that case...\The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation. response:	Did you hear that, Happy?
context: The 28th form of Amaterasu's magic circle, in an instant?!\You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy? response:	Yeah! Sounded like an explosion!
context: You cannot beat me.\Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion! response:	They think they can go nuts in someone's backyard, huh?
context: Magic dances to my will, freely, without restriction!\W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh? response:	There are so many of them... What in the world are they after?
context: W-What is this?\Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after? response:	Who cares? Let's bust'em up!
context: Grand Defense Magic Circle!\Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up! response:	All of you Grimey Warts!
context: Three Divine Pillars!\Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts! response:	I-It's Grimoire Heart...
context: Amaterasu's 100th formation.\Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart... response:	Don't go correcting every little thing.
context: Did you hear that, Happy?\Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing. response:	Mest-san mentioned Zeref before, so...
context: Yeah! Sounded like an explosion!\They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so... response:	Could Grimoire Heart be after...
context: They think they can go nuts in someone's backyard, huh?\There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after... response:	Zeref...
context: There are so many of them... What in the world are they after?\Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref... response:	Stop messin' with me!
context: Who cares? Let's bust'em up!\All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref...\Stop messin' with me! response:	Wind Edge!
context: All of you Grimey Warts!\I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref...\Stop messin' with me!\Wind Edge! response:	Cana is really in a fighting mood...
context: I-It's Grimoire Heart...\Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref...\Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood... response:	Not only did they break up the exam, they're trampling on our sacred ground!
context: Don't go correcting every little thing.\Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref...\Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground! response:	We ain't gonna let them off easy!
context: Mest-san mentioned Zeref before, so...\Could Grimoire Heart be after...\Zeref...\Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy! response:	Cana, control your anger!
context: Could Grimoire Heart be after...\Zeref...\Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger! response:	S-Sorry... Thanks for that.
context: Zeref...\Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that. response:	Man, there's no end to'em.
context: Stop messin' with me!\Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em. response:	It's just one right after another!
context: Wind Edge!\Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another! response:	But they aren't very tough.
context: Cana is really in a fighting mood...\Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another!\But they aren't very tough. response:	All they have to their advantage is numbers.
context: Not only did they break up the exam, they're trampling on our sacred ground!\We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers. response:	Crap...
context: We ain't gonna let them off easy!\Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers.\Crap... response:	Either way, this isn't going to end well for us.
context: Cana, control your anger!\S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us. response:	If we continue fighting like this, we'll run out of magic power, not to mention stamina!
context: S-Sorry... Thanks for that.\Man, there's no end to'em.\It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina! response:	Then I should summon Taurus or Sagittarius...
context: Man, there's no end to'em.\It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius... response:	Wait, Lucy!
context: It's just one right after another!\But they aren't very tough.\All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy! response:	You should conserve your magic power.
context: But they aren't very tough.\All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power. response:	If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!
context: All they have to their advantage is numbers.\Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher! response:	Water Lock!
context: Crap...\Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock! response:	Blazes!
context: Either way, this isn't going to end well for us.\If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes! response:	How are we to search for Wendy like this?
context: If we continue fighting like this, we'll run out of magic power, not to mention stamina!\Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes!\How are we to search for Wendy like this? response:	Erza-san, what in the world was that explosion before?
context: Then I should summon Taurus or Sagittarius...\Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before? response:	Juvia sensed an incredible magic power...
context: Wait, Lucy!\You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power... response:	Right now we must concentrate on the enemy in front of us.
context: You should conserve your magic power.\If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us. response:	Right.
context: If you chumps wanna pick a fight with Fairy Tail, bring on someone a little tougher!\Water Lock!\Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right. response:	What if Gray-sama is also surrounded by the enemy?
context: Water Lock!\Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy? response:	Juvia wants to go to Gray-sama's side soon!
context: Blazes!\How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon! response:	I told you to concentrate!
context: How are we to search for Wendy like this?\Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate! response:	I'm sorry!
context: Erza-san, what in the world was that explosion before?\Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry! response:	Dream Knock!
context: Juvia sensed an incredible magic power...\Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry!\Dream Knock! response:	Take Over!
context: Right now we must concentrate on the enemy in front of us.\Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry!\Dream Knock!\Take Over! response:	Are you okay, Lisanna?
context: Right.\What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry!\Dream Knock!\Take Over!\Are you okay, Lisanna? response:	Yeah... These guys are dropping down all over the island.
context: What if Gray-sama is also surrounded by the enemy?\Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry!\Dream Knock!\Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island. response:	We're gonna defend this place to the last, until everyone shows up!
context: Juvia wants to go to Gray-sama's side soon!\I told you to concentrate!\I'm sorry!\Dream Knock!\Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up! response:	Understood!
context: I told you to concentrate!\I'm sorry!\Dream Knock!\Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood! response:	Man!
context: I'm sorry!\Dream Knock!\Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood!\Man! response:	Now, Evergreen!
context: Dream Knock!\Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood!\Man!\Now, Evergreen! response:	I'm pretty sure...
context: Take Over!\Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood!\Man!\Now, Evergreen!\I'm pretty sure... response:	What's this?
context: Are you okay, Lisanna?\Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood!\Man!\Now, Evergreen!\I'm pretty sure...\What's this? response:	I can't move!
context: Yeah... These guys are dropping down all over the island.\We're gonna defend this place to the last, until everyone shows up!\Understood!\Man!\Now, Evergreen!\I'm pretty sure...\What's this?\I can't move! response:	Don't look into her eyes!
context: We're gonna defend this place to the last, until everyone shows up!\Understood!\Man!\Now, Evergreen!\I'm pretty sure...\What's this?\I can't move!\Don't look into her eyes! response:	We're... turning to stone...
context: Understood!\Man!\Now, Evergreen!\I'm pretty sure...\What's this?\I can't move!\Don't look into her eyes!\We're... turning to stone... response:	That worked well, but that kind of dirty trick isn't a very Manly way to fight.
context: Man!\Now, Evergreen!\I'm pretty sure...\What's this?\I can't move!\Don't look into her eyes!\We're... turning to stone...\That worked well, but that kind of dirty trick isn't a very Manly way to fight. response:	Don't call it a dirty trick!
