context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: Please leave.\Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan. response:	I just wish to see him.
context: Please let me see Taoist Master Zi Lan.\Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him. response:	Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled
context: Zi Lan?\Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled response:	the disciples of Kunlun Mountain won't forget the pain of losing our mentor.
context: Why would Zi Lan see a demonic woman like you?\Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor. response:	I won't let you up the mountain.
context: Please leave now.\Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain. response:	If you take one more step forward
context: Please show me some mercy.\I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward response:	you'll be trespassing in the sacred area of the Celestial Tribe.
context: I'm not here to stir up any trouble.\I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe. response:	I beg you to...
context: I just wish to see Zi Lan.\I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to... response:	High Immortal, please show her some mercy.
context: I just wish to see him.\Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy. response:	My sister has no intention of trespassing.
context: Young lady, although the Celestial Tribe and the Ghost Tribe have reconciled\the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing. response:	She's here on my behalf to seek an audience with High Immortal Zi Lan.
context: the disciples of Kunlun Mountain won't forget the pain of losing our mentor.\I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan. response:	The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?
context: I won't let you up the mountain.\If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area? response:	My sister and I came today to borrow Kunlun Mountain's elixir cauldron.
context: If you take one more step forward\you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron. response:	Why would you turn us away?
context: you'll be trespassing in the sacred area of the Celestial Tribe.\I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away? response:	The Celestial Tribe and Kunlun Mountain are not the same.
context: I beg you to...\High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same. response:	We honor High God Mo Yuan.
context: High Immortal, please show her some mercy.\My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan. response:	We won't reconcile with your tribe.
context: My sister has no intention of trespassing.\She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe. response:	Never.
context: She's here on my behalf to seek an audience with High Immortal Zi Lan.\The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never. response:	Li Jing!
context: The Ghost Lord would so craftily sneak into the Celestial Tribe's sacred area?\My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never.\Li Jing! response:	You mustn't!
context: My sister and I came today to borrow Kunlun Mountain's elixir cauldron.\Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never.\Li Jing!\You mustn't! response:	Don't you see that he's going to kill us?
context: Why would you turn us away?\The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never.\Li Jing!\You mustn't!\Don't you see that he's going to kill us? response:	No, don't!
context: The Celestial Tribe and Kunlun Mountain are not the same.\We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never.\Li Jing!\You mustn't!\Don't you see that he's going to kill us?\No, don't! response:	This is our only chance.
context: We honor High God Mo Yuan.\We won't reconcile with your tribe.\Never.\Li Jing!\You mustn't!\Don't you see that he's going to kill us?\No, don't!\This is our only chance. response:	We mustn't offend them.
context: We won't reconcile with your tribe.\Never.\Li Jing!\You mustn't!\Don't you see that he's going to kill us?\No, don't!\This is our only chance.\We mustn't offend them. response:	I have to see Zi Lan!
context: Never.\Li Jing!\You mustn't!\Don't you see that he's going to kill us?\No, don't!\This is our only chance.\We mustn't offend them.\I have to see Zi Lan! response:	That's enough.
context: Li Jing!\You mustn't!\Don't you see that he's going to kill us?\No, don't!\This is our only chance.\We mustn't offend them.\I have to see Zi Lan!\That's enough. response:	You mean so much more to me than this child.
context: You mustn't!\Don't you see that he's going to kill us?\No, don't!\This is our only chance.\We mustn't offend them.\I have to see Zi Lan!\That's enough.\You mean so much more to me than this child. response:	Yan Zhi, what's wrong?
context: Don't you see that he's going to kill us?\No, don't!\This is our only chance.\We mustn't offend them.\I have to see Zi Lan!\That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong? response:	Why would you suddenly barge into Kunlun Mountain?
context: No, don't!\This is our only chance.\We mustn't offend them.\I have to see Zi Lan!\That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain? response:	Are you in some sort of trouble?
context: This is our only chance.\We mustn't offend them.\I have to see Zi Lan!\That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble? response:	Constable...
context: We mustn't offend them.\I have to see Zi Lan!\That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable... response:	Can I borrow Kunlun Mountain's elixir cauldron?
context: I have to see Zi Lan!\That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron? response:	The elixir cauldron?
context: That's enough.\You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron? response:	I'm sorry, Yan Zhi.
context: You mean so much more to me than this child.\Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi. response:	I'm no longer the constable in the Mortal Realm.
context: Yan Zhi, what's wrong?\Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm. response:	Now, I'm a disciple of Kunlun Mountain.
context: Why would you suddenly barge into Kunlun Mountain?\Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain. response:	Before my senior and his disciples
context: Are you in some sort of trouble?\Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples response:	please tell me why you need to borrow our elixir cauldron.
context: Constable...\Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron. response:	To save this child.
context: Can I borrow Kunlun Mountain's elixir cauldron?\The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child. response:	I have to save him.
context: The elixir cauldron?\I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him. response:	Master, forgive me for my insolence.
context: I'm sorry, Yan Zhi.\I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him.\Master, forgive me for my insolence. response:	I have to use this elixir cauldron once for the Ghost Tribe.
context: I'm no longer the constable in the Mortal Realm.\Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe. response:	I'm ashamed to face you and my fellow disciples.
context: Now, I'm a disciple of Kunlun Mountain.\Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples. response:	Your disciple, Zi Lan, hereby swears...
context: Before my senior and his disciples\please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears... response:	that when Master returns
context: please tell me why you need to borrow our elixir cauldron.\To save this child.\I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns response:	I'll spend my life guarding the Sea of Innocence.
context: To save this child.\I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence. response:	I'll never enter the Ghost Realm again
context: I have to save him.\Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again response:	nor get in touch with the demonic woman...
context: Master, forgive me for my insolence.\I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman... response:	as a way to make up for my sins.
context: I have to use this elixir cauldron once for the Ghost Tribe.\I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins. response:	Ye Hua, I can't understand your tactical formation strategy at all.
context: I'm ashamed to face you and my fellow disciples.\Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all. response:	When I was studying under my mentor at Kunlun Mountain
context: Your disciple, Zi Lan, hereby swears...\that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain response:	tactical formation strategy was my least favorite subject.
context: that when Master returns\I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject. response:	My head now hurts just at the sight of the tactical formation strategy.
context: I'll spend my life guarding the Sea of Innocence.\I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy. response:	My body hurts all over.
context: I'll never enter the Ghost Realm again\nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over. response:	Then why are you still sitting there so seriously?
context: nor get in touch with the demonic woman...\as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously? response:	I was worried that you might not be able to hold the brush well
context: as a way to make up for my sins.\Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well response:	but now that I see you holding it so well
context: Ye Hua, I can't understand your tactical formation strategy at all.\When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well response:	I can't help but want to take a longer look at you.
context: When I was studying under my mentor at Kunlun Mountain\tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you. response:	Mother!
context: tactical formation strategy was my least favorite subject.\My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother! response:	My Riceball is home!
context: My head now hurts just at the sight of the tactical formation strategy.\My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother!\My Riceball is home! response:	He's holding so many things on his own.
context: My body hurts all over.\Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother!\My Riceball is home!\He's holding so many things on his own. response:	Let him do it.
context: Then why are you still sitting there so seriously?\I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother!\My Riceball is home!\He's holding so many things on his own.\Let him do it. response:	Mother!
context: I was worried that you might not be able to hold the brush well\but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother!\My Riceball is home!\He's holding so many things on his own.\Let him do it.\Mother! response:	Riceball, you're home.
context: but now that I see you holding it so well\I can't help but want to take a longer look at you.\Mother!\My Riceball is home!\He's holding so many things on his own.\Let him do it.\Mother!\Riceball, you're home. response:	Cheng Yu! This is my mother!
context: I can't help but want to take a longer look at you.\Mother!\My Riceball is home!\He's holding so many things on his own.\Let him do it.\Mother!\Riceball, you're home.\Cheng Yu! This is my mother! response:	Isn't my mother very pretty?
context: Mother!\My Riceball is home!\He's holding so many things on his own.\Let him do it.\Mother!\Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty? response:	So this is the Lady Cheng Yu who dares to challenge her superior?
context: My Riceball is home!\He's holding so many things on his own.\Let him do it.\Mother!\Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior? response:	Your Highness, can I touch Lady Qian Qian?
context: He's holding so many things on his own.\Let him do it.\Mother!\Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian? response:	My mother belongs to my father.
context: Let him do it.\Mother!\Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father. response:	Only my father can touch her.
context: Mother!\Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her. response:	Who are you to touch her?
context: Riceball, you're home.\Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her.\Who are you to touch her? response:	All these years, this is the first time I've ever met a female high god.
context: Cheng Yu! This is my mother!\Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god. response:	Why can't I touch her?
context: Isn't my mother very pretty?\So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her? response:	You're now teasing my wife right in front of me.
context: So this is the Lady Cheng Yu who dares to challenge her superior?\Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me. response:	Cheng Yu, you're getting even bolder.
context: Your Highness, can I touch Lady Qian Qian?\My mother belongs to my father.\Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder. response:	Your Highness is so petty.
context: My mother belongs to my father.\Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty. response:	A-Li, what is it in your hands?
context: Only my father can touch her.\Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands? response:	These are the sugar canes I brought you from Sacred Mountain.
context: Who are you to touch her?\All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain. response:	A-Li is the best. Come here.
context: All these years, this is the first time I've ever met a female high god.\Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here. response:	When Jia Yun came to fetch me, he kept reminding me
context: Why can't I touch her?\You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me response:	that Father's right arm is badly hurt
context: You're now teasing my wife right in front of me.\Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt response:	so I mustn't act willfully and ask Father for a hug.
context: Cheng Yu, you're getting even bolder.\Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug. response:	Father, does your arm still hurt?
context: Your Highness is so petty.\A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt? response:	It doesn't.
context: A-Li, what is it in your hands?\These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't. response:	I can still hold you with one arm!
context: These are the sugar canes I brought you from Sacred Mountain.\A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm! response:	Are you all right?
context: A-Li is the best. Come here.\When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm!\Are you all right? response:	Be careful.
context: When Jia Yun came to fetch me, he kept reminding me\that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm!\Are you all right?\Be careful. response:	Don't worry.
context: that Father's right arm is badly hurt\so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm!\Are you all right?\Be careful.\Don't worry. response:	Sometime soon I will be able to feel my right arm again.
context: so I mustn't act willfully and ask Father for a hug.\Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm!\Are you all right?\Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again. response:	I know that your arm will recover soon.
context: Father, does your arm still hurt?\It doesn't.\I can still hold you with one arm!\Are you all right?\Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon. response:	It's just that you paint so well.
context: It doesn't.\I can still hold you with one arm!\Are you all right?\Be careful.\Don't worry.\Sometime soon I will be able to feel my right arm again.\I know that your arm will recover soon.\It's just that you paint so well. response:	It would be such a pity if you couldn't paint anymore.
