context: but there is only desolation under an autumn sunset. response:	Swift waters parted by the jagged rocks
context: Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime response:	Wataya-kun, Wataya-kun.
context: Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun. response:	Oh, Mr. Yoshioka.
context: Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka. response:	Congratulations on second place.
context: Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place. response:	You came so close,
context: You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close, response:	but at least you have everyone's attention now.
context: I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close,\but at least you have everyone's attention now. response:	Both you and Murao-kun are considered possible favorites
context: National Karuta Tournament Fukui Champions\Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites response:	for the Master match this fall.
context: Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime\Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall. response:	You've begun to prepare for the tournament this fall
context: Wataya-kun, Wataya-kun.\Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall response:	No, Mr. Yoshioka.
context: Oh, Mr. Yoshioka.\Congratulations on second place.\You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka. response:	My current goal is the high school championship.
context: Congratulations on second place.\You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship. response:	There's someone I really want to play.
context: You came so close,\but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play. response:	It's that time of year again.
context: but at least you have everyone's attention now.\Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again. response:	June.
context: Both you and Murao-kun are considered possible favorites\for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again.\June. response:	33rd Champion Mizusawa High School
context: for the Master match this fall.\You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again.\June.\33rd Champion Mizusawa High School response:	Tokyo Regional.
context: You've begun to prepare for the tournament this fall\No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again.\June.\33rd Champion Mizusawa High School\Tokyo Regional. response:	Chihaya Furu
context: No, Mr. Yoshioka.\My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again.\June.\33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu response:	Verse 3
context: My current goal is the high school championship.\There's someone I really want to play.\It's that time of year again.\June.\33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu\Verse 3 response:	Feel Love Deepen
context: There's someone I really want to play.\It's that time of year again.\June.\33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu\Verse 3\Feel Love Deepen response:	Mashima-kun!
context: It's that time of year again.\June.\33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu\Verse 3\Feel Love Deepen\Mashima-kun! response:	I've missed you so much!
context: June.\33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu\Verse 3\Feel Love Deepen\Mashima-kun!\I've missed you so much! response:	It's been a while, Oe-san's mother...
context: 33rd Champion Mizusawa High School\Tokyo Regional.\Chihaya Furu\Verse 3\Feel Love Deepen\Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother... response:	Ri-Rieko-san...
context: Tokyo Regional.\Chihaya Furu\Verse 3\Feel Love Deepen\Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san... response:	Yep, it's Rieko!
context: Chihaya Furu\Verse 3\Feel Love Deepen\Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko! response:	You're looking even more handsome!
context: Verse 3\Feel Love Deepen\Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome! response:	Who is that woman?
context: Feel Love Deepen\Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome!\Who is that woman? response:	She's all over him!
context: Mashima-kun!\I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome!\Who is that woman?\She's all over him! response:	Hanano-san!
context: I've missed you so much!\It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome!\Who is that woman?\She's all over him!\Hanano-san! response:	Why are you just standing there?
context: It's been a while, Oe-san's mother...\Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome!\Who is that woman?\She's all over him!\Hanano-san!\Why are you just standing there? response:	I'll help you get dressed, so move to the other room.
context: Ri-Rieko-san...\Yep, it's Rieko!\You're looking even more handsome!\Who is that woman?\She's all over him!\Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room. response:	Huh? But I'm not playing.
context: Yep, it's Rieko!\You're looking even more handsome!\Who is that woman?\She's all over him!\Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing. response:	What do you mean?
context: You're looking even more handsome!\Who is that woman?\She's all over him!\Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean? response:	You're a member of the Mizusawa Karuta Club.
context: Who is that woman?\She's all over him!\Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club. response:	All of our members wear hakama!
context: She's all over him!\Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama! response:	I've never worn a hakama before.
context: Hanano-san!\Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before. response:	It's beautiful...
context: Why are you just standing there?\I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before.\It's beautiful... response:	I'm so happy!
context: I'll help you get dressed, so move to the other room.\Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before.\It's beautiful...\I'm so happy! response:	At first, I didn't think this was going to work,
context: Huh? But I'm not playing.\What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before.\It's beautiful...\I'm so happy!\At first, I didn't think this was going to work, response:	When you raise your arm,
context: What do you mean?\You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before.\It's beautiful...\I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm, response:	you should hold your sleeve up, so it doesn't roll back.
context: You're a member of the Mizusawa Karuta Club.\All of our members wear hakama!\I've never worn a hakama before.\It's beautiful...\I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back. response:	but now it feels like we finally have our second female member!
context: All of our members wear hakama!\I've never worn a hakama before.\It's beautiful...\I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member! response:	Counts as a male member
context: I've never worn a hakama before.\It's beautiful...\I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member response:	Group A Preliminaries
context: It's beautiful...\I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries response:	Mizusawa Shuryukan West High Togu
context: I'm so happy!\At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu response:	This year, there are a total of fourteen schools,
context: At first, I didn't think this was going to work,\When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools, response:	split into four groups.
context: When you raise your arm,\you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups. response:	We're in Group A, with Shuryukan and West High.
context: you should hold your sleeve up, so it doesn't roll back.\but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High. response:	Perfect! I can use the data from last year.
context: but now it feels like we finally have our second female member!\Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year. response:	Say, Ayase, about the order we're going to use...
context: Counts as a male member\Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use... response:	Wh-What?!
context: Group A Preliminaries\Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?! response:	Huh?! Fission?! Cloning?!
context: Mizusawa Shuryukan West High Togu\This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?! response:	Oh, sorry if my brothers are bothering you.
context: This year, there are a total of fourteen schools,\split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you. response:	Hey, it's Big Bro!
context: split into four groups.\We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro! response:	In our family, we're taught to run into pretty people.
context: We're in Group A, with Shuryukan and West High.\Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people. response:	Tr-Triplets?!
context: Perfect! I can use the data from last year.\Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?! response:	Seriously?
context: Say, Ayase, about the order we're going to use...\Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously? response:	No, they're each a year apart.
context: Wh-What?!\Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously?\No, they're each a year apart. response:	We're here to cheer for Big Bro!
context: Huh?! Fission?! Cloning?!\Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro! response:	You look cool!
context: Oh, sorry if my brothers are bothering you.\Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool! response:	You're rockin' that kimono!
context: Hey, it's Big Bro!\In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono! response:	Do that one thing!
context: In our family, we're taught to run into pretty people.\Tr-Triplets?!\Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono!\Do that one thing! response:	That one thing?
context: Tr-Triplets?!\Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono!\Do that one thing!\That one thing? response:	That's so cute!
context: Seriously?\No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono!\Do that one thing!\That one thing?\That's so cute! response:	You look just like Peko-chan!
context: No, they're each a year apart.\We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono!\Do that one thing!\That one thing?\That's so cute!\You look just like Peko-chan! response:	Oh, he does!
context: We're here to cheer for Big Bro!\You look cool!\You're rockin' that kimono!\Do that one thing!\That one thing?\That's so cute!\You look just like Peko-chan!\Oh, he does! response:	He doesn't!
context: You look cool!\You're rockin' that kimono!\Do that one thing!\That one thing?\That's so cute!\You look just like Peko-chan!\Oh, he does!\He doesn't! response:	Are you going to play in the tournament?
context: You're rockin' that kimono!\Do that one thing!\That one thing?\That's so cute!\You look just like Peko-chan!\Oh, he does!\He doesn't!\Are you going to play in the tournament? response:	Of course he is.
context: Do that one thing!\That one thing?\That's so cute!\You look just like Peko-chan!\Oh, he does!\He doesn't!\Are you going to play in the tournament?\Of course he is. response:	We were Second Verse Karuta champions.
context: That one thing?\That's so cute!\You look just like Peko-chan!\Oh, he does!\He doesn't!\Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions. response:	Big Bro was an ace attacker!
context: That's so cute!\You look just like Peko-chan!\Oh, he does!\He doesn't!\Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker! response:	You're also good at mainland karuta, right?
context: You look just like Peko-chan!\Oh, he does!\He doesn't!\Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right? response:	Y-You bet.
context: Oh, he does!\He doesn't!\Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet. response:	Your brother will dominate with the power built
context: He doesn't!\Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built response:	from practicing with wooden cards!
context: Are you going to play in the tournament?\Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards! response:	My Hero
context: Of course he is.\We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards!\My Hero response:	How can he say that?
context: We were Second Verse Karuta champions.\Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards!\My Hero\How can he say that? response:	He hasn't beaten any of the second-years in a single practice match,
context: Big Bro was an ace attacker!\You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards!\My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match, response:	so he won't get to play.
context: You're also good at mainland karuta, right?\Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards!\My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play. response:	What?! Tokyo gets to send two schools to the national championship this year?!
context: Y-You bet.\Your brother will dominate with the power built\from practicing with wooden cards!\My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?! response:	If there are more than ten schools in a region,
context: Your brother will dominate with the power built\from practicing with wooden cards!\My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region, response:	two get to advance...
context: from practicing with wooden cards!\My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance... response:	We're so lucky!
context: My Hero\How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance...\We're so lucky! response:	That makes it a lot easier!
context: How can he say that?\He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance...\We're so lucky!\That makes it a lot easier! response:	Doesn't matter if one advances
context: He hasn't beaten any of the second-years in a single practice match,\so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance...\We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances response:	or two advance!
context: so he won't get to play.\What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance...\We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances\or two advance! response:	Hokuo Academy will win in the end!
context: What?! Tokyo gets to send two schools to the national championship this year?!\If there are more than ten schools in a region,\two get to advance...\We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end! response:	I've been thinking that our Tsukuba and Retro-kun are similar,
context: If there are more than ten schools in a region,\two get to advance...\We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar, response:	but Retro-kun is way weirder.
context: two get to advance...\We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder. response:	I can hear you!
context: We're so lucky!\That makes it a lot easier!\Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you! response:	You should apologize to Tsukuba-kun.
context: That makes it a lot easier!\Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun. response:	I can hear you guys!
context: Doesn't matter if one advances\or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys! response:	Porky.
context: or two advance!\Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys!\Porky. response:	You're too nice.
context: Hokuo Academy will win in the end!\I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys!\Porky.\You're too nice. response:	Why let Eyebrows, who's stuck in Class B even though
context: I've been thinking that our Tsukuba and Retro-kun are similar,\but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys!\Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though response:	he tops you all in skill, be your president?
context: but Retro-kun is way weirder.\I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys!\Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president? response:	He's probably kept this a secret from you guys,
context: I can hear you!\You should apologize to Tsukuba-kun.\I can hear you guys!\Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys, response:	but he entered tournaments in Hiroshima and Kyoto,
context: You should apologize to Tsukuba-kun.\I can hear you guys!\Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto, response:	and he's still Class B because he couldn't win.
context: I can hear you guys!\Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win. response:	You're in the same boat!
context: Porky.\You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat! response:	I ran into you in Hiroshima, Kyoto, everywhere I went!
context: You're too nice.\Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went! response:	Neither of us have made it to Class A!
context: Why let Eyebrows, who's stuck in Class B even though\he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A! response:	Well, team matches are a different animal.
context: he tops you all in skill, be your president?\He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal. response:	We'll be winning.
context: He's probably kept this a secret from you guys,\but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning. response:	That's bull!
