context: <National Astronomical Observatory of Japan> response:	<No Tresspassing>
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Here is your business card.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card. response:	Ichinose Yayoi?
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card.\Ichinose Yayoi? response:	Third Chief Clerk of the Ministry of Internal Affairs and
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and response:	Communications Statistics Office, Second Investigation Division.
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division. response:	Nice, you can say it without stumbling or mispronouncing.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing. response:	As expected of an elite officer from public safety.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety. response:	U-Um... Nice to meet you.
context: No matter how broken today looks\Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you. response:	My name is Sawasaki.
context: Here is your business card.\Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki. response:	I'm Shizume.
context: Ichinose Yayoi?\Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume. response:	Nice to meet ya.
context: Third Chief Clerk of the Ministry of Internal Affairs and\Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume.\Nice to meet ya. response:	Hazuki.
context: Communications Statistics Office, Second Investigation Division.\Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume.\Nice to meet ya.\Hazuki. response:	Either way, names are just aliases in here.
context: Nice, you can say it without stumbling or mispronouncing.\As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume.\Nice to meet ya.\Hazuki.\Either way, names are just aliases in here. response:	You'll be working with them.
context: As expected of an elite officer from public safety.\U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume.\Nice to meet ya.\Hazuki.\Either way, names are just aliases in here.\You'll be working with them. response:	A pleasure to meet you.
context: U-Um... Nice to meet you.\My name is Sawasaki.\I'm Shizume.\Nice to meet ya.\Hazuki.\Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you. response:	You seem displeased.
context: My name is Sawasaki.\I'm Shizume.\Nice to meet ya.\Hazuki.\Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you.\You seem displeased. response:	You don't like us?
context: I'm Shizume.\Nice to meet ya.\Hazuki.\Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you.\You seem displeased.\You don't like us? response:	Whether I do or not doesn't matter. It's my job.
context: Nice to meet ya.\Hazuki.\Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you.\You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job. response:	Perhaps this poster will catch your interest?
context: Hazuki.\Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you.\You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest? response:	This is the man whom we assume is BK201.
context: Either way, names are just aliases in here.\You'll be working with them.\A pleasure to meet you.\You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201. response:	Lee Shenshun.
context: You'll be working with them.\A pleasure to meet you.\You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun. response:	The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.
context: A pleasure to meet you.\You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago. response:	Correct?
context: You seem displeased.\You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct? response:	Yes.
context: You don't like us?\Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes. response:	He has been working for the CIA the last few years.
context: Whether I do or not doesn't matter. It's my job.\Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes.\He has been working for the CIA the last few years. response:	He left the syndicate and is working for the CIA now?
context: Perhaps this poster will catch your interest?\This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now? response:	But it looks like that's all in the past now.
context: This is the man whom we assume is BK201.\Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now. response:	The CIA is also frantically searching for him now.
context: Lee Shenshun.\The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now. response:	But his star disappeared.
context: The self-proclaimed Chinese exchange student who was hiding in Shinjuku Okubo two years ago.\Correct?\Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared. response:	He's alive?
context: Correct?\Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared.\He's alive? response:	Unless it's his ghost we fought.
context: Yes.\He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared.\He's alive?\Unless it's his ghost we fought. response:	What happened?
context: He has been working for the CIA the last few years.\He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared.\He's alive?\Unless it's his ghost we fought.\What happened? response:	Well...
context: He left the syndicate and is working for the CIA now?\But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared.\He's alive?\Unless it's his ghost we fought.\What happened?\Well... response:	The details are still unknown.
context: But it looks like that's all in the past now.\The CIA is also frantically searching for him now.\But his star disappeared.\He's alive?\Unless it's his ghost we fought.\What happened?\Well...\The details are still unknown. response:	We are continuing our investigation in order to find out what happened.
context: The CIA is also frantically searching for him now.\But his star disappeared.\He's alive?\Unless it's his ghost we fought.\What happened?\Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened. response:	That's why you're here.
context: But his star disappeared.\He's alive?\Unless it's his ghost we fought.\What happened?\Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here. response:	Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.
context: He's alive?\Unless it's his ghost we fought.\What happened?\Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son. response:	Shion?
context: Unless it's his ghost we fought.\What happened?\Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion? response:	The cutie that BK201 is dragging along.
context: What happened?\Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along. response:	What's the meaning of this, Chief?!
context: Well...\The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?! response:	How can you resign without telling me...I mean, anyone?
context: The details are still unknown.\We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone? response:	Guess you could say I needed a change of scenery.
context: We are continuing our investigation in order to find out what happened.\That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery. response:	I no longer have a place with the police.
context: That's why you're here.\Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police. response:	You called the other day too.
context: Your priority is the capture of BK201, and Shion, Professor Mikhail Pavlichenko's son.\Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too. response:	I hope you didn't get yourself into anything dangerous.
context: Shion?\The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous. response:	Chief?
context: The cutie that BK201 is dragging along.\What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief? response:	Please tell me, Chief!
context: What's the meaning of this, Chief?!\How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief! response:	Kirihara! What-
context: How can you resign without telling me...I mean, anyone?\Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief!\Kirihara! What- response:	You got her name wrong.
context: Guess you could say I needed a change of scenery.\I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief!\Kirihara! What-\You got her name wrong. response:	Wait? What?
context: I no longer have a place with the police.\You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief!\Kirihara! What-\You got her name wrong.\Wait? What? response:	Here you go, Yayoi.
context: You called the other day too.\I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief!\Kirihara! What-\You got her name wrong.\Wait? What?\Here you go, Yayoi. response:	Getting information from your friends in public safety?
context: I hope you didn't get yourself into anything dangerous.\Chief?\Please tell me, Chief!\Kirihara! What-\You got her name wrong.\Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety? response:	That's meaningless.
context: Chief?\Please tell me, Chief!\Kirihara! What-\You got her name wrong.\Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless. response:	All information from the police, public safety, and the military should all be accessible here.
context: Please tell me, Chief!\Kirihara! What-\You got her name wrong.\Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here. response:	I appreciate your advice.
context: Kirihara! What-\You got her name wrong.\Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice. response:	What are you doing?!
context: You got her name wrong.\Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?! response:	You're being frigid.
context: Wait? What?\Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?!\You're being frigid. response:	You should feel through your body.
context: Here you go, Yayoi.\Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?!\You're being frigid.\You should feel through your body. response:	Your lover won't notice you if you only rely on your brain.
context: Getting information from your friends in public safety?\That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?!\You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain. response:	Lover?
context: That's meaningless.\All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?!\You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover? response:	I can't believe you're remaining chaste for BK201.
context: All information from the police, public safety, and the military should all be accessible here.\I appreciate your advice.\What are you doing?!\You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201. response:	Cut this out!
context: I appreciate your advice.\What are you doing?!\You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201.\Cut this out! response:	Darn, I just got rejected.
context: What are you doing?!\You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected. response:	To think we are able to see cranes at the ruins of the Heaven's War...
context: You're being frigid.\You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War... response:	Close the curtain.
context: You should feel through your body.\Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain. response:	We'll be in the city soon.
context: Your lover won't notice you if you only rely on your brain.\Lover?\I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon. response:	What?
context: Lover?\I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon.\What? response:	Nothing.
context: I can't believe you're remaining chaste for BK201.\Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon.\What?\Nothing. response:	You're pooping there again?
context: Cut this out!\Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon.\What?\Nothing.\You're pooping there again? response:	Isn't your sphincter a bit too loose?!
context: Darn, I just got rejected.\To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon.\What?\Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?! response:	Stitch it together already!
context: To think we are able to see cranes at the ruins of the Heaven's War...\Close the curtain.\We'll be in the city soon.\What?\Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already! response:	Geez...
context: Close the curtain.\We'll be in the city soon.\What?\Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez... response:	Oh my.
context: We'll be in the city soon.\What?\Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez...\Oh my. response:	Hello!
context: What?\Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez...\Oh my.\Hello! response:	Hello.
context: Nothing.\You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez...\Oh my.\Hello!\Hello. response:	You sure look delicious!
context: You're pooping there again?\Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez...\Oh my.\Hello!\Hello.\You sure look delicious! response:	Something smells...
context: Isn't your sphincter a bit too loose?!\Stitch it together already!\Geez...\Oh my.\Hello!\Hello.\You sure look delicious!\Something smells... response:	Oh, pardon me.
context: Stitch it together already!\Geez...\Oh my.\Hello!\Hello.\You sure look delicious!\Something smells...\Oh, pardon me. response:	I want to be good friends with you.
context: Geez...\Oh my.\Hello!\Hello.\You sure look delicious!\Something smells...\Oh, pardon me.\I want to be good friends with you. response:	So, what's your name?
context: Oh my.\Hello!\Hello.\You sure look delicious!\Something smells...\Oh, pardon me.\I want to be good friends with you.\So, what's your name? response:	We just recently moved here.
context: Hello!\Hello.\You sure look delicious!\Something smells...\Oh, pardon me.\I want to be good friends with you.\So, what's your name?\We just recently moved here. response:	I'm Lee Honshik.
