context: Not yet. I'm not finished... response:	I'm going to be... the Wizard King.
context: What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe. response:	Yuno's so amazing that he was chosen by the four-leaf.
context: Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf. response:	I'm just...
context: What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just... response:	You can't do a thing in this world. Just give up on everything.
context: Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything. response:	You were born a loser!
context: To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser! response:	He's right.
context: You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right. response:	No matter how hard I try, some things just can't be helped.
context: I'm sure your friend, the great genius over there, mocks you, too.\Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped. response:	I'm just going to give...
context: Yeah, maybe.\Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give... response:	Hey!
context: Yuno's so amazing that he was chosen by the four-leaf.\I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey! response:	Who are you calling a loser?
context: I'm just...\You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser? response:	Asta, it's true that you won't be able to become the Wizard King,
context: You can't do a thing in this world. Just give up on everything.\You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King, response:	no matter what.
context: You were born a loser!\He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what. response:	You hear that? Even your little friend is telling you it's impossible.
context: He's right.\No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible. response:	That's because I'm going to become the Wizard King!
context: No matter how hard I try, some things just can't be helped.\I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King! response:	What?
context: I'm just going to give...\Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What? response:	He's no loser.
context: Hey!\Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser. response:	He's...
context: Who are you calling a loser?\Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's... response:	Asta's my rival!
context: Asta, it's true that you won't be able to become the Wizard King,\no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival! response:	Huh?
context: no matter what.\You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh? response:	Him? Your rival?
context: You hear that? Even your little friend is telling you it's impossible.\That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival? response:	This brat who has no magical power whatsoever?
context: That's because I'm going to become the Wizard King!\What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever? response:	Not... Not yet.
context: What?\He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet. response:	Sorry you had to see me looking that pathetic, Yuno.
context: He's no loser.\He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno. response:	Just a sec...
context: He's...\Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec... response:	I'm gonna kick this guy's butt!
context: Asta's my rival!\Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt! response:	A gri... moire?
context: Huh?\Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire? response:	I knew it.
context: Him? Your rival?\This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it. response:	There's no way that Asta wouldn't have been chosen!
context: This brat who has no magical power whatsoever?\Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen! response:	Asta's always been that way. He always does the unthinkable.
context: Not... Not yet.\Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable. response:	He always has before... and he's doing it now.
context: Sorry you had to see me looking that pathetic, Yuno.\Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now. response:	I'm gonna become the Wizard King... and protect you and everyone else.
context: Just a sec...\I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else. response:	I'm gonna make everyone even happier! So we can have even nicer things!
context: I'm gonna kick this guy's butt!\A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things! response:	And then, I'm gonna prove to everyone...
context: A gri... moire?\I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone... response:	Prove?
context: I knew it.\There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove? response:	That even if you're poor... or an orphan...
context: There's no way that Asta wouldn't have been chosen!\Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan... response:	you can still become the Wizard King.
context: Asta's always been that way. He always does the unthinkable.\He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King. response:	The Boys' Promise
context: He always has before... and he's doing it now.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise response:	Grey words can't make anything happen
context: I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen response:	I know, yeah I know
context: I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen\I know, yeah I know response:	Wishing to fly freely across the sky
context: And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky response:	I dreamed it all my life
context: Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life response:	Step by step I go, though it's a doubtful world
context: That even if you're poor... or an orphan...\you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world response:	Don't care how much I fall
context: you can still become the Wizard King.\The Boys' Promise\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall response:	Instinct is my guide, I never give up
context: The Boys' Promise\Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up response:	To faraway future, I burst out running
context: Grey words can't make anything happen\I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running response:	Go beyond even the unseen fears
context: I know, yeah I know\Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears response:	The vision I had, so I can be myself
context: Wishing to fly freely across the sky\I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself response:	Someday I will write the next page
context: I dreamed it all my life\Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page response:	You are my hope
context: Step by step I go, though it's a doubtful world\Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope response:	Like that page from someday
context: Don't care how much I fall\Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday response:	I was able to meet you
context: Instinct is my guide, I never give up\To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you response:	I call this a miracle
context: To faraway future, I burst out running\Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle response:	10 Years Ago
context: Go beyond even the unseen fears\The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\10 Years Ago response:	W-Wait!
context: The vision I had, so I can be myself\Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\10 Years Ago\W-Wait! response:	Yuno! Are you okay?!
context: Someday I will write the next page\You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\10 Years Ago\W-Wait!\Yuno! Are you okay?! response:	Come on, Yuno.
context: You are my hope\Like that page from someday\I was able to meet you\I call this a miracle\10 Years Ago\W-Wait!\Yuno! Are you okay?!\Come on, Yuno. response:	Asta...
context: Like that page from someday\I was able to meet you\I call this a miracle\10 Years Ago\W-Wait!\Yuno! Are you okay?!\Come on, Yuno.\Asta... response:	Jeez. You're such a crybaby, Yuno.
context: I was able to meet you\I call this a miracle\10 Years Ago\W-Wait!\Yuno! Are you okay?!\Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno. response:	Well...
context: I call this a miracle\10 Years Ago\W-Wait!\Yuno! Are you okay?!\Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno.\Well... response:	It's okay!
context: 10 Years Ago\W-Wait!\Yuno! Are you okay?!\Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno.\Well...\It's okay! response:	I've got your back, Yuno! Okay?
context: W-Wait!\Yuno! Are you okay?!\Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno.\Well...\It's okay!\I've got your back, Yuno! Okay? response:	Yeah.
context: Yuno! Are you okay?!\Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno.\Well...\It's okay!\I've got your back, Yuno! Okay?\Yeah. response:	All right. Let's get going.
context: Come on, Yuno.\Asta...\Jeez. You're such a crybaby, Yuno.\Well...\It's okay!\I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going. response:	Everyone's waiting at the top!
context: Asta...\Jeez. You're such a crybaby, Yuno.\Well...\It's okay!\I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going.\Everyone's waiting at the top! response:	It's good, but...
context: Jeez. You're such a crybaby, Yuno.\Well...\It's okay!\I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going.\Everyone's waiting at the top!\It's good, but... response:	It's hard.
context: Well...\It's okay!\I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going.\Everyone's waiting at the top!\It's good, but...\It's hard. response:	That's our Sister Lily.
context: It's okay!\I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going.\Everyone's waiting at the top!\It's good, but...\It's hard.\That's our Sister Lily. response:	You're such an amazing cook!
context: I've got your back, Yuno! Okay?\Yeah.\All right. Let's get going.\Everyone's waiting at the top!\It's good, but...\It's hard.\That's our Sister Lily.\You're such an amazing cook! response:	When I grow up, will you marry me and cook for me?
context: Yeah.\All right. Let's get going.\Everyone's waiting at the top!\It's good, but...\It's hard.\That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me? response:	It was Father who baked those. Would you like to marry him?
context: All right. Let's get going.\Everyone's waiting at the top!\It's good, but...\It's hard.\That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him? response:	No! You're the one I wanna marry!
context: Everyone's waiting at the top!\It's good, but...\It's hard.\That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry! response:	Sister! Marry me! Marry me! Marry me!
context: It's good, but...\It's hard.\That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me! response:	Marry me! Marry me! Marry me!
context: It's hard.\That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me! response:	Very good.
context: That's our Sister Lily.\You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good. response:	Asta, it's not possible.
context: You're such an amazing cook!\When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible. response:	Sister is, um... a woman of the cloth.
context: When I grow up, will you marry me and cook for me?\It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth. response:	I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!
context: It was Father who baked those. Would you like to marry him?\No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what! response:	Well, good luck with that.
context: No! You're the one I wanna marry!\Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that. response:	And then the world was covered in deep, deep darkness.
context: Sister! Marry me! Marry me! Marry me!\Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness. response:	Just when the demon tried to destroy the world...
context: Marry me! Marry me! Marry me!\Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world... response:	He's not gonna get away with that!
context: Very good.\Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that! response:	The brave mage fought the demon to bring the dawn back to the world.
context: Asta, it's not possible.\Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world. response:	And finally, he defeated the demon.
context: Sister is, um... a woman of the cloth.\I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon. response:	The mage's light shone ever so brightly upon the whole world.
context: I'm not done yet, Yuno! I won't give up until I'm an adult, no matter what!\Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world. response:	The long, long night had come to an end.
context: Well, good luck with that.\And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end. response:	This was the dawn of our world.
context: And then the world was covered in deep, deep darkness.\Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world. response:	Yes!
context: Just when the demon tried to destroy the world...\He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world.\Yes! response:	And so, the mage was dubbed the Wizard King and became a legend.
context: He's not gonna get away with that!\The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend. response:	The Wizard King...
context: The brave mage fought the demon to bring the dawn back to the world.\And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King... response:	And they all lived happily ever after.
context: And finally, he defeated the demon.\The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after. response:	Hey, Sister.
context: The mage's light shone ever so brightly upon the whole world.\The long, long night had come to an end.\This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after.\Hey, Sister. response:	The Wizard King still exists, right?
context: The long, long night had come to an end.\This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right? response:	Yes.
context: This was the dawn of our world.\Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right?\Yes. response:	The title of Wizard King has been passed down through many generations.
context: Yes!\And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations. response:	All along, they've been protecting us with their magic.
context: And so, the mage was dubbed the Wizard King and became a legend.\The Wizard King...\And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic. response:	It's because of the Wizard King that the Clover Kingdom is so peaceful.
context: The Wizard King...\And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful. response:	That's awesome!
context: And they all lived happily ever after.\Hey, Sister.\The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome! response:	Is the Wizard King really important?
context: Hey, Sister.\The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important? response:	He's the most important after the king.
context: The Wizard King still exists, right?\Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important?\He's the most important after the king. response:	Okay, I've made up my mind!
context: Yes.\The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind! response:	About what, Asta?
context: The title of Wizard King has been passed down through many generations.\All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind!\About what, Asta? response:	I'm... gonna be the Wizard King!
context: All along, they've been protecting us with their magic.\It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King! response:	Sister?
context: It's because of the Wizard King that the Clover Kingdom is so peaceful.\That's awesome!\Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King!\Sister? response:	I'm sorry. I just wasn't expecting that.
context: That's awesome!\Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that. response:	What brought this on?
