context: This is a BETA version. response:	I will go to Europe.
context: Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy..\Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover, response:	and composed this piece feeling a lot of happiness.
context: Chiaki-Senpai\Debussy..\Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness. response:	Up to now you were walking on a tightrope, weren't you?
context: Debussy..\Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you? response:	Wonderful! The sounds are glittering...
context: Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering... response:	It's Debussy being lost in love...
context: Like being in love...feeling good\Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love... response:	She's expressing it very well! Auclair Sensei
context: Being in love...feel good??\Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei response:	No, she is not expressing that
context: Yes. Debussy...\went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that response:	perhaps she's still a baby!
context: went to an island in the south with his lover,\and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby! response:	Now we are going to announce the result of the Second Stage
context: and composed this piece feeling a lot of happiness.\Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage response:	Noda Megumi No.28
context: Up to now you were walking on a tightrope, weren't you?\Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28 response:	The numbers of the performers who can proceed to the Final Stage
context: Wonderful! The sounds are glittering...\It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage response:	It's there!
context: It's Debussy being lost in love...\She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there! response:	Number eight, number eight!!
context: She's expressing it very well! Auclair Sensei\No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!! response:	Tsuboi-kun, congratulations!
context: No, she is not expressing that\perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations! response:	AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!
context: perhaps she's still a baby!\Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!! response:	28...28...
context: Now we are going to announce the result of the Second Stage\Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28... response:	28, be in there...
context: Noda Megumi No.28\The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there... response:	It's there!!
context: The numbers of the performers who can proceed to the Final Stage\It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there...\It's there!! response:	It's there
context: It's there!\Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there...\It's there!!\It's there response:	Congratulations!
context: Number eight, number eight!!\Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there...\It's there!!\It's there\Congratulations! response:	It's good, it's good, isn't it!!
context: Tsuboi-kun, congratulations!\AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there...\It's there!!\It's there\Congratulations!\It's good, it's good, isn't it!! response:	So she made it...
context: AAA!! Yuu-kun, Yuu-kun, Yuu-kun! Congratulations!!\28...28...\28, be in there...\It's there!!\It's there\Congratulations!\It's good, it's good, isn't it!!\So she made it... response:	I thought I wouldn't make it..
context: 28...28...\28, be in there...\It's there!!\It's there\Congratulations!\It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it.. response:	I'll go and see the Final Stage too, so do your best!
context: 28, be in there...\It's there!!\It's there\Congratulations!\It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best! response:	I'll be waiting
context: It's there!!\It's there\Congratulations!\It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting response:	I have to do our best too
context: It's there\Congratulations!\It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too response:	There are still some things in Japan...
context: Congratulations!\It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too\There are still some things in Japan... response:	which I have to do.
context: It's good, it's good, isn't it!!\So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too\There are still some things in Japan...\which I have to do. response:	I'll show I can definitely get the 1st place!
context: So she made it...\I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too\There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place! response:	Nodame Cantabile Lesson 10
context: I thought I wouldn't make it..\I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too\There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10 response:	This softsubs only for home use. Do not distribute.
context: I'll go and see the Final Stage too, so do your best!\I'll be waiting\I have to do our best too\There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute. response:	Chiaki!
context: I'll be waiting\I have to do our best too\There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki! response:	You guys...
context: I have to do our best too\There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki!\You guys... response:	We heard that there'll be an audition
context: There are still some things in Japan...\which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki!\You guys...\We heard that there'll be an audition response:	Let us take the audition too!
context: which I have to do.\I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki!\You guys...\We heard that there'll be an audition\Let us take the audition too! response:	Even if only for a reserve, I don't mind!
context: I'll show I can definitely get the 1st place!\Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki!\You guys...\We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind! response:	We have practiced very hard to be able to get into Rising Star!
context: Nodame Cantabile Lesson 10\This softsubs only for home use. Do not distribute.\Chiaki!\You guys...\We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star! response:	Please!
context: This softsubs only for home use. Do not distribute.\Chiaki!\You guys...\We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please! response:	Please!!
context: Chiaki!\You guys...\We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please!\Please!! response:	I'll hold an audition when the piece needs many players,
context: You guys...\We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please!\Please!!\I'll hold an audition when the piece needs many players, response:	therefore practice as hard as you can.
context: We heard that there'll be an audition\Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please!\Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can. response:	Hai!!
context: Let us take the audition too!\Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please!\Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!! response:	We did it!
context: Even if only for a reserve, I don't mind!\We have practiced very hard to be able to get into Rising Star!\Please!\Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!!\We did it! response:	WAIT A MINUTE!
context: We have practiced very hard to be able to get into Rising Star!\Please!\Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!!\We did it!\WAIT A MINUTE! response:	If it's my Oke, you can enter it right away now!
context: Please!\Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!!\We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now! response:	The second famous in this Academy, Ookouchi Mamoru's special orchestra,
context: Please!!\I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!!\We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra, response:	abbreviated as..
context: I'll hold an audition when the piece needs many players,\therefore practice as hard as you can.\Hai!!\We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as.. response:	Chiaki-kun!!
context: therefore practice as hard as you can.\Hai!!\We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!! response:	Sorry, but could you please hurry up wearing this?
context: Hai!!\We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this? response:	Huh? What is it?
context: We did it!\WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it? response:	Publicity photo for the Christmas performance!
context: WAIT A MINUTE!\If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance! response:	Unless we print and distribute it today, it won't be on time.
context: If it's my Oke, you can enter it right away now!\The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time. response:	Huh?
context: The second famous in this Academy, Ookouchi Mamoru's special orchestra,\abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh? response:	Then I had better change my clothes too, right?
context: abbreviated as..\Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right? response:	Sorry...
context: Chiaki-kun!!\Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right?\Sorry... response:	For the advertisement, I'm thinking of only emphasizing the good-looking ones...
context: Sorry, but could you please hurry up wearing this?\Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones... response:	Uh!
context: Huh? What is it?\Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh! response:	Don't mind
context: Publicity photo for the Christmas performance!\Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind response:	Chiaki-kun, there's a music room over there, change your clothes in that room, please.
context: Unless we print and distribute it today, it won't be on time.\Huh?\Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please. response:	I was not informed about this before!
context: Huh?\Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before! response:	Hurry up, or else it will be too late!
context: Then I had better change my clothes too, right?\Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late! response:	Wait a minute...
context: Sorry...\For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute... response:	Chiaki-kun, as this will be the last, what about changing your clothes here...
context: For the advertisement, I'm thinking of only emphasizing the good-looking ones...\Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here... response:	No!
context: Uh!\Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No! response:	Shall I help you change your clothes?
context: Don't mind\Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes? response:	Wait, OK I'll go to that room!
context: Chiaki-kun, there's a music room over there, change your clothes in that room, please.\I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes?\Wait, OK I'll go to that room! response:	Eh! New East Philharmony?
context: I was not informed about this before!\Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony? response:	Yes!
context: Hurry up, or else it will be too late!\Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes! response:	Suddenly there was a recruitment for a timpani player, and when I applied to it,
context: Wait a minute...\Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it, response:	I passed through the document selection!
context: Chiaki-kun, as this will be the last, what about changing your clothes here...\No!\Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection! response:	The next steps will be the exam for practical skill and the final interview!
context: No!\Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview! response:	Heeeh, that's good!
context: Shall I help you change your clothes?\Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good! response:	It was Masumi-chan's dream to join a professional Oke, right?
context: Wait, OK I'll go to that room!\Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right? response:	But if I pass the exam, it means I will be playing double with Rising Star?
context: Eh! New East Philharmony?\Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star? response:	What should I do?
context: Yes!\Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do? response:	Even if you're playing double, you can continue to be in Rising Star, isn't it good?
context: Suddenly there was a recruitment for a timpani player, and when I applied to it,\I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good? response:	Hm?
context: I passed through the document selection!\The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm? response:	Kiyora
context: The next steps will be the exam for practical skill and the final interview!\Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora response:	Your concert last time was great!
context: Heeeh, that's good!\It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora\Your concert last time was great! response:	This spring you will be coming to Vienna, won't you?
context: It was Masumi-chan's dream to join a professional Oke, right?\But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you? response:	I will set aside my time for your sake, and I'll be waiting for you.
context: But if I pass the exam, it means I will be playing double with Rising Star?\What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you. response:	Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?
context: What should I do?\Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you? response:	That's great, that's wonderful!
context: Even if you're playing double, you can continue to be in Rising Star, isn't it good?\Hm?\Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful! response:	Yes, but...
context: Hm?\Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but... response:	Ah, Ryuu-chan!!
context: Kiyora\Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!! response:	Haiii...
context: Your concert last time was great!\This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!!\Haiii... response:	The sales for our Christmas performance tickets seem to be very good!
context: This spring you will be coming to Vienna, won't you?\I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good! response:	An everlasting orchestra!
context: I will set aside my time for your sake, and I'll be waiting for you.\Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra! response:	This is the second step to my dream!
context: Ka-ka-ka-ka-ka-ka...Kai Dune Sensei directly praised you?\That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream! response:	Ryuutaro, umm...
context: That's great, that's wonderful!\Yes, but...\Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm... response:	Oh right, let's tell Chiaki about it too!
context: Yes, but...\Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too! response:	Right! Where is he now?? Where?
context: Ah, Ryuu-chan!!\Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where? response:	Chiaki!
context: Haiii...\The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki! response:	Ryuu!!
context: The sales for our Christmas performance tickets seem to be very good!\An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki!\Ryuu!! response:	Oi, Chiakiii!!
context: An everlasting orchestra!\This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki!\Ryuu!!\Oi, Chiakiii!! response:	You're Chiaki-kun, aren't you?
context: This is the second step to my dream!\Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki!\Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you? response:	Let me join your Oke.
context: Ryuutaro, umm...\Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki!\Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke. response:	Huh?
