context: The Infinity Clock is in our hands. response:	The amplitude limiter is almost finished.
context: My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go! response:	If we search here and there, they'll probably turn up eventually, right?!
context: In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?! response:	Forget it. This time, we should form a plan first and then act.
context: get involved with that clock?\I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act. response:	What?! Where's your drive?!
context: I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?! response:	Just thinkin' ain't gonna get us nowhere!
context: We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere! response:	It ain't a question of drive!
context: Right now, we have to find Oracion Seis\and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive! response:	Is head-butting the only thing your noggin's good for?!
context: and take back the Infinity Clock!\Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?! response:	Do your best, Gray-sama! Juvia is on Gray-sama's side!
context: Anyway, let's go!\If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side! response:	Hunt Down the Infinity Clock!
context: If we search here and there, they'll probably turn up eventually, right?!\Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock! response:	Everyone is on edge, huh?
context: Forget it. This time, we should form a plan first and then act.\What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh? response:	It can't be helped when all we can do is stand around with our arms folded.
context: What?! Where's your drive?!\Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded. response:	And many of us aren't here...
context: Just thinkin' ain't gonna get us nowhere!\It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here... response:	Gildarts and Laki are both far away.
context: It ain't a question of drive!\Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away. response:	It has to be at a time like this, when even one more person would make a big difference...
context: Is head-butting the only thing your noggin's good for?!\Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference... response:	Yo! We're back.
context: Do your best, Gray-sama! Juvia is on Gray-sama's side!\Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back. response:	The Raijinshuu are back from a job.
context: Hunt Down the Infinity Clock!\Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job. response:	And we took care of this one too in no time at all.
context: Everyone is on edge, huh?\It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all. response:	We're so good, it turns me on...
context: It can't be helped when all we can do is stand around with our arms folded.\And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on... response:	What's wrong? Did something happen?
context: And many of us aren't here...\Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen? response:	So the Infinity Clock will bring about the end of the world?
context: Gildarts and Laki are both far away.\It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world? response:	We leave for a short time and all hell breaks loose.
context: It has to be at a time like this, when even one more person would make a big difference...\Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose. response:	Bad timing, huh?
context: Yo! We're back.\The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh? response:	If we had been there, Oracion Seis would've been defeated.
context: The Raijinshuu are back from a job.\And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated. response:	Actually, on the way back here,
context: And we took care of this one too in no time at all.\We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here, response:	I was out grocery shopping by myself as usual...
context: We're so good, it turns me on...\What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual... response:	As always, you're the one in charge of food, huh, Fried?
context: What's wrong? Did something happen?\So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried? response:	Some soldiers who had been guarding a church were talking
context: So the Infinity Clock will bring about the end of the world?\We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking response:	about two men, one holding a large sickle, the other running at a tremendous speed,
context: We leave for a short time and all hell breaks loose.\Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed, response:	and they single-handedly destroyed the church in Shirotsume.
context: Bad timing, huh?\If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume. response:	A large sickle and tremendous speed?!
context: If we had been there, Oracion Seis would've been defeated.\Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?! response:	Erigor and Racer...
context: Actually, on the way back here,\I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer... response:	Didn't he call himself Grim Reaper now?
context: I was out grocery shopping by myself as usual...\As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now? response:	From what I heard,
context: As always, you're the one in charge of food, huh, Fried?\Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard, response:	attacks on churches have suddenly increased in the past two or three days.
context: Some soldiers who had been guarding a church were talking\about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days. response:	You hear something like that, you should've told us!
context: about two men, one holding a large sickle, the other running at a tremendous speed,\and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us! response:	I did.
context: and they single-handedly destroyed the church in Shirotsume.\A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did. response:	But you two were so into eating at the time that you weren't listening.
context: A large sickle and tremendous speed?!\Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening. response:	But I don't understand.
context: Erigor and Racer...\Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand. response:	Why are they targeting churches?
context: Didn't he call himself Grim Reaper now?\From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches? response:	Since they stole the Infinity Clock,
context: From what I heard,\attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock, response:	it sounds like Oracion Seis has gotten even more out of hand.
context: attacks on churches have suddenly increased in the past two or three days.\You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand. response:	I can hear them...
context: You hear something like that, you should've told us!\I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them... response:	There are four churches on this land.
context: I did.\But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land. response:	The priest has already evacuated...
context: But you two were so into eating at the time that you weren't listening.\But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land.\The priest has already evacuated... response:	The guards don't know anything.
context: But I don't understand.\Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land.\The priest has already evacuated...\The guards don't know anything. response:	Alright! In that case,
context: Why are they targeting churches?\Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land.\The priest has already evacuated...\The guards don't know anything.\Alright! In that case, response:	we're gonna wham-bam'em too, one right after another!
context: Since they stole the Infinity Clock,\it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land.\The priest has already evacuated...\The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another! response:	I want to see... destruction... It's what I live for...
context: it sounds like Oracion Seis has gotten even more out of hand.\I can hear them...\There are four churches on this land.\The priest has already evacuated...\The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for... response:	Let's split up and get it done quickly.
context: I can hear them...\There are four churches on this land.\The priest has already evacuated...\The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly. response:	Our work today is the same as yesterday.
context: There are four churches on this land.\The priest has already evacuated...\The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday. response:	Same?
context: The priest has already evacuated...\The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same? response:	Was I doing the same kind of thing yesterday?
context: The guards don't know anything.\Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday? response:	You don't need to remember anything.
context: Alright! In that case,\we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything. response:	All you have to do is carry out your objective as a Demon General.
context: we're gonna wham-bam'em too, one right after another!\I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General. response:	I see... That's all I need to think about...
context: I want to see... destruction... It's what I live for...\Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about... response:	We can't waste time. Let's go.
context: Let's split up and get it done quickly.\Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go. response:	Oracion Seis!
context: Our work today is the same as yesterday.\Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis! response:	They came! Protect the church!
context: Same?\Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church! response:	Men who aren't the least bit beautiful...
context: Was I doing the same kind of thing yesterday?\You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful... response:	Cost 20!
context: You don't need to remember anything.\All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20! response:	Grovel before the angel's glow!
context: All you have to do is carry out your objective as a Demon General.\I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow! response:	Concealed Magic, eh?
context: I see... That's all I need to think about...\We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh? response:	A piddling trick!
context: We can't waste time. Let's go.\Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick! response:	Tasteless...
context: Oracion Seis!\They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick!\Tasteless... response:	There's no such thing as tasteful with the path we're on.
context: They came! Protect the church!\Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on. response:	What about the anti-link?
context: Men who aren't the least bit beautiful...\Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link? response:	I took care of it already.
context: Cost 20!\Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already. response:	You're a cold man, as always.
context: Grovel before the angel's glow!\Concealed Magic, eh?\A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already.\You're a cold man, as always. response:	But that's what I like about you.
context: Concealed Magic, eh?\A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already.\You're a cold man, as always.\But that's what I like about you. response:	All I need is her. That hasn't changed, even now.
context: A piddling trick!\Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already.\You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now. response:	I'll kill her, and then...
context: Tasteless...\There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already.\You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then... response:	The way I am now,
context: There's no such thing as tasteful with the path we're on.\What about the anti-link?\I took care of it already.\You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now, response:	the misery I feel is a driving force that produces power.
context: What about the anti-link?\I took care of it already.\You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power. response:	Until the world comes to an end,
context: I took care of it already.\You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end, response:	this pain in my chest won't disappear.
context: You're a cold man, as always.\But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear. response:	That's right.
context: But that's what I like about you.\All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear.\That's right. response:	In order to achieve our objective, we'll convert anything into power.
context: All I need is her. That hasn't changed, even now.\I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power. response:	Failure, frustration, years of being humiliated...
context: I'll kill her, and then...\The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated... response:	That's us, the reborn Oracion Seis.
