context: What is it? response:	Be careful. Something's out there.
context: That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this? response:	Until you can control your flames at will.
context: Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will. response:	Are you supposed to be here doing nothing?
context: If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing? response:	Of course I want to join the hunt for Gale.
context: Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale. response:	But I've been ordered to watch over you.
context: I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you. response:	Then...
context: Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then... response:	Let's go demon-hunting together!
context: I'll have my chance to take you!\How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then...\Let's go demon-hunting together! response:	You really don't get it. You have no time!
context: How long do I have to keep doing this?\Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then...\Let's go demon-hunting together!\You really don't get it. You have no time! response:	Don't think you can fool aroun -
context: Until you can control your flames at will.\Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then...\Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun - response:	What's wrong?
context: Are you supposed to be here doing nothing?\Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then...\Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong? response:	Nothing. Continue your training.
context: Of course I want to join the hunt for Gale.\But I've been ordered to watch over you.\Then...\Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training. response:	Yes, sir.
context: But I've been ordered to watch over you.\Then...\Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training.\Yes, sir. response:	Like hell. The real thing is the best training.
context: Then...\Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training. response:	It's not what you think, Yukio! I wasn't trying to run away...
context: Let's go demon-hunting together!\You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away... response:	Don't scare me like that...
context: You really don't get it. You have no time!\Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that... response:	I can't take this, my legs are giving in.
context: Don't think you can fool aroun -\What's wrong?\Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in. response:	Ah, Professor.
context: What's wrong?\Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor. response:	Oh, you're back. It must be hot out there.
context: Nothing. Continue your training.\Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there. response:	I just washed myself too.
context: Yes, sir.\Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too. response:	I should wash my face too.
context: Like hell. The real thing is the best training.\It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too. response:	The barriers west of the school building and at the front gate are okay.
context: It's not what you think, Yukio! I wasn't trying to run away...\Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay. response:	Nice job.
context: Don't scare me like that...\I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job. response:	What the hell? Wait for me!
context: I can't take this, my legs are giving in.\Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me! response:	Konekomaru, what's wrong?
context: Ah, Professor.\Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong? response:	I don't get it! Okumura suddenly...
context: Oh, you're back. It must be hot out there.\I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly... response:	Get away from him, Suguro! He's dangerous!
context: I just washed myself too.\I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous! response:	You asshole, who are you calling dangerous?
context: I should wash my face too.\The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous? response:	Dammit, don't screw with me!
context: The barriers west of the school building and at the front gate are okay.\Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me! response:	What are you doing, Okumura?
context: Nice job.\What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura? response:	Can't you see it? I'm taking him down!
context: What the hell? Wait for me!\Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down! response:	Rin! Get away from Suguro!
context: Konekomaru, what's wrong?\I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro! response:	Where are you pointing your gun? He's the one you should shoot!
context: I don't get it! Okumura suddenly...\Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot! response:	Huh?
context: Get away from him, Suguro! He's dangerous!\You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh? response:	Calm down...
context: You asshole, who are you calling dangerous?\Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down... response:	Lower your weapons.
context: Dammit, don't screw with me!\What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down...\Lower your weapons. response:	Stop!
context: What are you doing, Okumura?\Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down...\Lower your weapons.\Stop! response:	Rin!
context: Can't you see it? I'm taking him down!\Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down...\Lower your weapons.\Stop!\Rin! response:	Are you okay?
context: Rin! Get away from Suguro!\Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down...\Lower your weapons.\Stop!\Rin!\Are you okay? response:	What are you doing, Rin?
context: Where are you pointing your gun? He's the one you should shoot!\Huh?\Calm down...\Lower your weapons.\Stop!\Rin!\Are you okay?\What are you doing, Rin? response:	Have you forgotten? If you lose control, you'll be...
context: Huh?\Calm down...\Lower your weapons.\Stop!\Rin!\Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be... response:	I told you, Okumura.
context: Calm down...\Lower your weapons.\Stop!\Rin!\Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura. response:	If you hurt anyone around me, I'll kill you without mercy.
context: Lower your weapons.\Stop!\Rin!\Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy. response:	What the hell are you looking at? The demon...
context: Stop!\Rin!\Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon... response:	Koneko! Hey, get a hold of yourself!
context: Rin!\Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself! response:	Bon, what now? Koneko is...
context: Are you okay?\What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is... response:	Don't worry, he's just unconscious.
context: What are you doing, Rin?\Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious. response:	Those flames can kill people.
context: Have you forgotten? If you lose control, you'll be...\I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people. response:	Why don't you get that?
context: I told you, Okumura.\If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that? response:	Get lost.
context: If you hurt anyone around me, I'll kill you without mercy.\What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that?\Get lost. response:	We've found something.
context: What the hell are you looking at? The demon...\Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that?\Get lost.\We've found something. response:	Is that it?
context: Koneko! Hey, get a hold of yourself!\Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that?\Get lost.\We've found something.\Is that it? response:	Gale is a dangerous demon.
context: Bon, what now? Koneko is...\Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that?\Get lost.\We've found something.\Is that it?\Gale is a dangerous demon. response:	Please be careful.
context: Don't worry, he's just unconscious.\Those flames can kill people.\Why don't you get that?\Get lost.\We've found something.\Is that it?\Gale is a dangerous demon.\Please be careful. response:	I know that.
context: Those flames can kill people.\Why don't you get that?\Get lost.\We've found something.\Is that it?\Gale is a dangerous demon.\Please be careful.\I know that. response:	What the hell is this?
context: Why don't you get that?\Get lost.\We've found something.\Is that it?\Gale is a dangerous demon.\Please be careful.\I know that.\What the hell is this? response:	This looks bad, Ms. Kirigakure!
context: Get lost.\We've found something.\Is that it?\Gale is a dangerous demon.\Please be careful.\I know that.\What the hell is this?\This looks bad, Ms. Kirigakure! response:	This is probably a portal opened by a key!
context: We've found something.\Is that it?\Gale is a dangerous demon.\Please be careful.\I know that.\What the hell is this?\This looks bad, Ms. Kirigakure!\This is probably a portal opened by a key! response:	If this door closes, we can't return.
context: Is that it?\Gale is a dangerous demon.\Please be careful.\I know that.\What the hell is this?\This looks bad, Ms. Kirigakure!\This is probably a portal opened by a key!\If this door closes, we can't return. response:	Yeah, you're right. You stay here and keep it open.
context: Gale is a dangerous demon.\Please be careful.\I know that.\What the hell is this?\This looks bad, Ms. Kirigakure!\This is probably a portal opened by a key!\If this door closes, we can't return.\Yeah, you're right. You stay here and keep it open. response:	Huh? Wait, Ms. Kirigakure! Come back!
