context: It was the night of Christmas Eve. response:	Man, that thing looks really nasty up close.
context: Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters.\Be careful!\Come on! response:	Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword
context: It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters.\Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword response:	Heal!
context: But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters.\Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal! response:	Putting up barrier!
context: So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters.\Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier! response:	I'm within range!
context: Fifty-fifty.\We're within twenty meters.\Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier!\I'm within range! response:	Anchor Howl!
context: We're within twenty meters.\Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier!\I'm within range!\Anchor Howl! response:	Let's go, raiders!
context: Be careful!\Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier!\I'm within range!\Anchor Howl!\Let's go, raiders! response:	Begin the attack!
context: Come on!\Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier!\I'm within range!\Anchor Howl!\Let's go, raiders!\Begin the attack! response:	The Changing Battlefield
context: Dinkuron Race/ Elf Guardian, Lv. 94 Good Status Phys Def Up, Dodge Up Guild Silver Sword\Heal!\Putting up barrier!\I'm within range!\Anchor Howl!\Let's go, raiders!\Begin the attack!\The Changing Battlefield response:	The Changing Battlefield.
context: Heal!\Putting up barrier!\I'm within range!\Anchor Howl!\Let's go, raiders!\Begin the attack!\The Changing Battlefield\The Changing Battlefield. response:	Groups 3 and 4, focus on healing.
context: Putting up barrier!\I'm within range!\Anchor Howl!\Let's go, raiders!\Begin the attack!\The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing. response:	Group 2 will stay close.
context: I'm within range!\Anchor Howl!\Let's go, raiders!\Begin the attack!\The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close. response:	Everyone else, buff attackers and assist Group 1's tanks!
context: Anchor Howl!\Let's go, raiders!\Begin the attack!\The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks! response:	Oh, no!
context: Let's go, raiders!\Begin the attack!\The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no! response:	Be alert!
context: Begin the attack!\The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert! response:	Watch what Luseat is doing!
context: The Changing Battlefield\The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert!\Watch what Luseat is doing! response:	Party 1 Party 2 Party 3 Party 4
context: The Changing Battlefield.\Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4 response:	Two insta-kills.
context: Groups 3 and 4, focus on healing.\Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills. response:	Conditions for critical unknown.
context: Group 2 will stay close.\Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown. response:	Strengthen forward buffs!
context: Everyone else, buff attackers and assist Group 1's tanks!\Oh, no!\Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs! response:	Sasameyuki, count!
context: Oh, no!\Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count! response:	One, two, three, four...
context: Be alert!\Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four... response:	While we revive them and heal the wounded,
context: Watch what Luseat is doing!\Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded, response:	whittle him down from long range.
context: Party 1 Party 2 Party 3 Party 4\Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range. response:	Five, six, seven, eight, nine...
context: Two insta-kills.\Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine... response:	I've seen that skill before, but...
context: Conditions for critical unknown.\Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but... response:	It's far more powerful than it was in Heilos.
context: Strengthen forward buffs!\Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos. response:	Time from the motion to activation is shorter, too.
context: Sasameyuki, count!\One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too. response:	Twenty-three! Twenty-four!
context: One, two, three, four...\While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four! response:	It's coming.
context: While we revive them and heal the wounded,\whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming. response:	Get back! Get back!
context: whittle him down from long range.\Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming.\Get back! Get back! response:	No, the motion is different.
context: Five, six, seven, eight, nine...\I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming.\Get back! Get back!\No, the motion is different. response:	It's a different skill!
context: I've seen that skill before, but...\It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming.\Get back! Get back!\No, the motion is different.\It's a different skill! response:	Each of his hits is so strong.
context: It's far more powerful than it was in Heilos.\Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming.\Get back! Get back!\No, the motion is different.\It's a different skill!\Each of his hits is so strong. response:	Stand in the wrong spot, and you'll be killed instantly.
context: Time from the motion to activation is shorter, too.\Twenty-three! Twenty-four!\It's coming.\Get back! Get back!\No, the motion is different.\It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly. response:	Eighty-eight, eighty-nine, ninety.
context: Twenty-three! Twenty-four!\It's coming.\Get back! Get back!\No, the motion is different.\It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety. response:	It's coming.
context: It's coming.\Get back! Get back!\No, the motion is different.\It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming. response:	Defend!
context: Get back! Get back!\No, the motion is different.\It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming.\Defend! response:	Sacred Wall!
context: No, the motion is different.\It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming.\Defend!\Sacred Wall! response:	Sanctuary!
context: It's a different skill!\Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming.\Defend!\Sacred Wall!\Sanctuary! response:	As soon as he's done, we counter!
context: Each of his hits is so strong.\Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming.\Defend!\Sacred Wall!\Sanctuary!\As soon as he's done, we counter! response:	You got it!
context: Stand in the wrong spot, and you'll be killed instantly.\Eighty-eight, eighty-nine, ninety.\It's coming.\Defend!\Sacred Wall!\Sanctuary!\As soon as he's done, we counter!\You got it! response:	No insta-kills!
context: Eighty-eight, eighty-nine, ninety.\It's coming.\Defend!\Sacred Wall!\Sanctuary!\As soon as he's done, we counter!\You got it!\No insta-kills! response:	Cool down is ninety seconds!
context: It's coming.\Defend!\Sacred Wall!\Sanctuary!\As soon as he's done, we counter!\You got it!\No insta-kills!\Cool down is ninety seconds! response:	Get me healed already!
context: Defend!\Sacred Wall!\Sanctuary!\As soon as he's done, we counter!\You got it!\No insta-kills!\Cool down is ninety seconds!\Get me healed already! response:	Once your barriers are up and you're healed, go back at him!
context: Sacred Wall!\Sanctuary!\As soon as he's done, we counter!\You got it!\No insta-kills!\Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him! response:	I'm doing it!
context: Sanctuary!\As soon as he's done, we counter!\You got it!\No insta-kills!\Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it! response:	After he uses his skill, he's wide open.
context: As soon as he's done, we counter!\You got it!\No insta-kills!\Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open. response:	That's our chance to attack!
context: You got it!\No insta-kills!\Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack! response:	That's the second time, and already, no more insta-kills.
context: No insta-kills!\Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills. response:	That's impressive.
context: Cool down is ninety seconds!\Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive. response:	They pick things up quickly.
context: Get me healed already!\Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly. response:	Increase our damage output!
context: Once your barriers are up and you're healed, go back at him!\I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly.\Increase our damage output! response:	Stop wasting time.
context: I'm doing it!\After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly.\Increase our damage output!\Stop wasting time. response:	Pick up the pace!
context: After he uses his skill, he's wide open.\That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly.\Increase our damage output!\Stop wasting time.\Pick up the pace! response:	Cross Slash!
context: That's our chance to attack!\That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly.\Increase our damage output!\Stop wasting time.\Pick up the pace!\Cross Slash! response:	Round Windmill!
context: That's the second time, and already, no more insta-kills.\That's impressive.\They pick things up quickly.\Increase our damage output!\Stop wasting time.\Pick up the pace!\Cross Slash!\Round Windmill! response:	Turning Swallow!
context: That's impressive.\They pick things up quickly.\Increase our damage output!\Stop wasting time.\Pick up the pace!\Cross Slash!\Round Windmill!\Turning Swallow! response:	Resonance Beat!
context: They pick things up quickly.\Increase our damage output!\Stop wasting time.\Pick up the pace!\Cross Slash!\Round Windmill!\Turning Swallow!\Resonance Beat! response:	We're keeping a good pace.
context: Increase our damage output!\Stop wasting time.\Pick up the pace!\Cross Slash!\Round Windmill!\Turning Swallow!\Resonance Beat!\We're keeping a good pace. response:	Wait! Your DPS is too high!
context: Stop wasting time.\Pick up the pace!\Cross Slash!\Round Windmill!\Turning Swallow!\Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high! response:	You're generating too much aggro.
context: Pick up the pace!\Cross Slash!\Round Windmill!\Turning Swallow!\Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro. response:	What's this?
context: Cross Slash!\Round Windmill!\Turning Swallow!\Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro.\What's this? response:	A paralyze... No, a root?
context: Round Windmill!\Turning Swallow!\Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro.\What's this?\A paralyze... No, a root? response:	It's coming from his feet.
context: Turning Swallow!\Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro.\What's this?\A paralyze... No, a root?\It's coming from his feet. response:	We're taking damage.
context: Resonance Beat!\We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro.\What's this?\A paralyze... No, a root?\It's coming from his feet.\We're taking damage. response:	Attribute is Evil Poison!
context: We're keeping a good pace.\Wait! Your DPS is too high!\You're generating too much aggro.\What's this?\A paralyze... No, a root?\It's coming from his feet.\We're taking damage.\Attribute is Evil Poison! response:	Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword
context: Wait! Your DPS is too high!\You're generating too much aggro.\What's this?\A paralyze... No, a root?\It's coming from his feet.\We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword response:	Our attack speed and damage are dropping!
context: You're generating too much aggro.\What's this?\A paralyze... No, a root?\It's coming from his feet.\We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping! response:	This attack pattern didn't exist in Heilos.
context: What's this?\A paralyze... No, a root?\It's coming from his feet.\We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos. response:	It isn't doing much damage, but...
context: A paralyze... No, a root?\It's coming from his feet.\We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but... response:	Anchor Howl!
context: It's coming from his feet.\We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl! response:	He's ignoring me?
context: We're taking damage.\Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl!\He's ignoring me? response:	Anchor Howl isn't working?
context: Attribute is Evil Poison!\Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl!\He's ignoring me?\Anchor Howl isn't working? response:	An area-of-effect root that does minimal damage?
context: Race/ Elf Guardian, Lv. 94 Good Status Def. Up, Dodge Up, Damage Bl. Bad Status Evil Poison Root Guild Silver Sword\Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl!\He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage? response:	Watch out.
context: Our attack speed and damage are dropping!\This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl!\He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out. response:	AoE barrier! AoE heal!
context: This attack pattern didn't exist in Heilos.\It isn't doing much damage, but...\Anchor Howl!\He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal! response:	Stick it out!
context: It isn't doing much damage, but...\Anchor Howl!\He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal!\Stick it out! response:	Crap.
context: Anchor Howl!\He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal!\Stick it out!\Crap. response:	T-Ten dead... No, eleven.
context: He's ignoring me?\Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal!\Stick it out!\Crap.\T-Ten dead... No, eleven. response:	Group 1 healers, maintain the front lines.
context: Anchor Howl isn't working?\An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal!\Stick it out!\Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines. response:	Group 2, fall back to raise and heal.
context: An area-of-effect root that does minimal damage?\Watch out.\AoE barrier! AoE heal!\Stick it out!\Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal. response:	Groups 3 and 4, drop damage output to seventy percent.
context: Watch out.\AoE barrier! AoE heal!\Stick it out!\Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent. response:	Focus on recovering.
context: AoE barrier! AoE heal!\Stick it out!\Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering. response:	This is great.
context: Stick it out!\Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great. response:	This is what I call a raid!
context: Crap.\T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great.\This is what I call a raid! response:	Lightning Straight!
context: T-Ten dead... No, eleven.\Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great.\This is what I call a raid!\Lightning Straight! response:	Wyvern Kick!
context: Group 1 healers, maintain the front lines.\Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great.\This is what I call a raid!\Lightning Straight!\Wyvern Kick! response:	That bastard...
context: Group 2, fall back to raise and heal.\Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great.\This is what I call a raid!\Lightning Straight!\Wyvern Kick!\That bastard... response:	Tanks, switch.
context: Groups 3 and 4, drop damage output to seventy percent.\Focus on recovering.\This is great.\This is what I call a raid!\Lightning Straight!\Wyvern Kick!\That bastard...\Tanks, switch. response:	Naotsugu, draw his attention!
context: Focus on recovering.\This is great.\This is what I call a raid!\Lightning Straight!\Wyvern Kick!\That bastard...\Tanks, switch.\Naotsugu, draw his attention! response:	I'm on it!
context: This is great.\This is what I call a raid!\Lightning Straight!\Wyvern Kick!\That bastard...\Tanks, switch.\Naotsugu, draw his attention!\I'm on it! response:	Look over here, big guy!
context: This is what I call a raid!\Lightning Straight!\Wyvern Kick!\That bastard...\Tanks, switch.\Naotsugu, draw his attention!\I'm on it!\Look over here, big guy! response:	He's taken enough damage that he's changing modes?
context: Lightning Straight!\Wyvern Kick!\That bastard...\Tanks, switch.\Naotsugu, draw his attention!\I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes? response:	Before, you had to do something in the dungeon to trigger it,
context: Wyvern Kick!\That bastard...\Tanks, switch.\Naotsugu, draw his attention!\I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it, response:	but I guess this one can do it whenever he wants.
context: That bastard...\Tanks, switch.\Naotsugu, draw his attention!\I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants. response:	I guess you'd call it True White Knight Mode.
context: Tanks, switch.\Naotsugu, draw his attention!\I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode. response:	It's just getting started.
context: Naotsugu, draw his attention!\I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started. response:	Stay focused.
context: I'm on it!\Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused. response:	Just like the recon team said,
context: Look over here, big guy!\He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused.\Just like the recon team said, response:	the fragments of his armor turned into monsters.
context: He's taken enough damage that he's changing modes?\Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters. response:	Shadow Vanguard Rank/ Raid
context: Before, you had to do something in the dungeon to trigger it,\but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid response:	Look at them all.
context: but I guess this one can do it whenever he wants.\I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all. response:	What a pain.
context: I guess you'd call it True White Knight Mode.\It's just getting started.\Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all.\What a pain. response:	The little ones are nothing.
context: It's just getting started.\Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all.\What a pain.\The little ones are nothing. response:	We can take'em.
context: Stay focused.\Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all.\What a pain.\The little ones are nothing.\We can take'em. response:	Forwards, pull the raid mobs.
context: Just like the recon team said,\the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all.\What a pain.\The little ones are nothing.\We can take'em.\Forwards, pull the raid mobs. response:	Everyone else, concentrate attacks on Luseat!
context: the fragments of his armor turned into monsters.\Shadow Vanguard Rank/ Raid\Look at them all.\What a pain.\The little ones are nothing.\We can take'em.\Forwards, pull the raid mobs.\Everyone else, concentrate attacks on Luseat! response:	Whoa!
context: Shadow Vanguard Rank/ Raid\Look at them all.\What a pain.\The little ones are nothing.\We can take'em.\Forwards, pull the raid mobs.\Everyone else, concentrate attacks on Luseat!\Whoa! response:	What?
context: Look at them all.\What a pain.\The little ones are nothing.\We can take'em.\Forwards, pull the raid mobs.\Everyone else, concentrate attacks on Luseat!\Whoa!\What? response:	That's not good, Naotsugu-san.
context: What a pain.\The little ones are nothing.\We can take'em.\Forwards, pull the raid mobs.\Everyone else, concentrate attacks on Luseat!\Whoa!\What?\That's not good, Naotsugu-san. response:	Seriously? His HP is recovering!
