context: upermans response:	upermans
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	Twice-Cooked Pork
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork response:	Nichijou 23
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork\Nichijou 23 response:	is cool, isn't it?
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork\Nichijou 23\is cool, isn't it? response:	is cool, isn't it?
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork\Nichijou 23\is cool, isn't it?\is cool, isn't it? response:	I didn't have time!
context: Have a good night\We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork\Nichijou 23\is cool, isn't it?\is cool, isn't it?\I didn't have time! response:	Draw smaller!
context: We'll meet immediately in our dreams\So have a good night\Twice-Cooked Pork\Nichijou 23\is cool, isn't it?\is cool, isn't it?\I didn't have time!\Draw smaller! response:	Draw smaller!
context: So have a good night\Twice-Cooked Pork\Nichijou 23\is cool, isn't it?\is cool, isn't it?\I didn't have time!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Twice-Cooked Pork\Nichijou 23\is cool, isn't it?\is cool, isn't it?\I didn't have time!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Nichijou 23\is cool, isn't it?\is cool, isn't it?\I didn't have time!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: is cool, isn't it?\is cool, isn't it?\I didn't have time!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: is cool, isn't it?\I didn't have time!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: I didn't have time!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	Draw smaller!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\Draw smaller!\Draw smaller!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\Draw smaller!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\Draw smaller!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: Draw smaller!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
context: I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well!\I can't draw very well! response:	I can't draw very well!
