context: Arima-sensei, why do you want to perform at the Culture Festival? response:	I've got this horrible friend.
context: It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start! response:	Nagi...
context: With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi... response:	You've got to be kidding me. In the short time that I hadn't seen her...
context: Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her... response:	She's gotten incredibly good!
context: But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good! response:	Nagi... good luck!
context: Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck! response:	I was all stiff from nerves,
context: What's that?\Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves, response:	but my fingers are moving.
context: Hey, who knows?\Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving. response:	I can hear both my own playing, and Arima-sensei's playing, too.
context: Okay, good. Couldn't have gotten off to a better start!\Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too. response:	All that practice didn't lie.
context: Nagi...\You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie. response:	I can't concentrate.
context: You've got to be kidding me. In the short time that I hadn't seen her...\She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate. response:	I can still hear the sound of the piano.
context: She's gotten incredibly good!\Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano. response:	It's in my way.
context: Nagi... good luck!\I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano.\It's in my way. response:	You're in my way, so...
context: I was all stiff from nerves,\but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano.\It's in my way.\You're in my way, so... response:	Get out of here!
context: but my fingers are moving.\I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano.\It's in my way.\You're in my way, so...\Get out of here! response:	Just now... the sound...
context: I can hear both my own playing, and Arima-sensei's playing, too.\All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano.\It's in my way.\You're in my way, so...\Get out of here!\Just now... the sound... response:	The sound... changed?
context: All that practice didn't lie.\I can't concentrate.\I can still hear the sound of the piano.\It's in my way.\You're in my way, so...\Get out of here!\Just now... the sound...\The sound... changed? response:	Kousei...
context: I can't concentrate.\I can still hear the sound of the piano.\It's in my way.\You're in my way, so...\Get out of here!\Just now... the sound...\The sound... changed?\Kousei... response:	What are you doing? What are you thinking?
context: I can still hear the sound of the piano.\It's in my way.\You're in my way, so...\Get out of here!\Just now... the sound...\The sound... changed?\Kousei...\What are you doing? What are you thinking? response:	You're supposed to be supporting me...
context: It's in my way.\You're in my way, so...\Get out of here!\Just now... the sound...\The sound... changed?\Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me... response:	So why are you dumping all this pressure on me?
context: You're in my way, so...\Get out of here!\Just now... the sound...\The sound... changed?\Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me? response:	Liar! Fraud! Moron! This is totally different from the way we practiced!
context: Get out of here!\Just now... the sound...\The sound... changed?\Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced! response:	Both the rhythm, and this aching sense of atmosphere...
context: Just now... the sound...\The sound... changed?\Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere... response:	Every last thing!
context: The sound... changed?\Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing! response:	This is Kousei Arima, pianist!
context: Kousei...\What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist! response:	The tempo's starting to take off.
context: What are you doing? What are you thinking?\You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off. response:	He's playing the bass, but he's starting to consume the melody.
context: You're supposed to be supporting me...\So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody. response:	What are you going to do, Nagi?
context: So why are you dumping all this pressure on me?\Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi? response:	Are you going to let Kousei have his way with you?
context: Liar! Fraud! Moron! This is totally different from the way we practiced!\Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you? response:	Come on, settle it!
context: Both the rhythm, and this aching sense of atmosphere...\Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it! response:	Bring it!
context: Every last thing!\This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it! response:	Nagi!
context: This is Kousei Arima, pianist!\The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it!\Nagi! response:	She's not giving in!
context: The tempo's starting to take off.\He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it!\Nagi!\She's not giving in! response:	Amazing!
context: He's playing the bass, but he's starting to consume the melody.\What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it!\Nagi!\She's not giving in!\Amazing! response:	Aiza's kid sister is competing with him!
context: What are you going to do, Nagi?\Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it!\Nagi!\She's not giving in!\Amazing!\Aiza's kid sister is competing with him! response:	No matter how he goads her, or how he drags her along in his wake, she's keeping up.
context: Are you going to let Kousei have his way with you?\Come on, settle it!\Bring it!\Nagi!\She's not giving in!\Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up. response:	Was she always this good?
context: Come on, settle it!\Bring it!\Nagi!\She's not giving in!\Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good? response:	Connected
context: Bring it!\Nagi!\She's not giving in!\Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected response:	That's right, Nagi. You're the star of this stage.
context: Nagi!\She's not giving in!\Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected\That's right, Nagi. You're the star of this stage. response:	Don't even give him an inch!
context: She's not giving in!\Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch! response:	That's right... in a waltz...
context: Amazing!\Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz... response:	The melody shifts to the bottom part!
context: Aiza's kid sister is competing with him!\No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part! response:	You're not getting away!
context: No matter how he goads her, or how he drags her along in his wake, she's keeping up.\Was she always this good?\Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away! response:	Listen closely!
context: Was she always this good?\Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away!\Listen closely! response:	Respond simultaneously!
context: Connected\That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away!\Listen closely!\Respond simultaneously! response:	Be enveloped by Kousei Arima!
context: That's right, Nagi. You're the star of this stage.\Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away!\Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima! response:	Two months ago, I would've been left behind.
context: Don't even give him an inch!\That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away!\Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind. response:	All that time... didn't go to waste.
context: That's right... in a waltz...\The melody shifts to the bottom part!\You're not getting away!\Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste. response:	The time I devoted to playing the piano... is paying off now!
context: The melody shifts to the bottom part!\You're not getting away!\Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now! response:	He's got a heart of steel.
context: You're not getting away!\Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel. response:	He's like a robot, isn't he?
context: Listen closely!\Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he? response:	Like a Chogokin robot, huh?
context: Respond simultaneously!\Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh? response:	You're wrong about that.
context: Be enveloped by Kousei Arima!\Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that. response:	Kousei Arima is no Chogokin robot.
context: Two months ago, I would've been left behind.\All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot. response:	He doesn't have a heart of steel.
context: All that time... didn't go to waste.\The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel. response:	After all...
context: The time I devoted to playing the piano... is paying off now!\He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all... response:	When I touched it, his hand was warm.
context: He's got a heart of steel.\He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm. response:	The moment I touched it... that moment... was so nostalgic.
context: He's like a robot, isn't he?\Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic. response:	As the bass line player, he's magnificent.
context: Like a Chogokin robot, huh?\You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent. response:	He knows her personality, he's grasped her habits, he's goading her,
context: You're wrong about that.\Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her, response:	leading her on, and backing her up.
context: Kousei Arima is no Chogokin robot.\He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up. response:	He's putting his partner in the zone.
context: He doesn't have a heart of steel.\After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone. response:	He's accelerating her growth!
context: After all...\When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth! response:	Those roasted sweet potatoes we shared sure were good!
context: When I touched it, his hand was warm.\The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good! response:	Those pork buns we had on our way home... they sure were good!
context: The moment I touched it... that moment... was so nostalgic.\As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good! response:	This is, without a doubt... their waltz.
context: As the bass line player, he's magnificent.\He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz. response:	I only started playing the piano because I wanted my beloved big brother's attention.
context: He knows her personality, he's grasped her habits, he's goading her,\leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention. response:	An ulterior motive.
context: leading her on, and backing her up.\He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive. response:	Brother,
context: He's putting his partner in the zone.\He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother, response:	for the last few weeks, I've been peering into the abyss, just a little bit.
context: He's accelerating her growth!\Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit. response:	I cried, I vomited,
context: Those roasted sweet potatoes we shared sure were good!\Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited, response:	I went without food or sleep to immerse myself in music.
context: Those pork buns we had on our way home... they sure were good!\This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music. response:	And it was so painful... so painful to look my powerless self in the eye,
context: This is, without a doubt... their waltz.\I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye, response:	that I wanted to run away.
context: I only started playing the piano because I wanted my beloved big brother's attention.\An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away. response:	You felt the same way, didn't you, brother?
context: An ulterior motive.\Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother? response:	It's important to play for someone else.
context: Brother,\for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else. response:	But you know what... that's not what I want to see!
context: for the last few weeks, I've been peering into the abyss, just a little bit.\I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see! response:	Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!
context: I cried, I vomited,\I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop! response:	It's not in you to lose your way.
context: I went without food or sleep to immerse myself in music.\And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way. response:	Run up those stairs like you're skipping lightly.
context: And it was so painful... so painful to look my powerless self in the eye,\that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly. response:	Just like you did that day... once again, make yourself chase after that back of his!
context: that I wanted to run away.\You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his! response:	My hero!
context: You felt the same way, didn't you, brother?\It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero! response:	That's right... Just like Nagi saw herself in you,
context: It's important to play for someone else.\But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you, response:	you've been seeing yourself in Nagi, haven't you...
context: But you know what... that's not what I want to see!\Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you... response:	Unlike everybody else, I don't yearn to become a pro,
context: Don't lose your way! Don't struggle! Step on it! Actions, not words! Don't stop!\It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro, response:	and I'm not prepared to give all of myself to music,
context: It's not in you to lose your way.\Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music, response:	but there are people who will listen.
context: Run up those stairs like you're skipping lightly.\Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen. response:	There are people I want to play for.
context: Just like you did that day... once again, make yourself chase after that back of his!\My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for. response:	There are people that I love.
context: My hero!\That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for.\There are people that I love. response:	So... I want to be here. Is that wrong?
context: That's right... Just like Nagi saw herself in you,\you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong? response:	Isn't that a good enough reason to want to play, for now?
context: you've been seeing yourself in Nagi, haven't you...\Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now? response:	What am I doing here?
context: Unlike everybody else, I don't yearn to become a pro,\and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here? response:	What am I doing, looking up at the stage from the audience?
context: and I'm not prepared to give all of myself to music,\but there are people who will listen.\There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience? response:	I'm supposed to be up there, aren't I?
context: but there are people who will listen.\There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I? response:	Emi and Nagi... why does your playing move people...
context: There are people I want to play for.\There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people... response:	It's about to end. Ah... it feels so weird.
