context: You're a rental girlfriend, aren't you? response:	I have to shut that girl up, no matter what!
context: Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay? response:	I was told you two were a tight couple...
context: Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple... response:	But then I learned she was a rental, so I just wanted to mess with you.
context: R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you. response:	How'd you find that out?
context: But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out? response:	Huh? W-Well, I can't tell you.
context: You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you. response:	P-Please!
context: Gosh, this is such a pain!\Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please! response:	I bet you rented her for some shallow reason, anyway.
context: Hold on!\Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway. response:	So why does it matter if people find out?
context: Look, I'm sorry, okay?\I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out? response:	The thing is... I got dumped by my first-ever girlfriend not long ago.
context: I was told you two were a tight couple...\But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago. response:	So I got lonely and rented Mizuhara.
context: But then I learned she was a rental, so I just wanted to mess with you.\How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara. response:	But I'm such an idiot, I went and introduced her to my family.
context: How'd you find that out?\Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family. response:	My gran was over the moon, because I've never been a popular guy.
context: Huh? W-Well, I can't tell you.\P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy. response:	Seeing her like that, I couldn't bring myself to tell her the truth.
context: P-Please!\I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth. response:	So just... p-promise me that you won't tell anyone!
context: I bet you rented her for some shallow reason, anyway.\So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone! response:	Voice Recorder
context: So why does it matter if people find out?\The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder response:	Why should I have to promise that?
context: The thing is... I got dumped by my first-ever girlfriend not long ago.\So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that? response:	Please! Just say, I, Sarashina Ruka, promise not to tell anyone!
context: So I got lonely and rented Mizuhara.\But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone! response:	I beg you!
context: But I'm such an idiot, I went and introduced her to my family.\My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you! response:	Stop that.
context: My gran was over the moon, because I've never been a popular guy.\Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that. response:	Sorry, but I have no choice.
context: Seeing her like that, I couldn't bring myself to tell her the truth.\So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that.\Sorry, but I have no choice. response:	I'll do anything you want, so please!
context: So just... p-promise me that you won't tell anyone!\Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please! response:	Jeez... What is your deal?!
context: Voice Recorder\Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?! response:	I was so sure that people who went for rental girlfriends were shallow and superficial!
context: Why should I have to promise that?\Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial! response:	W-Wait!
context: Please! Just say, I, Sarashina Ruka, promise not to tell anyone!\I beg you!\Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait! response:	My, hello. Nice weather today, eh?
context: I beg you!\Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh? response:	Oh, I'm sorry!
context: Stop that.\Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry! response:	Wh-What do you think you're doing?!
context: Sorry, but I have no choice.\I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?! response:	You know I can't just watch my bud's girlfriend get hurt!
context: I'll do anything you want, so please!\Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt! response:	Please! If this gets out, it'll cause issues for Mizuhara, too!
context: Jeez... What is your deal?!\I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too! response:	I don't care about myself, but I don't want to see Mizuhara sad!
context: I was so sure that people who went for rental girlfriends were shallow and superficial!\W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad! response:	She may be a rental, but Mizuhara is...
context: W-Wait!\My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is... response:	Mizuhara is...
context: My, hello. Nice weather today, eh?\Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is... response:	Mizuhara is...
context: Oh, I'm sorry!\Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is... response:	the best girlfriend anyone could ask for!
context: Wh-What do you think you're doing?!\You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for! response:	I'm a rental girlfriend, too.
context: You know I can't just watch my bud's girlfriend get hurt!\Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too. response:	Now
context: Please! If this gets out, it'll cause issues for Mizuhara, too!\I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now response:	You have a new message.
context: I don't care about myself, but I don't want to see Mizuhara sad!\She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now\You have a new message. response:	Where are you?
context: She may be a rental, but Mizuhara is...\Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now\You have a new message.\Where are you? response:	Mizuhara
context: Mizuhara is...\Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now\You have a new message.\Where are you?\Mizuhara response:	You're late
context: Mizuhara is...\the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now\You have a new message.\Where are you?\Mizuhara\You're late response:	I'm waiting for you
context: the best girlfriend anyone could ask for!\I'm a rental girlfriend, too.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you response:	Mizuhara
context: I'm a rental girlfriend, too.\Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Now\You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	Mizuhara
context: You have a new message.\Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara response:	When hwill hhyou hhhget hhhhhere hhhhh?
context: Where are you?\Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh? response:	If you don't hurry up
context: Mizuhara\You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up response:	Mizuhara
context: You're late\I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara response:	Mizuhara
context: I'm waiting for you\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara response:	I'll charge you for an extension
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa response:	Who does that girl think she is? A romcom heroine?
context: Mizuhara\When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine? response:	Numa
context: When hwill hhyou hhhget hhhhhere hhhhh?\If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa response:	And that stupid virgin's pissing hme off, too!
context: If you don't hurry up\Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too! response:	Numa
context: Mizuhara\Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa response:	Not like they'll last more than three months, anyway
context: Mizuhara\I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway response:	It's not real
context: I'll charge you for an extension\Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real response:	Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes
context: Numa\Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes response:	Mizuhara.
context: Who does that girl think she is? A romcom heroine?\Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara. response:	What?!
context: Numa\And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?! response:	A rental girlfriend?!
context: And that stupid virgin's pissing hme off, too!\Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?!\A rental girlfriend?! response:	Y-Yeah.
context: Numa\Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?!\A rental girlfriend?!\Y-Yeah. response:	That means she's less likely to tell Kuri.
context: Not like they'll last more than three months, anyway\It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?!\A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri. response:	But it's not out of the question, so we shouldn't provoke her.
context: It's not real\Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?!\A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her. response:	Which agency's she with? I'm gonna complain!
context: Receipt Kinoshita Kazuya-sama Rent-A-Girlfriend Itemized Bill Base Fee/hrhhhhhh 5000 yen x1 hChoice Fee (Rookie)hhhhhhhhh5000 yen x1 hhCosts (City Limits)hhhhhhhhhhhh2000 yen x1 Total: 12,000 yen + taxes\Mizuhara.\What?!\A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain! response:	There are things you just can't do, and putting a fellow pro at risk is one of them!
context: Mizuhara.\What?!\A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them! response:	D-Don't yell at me over it.
context: What?!\A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it. response:	Uh, so we're here at a restaurant together...
context: A rental girlfriend?!\Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together... response:	Is this allowed?
context: Y-Yeah.\That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed? response:	Isn't this just a normal date?
context: That means she's less likely to tell Kuri.\But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date? response:	There! Found her!
context: But it's not out of the question, so we shouldn't provoke her.\Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date?\There! Found her! response:	You did?!
context: Which agency's she with? I'm gonna complain!\There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date?\There! Found her!\You did?! response:	Sarashina Ruka
context: There are things you just can't do, and putting a fellow pro at risk is one of them!\D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date?\There! Found her!\You did?!\Sarashina Ruka response:	Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh
context: D-Don't yell at me over it.\Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date?\There! Found her!\You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh response:	Sarashina Ruka, a younger-sister idol girlfriend.
context: Uh, so we're here at a restaurant together...\Is this allowed?\Isn't this just a normal date?\There! Found her!\You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend. response:	Oh?
context: Is this allowed?\Isn't this just a normal date?\There! Found her!\You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh? response:	She's with an agency that operates within Tokyo, huh?
context: Isn't this just a normal date?\There! Found her!\You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh? response:	I was curious about how she found out,
context: There! Found her!\You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out, response:	but it makes sense if she's a rental girlfriend. She's probably searched my name before.
context: You did?!\Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before. response:	Huh? Are you famous or something?
