context: Let's move! response:	Hange?
context: Spread out! Take formation to locate any enemies!\Eren...\Opening\Oh, Eren?\You're awake?\What the hell?!\My arms!\Eren. response:	Look at me. I'm in the same shape as you.
context: Eren...\Opening\Oh, Eren?\You're awake?\What the hell?!\My arms!\Eren.\Look at me. I'm in the same shape as you. response:	Guess the both of us are having a bad day.
context: Opening\Oh, Eren?\You're awake?\What the hell?!\My arms!\Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day. response:	Ymir...
context: Oh, Eren?\You're awake?\What the hell?!\My arms!\Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir... response:	Why... don't I have any arms?
context: You're awake?\What the hell?!\My arms!\Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms? response:	That's my bad.
context: What the hell?!\My arms!\Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms?\That's my bad. response:	I'm the one who did that.
context: My arms!\Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms?\That's my bad.\I'm the one who did that. response:	I kinda was in a hurry.
context: Eren.\Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms?\That's my bad.\I'm the one who did that.\I kinda was in a hurry. response:	When I rushed to bite your nape, I neglected to take your arms into account.
context: Look at me. I'm in the same shape as you.\Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms?\That's my bad.\I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account. response:	I see...
context: Guess the both of us are having a bad day.\Ymir...\Why... don't I have any arms?\That's my bad.\I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see... response:	Eren, stop!
context: Ymir...\Why... don't I have any arms?\That's my bad.\I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop! response:	Hold your horses, Eren.
context: Why... don't I have any arms?\That's my bad.\I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop!\Hold your horses, Eren. response:	Take a good look around us.
context: That's my bad.\I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop!\Hold your horses, Eren.\Take a good look around us. response:	We're in the giant forest within Wall Maria.
context: I'm the one who did that.\I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop!\Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria. response:	It's not even close to any of the walls.
context: I kinda was in a hurry.\When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop!\Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls. response:	In other words, we're deep in Titan territory.
context: When I rushed to bite your nape, I neglected to take your arms into account.\I see...\Eren, stop!\Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory. response:	Take a look.
context: I see...\Eren, stop!\Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look. response:	I think that one down there's an Abnormal.
context: Eren, stop!\Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal. response:	It looks like he's just lounging around, but he's not taking his eyes off us.
context: Hold your horses, Eren.\Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us. response:	There's a lot of small ones down there, too.
context: Take a good look around us.\We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too. response:	That alone is dangerous.
context: We're in the giant forest within Wall Maria.\It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous. response:	Over that way's another big one.
context: It's not even close to any of the walls.\In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one. response:	He staring at us, but won't come any closer.
context: In other words, we're deep in Titan territory.\Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer. response:	I bet you that one's a scaredy-cat.
context: Take a look.\I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat. response:	And then you've got these chumps.
context: I think that one down there's an Abnormal.\It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps. response:	Those dirty bastards.
context: It looks like he's just lounging around, but he's not taking his eyes off us.\There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards. response:	They're the only ones with any ODM gear on.
context: There's a lot of small ones down there, too.\That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on. response:	Reiner's wearing gear he took from you.
context: That alone is dangerous.\Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you. response:	So I don't think changing into a Titan at this point is going to solve anything.
context: Over that way's another big one.\He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything. response:	Not only can they do that, but they can escape high into the trees as well.
context: He staring at us, but won't come any closer.\I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well. response:	Those two aside, there's Titans all around us.
context: I bet you that one's a scaredy-cat.\And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us. response:	Escaping out of this Titan territory would be tough, even with Titan powers.
context: And then you've got these chumps.\Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers. response:	Understand?
context: Those dirty bastards.\They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand? response:	There's nothing to gain by acting up.
context: They're the only ones with any ODM gear on.\Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up. response:	No.
context: Reiner's wearing gear he took from you.\So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up.\No. response:	You two can't even turn into Titans right now.
context: So I don't think changing into a Titan at this point is going to solve anything.\Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now. response:	So don't count on that to help you.
context: Not only can they do that, but they can escape high into the trees as well.\Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now.\So don't count on that to help you. response:	Your body is at its limit.
context: Those two aside, there's Titans all around us.\Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit. response:	It's taking everything you've got to repair the damage.
context: Escaping out of this Titan territory would be tough, even with Titan powers.\Understand?\There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage. response:	Are you stupid?
context: Understand?\There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid? response:	Why the hell would I trust anything coming out of your mouth?
context: There's nothing to gain by acting up.\No.\You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth? response:	Well...
context: No.\You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well... response:	It's not like I know the specifics behind how Titan powers work.
context: You two can't even turn into Titans right now.\So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work. response:	Unlike you guys, I'm pretty clueless about it.
context: So don't count on that to help you.\Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it. response:	Hey, Reiner.
context: Your body is at its limit.\It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner. response:	You said you would talk once Eren woke up.
context: It's taking everything you've got to repair the damage.\Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up. response:	It's about time one of you says what you plan to do with us.
context: Are you stupid?\Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us. response:	We'll take you to our hometown.
context: Why the hell would I trust anything coming out of your mouth?\Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown. response:	I realize that you're not going to listen and do as I say.
context: Well...\It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say. response:	But like Ymir was saying, this place is swarming with Titans.
context: It's not like I know the specifics behind how Titan powers work.\Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans. response:	We could beat the shit out of each other right now,
context: Unlike you guys, I'm pretty clueless about it.\Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now, response:	but when we're weak, the other Titans would just come and eat us.
context: Hey, Reiner.\You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us. response:	So until nightfall, when the Titans can't move, we have no choice but to wait here.
context: You said you would talk once Eren woke up.\It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here. response:	Whether you try to run and escape from us...
context: It's about time one of you says what you plan to do with us.\We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us... response:	Why didn't you stay the Armored Titan and run home?
context: We'll take you to our hometown.\I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home? response:	What's the point of stopping here?
context: I realize that you're not going to listen and do as I say.\But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here? response:	Too tired and had to take a break?
context: But like Ymir was saying, this place is swarming with Titans.\We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break? response:	Why don't you use your imagination?
context: We could beat the shit out of each other right now,\but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination? response:	Let's think...
context: but when we're weak, the other Titans would just come and eat us.\So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination?\Let's think... response:	If I waited for an opening and became a Titan,
context: So until nightfall, when the Titans can't move, we have no choice but to wait here.\Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan, response:	running away from here doesn't seem like it would pose a challenge.
context: Whether you try to run and escape from us...\Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge. response:	But will I be able to transform into a Titan in the first place?
context: Why didn't you stay the Armored Titan and run home?\What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place? response:	Reiner said that I can't...
context: What's the point of stopping here?\Too tired and had to take a break?\Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't... response:	And I have to consider that even Reiner had to stop here to take a break.
context: Too tired and had to take a break?\Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break. response:	If my Titan form isn't strong enough,
context: Why don't you use your imagination?\Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough, response:	does that mean I'll just get eaten by the others?
context: Let's think...\If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others? response:	Are you simply waiting here for it to become night?
context: If I waited for an opening and became a Titan,\running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night? response:	Maybe I am.
context: running away from here doesn't seem like it would pose a challenge.\But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am. response:	No... There's no way they'd wait until nightfall.
context: But will I be able to transform into a Titan in the first place?\Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall. response:	They're not going to give our bodies the chance to fully recover.
context: Reiner said that I can't...\And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover. response:	They'll make their move while we're still powerless.
context: And I have to consider that even Reiner had to stop here to take a break.\If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless. response:	At this rate, I can't do anything.
context: If my Titan form isn't strong enough,\does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything. response:	At this rate...
context: does that mean I'll just get eaten by the others?\Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate... response:	What happened to everybody?
context: Are you simply waiting here for it to become night?\Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate...\What happened to everybody? response:	Where are the Scouts?
context: Maybe I am.\No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate...\What happened to everybody?\Where are the Scouts? response:	Don't tell me they're coming this way...
context: No... There's no way they'd wait until nightfall.\They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate...\What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way... response:	If they try to help, no one's gonna make it back safely.
context: They're not going to give our bodies the chance to fully recover.\They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate...\What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely. response:	What's it matter?
context: They'll make their move while we're still powerless.\At this rate, I can't do anything.\At this rate...\What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter? response:	Those Titans at the castle moved just fine at night.
context: At this rate, I can't do anything.\At this rate...\What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night. response:	Won't these Titans, too?
context: At this rate...\What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too? response:	The Titans here can't move at night.
context: What happened to everybody?\Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night. response:	You should know all about it, Ymir.
context: Where are the Scouts?\Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir. response:	Speaking of which, why can Ymir turn into a Titan?
context: Don't tell me they're coming this way...\If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan? response:	I don't think she's like me, who knew nothing about it.
context: If they try to help, no one's gonna make it back safely.\What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it. response:	Is she on our side?
context: What's it matter?\Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side? response:	I don't even know what her goal is yet.
context: Those Titans at the castle moved just fine at night.\Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet. response:	She's hard enough to understand as it is.
context: Won't these Titans, too?\The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is. response:	I've made up my mind.
context: The Titans here can't move at night.\You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind. response:	Right now, what I need is information.
context: You should know all about it, Ymir.\Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information. response:	I need to figure out everything I can from these guys.
context: Speaking of which, why can Ymir turn into a Titan?\I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys. response:	And then I'll make my escape.
context: I don't think she's like me, who knew nothing about it.\Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape. response:	To do that, I need...
context: Is she on our side?\I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need... response:	Information Available for Public Disclosure
context: I don't even know what her goal is yet.\She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure response:	Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.
context: She's hard enough to understand as it is.\I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time. response:	Titan spotted at three'o clock! Fire the smoke!
