context: It's been a long time. response:	Londark!
context: Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility? response:	That was his message.
context: Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility?\That was his message. response:	Londark...
context: You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility?\That was his message.\Londark... response:	Are you trying to spread war and chaos throughout the world?
context: I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility?\That was his message.\Londark...\Are you trying to spread war and chaos throughout the world? response:	Not at all.
context: We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility?\That was his message.\Londark...\Are you trying to spread war and chaos throughout the world?\Not at all. response:	The ones who might be thinking of doing that
context: That's what Shiroe was trying to say then.\How will each individual\who lives in this world confront that possibility?\That was his message.\Londark...\Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that response:	are the People of the Land who gave me this quest!
context: How will each individual\who lives in this world confront that possibility?\That was his message.\Londark...\Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest! response:	And you're helping them!
context: who lives in this world confront that possibility?\That was his message.\Londark...\Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them! response:	So,
context: That was his message.\Londark...\Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them!\So, response:	what of it?
context: Londark...\Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them!\So,\what of it? response:	Many People of the Land will be lost!
context: Are you trying to spread war and chaos throughout the world?\Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them!\So,\what of it?\Many People of the Land will be lost! response:	That's what they want.
context: Not at all.\The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them!\So,\what of it?\Many People of the Land will be lost!\That's what they want. response:	They fight because they want to.
context: The ones who might be thinking of doing that\are the People of the Land who gave me this quest!\And you're helping them!\So,\what of it?\Many People of the Land will be lost!\That's what they want.\They fight because they want to. response:	Frost
context: are the People of the Land who gave me this quest!\And you're helping them!\So,\what of it?\Many People of the Land will be lost!\That's what they want.\They fight because they want to.\Frost response:	We can stop it before it starts!
context: And you're helping them!\So,\what of it?\Many People of the Land will be lost!\That's what they want.\They fight because they want to.\Frost\We can stop it before it starts! response:	I've never heard about a quest like that!
context: So,\what of it?\Many People of the Land will be lost!\That's what they want.\They fight because they want to.\Frost\We can stop it before it starts!\I've never heard about a quest like that! response:	You can't do anything if it isn't a quest, Londark?
context: what of it?\Many People of the Land will be lost!\That's what they want.\They fight because they want to.\Frost\We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark? response:	Shut up, hypocrite.
context: Many People of the Land will be lost!\That's what they want.\They fight because they want to.\Frost\We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite. response:	I wasn't... I wasn't invited to this world.
context: That's what they want.\They fight because they want to.\Frost\We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world. response:	I wasn't invited to this world.
context: They fight because they want to.\Frost\We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world. response:	I'm useless.
context: Frost\We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless. response:	Did you pick from a dialogue box that said, Will you go to another world? Y/N?
context: We can stop it before it starts!\I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N? response:	I didn't!
context: I've never heard about a quest like that!\You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't! response:	I was forced to come here, and nobody asked me.
context: You can't do anything if it isn't a quest, Londark?\Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me. response:	You were invited, right?
context: Shut up, hypocrite.\I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me.\You were invited, right? response:	That's why you're so relaxed!
context: I wasn't... I wasn't invited to this world.\I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed! response:	No!
context: I wasn't invited to this world.\I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed!\No! response:	None of us were invited.
context: I'm useless.\Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed!\No!\None of us were invited. response:	This world tried to do something to me that I didn't want,
context: Did you pick from a dialogue box that said, Will you go to another world? Y/N?\I didn't!\I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed!\No!\None of us were invited.\This world tried to do something to me that I didn't want, response:	regardless of my feelings.
context: I didn't!\I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed!\No!\None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings. response:	So I'm going to do what I want to it.
context: I was forced to come here, and nobody asked me.\You were invited, right?\That's why you're so relaxed!\No!\None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it. response:	Am I wrong,
context: You were invited, right?\That's why you're so relaxed!\No!\None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong, response:	swashbuckler?
context: That's why you're so relaxed!\No!\None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong,\swashbuckler? response:	Nyanta/Swashbuckler, Lv. 92
context: No!\None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92 response:	What's wrong?
context: None of us were invited.\This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong? response:	Are we done already?
context: This world tried to do something to me that I didn't want,\regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already? response:	What Londark says is true.
context: regardless of my feelings.\So I'm going to do what I want to it.\Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already?\What Londark says is true. response:	He was brought here with no say-so, and he can't go back, even if he wants to.
context: So I'm going to do what I want to it.\Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to. response:	Adventurers are both victims and outsiders.
context: Am I wrong,\swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders. response:	It's natural for them to feel anger at this unreasonable world.
context: swashbuckler?\Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world. response:	Status: Combat
context: Nyanta/Swashbuckler, Lv. 92\What's wrong?\Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat response:	Stroganoff/Adventurer Lycopin/Adventurer
context: What's wrong?\Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer response:	Smash/Adventurer
context: Are we done already?\What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer response:	It's possible to eliminate Londark and the other adventurers
context: What Londark says is true.\He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers response:	with this problem by force.
context: He was brought here with no say-so, and he can't go back, even if he wants to.\Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force. response:	But...
context: Adventurers are both victims and outsiders.\It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force.\But... response:	But what will that solve?
context: It's natural for them to feel anger at this unreasonable world.\Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force.\But...\But what will that solve? response:	Turbulence!
context: Status: Combat\Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force.\But...\But what will that solve?\Turbulence! response:	Hey...
context: Stroganoff/Adventurer Lycopin/Adventurer\Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force.\But...\But what will that solve?\Turbulence!\Hey... response:	If there's anything else I can do, tell me.
context: Smash/Adventurer\It's possible to eliminate Londark and the other adventurers\with this problem by force.\But...\But what will that solve?\Turbulence!\Hey...\If there's anything else I can do, tell me. response:	Are you saying I should just let this world screw with me?!
context: It's possible to eliminate Londark and the other adventurers\with this problem by force.\But...\But what will that solve?\Turbulence!\Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?! response:	Londark... That's true for everyone.
context: with this problem by force.\But...\But what will that solve?\Turbulence!\Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone. response:	It's true for all children.
context: But...\But what will that solve?\Turbulence!\Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children. response:	People... At least, all children
context: But what will that solve?\Turbulence!\Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children.\People... At least, all children response:	are born into a world that seems unreasonable and crazy to them.
context: Turbulence!\Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them. response:	Shut up!
context: Hey...\If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up! response:	No one is asked at birth if they agree to come into the world.
context: If there's anything else I can do, tell me.\Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world. response:	Everyone is born that way.
context: Are you saying I should just let this world screw with me?!\Londark... That's true for everyone.\It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way. response:	Nyanta/Swashbuckler, Lv. 92
context: Londark... That's true for everyone.\It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92 response:	In this world... In our old world... In any world!
context: It's true for all children.\People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world! response:	Is that all you can do?
context: People... At least, all children\are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do? response:	You can lecture me, but in the end, you can't get rid of me.
context: are born into a world that seems unreasonable and crazy to them.\Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me. response:	There is no death here...
context: Shut up!\No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here... response:	So kill me if you can.
context: No one is asked at birth if they agree to come into the world.\Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can. response:	End me, please!
context: Everyone is born that way.\Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can.\End me, please! response:	Swash
context: Nyanta/Swashbuckler, Lv. 92\In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can.\End me, please!\Swash response:	Is this what you wanted, Londark?
context: In this world... In our old world... In any world!\Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can.\End me, please!\Swash\Is this what you wanted, Londark? response:	Isn't it wonderful being an adventurer?
context: Is that all you can do?\You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can.\End me, please!\Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer? response:	You can kill as much as you want, and die as much as you want.
context: You can lecture me, but in the end, you can't get rid of me.\There is no death here...\So kill me if you can.\End me, please!\Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want. response:	Why?
context: There is no death here...\So kill me if you can.\End me, please!\Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why? response:	Why did you kill him?
context: So kill me if you can.\End me, please!\Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him? response:	I just shut him up for a while.
context: End me, please!\Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him?\I just shut him up for a while. response:	Like he said, death isn't the end.
context: Swash\Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end. response:	It's like moving into the next room, right?
context: Is this what you wanted, Londark?\Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right? response:	To an adventurer, that's what death is.
context: Isn't it wonderful being an adventurer?\You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is. response:	No, it's not!
context: You can kill as much as you want, and die as much as you want.\Why?\Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not! response:	What makes you say that?
context: Why?\Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not!\What makes you say that? response:	Oh, excuse me.
context: Why did you kill him?\I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not!\What makes you say that?\Oh, excuse me. response:	I am General of the Punitive Expedition, Mizufa Trudy.
context: I just shut him up for a while.\Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not!\What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy. response:	Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden
context: Like he said, death isn't the end.\It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not!\What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden response:	I'm the one in charge on the ground.
context: It's like moving into the next room, right?\To an adventurer, that's what death is.\No, it's not!\What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground. response:	Are you the one who hired Londark?
context: To an adventurer, that's what death is.\No, it's not!\What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark? response:	Is that how the People of the Land do things?
context: No, it's not!\What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things? response:	You're still talking about that nonsense?
context: What makes you say that?\Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense? response:	People of the Land? Adventurers?
context: Oh, excuse me.\I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers? response:	It doesn't matter.
context: I am General of the Punitive Expedition, Mizufa Trudy.\Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter. response:	Everyone who is born into this world
context: Mizufa Trudy Race/ Human Warlord, Lv. 68 Plant Hwyaden\I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world response:	uses the cards they have to kill each other!
context: I'm the one in charge on the ground.\Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other! response:	The strong use their strength as their weapon.
context: Are you the one who hired Londark?\Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon. response:	The weak use their weakness as their weapon!
context: Is that how the People of the Land do things?\You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon! response:	She's strong!
context: You're still talking about that nonsense?\People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong! response:	She's so strong, it's hard to believe she's a Person of the Land!
context: People of the Land? Adventurers?\It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land! response:	You can't die, but you're going to talk to me about conquest and ruling?
context: It doesn't matter.\Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling? response:	Why do you want war?
context: Everyone who is born into this world\uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war? response:	I'm going to burn my life down
context: uses the cards they have to kill each other!\The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down response:	with the alcohol called war.
context: The strong use their strength as their weapon.\The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down\with the alcohol called war. response:	Dance, undead!
context: The weak use their weakness as their weapon!\She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down\with the alcohol called war.\Dance, undead! response:	Undead?
context: She's strong!\She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down\with the alcohol called war.\Dance, undead!\Undead? response:	It's the perfect name for you people who can't die, right?
context: She's so strong, it's hard to believe she's a Person of the Land!\You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down\with the alcohol called war.\Dance, undead!\Undead?\It's the perfect name for you people who can't die, right? response:	Shut up.
context: You can't die, but you're going to talk to me about conquest and ruling?\Why do you want war?\I'm going to burn my life down\with the alcohol called war.\Dance, undead!\Undead?\It's the perfect name for you people who can't die, right?\Shut up. response:	Viper's Rush!
context: Why do you want war?\I'm going to burn my life down\with the alcohol called war.\Dance, undead!\Undead?\It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush! response:	Amazing...
context: I'm going to burn my life down\with the alcohol called war.\Dance, undead!\Undead?\It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush!\Amazing... response:	Wonderful!
context: with the alcohol called war.\Dance, undead!\Undead?\It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush!\Amazing...\Wonderful! response:	Almost enough to make me fall in love with you.
context: Dance, undead!\Undead?\It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush!\Amazing...\Wonderful!\Almost enough to make me fall in love with you. response:	But your blade lacks the desire to kill!
context: Undead?\It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush!\Amazing...\Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill! response:	Is that what you're proud of?
