context: Episode 4 Umaru and Her Rival response:	Umaru-chan? What's the matter?
context: She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?! response:	Th-That's a tag hook!
context: She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?!\Th-That's a tag hook! response:	That's a cheat where you hook the plushie's tag!
context: If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag! response:	She just got three at once!
context: We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once! response:	Do you think she'll get one in a single try again?
context: What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again? response:	No. It'll be fine.
context: I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement\What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine. response:	Hatsune Migu
context: Complicated Placement\What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu response:	1 Angry Migu
context: What?!\Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu\1 Angry Migu response:	Those are in boxes, so you have to aim for that loop...
context: Th-That's a tag hook!\That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop... response:	Here
context: That's a cheat where you hook the plushie's tag!\She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here response:	But I lowered the arm's strength as much as possible,
context: She just got three at once!\Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible, response:	so it must be moved at least fifteen times for it to fall.
context: Do you think she'll get one in a single try again?\No. It'll be fine.\Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall. response:	I-I see...
context: No. It'll be fine.\Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see... response:	Wh-What?!
context: Hatsune Migu\1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?! response:	It's lifted up!
context: 1 Angry Migu\Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?!\It's lifted up! response:	Now she used the stab technique!
context: Those are in boxes, so you have to aim for that loop...\Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?!\It's lifted up!\Now she used the stab technique! response:	It's a high-level technique where you stab the arm's claw into the crevice of the box!
context: Here\But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?!\It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box! response:	Here
context: But I lowered the arm's strength as much as possible,\so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?!\It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here response:	Excuse me...
context: so it must be moved at least fifteen times for it to fall.\I-I see...\Wh-What?!\It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me... response:	I don't see the prize I want. Could you put it in for me?
context: I-I see...\Wh-What?!\It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me...\I don't see the prize I want. Could you put it in for me? response:	Sh-She's so cute.
context: Wh-What?!\It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute. response:	S-Sure. Please wait a moment.
context: It's lifted up!\Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment. response:	You understand, don't you?
context: Now she used the stab technique!\It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you? response:	No matter how pretty she is, we cannot let her get any more prizes on one try.
context: It's a high-level technique where you stab the arm's claw into the crevice of the box!\Here\Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try. response:	I know.
context: Here\Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know. response:	I'm a professional. I put it on the hell setting!
context: Excuse me...\I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting! response:	That's... the Niagara Drop!
context: I don't see the prize I want. Could you put it in for me?\Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop! response:	No!
context: Sh-She's so cute.\S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No! response:	By breaking the center of the the mountain of plushies,
context: S-Sure. Please wait a moment.\You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies, response:	they're all falling like Niagara Falls!
context: You understand, don't you?\No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls! response:	Stop explaining, and do something about it!
context: No matter how pretty she is, we cannot let her get any more prizes on one try.\I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it! response:	I'm sorry!
context: I know.\I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry! response:	So... You got some more, huh?
context: I'm a professional. I put it on the hell setting!\That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh? response:	I got a jolt when I passed by the arcade on the way home from school.
context: That's... the Niagara Drop!\No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school. response:	It must be a disaster for them every time you visit.
context: No!\By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit. response:	Also, you don't even need all of these.
context: By breaking the center of the the mountain of plushies,\they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these. response:	They're all different colors.
context: they're all falling like Niagara Falls!\Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors. response:	Well, I guess it's all right.
context: Stop explaining, and do something about it!\I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right. response:	You sure do love plushies, though.
context: I'm sorry!\So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though. response:	Umaru, it's already midnight. Time for bed.
context: So... You got some more, huh?\I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed. response:	Aw, but I wanna watch the late-night anime!
context: I got a jolt when I passed by the arcade on the way home from school.\It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime! response:	You're recording them anyway.
context: It must be a disaster for them every time you visit.\Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway. response:	Hey.
context: Also, you don't even need all of these.\They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey. response:	6 Types
context: They're all different colors.\Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey.\6 Types response:	1 Angry Migu
context: Well, I guess it's all right.\You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey.\6 Types\1 Angry Migu response:	2 Ultra Angry Migu
context: You sure do love plushies, though.\Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey.\6 Types\1 Angry Migu\2 Ultra Angry Migu response:	3 Ultra Angry Grr Argh Migu
context: Umaru, it's already midnight. Time for bed.\Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey.\6 Types\1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu response:	4 Migu on Fire
context: Aw, but I wanna watch the late-night anime!\You're recording them anyway.\Hey.\6 Types\1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire response:	5 Migu on Fire Infernooo
context: You're recording them anyway.\Hey.\6 Types\1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo response:	6 Ultra Angrystic Finaleality Migu Migu Dream
context: Hey.\6 Types\1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream response:	These illustrations are just samples. They may differ from the actual product.
context: 6 Types\1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product. response:	Umaru, time to go to school.
context: 1 Angry Migu\2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school. response:	Aw, but I wanna keep lazing around.
context: 2 Ultra Angry Migu\3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around. response:	Here. You have tennis for PE today, don't you?
context: 3 Ultra Angry Grr Argh Migu\4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you? response:	I don't wanna move.
context: 4 Migu on Fire\5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move. response:	Umaru-chan, you look great in your tennis outfit, too.
context: 5 Migu on Fire Infernooo\6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too. response:	That's not true.
context: 6 Ultra Angrystic Finaleality Migu Migu Dream\These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true. response:	Tired. Wanna go home. Wanna play online games.
context: These illustrations are just samples. They may differ from the actual product.\Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games. response:	I only know about tennis through anime and manga.
context: Umaru, time to go to school.\Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga. response:	**zuka Zone
context: Aw, but I wanna keep lazing around.\Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone response:	Umaru Zone
context: Here. You have tennis for PE today, don't you?\I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone response:	Let's start by getting used to the ball.
context: I don't wanna move.\Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone\Let's start by getting used to the ball. response:	This is easy. It might actually be fun.
context: Umaru-chan, you look great in your tennis outfit, too.\That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun. response:	Umaru-san!
context: That's not true.\Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san! response:	Shubaphyyn
context: Tired. Wanna go home. Wanna play online games.\I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn response:	T-Tachibana-san?
context: I only know about tennis through anime and manga.\**zuka Zone\Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn\T-Tachibana-san? response:	I'd like to challenge you to a match.
context: **zuka Zone\Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match. response:	I will not lose to you in tennis!
context: Umaru Zone\Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis! response:	Uh, but...
context: Let's start by getting used to the ball.\This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but... response:	There aren't very many courts...
context: This is easy. It might actually be fun.\Umaru-san!\Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but...\There aren't very many courts... response:	Not to worry! I have reserved a court.
context: Umaru-san!\Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court. response:	What's going on?
context: Shubaphyyn\T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court.\What's going on? response:	Umaru-chan's going to have a match.
context: T-Tachibana-san?\I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match. response:	Wh-Why is this happening?
context: I'd like to challenge you to a match.\I will not lose to you in tennis!\Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening? response:	Kirie Umaru
context: I will not lose to you in tennis!\Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru response:	Um, I can't play tennis at all.
context: Uh, but...\There aren't very many courts...\Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all. response:	You think it'll be okay?
context: There aren't very many courts...\Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay? response:	Shuba
context: Not to worry! I have reserved a court.\What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay?\Shuba response:	Not to worry.
context: What's going on?\Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay?\Shuba\Not to worry. response:	I shall be in charge of all serves and smashes.
context: Umaru-chan's going to have a match.\Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay?\Shuba\Not to worry.\I shall be in charge of all serves and smashes. response:	Huh?
context: Wh-Why is this happening?\Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay?\Shuba\Not to worry.\I shall be in charge of all serves and smashes.\Huh? response:	Sy lp hy n Ebina
context: Kirie Umaru\Um, I can't play tennis at all.\You think it'll be okay?\Shuba\Not to worry.\I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina response:	Game start!
context: Um, I can't play tennis at all.\You think it'll be okay?\Shuba\Not to worry.\I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina\Game start! response:	Th-There seems to be quite the audience...
context: You think it'll be okay?\Shuba\Not to worry.\I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience... response:	But we can just have a light match, right?
context: Shuba\Not to worry.\I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right? response:	Umaru-san! Today is the day that I shall become number one!
context: Not to worry.\I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one! response:	Here I go!
context: I shall be in charge of all serves and smashes.\Huh?\Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go! response:	Canzone Sylphyn Smash!
context: Huh?\Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash! response:	Huh?
context: Sy lp hy n Ebina\Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash!\Huh? response:	Wow, what an amazing serve!
context: Game start!\Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve! response:	They're going all-out!
context: Th-There seems to be quite the audience...\But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve!\They're going all-out! response:	She actually used an attack with her name in it.
context: But we can just have a light match, right?\Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it. response:	This isn't light at all.
context: Umaru-san! Today is the day that I shall become number one!\Here I go!\Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it.\This isn't light at all. response:	That's just how it goes.
context: Here I go!\Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes. response:	Kirie-chan's actually pretty good at sports
context: Canzone Sylphyn Smash!\Huh?\Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports response:	Wh-What is the meaning of this?
context: Huh?\Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this? response:	Service, Sylphyn and Ebina team.
context: Wow, what an amazing serve!\They're going all-out!\She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team. response:	I-I just have to throw the ball up and hit it, right?
context: They're going all-out!\She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right? response:	There!
context: She actually used an attack with her name in it.\This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There! response:	Ebihara-san! Why did you close your eyes?
context: This isn't light at all.\That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes? response:	I'm sorry! Also, it's Ebina.
