context: I have to get some proper rest. response:	Don't disturb me again.
context: forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice. response:	Instead, why don't we let young men that are her age propose to her?
context: Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her? response:	Am I right, High God Bai Yi?
context: Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi? response:	That does make sense.
context: Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense. response:	Without further ado, let's start from the West Sea.
context: Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea. response:	What are we starting with?
context: there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with? response:	Start collecting visiting cards.
context: Between me and my brother, one isn't romantic and the other is still ill.\Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards. response:	I don't believe that
context: Neither of us is the best choice.\Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards.\I don't believe that response:	there isn't any outstanding young men of her age in all the realms?
context: Instead, why don't we let young men that are her age propose to her?\Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms? response:	Yes, indeed.
context: Am I right, High God Bai Yi?\That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed. response:	Have a good chat, gentlemen.
context: That does make sense.\Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen. response:	I'm really sleepy.
context: Without further ado, let's start from the West Sea.\What are we starting with?\Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy. response:	I have to sleep now.
context: What are we starting with?\Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now. response:	I won't be able to keep you company.
context: Start collecting visiting cards.\I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now.\I won't be able to keep you company. response:	High God, let's discuss this outside.
context: I don't believe that\there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside. response:	- This way, please. - Sure.
context: there isn't any outstanding young men of her age in all the realms?\Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure. response:	Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.
context: Yes, indeed.\Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father. response:	You just have to make do with whichever young man
context: Have a good chat, gentlemen.\I'm really sleepy.\I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man response:	that might be to your liking...
context: I'm really sleepy.\I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking... response:	Your Majesty, the weather is so nice today.
context: I have to sleep now.\I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today. response:	Why don't I take you to the Imperial Garden for a stroll?
context: I won't be able to keep you company.\High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll? response:	Has Your Lordship heard about the news?
context: High God, let's discuss this outside.\- This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news? response:	Qing Qiu has announced that
context: - This way, please. - Sure.\Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that response:	Little Princess Bai Feng Jiu has come of age
context: Xiao Jiu, no one in Qing Qiu's Bai Family would dare offend your father.\You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age response:	and they are now seeking marriage proposals from all realms.
context: You just have to make do with whichever young man\that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms. response:	High God Bai Yi is in such a rush to marry Little Princess off.
context: that might be to your liking...\Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off. response:	He is already accepting visiting cards from West Sea
context: Your Majesty, the weather is so nice today.\Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea response:	before she makes it back to Qing Qiu.
context: Why don't I take you to the Imperial Garden for a stroll?\Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu. response:	What are you trying to say?
context: Has Your Lordship heard about the news?\Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say? response:	It's just a casual chat.
context: Qing Qiu has announced that\Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat. response:	After all, Little Princess was once a friend to Your Lordship.
context: Little Princess Bai Feng Jiu has come of age\and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship. response:	Send this to the West Sea.
context: and they are now seeking marriage proposals from all realms.\High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea. response:	The West Sea?
context: High God Bai Yi is in such a rush to marry Little Princess off.\He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea? response:	When did Your Lordship become friends with Water King of West Sea?
context: He is already accepting visiting cards from West Sea\before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea? response:	Didn't you say that Bai Feng Jiu is in West Sea?
context: before she makes it back to Qing Qiu.\What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea? response:	Your Lordship means to hand this to Little Princess?
context: What are you trying to say?\It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess? response:	Exactly.
context: It's just a casual chat.\After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly. response:	May I ask what is in here?
context: After all, Little Princess was once a friend to Your Lordship.\Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here? response:	Then I'd know what to say when I hand it to her.
context: Send this to the West Sea.\The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her. response:	You can take a look.
context: The West Sea?\When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look. response:	- Just these? - Just those.
context: When did Your Lordship become friends with Water King of West Sea?\Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those. response:	Is there any message you would like me to pass on to Little Princess?
context: Didn't you say that Bai Feng Jiu is in West Sea?\Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess? response:	Just tell her that...
context: Your Lordship means to hand this to Little Princess?\Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that... response:	She saved me once in the Mortal Realm.
context: Exactly.\May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm. response:	Our debts are now cleared.
context: May I ask what is in here?\Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared. response:	I have no use of those things anymore.
context: Then I'd know what to say when I hand it to her.\You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore. response:	Give them back to her as a keepsake of our encounter.
context: You can take a look.\- Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter. response:	That's all?
context: - Just these? - Just those.\Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all? response:	What else do you think there is to it?
context: Is there any message you would like me to pass on to Little Princess?\Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it? response:	I wouldn't dare speculate what you have on your mind.
context: Just tell her that...\She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind. response:	I'll get it done now.
context: She saved me once in the Mortal Realm.\Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now. response:	Auntie, why would my father still come after me
context: Our debts are now cleared.\I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me response:	after I hid out here in West Sea?
context: I have no use of those things anymore.\Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea? response:	You'd better succumb to fate.
context: Give them back to her as a keepsake of our encounter.\That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate. response:	It's better to accept proposal gifts from talented young men
context: That's all?\What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men response:	of all realms here in this beautiful garden
context: What else do you think there is to it?\I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden response:	than to marry my senior?
context: I wouldn't dare speculate what you have on your mind.\I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior? response:	That's true.
context: I'll get it done now.\Auntie, why would my father still come after me\after I hid out here in West Sea?\You'd better succumb to fate.\It's better to accept proposal gifts from talented young men\of all realms here in this beautiful garden\than to marry my senior?\That's true. response:	Auntie. Little Princess...
