context: Mocademy Visual Effects Awards... response:	Shinobu Morita!
context: mou ikanakucha\To our own separate ways\W-W-What is that man doing?\He's on T-TV!\And the Mocademy Awards?!\Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG? response:	He's blonde!
context: To our own separate ways\W-W-What is that man doing?\He's on T-TV!\And the Mocademy Awards?!\Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde! response:	No way!
context: W-W-What is that man doing?\He's on T-TV!\And the Mocademy Awards?!\Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde!\No way! response:	I don't know! What's going on? What's the meaning of this?
context: He's on T-TV!\And the Mocademy Awards?!\Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde!\No way!\I don't know! What's going on? What's the meaning of this? response:	What? What's going on?
context: And the Mocademy Awards?!\Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde!\No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on? response:	What is it?
context: Hollywood!\Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde!\No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it? response:	I can't believe it. We haven't seen him in a year!
context: Visual Effects Award? What?\So that means that Morita-san did the CG?\He's blonde!\No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year! response:	Please be quiet! You're causing trouble for the other patients!
context: So that means that Morita-san did the CG?\He's blonde!\No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients! response:	And we finally see him again - on TV! And it's the Mocademy Awards!
context: He's blonde!\No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards! response:	O-Oh, I'm sorry. Everyone, quiet down!
context: No way!\I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down! response:	He's blonde...
context: I don't know! What's going on? What's the meaning of this?\What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde... response:	Mocademy Visual Effects Award!
context: What? What's going on?\What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award! response:	E-Everyone, be quiet, his speech is starting!
context: What is it?\I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting! response:	Um, wow, what should I talk about?
context: I can't believe it. We haven't seen him in a year!\Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about? response:	I got put up to this at such short notice, and I'm not good with speeches...
context: Please be quiet! You're causing trouble for the other patients!\And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches... response:	Then, since I'm bad at this, I'll say simply.
context: And we finally see him again - on TV! And it's the Mocademy Awards!\O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply. response:	First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...
context: O-Oh, I'm sorry. Everyone, quiet down!\He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action... response:	To background effects and the motion capture models, saying to me, I'll leave everything to your talents.
context: He's blonde...\Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents. response:	And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...
context: Mocademy Visual Effects Award!\E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving... response:	And in the end, saying, We're not going to make it in time for the premiere,
context: E-Everyone, be quiet, his speech is starting!\Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere, response:	Eventually telling me so amiably, Actually, we need them by tomorrow...
context: Um, wow, what should I talk about?\I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow... response:	And what the hell is As feeling! supposed to mean?
context: I got put up to this at such short notice, and I'm not good with speeches...\Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean? response:	When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,
context: Then, since I'm bad at this, I'll say simply.\First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets, response:	I mean, this was the screenplay. What I wanted was the model sheets!
context: First, a message to the man who, in the middle of everything, dumped it all on me, from the character designs and CG action...\To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets! response:	On top of that, the latter part of it was blank...
context: To background effects and the motion capture models, saying to me, I'll leave everything to your talents.\And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank... response:	Hey, Shinobu, what do you think will happen for the ending?
context: And when poor little me tried to go back to Japan saying, This wasn't in my contract, so I'm leaving...\And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending? response:	So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!
context: And in the end, saying, We're not going to make it in time for the premiere,\Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it! response:	I mean, if he's going that far, isn't it like half the screenplay was done by me?
context: Eventually telling me so amiably, Actually, we need them by tomorrow...\And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me? response:	This isn't simple at all!
context: And what the hell is As feeling! supposed to mean?\When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all! response:	I want to say, Fork over my half of your damned box office revenue!
context: When I bitterly (yet honestly) complained that, I can't draw anything without model sheets,\I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue! response:	Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.
context: I mean, this was the screenplay. What I wanted was the model sheets!\On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today. response:	To the director, Peter Lucas...
context: On top of that, the latter part of it was blank...\Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas... response:	Hey!
context: Hey, Shinobu, what do you think will happen for the ending?\So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey! response:	M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?
context: So I was like, Whatever, and answered, I'm sleepy, and he goes ahead and uses it!\I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go? response:	Let go of me! I still have other things I need to say to him!
context: I mean, if he's going that far, isn't it like half the screenplay was done by me?\This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him! response:	I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!
context: This isn't simple at all!\I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place! response:	Next time I see you will be in court!
context: I want to say, Fork over my half of your damned box office revenue!\Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court! response:	I'll pry away at least five times the attorney fee from you!
context: Not only that, but the man then hurried off on a vacation, saying I'll leave the rest to you, and is actually absent today.\To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you! response:	I'll be back!
context: To the director, Peter Lucas...\Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back! response:	I've never seen anyone I know on TV before!
context: Hey!\M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before! response:	Takemoto-san, please be quiet in the hospital room!
context: M-Morita-san... why do you always do whatever you feel like doing, no matter where you go?\Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room! response:	Amazing! I mean, would you normally act that way?
context: Let go of me! I still have other things I need to say to him!\I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way? response:	I'm sorry, I'm sorry, ah...
context: I will dedicate every last bit of my 400 million fee to hiring a lawyer and I will come back to this place!\Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah... response:	He's blonde!
context: Next time I see you will be in court!\I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde! response:	I mean, he was never normal to begin with, but...!
context: I'll pry away at least five times the attorney fee from you!\I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...! response:	He's coming back.
context: I'll be back!\I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back. response:	Morita-san is...
context: I've never seen anyone I know on TV before!\Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is... response:	America?
context: Takemoto-san, please be quiet in the hospital room!\Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is...\America? response:	When is he coming back?
context: Amazing! I mean, would you normally act that way?\I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is...\America?\When is he coming back? response:	Who knows? Maybe in half a year?
context: I'm sorry, I'm sorry, ah...\He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is...\America?\When is he coming back?\Who knows? Maybe in half a year? response:	Half a year?
context: He's blonde!\I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is...\America?\When is he coming back?\Who knows? Maybe in half a year?\Half a year? response:	Do you want him to come back?
context: I mean, he was never normal to begin with, but...!\He's coming back.\Morita-san is...\America?\When is he coming back?\Who knows? Maybe in half a year?\Half a year?\Do you want him to come back? response:	Or do you not?
context: He's coming back.\Morita-san is...\America?\When is he coming back?\Who knows? Maybe in half a year?\Half a year?\Do you want him to come back?\Or do you not? response:	I don't want him to come back.
context: Morita-san is...\America?\When is he coming back?\Who knows? Maybe in half a year?\Half a year?\Do you want him to come back?\Or do you not?\I don't want him to come back. response:	I think it's good to keep trying until you've tried everything you've wanted to do.
context: America?\When is he coming back?\Who knows? Maybe in half a year?\Half a year?\Do you want him to come back?\Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do. response:	I wonder what she will do once Morita-san comes back...
context: When is he coming back?\Who knows? Maybe in half a year?\Half a year?\Do you want him to come back?\Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back... response:	And for me...
context: Who knows? Maybe in half a year?\Half a year?\Do you want him to come back?\Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me... response:	Nurse...
context: Half a year?\Do you want him to come back?\Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me...\Nurse... response:	W-Water...
context: Do you want him to come back?\Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me...\Nurse...\W-Water... response:	H-Huh?
context: Or do you not?\I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me...\Nurse...\W-Water...\H-Huh? response:	Did I make it to heaven before I knew it?
context: I don't want him to come back.\I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me...\Nurse...\W-Water...\H-Huh?\Did I make it to heaven before I knew it? response:	The familiar faces of my classmates are all there like a kaleidoscope...
context: I think it's good to keep trying until you've tried everything you've wanted to do.\I wonder what she will do once Morita-san comes back...\And for me...\Nurse...\W-Water...\H-Huh?\Did I make it to heaven before I knew it?\The familiar faces of my classmates are all there like a kaleidoscope... response:	M-M-M-M-Morita-san?!
context: I wonder what she will do once Morita-san comes back...\And for me...\Nurse...\W-Water...\H-Huh?\Did I make it to heaven before I knew it?\The familiar faces of my classmates are all there like a kaleidoscope...\M-M-M-M-Morita-san?! response:	Mayama!
context: And for me...\Nurse...\W-Water...\H-Huh?\Did I make it to heaven before I knew it?\The familiar faces of my classmates are all there like a kaleidoscope...\M-M-M-M-Morita-san?!\Mayama! response:	It seems he has a light concussion.
context: Nurse...\W-Water...\H-Huh?\Did I make it to heaven before I knew it?\The familiar faces of my classmates are all there like a kaleidoscope...\M-M-M-M-Morita-san?!\Mayama!\It seems he has a light concussion. response:	Please head over to outpatient care.
