context: Father! response:	Where were you? Why didn't you bring Jia Yun with you?
context: Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing. response:	You saved A-Li's life today. I must return this kindness.
context: Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness. response:	Do you have a wish, Princess?
context: It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess? response:	I have always admired your fighting prowess.
context: My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess. response:	It is my great fortune to have met you today.
context: Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today. response:	I'd only wish to stay by Your Highness's side.
context: No need to stand on ceremony.\My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side. response:	Stay by my side?
context: My older brother is the Water King of Eastern Sea.\So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side? response:	You want to marry my father?
context: So you are Princess Miao Qing.\You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father? response:	No, no. Don't misunderstand, young prince.
context: You saved A-Li's life today. I must return this kindness.\Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince. response:	I know I am merely a princess of Eastern Sea.
context: Do you have a wish, Princess?\I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea. response:	I cannot enter Xiwu Palace.
context: I have always admired your fighting prowess.\It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace. response:	I only want to stay at this hut
context: It is my great fortune to have met you today.\I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut response:	and when Your Highness brings the young prince to visit
context: I'd only wish to stay by Your Highness's side.\Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit response:	I could wash your clothes and cook for you.
context: Stay by my side?\You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you. response:	Princess Miao Qing.
context: You want to marry my father?\No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing. response:	With your status, it is inappropriate for you to do such things.
context: No, no. Don't misunderstand, young prince.\I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things. response:	Moreover, I am the one who is supposed to fulfill a wish of yours.
context: I know I am merely a princess of Eastern Sea.\I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours. response:	It is unreasonable to make you serve us.
context: I cannot enter Xiwu Palace.\I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us. response:	This is a wish of mine. I hope Your Highness can grant me this wish.
context: I only want to stay at this hut\and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish. response:	Father.
context: and when Your Highness brings the young prince to visit\I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father. response:	Do you truly have such a wish?
context: I could wash your clothes and cook for you.\Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish? response:	Then we'll make it a period of ten days.
context: Princess Miao Qing.\With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish?\Then we'll make it a period of ten days. response:	Once the ten days are over, you will leave.
context: With your status, it is inappropriate for you to do such things.\Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave. response:	Your Highness.
context: Moreover, I am the one who is supposed to fulfill a wish of yours.\It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness. response:	What is it?
context: It is unreasonable to make you serve us.\This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness.\What is it? response:	I will obey your command.
context: This is a wish of mine. I hope Your Highness can grant me this wish.\Father.\Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness.\What is it?\I will obey your command. response:	Father, I don't like that sister. Don't let her stay.
context: Father.\Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness.\What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay. response:	She's clearly... clearly trying to take Mother's position.
context: Do you truly have such a wish?\Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness.\What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position. response:	Enough.
context: Then we'll make it a period of ten days.\Once the ten days are over, you will leave.\Your Highness.\What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough. response:	Princess Miao Qing saved your life.
context: Once the ten days are over, you will leave.\Your Highness.\What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life. response:	I promised I would fulfill her wish. I will not break my word.
context: Your Highness.\What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word. response:	Father, you said Mother would be back soon!
context: What is it?\I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon! response:	If you do this, Mother will be mad when she gets back!
context: I will obey your command.\Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back! response:	Enough.
context: Father, I don't like that sister. Don't let her stay.\She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough. response:	A-Li.
context: She's clearly... clearly trying to take Mother's position.\Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough.\A-Li. response:	Your mother will not be coming back.
context: Enough.\Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough.\A-Li.\Your mother will not be coming back. response:	Why?
context: Princess Miao Qing saved your life.\I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough.\A-Li.\Your mother will not be coming back.\Why? response:	Didn't you say as long as the Soul-gathering Lamp is kept lit
context: I promised I would fulfill her wish. I will not break my word.\Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough.\A-Li.\Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit response:	Mother will return?
context: Father, you said Mother would be back soon!\If you do this, Mother will be mad when she gets back!\Enough.\A-Li.\Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return? response:	The Soul-gathering Lamp has been extinguished.
context: If you do this, Mother will be mad when she gets back!\Enough.\A-Li.\Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished. response:	She will not be coming back.
context: Enough.\A-Li.\Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back. response:	Why would it be extinguished? Did Tian Shu not look after it?
context: A-Li.\Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it? response:	That's enough! Step out.
context: Your mother will not be coming back.\Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out. response:	Father!
context: Why?\Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father! response:	Step out!
context: Didn't you say as long as the Soul-gathering Lamp is kept lit\Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father!\Step out! response:	My lord, please calm down. His Highness is just eager to meet Her Highness.
context: Mother will return?\The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness. response:	You two catch up to him quickly. Just let him cry alone for a bit.
context: The Soul-gathering Lamp has been extinguished.\She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit. response:	- Yes. - Yes.
context: She will not be coming back.\Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes. response:	Your Highness?
context: Why would it be extinguished? Did Tian Shu not look after it?\That's enough! Step out.\Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness? response:	- Your Highness! - Your Highness!
context: That's enough! Step out.\Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness! response:	- Slow down! - What's wrong with His Highness?
context: Father!\Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness? response:	He had an argument with the Crown Prince. It is best if you don't go inside.
context: Step out!\My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside. response:	My lord is furious right now, and won't wish to be disturbed.
context: My lord, please calm down. His Highness is just eager to meet Her Highness.\You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed. response:	Your Highness!
context: You two catch up to him quickly. Just let him cry alone for a bit.\- Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness! response:	Dragonfly, Father must be lying to me, isn't he?
context: - Yes. - Yes.\Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he? response:	I have waited for Mother for 300 years. Mother will surely come back, right?
context: Your Highness?\- Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right? response:	What is going on?
context: - Your Highness! - Your Highness!\- Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on? response:	Why did His Highness say the Soul-gathering Lamp has been put out?
context: - Slow down! - What's wrong with His Highness?\He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out? response:	It is because that Bai Feng Jiu of Qing Qiu was too mischievous.
context: He had an argument with the Crown Prince. It is best if you don't go inside.\My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous. response:	She transformed into Consort Su Jin
context: My lord is furious right now, and won't wish to be disturbed.\Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin response:	and stole the lamp, putting out the light.
context: Your Highness!\Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light. response:	Think about it. She is a princess of Qing Qiu.
context: Dragonfly, Father must be lying to me, isn't he?\I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu. response:	She is Bai Qian's niece, and is friends with Dong Hua Dijun.
context: I have waited for Mother for 300 years. Mother will surely come back, right?\What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun. response:	Thus, His Highness couldn't do anything about her
context: What is going on?\Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her response:	and could only let the matter rest.
context: Why did His Highness say the Soul-gathering Lamp has been put out?\It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest. response:	His Highness and the young prince have been waiting for 300 years.
context: It is because that Bai Feng Jiu of Qing Qiu was too mischievous.\She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years. response:	So what of it?
context: She transformed into Consort Su Jin\and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it? response:	Honestly, the lamp would only create a person who looks similar.
context: and stole the lamp, putting out the light.\Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar. response:	It wouldn't really be her.
context: Think about it. She is a princess of Qing Qiu.\She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her. response:	It being extinguished is it's own blessing.
context: She is Bai Qian's niece, and is friends with Dong Hua Dijun.\Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing. response:	- Aunt. - It's been returned?
context: Thus, His Highness couldn't do anything about her\and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned? response:	I've returned it.
context: and could only let the matter rest.\His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it. response:	Did the Celestial Tribe condemn you?
context: His Highness and the young prince have been waiting for 300 years.\So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you? response:	Third Prince plead for leniency on my behalf.
context: So what of it?\Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf. response:	That's good. Your time spent in Heaven wasn't for nothing.
context: Honestly, the lamp would only create a person who looks similar.\It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing. response:	I'll be going to the Eastern Sea in a few days.
context: It wouldn't really be her.\It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days. response:	On my way back, I'll be stopping by Fourth Brother's manor.
context: It being extinguished is it's own blessing.\- Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor. response:	Stay here in Qing Qiu. Don't cause anymore trouble.
context: - Aunt. - It's been returned?\I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble. response:	What are you going to the Eastern Sea for?
context: I've returned it.\Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble.\What are you going to the Eastern Sea for? response:	The Water King of the Eastern Sea has born a son.
context: Did the Celestial Tribe condemn you?\Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble.\What are you going to the Eastern Sea for?\The Water King of the Eastern Sea has born a son. response:	I just received an invitation to the banquet.
context: Third Prince plead for leniency on my behalf.\That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble.\What are you going to the Eastern Sea for?\The Water King of the Eastern Sea has born a son.\I just received an invitation to the banquet. response:	But you have never liked these sorts of social occasions and banquets.
context: That's good. Your time spent in Heaven wasn't for nothing.\I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble.\What are you going to the Eastern Sea for?\The Water King of the Eastern Sea has born a son.\I just received an invitation to the banquet.\But you have never liked these sorts of social occasions and banquets. response:	Why is Water King of the Eastern Sea so lucky
context: I'll be going to the Eastern Sea in a few days.\On my way back, I'll be stopping by Fourth Brother's manor.\Stay here in Qing Qiu. Don't cause anymore trouble.\What are you going to the Eastern Sea for?\The Water King of the Eastern Sea has born a son.\I just received an invitation to the banquet.\But you have never liked these sorts of social occasions and banquets.\Why is Water King of the Eastern Sea so lucky response:	to be graced by your attendance?
