context: What are you guys going to do!? response:	Are you going to go back to your own planet now!?
context: Yeah, he seems to be under the mistaken impression\that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father... response:	The Ginyu Special Corps' Red Magma...
context: that he defeated ReaCoom by force.\It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma... response:	Jheese!
context: It was just a strange coincidence,\overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma...\Jheese! response:	And the Blue Hurricane...
context: overlapping with ReaCoom letting his guard down. Right?\Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane... response:	Butta!
context: Yeah, of course it was just by chance.\His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane...\Butta! response:	So you ain't leaving, then?
context: His battle power rating barely changed at all.\W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane...\Butta!\So you ain't leaving, then? response:	Kakarrot has them beat.
context: W- what's going on with Goku being so self-possessed?\F- Father...\The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane...\Butta!\So you ain't leaving, then?\Kakarrot has them beat. response:	Here we go!
context: F- Father...\The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane...\Butta!\So you ain't leaving, then?\Kakarrot has them beat.\Here we go! response:	Yeah!
context: The Ginyu Special Corps' Red Magma...\Jheese!\And the Blue Hurricane...\Butta!\So you ain't leaving, then?\Kakarrot has them beat.\Here we go!\Yeah! response:	This is getting boring!
context: Jheese!\And the Blue Hurricane...\Butta!\So you ain't leaving, then?\Kakarrot has them beat.\Here we go!\Yeah!\This is getting boring! response:	He's not playing with us at all, is he?
context: And the Blue Hurricane...\Butta!\So you ain't leaving, then?\Kakarrot has them beat.\Here we go!\Yeah!\This is getting boring!\He's not playing with us at all, is he? response:	Are you sure he's not just too scared to move?
context: Butta!\So you ain't leaving, then?\Kakarrot has them beat.\Here we go!\Yeah!\This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move? response:	Well, well, it turns out he's just a big idiot, full of hot air!
context: So you ain't leaving, then?\Kakarrot has them beat.\Here we go!\Yeah!\This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air! response:	I- it must be that their speed is so great that Goku can't move.
context: Kakarrot has them beat.\Here we go!\Yeah!\This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move. response:	Hey, Jheese!
context: Here we go!\Yeah!\This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese! response:	You're playing around too much!
context: Yeah!\This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much! response:	What about you? You could stand to take a shot at him yourself!
context: This is getting boring!\He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself! response:	Gohan, get out of the way!
context: He's not playing with us at all, is he?\Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way! response:	I- it can't be!
context: Are you sure he's not just too scared to move?\Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be! response:	He's a sassy bastard! We're the Ginyu Special Corps!
context: Well, well, it turns out he's just a big idiot, full of hot air!\I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps! response:	You can't go on mocking us forever-
context: I- it must be that their speed is so great that Goku can't move.\Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever- response:	W- why, you!
context: Hey, Jheese!\You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you! response:	Whatever you say,
context: You're playing around too much!\What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you!\Whatever you say, response:	but are you sure you guys ain't leaving yourselves open too much?
context: What about you? You could stand to take a shot at him yourself!\Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much? response:	What did you say!?
context: Gohan, get out of the way!\I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!? response:	W-
context: I- it can't be!\He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W- response:	Why, you!
context: He's a sassy bastard! We're the Ginyu Special Corps!\You can't go on mocking us forever-\W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W-\Why, you! response:	W- what was that!?
context: You can't go on mocking us forever-\W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W-\Why, you!\W- what was that!? response:	What the hell did you just do!?
context: W- why, you!\Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W-\Why, you!\W- what was that!?\What the hell did you just do!? response:	A kiai shout... He sent them flying with just a kiai shout.
context: Whatever you say,\but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W-\Why, you!\W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout. response:	I have finally gotten all seven Dragon Balls together.
context: but are you sure you guys ain't leaving yourselves open too much?\What did you say!?\W-\Why, you!\W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together. response:	Now I will be able to obtain eternal life.
context: What did you say!?\W-\Why, you!\W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life. response:	How silly of me.
context: W-\Why, you!\W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me. response:	Who would have thought that I would need a passcode to have my wish granted?
context: Why, you!\W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted? response:	Be that as it may, we will see whether or not the surviving Namekians...
context: W- what was that!?\What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians... response:	Grand Elder- sama...
context: What the hell did you just do!?\A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama... response:	Wrong!
context: A kiai shout... He sent them flying with just a kiai shout.\I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong! response:	How many times do I have to tell you!? Huh!?
context: I have finally gotten all seven Dragon Balls together.\Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!? response:	Your right leg goes like this!
context: Now I will be able to obtain eternal life.\How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this! response:	Remember, I'm thinking up an ultra fighting pose
context: How silly of me.\Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose response:	that's far cooler than anything else up until now.
context: Who would have thought that I would need a passcode to have my wish granted?\Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now. response:	Freeza- sama will be seeing this, so be dependable practice dummies.
context: Be that as it may, we will see whether or not the surviving Namekians...\Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies. response:	I know! If you can pull this off well, I'll give you this.
context: Grand Elder- sama...\Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this. response:	I'm so nice, aren't I?
context: Wrong!\How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I? response:	All right, let's go!
context: How many times do I have to tell you!? Huh!?\Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go! response:	R- ReaCoom!
context: Your right leg goes like this!\Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go!\R- ReaCoom! response:	B- Butta!
context: Remember, I'm thinking up an ultra fighting pose\that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go!\R- ReaCoom!\B- Butta! response:	J- Jheese!
context: that's far cooler than anything else up until now.\Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go!\R- ReaCoom!\B- Butta!\J- Jheese! response:	G- Ghurd!
context: Freeza- sama will be seeing this, so be dependable practice dummies.\I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go!\R- ReaCoom!\B- Butta!\J- Jheese!\G- Ghurd! response:	Ginyu!
context: I know! If you can pull this off well, I'll give you this.\I'm so nice, aren't I?\All right, let's go!\R- ReaCoom!\B- Butta!\J- Jheese!\G- Ghurd!\Ginyu! response:	Together we are the Ginyu Special Corps!
context: I'm so nice, aren't I?\All right, let's go!\R- ReaCoom!\B- Butta!\J- Jheese!\G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps! response:	Smack
context: All right, let's go!\R- ReaCoom!\B- Butta!\J- Jheese!\G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps!\Smack response:	Don't touch the Dragon Balls!
context: R- ReaCoom!\B- Butta!\J- Jheese!\G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls! response:	Those are the precious Dragon Balls that Freeza- sama has entrusted to me.
context: B- Butta!\J- Jheese!\G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me. response:	Why did you touch them!?
context: J- Jheese!\G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!? response:	W- well... I, uh...
context: G- Ghurd!\Ginyu!\Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh... response:	Why!?
context: Ginyu!\Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh...\Why!? response:	I see.
context: Together we are the Ginyu Special Corps!\Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh...\Why!?\I see. response:	If you want to touch them so badly, then maybe I'll let you.
context: Smack\Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh...\Why!?\I see.\If you want to touch them so badly, then maybe I'll let you. response:	Go on, try to touch them.
context: Don't touch the Dragon Balls!\Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh...\Why!?\I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them. response:	If you are able to touch them, even a little bit,
context: Those are the precious Dragon Balls that Freeza- sama has entrusted to me.\Why did you touch them!?\W- well... I, uh...\Why!?\I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit, response:	I will give you all two caramels each.
context: Why did you touch them!?\W- well... I, uh...\Why!?\I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each. response:	Come on, come on, what's the matter with you!?
context: W- well... I, uh...\Why!?\I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!? response:	You won't become stronger warriors like this,
context: Why!?\I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this, response:	no matter how long you work at it!
context: I see.\If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it! response:	K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?
context: If you want to touch them so badly, then maybe I'll let you.\Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought? response:	They can't lay a hand on Father.
context: Go on, try to touch them.\If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father. response:	T- that can't be right.
context: If you are able to touch them, even a little bit,\I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right. response:	They have about the same amount of Ki as ReaCoom,
context: I will give you all two caramels each.\Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom, response:	and not even Vegeta could do anything against him.
context: Come on, come on, what's the matter with you!?\You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him. response:	Maybe Goku is just so overly strong that those guys
context: You won't become stronger warriors like this,\no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys response:	don't look all that tough compared to him.
context: no matter how long you work at it!\K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him. response:	I'm not so sure. Father's Ki seems so much more smaller than theirs.
context: K- Kuririn- san, do you get the feeling those two aren't as strong as we thought?\They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs. response:	W- what's going on here!?
context: They can't lay a hand on Father.\T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!? response:	His battle power is only 5000, no question about it!
context: T- that can't be right.\They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it! response:	But my attacks aren't even grazing him.
context: They have about the same amount of Ki as ReaCoom,\and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him. response:	Kakarrot is sharply raising his battle power for the briefest instant,
context: and not even Vegeta could do anything against him.\Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant, response:	right when they attack.
context: Maybe Goku is just so overly strong that those guys\don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack. response:	Probably to avoid consuming any unnecessary energy.
context: don't look all that tough compared to him.\I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy. response:	It's such a brief moment that the Scouters probably can't pick it up.
context: I'm not so sure. Father's Ki seems so much more smaller than theirs.\W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up. response:	H- he has an incredible battle power.
context: W- what's going on here!?\His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power. response:	How does he have that kind of power?
context: His battle power is only 5000, no question about it!\But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power? response:	This is pissing me off!
context: But my attacks aren't even grazing him.\Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off! response:	I'm not about to let that little fart make a fool of me!
context: Kakarrot is sharply raising his battle power for the briefest instant,\right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me! response:	Hey, Jheese!
context: right when they attack.\Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese! response:	Let's do the Purple Comet Crush!
context: Probably to avoid consuming any unnecessary energy.\It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush! response:	The Purple Comet Crush, huh? That sounds good!
context: It's such a brief moment that the Scouters probably can't pick it up.\H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good! response:	All right, let's do it, Butta!
context: H- he has an incredible battle power.\How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta! response:	Yeah!
context: How does he have that kind of power?\This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah! response:	What!? What's going on!?
context: This is pissing me off!\I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah!\What!? What's going on!? response:	Geez!
context: I'm not about to let that little fart make a fool of me!\Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah!\What!? What's going on!?\Geez! response:	What could they all be doing, abandoning a fragile lady here like this!?
context: Hey, Jheese!\Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah!\What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!? response:	That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!
context: Let's do the Purple Comet Crush!\The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah!\What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough! response:	As soon as he gets here, I'll have to have him take me straight home.
context: The Purple Comet Crush, huh? That sounds good!\All right, let's do it, Butta!\Yeah!\What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home. response:	If I have to stay here too long,
context: All right, let's do it, Butta!\Yeah!\What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long, response:	my skin will be damaged, and my good looks will be ruined!
context: Yeah!\What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined! response:	I want to go home to Earth.
context: What!? What's going on!?\Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth. response:	What in the world is this!?
