context: Ash rain? response:	Oh no, it's Nokosaregumo!
context: A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster? response:	That's right.
context: To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster?\That's right. response:	Big Sis told me.
context: So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster?\That's right.\Big Sis told me. response:	People call it Nokosaregumo.
context: Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster?\That's right.\Big Sis told me.\People call it Nokosaregumo. response:	From way back in time, it's appeared now and then to eat people up.
context: Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster?\That's right.\Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up. response:	One time, the villagers offered a bride to keep it from eating the others.
context: We know a thing or two about beating monsters.\That's it.\A cloud right over the village. That's the monster?\That's right.\Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others. response:	Then it left without killing any more.
context: That's it.\A cloud right over the village. That's the monster?\That's right.\Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more. response:	Ever since, they've offered a bride every time it comes.
context: A cloud right over the village. That's the monster?\That's right.\Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes. response:	If they don't offer one, it'll get mad and eat up the whole village.
context: That's right.\Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village. response:	It's a monster but it wants a human bride?
context: Big Sis told me.\People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride? response:	And a lot of them, too?
context: People call it Nokosaregumo.\From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too? response:	Sis said it probably ate them all.
context: From way back in time, it's appeared now and then to eat people up.\One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all. response:	I'll never understand how a monster thinks.
context: One time, the villagers offered a bride to keep it from eating the others.\Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks. response:	So your big sis was chosen this time, huh?
context: Then it left without killing any more.\Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh? response:	I've got to help her. I don't want her to be eaten up.
context: Ever since, they've offered a bride every time it comes.\If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up. response:	We can help you there.
context: If they don't offer one, it'll get mad and eat up the whole village.\It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there. response:	This guy here has beaten up lots of monsters.
context: It's a monster but it wants a human bride?\And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters. response:	He can beat it for you.
context: And a lot of them, too?\Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you. response:	-Really? -But it's gonna cost you.
context: Sis said it probably ate them all.\I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you. response:	Can't do it for free.
context: I'll never understand how a monster thinks.\So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free. response:	They're great.
context: So your big sis was chosen this time, huh?\I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free.\They're great. response:	Not these. Something worth money, you know?
context: I've got to help her. I don't want her to be eaten up.\We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free.\They're great.\Not these. Something worth money, you know? response:	Hey, this is gold!
context: We can help you there.\This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free.\They're great.\Not these. Something worth money, you know?\Hey, this is gold! response:	Got it in the river. I got lots of it.
context: This guy here has beaten up lots of monsters.\He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free.\They're great.\Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it. response:	Take all you want.
context: He can beat it for you.\-Really? -But it's gonna cost you.\Can't do it for free.\They're great.\Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want. response:	Really? You've got a deal then.
context: -Really? -But it's gonna cost you.\Can't do it for free.\They're great.\Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then. response:	I'm Dororo.
context: Can't do it for free.\They're great.\Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then.\I'm Dororo. response:	I'm Saru.
context: They're great.\Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then.\I'm Dororo.\I'm Saru. response:	Saru? Like a monkey? That's funny.
context: Not these. Something worth money, you know?\Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then.\I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny. response:	Dororo is a funny name, too.
context: Hey, this is gold!\Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then.\I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too. response:	No it's not, it's a nice name!
context: Got it in the river. I got lots of it.\Take all you want.\Really? You've got a deal then.\I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name! response:	Come on, say it's nice.
context: Take all you want.\Really? You've got a deal then.\I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice. response:	It's not.
context: Really? You've got a deal then.\I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice.\It's not. response:	Big Sis.
context: I'm Dororo.\I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice.\It's not.\Big Sis. response:	I told you over and over not to come!
context: I'm Saru.\Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice.\It's not.\Big Sis.\I told you over and over not to come! response:	I came to save you.
context: Saru? Like a monkey? That's funny.\Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice.\It's not.\Big Sis.\I told you over and over not to come!\I came to save you. response:	I can't leave with you.
context: Dororo is a funny name, too.\No it's not, it's a nice name!\Come on, say it's nice.\It's not.\Big Sis.\I told you over and over not to come!\I came to save you.\I can't leave with you. response:	Why not?
context: No it's not, it's a nice name!\Come on, say it's nice.\It's not.\Big Sis.\I told you over and over not to come!\I came to save you.\I can't leave with you.\Why not? response:	You're actually doing this for the village?
context: Come on, say it's nice.\It's not.\Big Sis.\I told you over and over not to come!\I came to save you.\I can't leave with you.\Why not?\You're actually doing this for the village? response:	Forget about them!
context: It's not.\Big Sis.\I told you over and over not to come!\I came to save you.\I can't leave with you.\Why not?\You're actually doing this for the village?\Forget about them! response:	They're using you to save themselves.
context: Big Sis.\I told you over and over not to come!\I came to save you.\I can't leave with you.\Why not?\You're actually doing this for the village?\Forget about them!\They're using you to save themselves. response:	That's not true.
context: I told you over and over not to come!\I came to save you.\I can't leave with you.\Why not?\You're actually doing this for the village?\Forget about them!\They're using you to save themselves.\That's not true. response:	I chose to come.
context: I came to save you.\I can't leave with you.\Why not?\You're actually doing this for the village?\Forget about them!\They're using you to save themselves.\That's not true.\I chose to come. response:	I don't want any monster eating everybody up.
context: I can't leave with you.\Why not?\You're actually doing this for the village?\Forget about them!\They're using you to save themselves.\That's not true.\I chose to come.\I don't want any monster eating everybody up. response:	You, too.
context: Why not?\You're actually doing this for the village?\Forget about them!\They're using you to save themselves.\That's not true.\I chose to come.\I don't want any monster eating everybody up.\You, too. response:	I don't want you to die.
context: You're actually doing this for the village?\Forget about them!\They're using you to save themselves.\That's not true.\I chose to come.\I don't want any monster eating everybody up.\You, too.\I don't want you to die. response:	I know. But you must leave.
context: Forget about them!\They're using you to save themselves.\That's not true.\I chose to come.\I don't want any monster eating everybody up.\You, too.\I don't want you to die.\I know. But you must leave. response:	Hey, ease up.
context: They're using you to save themselves.\That's not true.\I chose to come.\I don't want any monster eating everybody up.\You, too.\I don't want you to die.\I know. But you must leave.\Hey, ease up. response:	We'll beat that monster for you.
context: That's not true.\I chose to come.\I don't want any monster eating everybody up.\You, too.\I don't want you to die.\I know. But you must leave.\Hey, ease up.\We'll beat that monster for you. response:	That'll solve all your problems.
context: I chose to come.\I don't want any monster eating everybody up.\You, too.\I don't want you to die.\I know. But you must leave.\Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems. response:	You? How will you defeat it?
context: I don't want any monster eating everybody up.\You, too.\I don't want you to die.\I know. But you must leave.\Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it? response:	If it eats people, it has to have a mouth and a belly.
context: You, too.\I don't want you to die.\I know. But you must leave.\Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly. response:	We'll tear it apart.
context: I don't want you to die.\I know. But you must leave.\Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart. response:	See? He's all ready for it.
context: I know. But you must leave.\Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it. response:	No. It's coming.
context: Hey, ease up.\We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it.\No. It's coming. response:	W-What is this?
context: We'll beat that monster for you.\That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it.\No. It's coming.\W-What is this? response:	Let's get out of here!
context: That'll solve all your problems.\You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it.\No. It's coming.\W-What is this?\Let's get out of here! response:	Idiots, it'll hear you!
context: You? How will you defeat it?\If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it.\No. It's coming.\W-What is this?\Let's get out of here!\Idiots, it'll hear you! response:	Hyakkimaru, over there!
context: If it eats people, it has to have a mouth and a belly.\We'll tear it apart.\See? He's all ready for it.\No. It's coming.\W-What is this?\Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there! response:	What's wrong?
context: We'll tear it apart.\See? He's all ready for it.\No. It's coming.\W-What is this?\Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong? response:	Hyakkimaru's vision was surrounded by a wall of evil flame.
context: See? He's all ready for it.\No. It's coming.\W-What is this?\Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame. response:	The dark cloud was a part of the devilish ghoul.
context: No. It's coming.\W-What is this?\Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul. response:	Hyakkimaru was enclosed in a wall of fire.
context: W-What is this?\Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire. response:	For the first time ever, he had completely lost his sight.
context: Let's get out of here!\Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight. response:	Big Sis!
context: Idiots, it'll hear you!\Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis! response:	It's a centipede.
context: Hyakkimaru, over there!\What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede. response:	It's humongous.
context: What's wrong?\Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede.\It's humongous. response:	Hyakkimaru, it's coming!
context: Hyakkimaru's vision was surrounded by a wall of evil flame.\The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede.\It's humongous.\Hyakkimaru, it's coming! response:	We're saved...
context: The dark cloud was a part of the devilish ghoul.\Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede.\It's humongous.\Hyakkimaru, it's coming!\We're saved... response:	This is where you live?
context: Hyakkimaru was enclosed in a wall of fire.\For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede.\It's humongous.\Hyakkimaru, it's coming!\We're saved...\This is where you live? response:	-Yeah, I live on my own. -On your own?
context: For the first time ever, he had completely lost his sight.\Big Sis!\It's a centipede.\It's humongous.\Hyakkimaru, it's coming!\We're saved...\This is where you live?\-Yeah, I live on my own. -On your own? response:	Big Sis ain't my real sister.
context: Big Sis!\It's a centipede.\It's humongous.\Hyakkimaru, it's coming!\We're saved...\This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister. response:	I've lived alone all my life.
context: It's a centipede.\It's humongous.\Hyakkimaru, it's coming!\We're saved...\This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister.\I've lived alone all my life. response:	Papa and Mama died when I was real little.
context: It's humongous.\Hyakkimaru, it's coming!\We're saved...\This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister.\I've lived alone all my life.\Papa and Mama died when I was real little. response:	But I was fine.
context: Hyakkimaru, it's coming!\We're saved...\This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister.\I've lived alone all my life.\Papa and Mama died when I was real little.\But I was fine. response:	I had the mountain with me.
context: We're saved...\This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister.\I've lived alone all my life.\Papa and Mama died when I was real little.\But I was fine.\I had the mountain with me. response:	I hate humans.
context: This is where you live?\-Yeah, I live on my own. -On your own?\Big Sis ain't my real sister.\I've lived alone all my life.\Papa and Mama died when I was real little.\But I was fine.\I had the mountain with me.\I hate humans. response:	They said this wasn't my mountain and drove me out.
