context: I'm late, I'm late! response:	I gotta go, I gotta go!
context: Never mind why.\Let's go!\Ready... set...\Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron. response:	Yeah, but if we never do find that ribbon, what's gonna happen?
context: Let's go!\Ready... set...\Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen? response:	Could it be that she'll stay this way forever?
context: Ready... set...\Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever? response:	We just can't seem to find your ribbon, Young Mistress.
context: Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress. response:	Where else can we look for it?
context: I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it? response:	We might have to expand our search area.
context: Are you all right? Master Raku!\Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area. response:	Look at her, mired in depression again.
context: Are you okay, Ichijo?\You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again. response:	I really can't take this anymore.
context: You really are a moron.\Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore. response:	I wish I could somehow cheer her up,
context: Yeah, but if we never do find that ribbon, what's gonna happen?\Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up, response:	but that ribbon's nowhere to be found.
context: Could it be that she'll stay this way forever?\We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found. response:	Thank you very much!
context: We just can't seem to find your ribbon, Young Mistress.\Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much! response:	Like Tachibana said, even if someone did pick up that ribbon,
context: Where else can we look for it?\We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon, response:	it's doubtful that they'd turn it in.
context: We might have to expand our search area.\Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in. response:	I have no choice.
context: Look at her, mired in depression again.\I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice. response:	It's killing me to trick her like this, but...
context: I really can't take this anymore.\I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but... response:	Hey, Chitoge!
context: I wish I could somehow cheer her up,\but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge! response:	I found it! I found your ribbon!
context: but that ribbon's nowhere to be found.\Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon! response:	Whaaat?
context: Thank you very much!\Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon!\Whaaat? response:	No way! Did you really?
context: Like Tachibana said, even if someone did pick up that ribbon,\it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon!\Whaaat?\No way! Did you really? response:	Where was it?
context: it's doubtful that they'd turn it in.\I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon!\Whaaat?\No way! Did you really?\Where was it? response:	Oh, well, it got blown away into some alley, see...
context: I have no choice.\It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon!\Whaaat?\No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see... response:	Here. Try not to lose it again!
context: It's killing me to trick her like this, but...\Hey, Chitoge!\I found it! I found your ribbon!\Whaaat?\No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again! response:	Oh, wow!
context: Hey, Chitoge!\I found it! I found your ribbon!\Whaaat?\No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow! response:	Thank goodness! Thank you so...
context: I found it! I found your ribbon!\Whaaat?\No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so... response:	It smells different.
context: Whaaat?\No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so...\It smells different. response:	Smell?
context: No way! Did you really?\Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so...\It smells different.\Smell? response:	You can tell something like that?
context: Where was it?\Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so...\It smells different.\Smell?\You can tell something like that? response:	It smells like it's brand-new.
context: Oh, well, it got blown away into some alley, see...\Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so...\It smells different.\Smell?\You can tell something like that?\It smells like it's brand-new. response:	Raku?
context: Here. Try not to lose it again!\Oh, wow!\Thank goodness! Thank you so...\It smells different.\Smell?\You can tell something like that?\It smells like it's brand-new.\Raku? response:	My bad! I'm sorry I tried to trick you!
context: Oh, wow!\Thank goodness! Thank you so...\It smells different.\Smell?\You can tell something like that?\It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you! response:	But see... I didn't mean you any harm.
context: Thank goodness! Thank you so...\It smells different.\Smell?\You can tell something like that?\It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm. response:	No... that's okay.
context: It smells different.\Smell?\You can tell something like that?\It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay. response:	You did that for me, didn't you?
context: Smell?\You can tell something like that?\It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you? response:	Thanks.
context: You can tell something like that?\It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you?\Thanks. response:	What's up with that?!
context: It smells like it's brand-new.\Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you?\Thanks.\What's up with that?! response:	The normal you would totally kick my butt, bury me in the ground,
context: Raku?\My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you?\Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground, response:	and stomp off, shouting all kinds of abuse!
context: My bad! I'm sorry I tried to trick you!\But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you?\Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse! response:	Who the hell are you, anyway?
context: But see... I didn't mean you any harm.\No... that's okay.\You did that for me, didn't you?\Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway? response:	But no matter how you look at it, that one's the awful Chitoge, right?
context: No... that's okay.\You did that for me, didn't you?\Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right? response:	It just might be better for her to stay this way.
context: You did that for me, didn't you?\Thanks.\What's up with that?!\The normal you would totally kick my butt, bury me in the ground,\and stomp off, shouting all kinds of abuse!\Who the hell are you, anyway?\But no matter how you look at it, that one's the awful Chitoge, right?\It just might be better for her to stay this way. response:	No, no! No way would that be better!
