context: But then, you're gonna pay! response:	I can use these guys.
context: What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident. response:	It appears that a good deal of the passengers are dead.
context: Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead. response:	She was aboard the Flying Pussyfoot, as I recall, wasn't she?
context: but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she? response:	Yes.
context: Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes. response:	Why don't we wait until we've gotten her report.
context: Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report. response:	What did she see, what did she hear, what does she know?
context: Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know? response:	It looks like she's already here.
context: so we can't really get a grasp of the whole picture,\but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here. response:	Rachel- kun, I'm glad that you are back.
context: but there's no question that there was quite an incident.\It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back. response:	We've had nothing but unpleasant information coming in
context: It appears that a good deal of the passengers are dead.\She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in response:	regarding the Flying Pussyfoot, so I've been most worried.
context: She was aboard the Flying Pussyfoot, as I recall, wasn't she?\Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried. response:	As president of the Daily Days, I am proud to have employees like you.
context: Yes.\Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you. response:	Thank you very much.
context: Why don't we wait until we've gotten her report.\What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much. response:	Did you hitch another free ride?
context: What did she see, what did she hear, what does she know?\It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride? response:	Yes, that's right. Is that a problem?
context: It looks like she's already here.\Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem? response:	Nicholas- kun, looking at Rachel- kun's injured leg,
context: Rachel- kun, I'm glad that you are back.\We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg, response:	it's evident that the situation must have been serious.
context: We've had nothing but unpleasant information coming in\regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious. response:	Please refrain from such levity.
context: regarding the Flying Pussyfoot, so I've been most worried.\As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity. response:	Please excuse my impropriety.
context: As president of the Daily Days, I am proud to have employees like you.\Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety. response:	Now then, Rachel- kun,
context: Thank you very much.\Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun, response:	ordinarily, I would have you take plenty of time off to recuperate,
context: Did you hitch another free ride?\Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate, response:	but we are information brokers. I will ask you for your report right away.
context: Yes, that's right. Is that a problem?\Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away. response:	What happened aboard the Flying Pussyfoot?
context: Nicholas- kun, looking at Rachel- kun's injured leg,\it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot? response:	All I know is what happened within the scope of what I saw.
context: it's evident that the situation must have been serious.\Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw. response:	That is fine.
context: Please refrain from such levity.\Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine. response:	Please tell me, who were the people in the black suits?
context: Please excuse my impropriety.\Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits? response:	Who were the people in the white suits?
context: Now then, Rachel- kun,\ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits? response:	President, you appear to know more than I do.
context: ordinarily, I would have you take plenty of time off to recuperate,\but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do. response:	Also, what was this Rail Tracer?
context: but we are information brokers. I will ask you for your report right away.\What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer? response:	Rail Tracer?
context: What happened aboard the Flying Pussyfoot?\All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer? response:	W-What's the Rail Tracer?
context: All I know is what happened within the scope of what I saw.\That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer? response:	Oh, Jacuzzi, you don't know?
context: That is fine.\Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know? response:	The Rail Tracer is...
context: Please tell me, who were the people in the black suits?\Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is... response:	Now that you mention it,
context: Who were the people in the white suits?\President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it, response:	some of the passengers in the dining car were talking about it.
context: President, you appear to know more than I do.\Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it. response:	A legendary monster, that traces the shadows of the railways.
context: Also, what was this Rail Tracer?\Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways. response:	Monster?
context: Rail Tracer?\W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster? response:	Yes, monster.
context: W-What's the Rail Tracer?\Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster. response:	I don't know if that much is actually true...
context: Oh, Jacuzzi, you don't know?\The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster.\I don't know if that much is actually true... response:	but there was indeed a monster aboard the Flying Pussyfoot.
context: The Rail Tracer is...\Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot. response:	A crimson, brutal monster.
context: Now that you mention it,\some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster. response:	Call it strange, or really, call it unbelievable...
context: some of the passengers in the dining car were talking about it.\A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable... response:	No, really, why is there a sea of blood in here?
context: A legendary monster, that traces the shadows of the railways.\Monster?\Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here? response:	Isn't it strange? Or rather, isn't it amazing?
context: Monster?\Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing? response:	What is it that can kill a man in such a messy manner?
context: Yes, monster.\I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner? response:	Hey, come on, now. Is this man without a face that one guy?
context: I don't know if that much is actually true...\but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy? response:	Could this be Dune?
context: but there was indeed a monster aboard the Flying Pussyfoot.\A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune? response:	Man, that's amazing. The hunter has become the hunted.
context: A crimson, brutal monster.\Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted. response:	So then, who was it that killed Dune?!
context: Call it strange, or really, call it unbelievable...\No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?! response:	If I'm to avenge him, I can't do anything if I don't know who did it.
context: No, really, why is there a sea of blood in here?\Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it. response:	Oh, Dune, you poor man!
context: Isn't it strange? Or rather, isn't it amazing?\What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man! response:	You can't even have your friends avenge you.
context: What is it that can kill a man in such a messy manner?\Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you. response:	Now then, as for the all-important way to be spared...
context: Hey, come on, now. Is this man without a face that one guy?\Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared... response:	Everyone who heard this story died right away.
context: Could this be Dune?\Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away. response:	They say there wasn't a single way for any of them to be saved!
context: Man, that's amazing. The hunter has become the hunted.\So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved! response:	There is one way to be saved.
context: So then, who was it that killed Dune?!\If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved. response:	Kill before you are killed.
context: If I'm to avenge him, I can't do anything if I don't know who did it.\Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed. response:	W-Wait! Wait a minute!
context: Oh, Dune, you poor man!\You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute! response:	I don't think so.
context: You can't even have your friends avenge you.\Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute!\I don't think so. response:	Oh, yeah. To continue my story, the way to keep the Rail Tracer
context: Now then, as for the all-important way to be spared...\Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer response:	from coming for you is to believe this story,
context: Everyone who heard this story died right away.\They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story, response:	and if it is already here, to keep running until the sun rises.
context: They say there wasn't a single way for any of them to be saved!\There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises. response:	Although, it's too late for that.
context: There is one way to be saved.\Kill before you are killed.\W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that. response:	The Rail Tracer is certain to show up for you people.
context: Kill before you are killed.\W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people. response:	This gunshot will wake it up. It will be awakened with your death.
context: W-Wait! Wait a minute!\I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death. response:	Now sacrifice, die.
context: I don't think so.\Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die. response:	What's going on here?
context: Oh, yeah. To continue my story, the way to keep the Rail Tracer\from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here? response:	Who are you?
context: from coming for you is to believe this story,\and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here?\Who are you? response:	Just a minute, please! I'm not doing anything wrong!
context: and if it is already here, to keep running until the sun rises.\Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong! response:	The two of us are the only conductors that are supposed to be on this train.
context: Although, it's too late for that.\The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train. response:	Who are you?
context: The Rail Tracer is certain to show up for you people.\This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you? response:	Hey, please put that dangerous thing away, will you?
context: This gunshot will wake it up. It will be awakened with your death.\Now sacrifice, die.\What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you? response:	How can you be so composed, given your situation?
context: Now sacrifice, die.\What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation? response:	Who are you? What are you after?
context: What's going on here?\Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after? response:	Uh oh, is the secret out already?
context: Who are you?\Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already? response:	Huh? What's that supposed to mean?
context: Just a minute, please! I'm not doing anything wrong!\The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean? response:	You seem to be the type that doesn't crack,
context: The two of us are the only conductors that are supposed to be on this train.\Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack, response:	even with a gun pointed at you.
context: Who are you?\Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you. response:	So I'm going to have to torture you for a little bit.
context: Hey, please put that dangerous thing away, will you?\How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit. response:	What do you mean by that? Torture?
context: How can you be so composed, given your situation?\Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture? response:	What year did you come from?
context: Who are you? What are you after?\Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from? response:	Hey, now, I'm glad you got rid of your gun, and all,
context: Uh oh, is the secret out already?\Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all, response:	but I've got this fine little piece here...
context: Huh? What's that supposed to mean?\You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here... response:	Huh?
context: You seem to be the type that doesn't crack,\even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh? response:	I'll ask you again!
context: even with a gun pointed at you.\So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh?\I'll ask you again! response:	Who are you?!
context: So I'm going to have to torture you for a little bit.\What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh?\I'll ask you again!\Who are you?! response:	That's too bad.
context: What do you mean by that? Torture?\What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh?\I'll ask you again!\Who are you?!\That's too bad. response:	I'll ask you once again. Who are you?
context: What year did you come from?\Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh?\I'll ask you again!\Who are you?!\That's too bad.\I'll ask you once again. Who are you? response:	D-Dune...
context: Hey, now, I'm glad you got rid of your gun, and all,\but I've got this fine little piece here...\Huh?\I'll ask you again!\Who are you?!\That's too bad.\I'll ask you once again. Who are you?\D-Dune... response:	Where are you from, Dune?
