context: How I've Waited for this Moment!! Son Goku Revived response:	I can see you!
context: Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all. response:	Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?
context: there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin? response:	Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?
context: As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat? response:	Nonsense! There's no reason that should be so!
context: If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so! response:	Vegeta...
context: does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta... response:	How can such a thing be!?
context: Up until this point, I could see him...\Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!? response:	Such a thing... could never be!!
context: Don't make me laugh.\The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!?\Such a thing... could never be!! response:	You fool.
context: The Super Saiyajin is then no more than a trivial legend after all.\Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!?\Such a thing... could never be!!\You fool. response:	I see you!
context: Does this mean I've reached my limit? Have I not yet become a Super Saiyajin?\Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!?\Such a thing... could never be!!\You fool.\I see you! response:	I see you, Freeza!
context: Or for that matter, is Freeza an opponent not even a Super Saiyajin can beat?\Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!?\Such a thing... could never be!!\You fool.\I see you!\I see you, Freeza! response:	Vegeta, you...
context: Nonsense! There's no reason that should be so!\Vegeta...\How can such a thing be!?\Such a thing... could never be!!\You fool.\I see you!\I see you, Freeza!\Vegeta, you... response:	Vegeta isn't blasting away blindly, he's carefully aiming every shot!
context: Vegeta...\How can such a thing be!?\Such a thing... could never be!!\You fool.\I see you!\I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot! response:	And yet Freeza is decidedly keeping clear of them. They're both unbelievable!
context: How can such a thing be!?\Such a thing... could never be!!\You fool.\I see you!\I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable! response:	- Piccolo... - Piccolo-san...
context: Such a thing... could never be!!\You fool.\I see you!\I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san... response:	What!?
context: You fool.\I see you!\I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!? response:	I- I am...
context: I see you!\I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!?\I- I am... response:	I am a Super Saiyajin!
context: I see you, Freeza!\Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!?\I- I am...\I am a Super Saiyajin! response:	Burn in Hell, Freeza!
context: Vegeta, you...\Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!?\I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza! response:	Are you trying to destroy the whole planet, Vegeta!?
context: Vegeta isn't blasting away blindly, he's carefully aiming every shot!\And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!?\I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!? response:	What!?
context: And yet Freeza is decidedly keeping clear of them. They're both unbelievable!\- Piccolo... - Piccolo-san...\What!?\I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!? response:	It's just about time, I suppose. I can't have him getting too carried away.
context: - Piccolo... - Piccolo-san...\What!?\I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away. response:	H- How could he...?
context: What!?\I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...? response:	He bounced all that back with just a simple kick!?
context: I- I am...\I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!? response:	Vegeta had to have launched that attack at his full power!
context: I am a Super Saiyajin!\Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power! response:	He's incredible! He's more than incredible!
context: Burn in Hell, Freeza!\Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible! response:	And now, you will experience a pain even greater than hell.
context: Are you trying to destroy the whole planet, Vegeta!?\What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell. response:	This time, you'll let me lead off.
context: What!?\It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off. response:	Mildly.
context: It's just about time, I suppose. I can't have him getting too carried away.\H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly. response:	Vegeta...
context: H- How could he...?\He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly.\Vegeta... response:	For the first time in his life, Vegeta is trembling, from the bottom of his heart.
context: He bounced all that back with just a simple kick!?\Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart. response:	Both from genuine terror, and from his conclusive frustration.
context: Vegeta had to have launched that attack at his full power!\He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration. response:	He's even shedding tears over his fright and hopelessness. This is another first.
context: He's incredible! He's more than incredible!\And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first. response:	Here goes. Are you ready?
context: And now, you will experience a pain even greater than hell.\This time, you'll let me lead off.\Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready? response:	Vegeta-Vegeta has already lost the will to fight.
context: This time, you'll let me lead off.\Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight. response:	Vegeta!
context: Mildly.\Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta! response:	Don't!
context: Vegeta...\For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't! response:	He's had it.
context: For the first time in his life, Vegeta is trembling, from the bottom of his heart.\Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't!\He's had it. response:	Vegeta, I can't have you giving up after so little. You'll have to go through more than this...
context: Both from genuine terror, and from his conclusive frustration.\He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this... response:	Well? Have you started to regret how foolish you've been?
context: He's even shedding tears over his fright and hopelessness. This is another first.\Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been? response:	You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?
context: Here goes. Are you ready?\Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san? response:	I thought you at least were different,
context: Vegeta-Vegeta has already lost the will to fight.\Vegeta!\Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different, response:	and I pampered you, but you're just like the others, aren't you?
context: Vegeta!\Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you? response:	If you hadn't turned against me,
context: Don't!\He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me, response:	we would have gotten by without having to go through this.
context: He's had it.\Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this. response:	V- Vegeta!
context: Vegeta, I can't have you giving up after so little. You'll have to go through more than this...\Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta! response:	If you want to save him, feel free at any time.
context: Well? Have you started to regret how foolish you've been?\You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time. response:	Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,
context: You lower-life-form, nothing-in-your-mind- but-fighting Saiyajin-san?\I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension, response:	seem to be bound in place or something, all three of them unable to move.
context: I thought you at least were different,\and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move. response:	Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.
context: and I pampered you, but you're just like the others, aren't you?\If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger. response:	Is this Freeza that strong!?
context: If you hadn't turned against me,\we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!? response:	I'm healed!
context: we would have gotten by without having to go through this.\V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed! response:	I've gotten stronger! It's like the power is welling up inside!
context: V- Vegeta!\If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside! response:	Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!
context: If you want to save him, feel free at any time.\Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me! response:	But you know, it feels good! Even at a terrible time like this.
context: Piccolo and the others, faced with the terror of Freeza, battle power of a different dimension,\seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!\But you know, it feels good! Even at a terrible time like this. response:	My apologies, Gohan, Krillin, and Piccolo!
context: seem to be bound in place or something, all three of them unable to move.\Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!\But you know, it feels good! Even at a terrible time like this.\My apologies, Gohan, Krillin, and Piccolo! response:	I'm coming now! Something might just become of this!
context: Vegeta's Ki is rapidly shrinking and he was supposed to have gotten incredibly stronger.\Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!\But you know, it feels good! Even at a terrible time like this.\My apologies, Gohan, Krillin, and Piccolo!\I'm coming now! Something might just become of this! response:	Goku at last recovers. How eagerly has this moment been anticipated?
context: Is this Freeza that strong!?\I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!\But you know, it feels good! Even at a terrible time like this.\My apologies, Gohan, Krillin, and Piccolo!\I'm coming now! Something might just become of this!\Goku at last recovers. How eagerly has this moment been anticipated? response:	You're the only one left who can still offer resistance to the overwhelming power of Freeza!
context: I'm healed!\I've gotten stronger! It's like the power is welling up inside!\Unbelievable! And here I thought I'd reached my limit. It's enough to scare me!\But you know, it feels good! Even at a terrible time like this.\My apologies, Gohan, Krillin, and Piccolo!\I'm coming now! Something might just become of this!\Goku at last recovers. How eagerly has this moment been anticipated?\You're the only one left who can still offer resistance to the overwhelming power of Freeza! response:	We're counting on you, Goku!
