context: Don't be such a sissy! response:	Yukimura, I told you that today's the due date of the School Festival's report, right?
context: A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down.\Come on, I can't see it.\Don't push.\Wow, that's erotic.\What a rack. response:	I can't get enough of this.
context: Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down.\Come on, I can't see it.\Don't push.\Wow, that's erotic.\What a rack.\I can't get enough of this. response:	It's pretty lively there. What's going on?
context: Prez!\Calm down.\Come on, I can't see it.\Don't push.\Wow, that's erotic.\What a rack.\I can't get enough of this.\It's pretty lively there. What's going on? response:	Um...
context: Calm down.\Come on, I can't see it.\Don't push.\Wow, that's erotic.\What a rack.\I can't get enough of this.\It's pretty lively there. What's going on?\Um... response:	Shh.
context: Come on, I can't see it.\Don't push.\Wow, that's erotic.\What a rack.\I can't get enough of this.\It's pretty lively there. What's going on?\Um...\Shh. response:	Shh!!
context: Don't push.\Wow, that's erotic.\What a rack.\I can't get enough of this.\It's pretty lively there. What's going on?\Um...\Shh.\Shh!! response:	That stupid bunch. Are they goofing off while I'm not there?
context: Wow, that's erotic.\What a rack.\I can't get enough of this.\It's pretty lively there. What's going on?\Um...\Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there? response:	Pass on the message.
context: What a rack.\I can't get enough of this.\It's pretty lively there. What's going on?\Um...\Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message. response:	I'll be punishing them later.
context: I can't get enough of this.\It's pretty lively there. What's going on?\Um...\Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later. response:	Come on, Prez.
context: It's pretty lively there. What's going on?\Um...\Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later.\Come on, Prez. response:	Don't say things like that. It turns me on.
context: Um...\Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on. response:	When did you get here?
context: Shh.\Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on.\When did you get here? response:	Rather, don't walk into the staff room!
context: Shh!!\That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room! response:	Well, it was open.
context: That stupid bunch. Are they goofing off while I'm not there?\Pass on the message.\I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room!\Well, it was open. response:	Poor security.
context: Pass on the message.\I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room!\Well, it was open.\Poor security. response:	Bastard...
context: I'll be punishing them later.\Come on, Prez.\Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room!\Well, it was open.\Poor security.\Bastard... response:	Hey there. You came again, Usui-kun?
context: Come on, Prez.\Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room!\Well, it was open.\Poor security.\Bastard...\Hey there. You came again, Usui-kun? response:	What is that box?
context: Don't say things like that. It turns me on.\When did you get here?\Rather, don't walk into the staff room!\Well, it was open.\Poor security.\Bastard...\Hey there. You came again, Usui-kun?\What is that box? response:	I ordered a few things.
context: When did you get here?\Rather, don't walk into the staff room!\Well, it was open.\Poor security.\Bastard...\Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things. response:	Anti-Crime tools?
context: Rather, don't walk into the staff room!\Well, it was open.\Poor security.\Bastard...\Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things.\Anti-Crime tools? response:	Have you heard about the recent cases where staff from cosplay cafes were being targeted?
context: Well, it was open.\Poor security.\Bastard...\Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted? response:	Sadly, it's becoming more common.
context: Poor security.\Bastard...\Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common. response:	That's why.
context: Bastard...\Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why. response:	I think our Masters are fine, but just in case, you keep one, too, Misa-chan.
context: Hey there. You came again, Usui-kun?\What is that box?\I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan. response:	Here.
context: What is that box?\I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here. response:	Please give it to the other girls rather than me.
context: I ordered a few things.\Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me. response:	I'll take whatever's left over.
context: Anti-Crime tools?\Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me.\I'll take whatever's left over. response:	In fact, I'll be fine without one.
context: Have you heard about the recent cases where staff from cosplay cafes were being targeted?\Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one. response:	Do you think that you'll be fine because you're strong?
context: Sadly, it's becoming more common.\That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong? response:	Ah, right.
context: That's why.\I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right. response:	You're practicing aikido, aren't you?
context: I think our Masters are fine, but just in case, you keep one, too, Misa-chan.\Here.\Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you? response:	Yes.
context: Here.\Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you?\Yes. response:	Besides, people don't wait for me outside.
context: Please give it to the other girls rather than me.\I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside. response:	So if some freaks come, I'll subdue them.
context: I'll take whatever's left over.\In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them. response:	You're so reliable, Misa-chan.
context: In fact, I'll be fine without one.\Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan. response:	Ah, stalker cases?
context: Do you think that you'll be fine because you're strong?\Ah, right.\You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases? response:	The one that goes after the cosplay cafes, right?
context: Ah, right.\You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right? response:	I heard about that on the news.
context: You're practicing aikido, aren't you?\Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news. response:	What a pathetic guy.
context: Yes.\Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy. response:	Yeah, a total loser.
context: Besides, people don't wait for me outside.\So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy.\Yeah, a total loser. response:	Is Misa-chan all right?
context: So if some freaks come, I'll subdue them.\You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right? response:	You're right...
context: You're so reliable, Misa-chan.\Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right?\You're right... response:	I'm so worried. What if something happens to Misa-chan?
context: Ah, stalker cases?\The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan? response:	Hey, shouldn't we protect Misa-chan?
context: The one that goes after the cosplay cafes, right?\I heard about that on the news.\What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan? response:	Actually, Misa-chan's strong.
context: I heard about that on the news.\What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong. response:	She practices aikido.
context: What a pathetic guy.\Yeah, a total loser.\Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido. response:	She's stronger than us.
context: Yeah, a total loser.\Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us. response:	There's nothing to worry about!
context: Is Misa-chan all right?\You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us.\There's nothing to worry about! response:	All right, shall we go today, too?
context: You're right...\I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too? response:	Let's go to Maid Latte.
context: I'm so worried. What if something happens to Misa-chan?\Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte. response:	We're gonna sit there as long as possible with one cup of coffee.
context: Hey, shouldn't we protect Misa-chan?\Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee. response:	Prez, please go easy on them.
context: Actually, Misa-chan's strong.\She practices aikido.\She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them. response:	Was that everyone making such a racket in the Student Council Room?
context: She practices aikido.\She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room? response:	Yes.
context: She's stronger than us.\There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes. response:	We're sorry.
context: There's nothing to worry about!\All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry. response:	Sorry, Prez.
context: All right, shall we go today, too?\Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry.\Sorry, Prez. response:	If you've got nothing better to do than yap in the Student Council Room, go home and study!
context: Let's go to Maid Latte.\We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study! response:	Yes, ma'am.
context: We're gonna sit there as long as possible with one cup of coffee.\Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am. response:	Nicely done.
context: Prez, please go easy on them.\Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done. response:	What are you doing there?
context: Was that everyone making such a racket in the Student Council Room?\Yes.\We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done.\What are you doing there? response:	What is wrong with him?
context: Yes.\We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done.\What are you doing there?\What is wrong with him? response:	He's annoying.
context: We're sorry.\Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done.\What are you doing there?\What is wrong with him?\He's annoying. response:	Suit yourself, Usui, you idiot!
context: Sorry, Prez.\If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done.\What are you doing there?\What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot! response:	Hey, it's after school.
context: If you've got nothing better to do than yap in the Student Council Room, go home and study!\Yes, ma'am.\Nicely done.\What are you doing there?\What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school. response:	Ikkun, how much do you have on you?
context: Yes, ma'am.\Nicely done.\What are you doing there?\What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you? response:	20 yen.
context: Nicely done.\What are you doing there?\What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you?\20 yen. response:	How about you, Shiroyan?
context: What are you doing there?\What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan? response:	80 yen.
context: What is wrong with him?\He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan?\80 yen. response:	You, Kurotatsu?
context: He's annoying.\Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan?\80 yen.\You, Kurotatsu? response:	I have 15 yen.
context: Suit yourself, Usui, you idiot!\Hey, it's after school.\Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan?\80 yen.\You, Kurotatsu?\I have 15 yen. response:	So the three of us together...
context: Hey, it's after school.\Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan?\80 yen.\You, Kurotatsu?\I have 15 yen.\So the three of us together... response:	How much do we have?
context: Ikkun, how much do you have on you?\20 yen.\How about you, Shiroyan?\80 yen.\You, Kurotatsu?\I have 15 yen.\So the three of us together...\How much do we have? response:	I think...
context: 20 yen.\How about you, Shiroyan?\80 yen.\You, Kurotatsu?\I have 15 yen.\So the three of us together...\How much do we have?\I think... response:	115 yen?
context: How about you, Shiroyan?\80 yen.\You, Kurotatsu?\I have 15 yen.\So the three of us together...\How much do we have?\I think...\115 yen? response:	What? Then we can't even order a cup of coffee.
context: 80 yen.\You, Kurotatsu?\I have 15 yen.\So the three of us together...\How much do we have?\I think...\115 yen?\What? Then we can't even order a cup of coffee. response:	Let's just go home today.
context: You, Kurotatsu?\I have 15 yen.\So the three of us together...\How much do we have?\I think...\115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today. response:	Dang.
context: I have 15 yen.\So the three of us together...\How much do we have?\I think...\115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang. response:	Finished.
context: So the three of us together...\How much do we have?\I think...\115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang.\Finished. response:	Thank you so much, Prez.
context: How much do we have?\I think...\115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang.\Finished.\Thank you so much, Prez. response:	Good work, Yukimura.
context: I think...\115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang.\Finished.\Thank you so much, Prez.\Good work, Yukimura. response:	Man, I'm late.
context: 115 yen?\What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang.\Finished.\Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late. response:	Wow, I'm making so much progress.
context: What? Then we can't even order a cup of coffee.\Let's just go home today.\Dang.\Finished.\Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress. response:	Sakura?
context: Let's just go home today.\Dang.\Finished.\Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress.\Sakura? response:	Hey.
context: Dang.\Finished.\Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress.\Sakura?\Hey. response:	Misaki! Are you on your way home now?
context: Finished.\Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress.\Sakura?\Hey.\Misaki! Are you on your way home now? response:	You were doing your homework at school?
context: Thank you so much, Prez.\Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress.\Sakura?\Hey.\Misaki! Are you on your way home now?\You were doing your homework at school? response:	Why?
context: Good work, Yukimura.\Man, I'm late.\Wow, I'm making so much progress.\Sakura?\Hey.\Misaki! Are you on your way home now?\You were doing your homework at school?\Why? response:	Because I can concentrate better that way.
context: Man, I'm late.\Wow, I'm making so much progress.\Sakura?\Hey.\Misaki! Are you on your way home now?\You were doing your homework at school?\Why?\Because I can concentrate better that way. response:	You don't know what happens after dark,
context: Wow, I'm making so much progress.\Sakura?\Hey.\Misaki! Are you on your way home now?\You were doing your homework at school?\Why?\Because I can concentrate better that way.\You don't know what happens after dark, response:	So you shouldn't stick around too long.
context: Sakura?\Hey.\Misaki! Are you on your way home now?\You were doing your homework at school?\Why?\Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long. response:	Okay.
context: Hey.\Misaki! Are you on your way home now?\You were doing your homework at school?\Why?\Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long.\Okay. response:	You sound like a mother, Misaki.
context: Misaki! Are you on your way home now?\You were doing your homework at school?\Why?\Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki. response:	Thanks for walking me back.
context: You were doing your homework at school?\Why?\Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki.\Thanks for walking me back. response:	Does she really understand?
context: Why?\Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand? response:	You don't know what happens after dark,
context: Because I can concentrate better that way.\You don't know what happens after dark,\So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand?\You don't know what happens after dark, response:	So you shouldn't stick around too long.
context: You don't know what happens after dark,\So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long. response:	You've got to really cut that out!
context: So you shouldn't stick around too long.\Okay.\You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out! response:	Going to work now?
context: Okay.\You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now? response:	Don't follow me, you hear?!
context: You sound like a mother, Misaki.\Thanks for walking me back.\Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now?\Don't follow me, you hear?! response:	Yeah, I'm back.
context: Thanks for walking me back.\Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now?\Don't follow me, you hear?!\Yeah, I'm back. response:	This way please, Master.
context: Does she really understand?\You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now?\Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master. response:	Okay.
context: You don't know what happens after dark,\So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now?\Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master.\Okay. response:	He's not here. He's not here...
context: So you shouldn't stick around too long.\You've got to really cut that out!\Going to work now?\Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master.\Okay.\He's not here. He's not here... response:	I'll bring you a new one right away.
context: You've got to really cut that out!\Going to work now?\Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master.\Okay.\He's not here. He's not here...\I'll bring you a new one right away. response:	Thank you, Misa-chan.
context: Going to work now?\Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master.\Okay.\He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan. response:	See ya.
context: Don't follow me, you hear?!\Yeah, I'm back.\This way please, Master.\Okay.\He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan.\See ya. response:	Good work.
context: Yeah, I'm back.\This way please, Master.\Okay.\He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan.\See ya.\Good work. response:	The Chief's late today.
context: This way please, Master.\Okay.\He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan.\See ya.\Good work.\The Chief's late today. response:	Well, she's at the shopping district's meeting.
context: Okay.\He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan.\See ya.\Good work.\The Chief's late today.\Well, she's at the shopping district's meeting. response:	Can't do much about that.
context: He's not here. He's not here...\I'll bring you a new one right away.\Thank you, Misa-chan.\See ya.\Good work.\The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that. response:	Why did it have to be on a day like this.
context: I'll bring you a new one right away.\Thank you, Misa-chan.\See ya.\Good work.\The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this. response:	Do you have to do stuff, too, Erika?
context: Thank you, Misa-chan.\See ya.\Good work.\The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika? response:	I have a mountain of untouched assignments due tomorrow.
context: See ya.\Good work.\The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow. response:	I don't think I can get it done.
context: Good work.\The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done. response:	Do you have something, too, Subaru?
context: The Chief's late today.\Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru? response:	I have another job after this.
context: Well, she's at the shopping district's meeting.\Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this. response:	Wow. What a hard worker.
context: Can't do much about that.\Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker. response:	Go ahead.
context: Why did it have to be on a day like this.\Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker.\Go ahead. response:	You two can leave.
context: Do you have to do stuff, too, Erika?\I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker.\Go ahead.\You two can leave. response:	I'll let the Chief know.
context: I have a mountain of untouched assignments due tomorrow.\I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker.\Go ahead.\You two can leave.\I'll let the Chief know. response:	Are you sure, Misa-chan?
context: I don't think I can get it done.\Do you have something, too, Subaru?\I have another job after this.\Wow. What a hard worker.\Go ahead.\You two can leave.\I'll let the Chief know.\Are you sure, Misa-chan? response:	Yes. Please leave it to me.
