context: Wars had ravaged the land for years. response:	The soil was soaked with blood.
context: Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free? response:	I do this because I wish to.
context: This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to. response:	Thank you so much.
context: Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to.\Thank you so much. response:	Master.
context: You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to.\Thank you so much.\Master. response:	Teach this man how to use his new limb.
context: All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to.\Thank you so much.\Master.\Teach this man how to use his new limb. response:	Yes!
context: I have an arm!\I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to.\Thank you so much.\Master.\Teach this man how to use his new limb.\Yes! response:	Next.
context: I'm so happy for you, dear.\You're really letting me have this for free?\I do this because I wish to.\Thank you so much.\Master.\Teach this man how to use his new limb.\Yes!\Next. response:	Dr. Jukai is like Buddha himself.
context: You're really letting me have this for free?\I do this because I wish to.\Thank you so much.\Master.\Teach this man how to use his new limb.\Yes!\Next.\Dr. Jukai is like Buddha himself. response:	Yes, he really is.
context: I do this because I wish to.\Thank you so much.\Master.\Teach this man how to use his new limb.\Yes!\Next.\Dr. Jukai is like Buddha himself.\Yes, he really is. response:	Master gave me a reason to live when I was an orphan.
context: Thank you so much.\Master.\Teach this man how to use his new limb.\Yes!\Next.\Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan. response:	I'm so happy to be able to work here.
context: Master.\Teach this man how to use his new limb.\Yes!\Next.\Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here. response:	He's been up all night?
context: Teach this man how to use his new limb.\Yes!\Next.\Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night? response:	It hurts, Mama...
context: Yes!\Next.\Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama... response:	We're almost at the doctor's place. Hang in there.
context: Next.\Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there. response:	It hurts!
context: Dr. Jukai is like Buddha himself.\Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts! response:	What's the matter?
context: Yes, he really is.\Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter? response:	Is Dr. Jukai's home close by?
context: Master gave me a reason to live when I was an orphan.\I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter?\Is Dr. Jukai's home close by? response:	A passing samurai picked a fight with him and cut his arm off.
context: I'm so happy to be able to work here.\He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off. response:	My poor son...
context: He's been up all night?\It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son... response:	Don't worry. Master will save him.
context: It hurts, Mama...\We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him. response:	It may take some time.
context: We're almost at the doctor's place. Hang in there.\It hurts!\What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him.\It may take some time. response:	But I'll do everything I can.
context: It hurts!\What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him.\It may take some time.\But I'll do everything I can. response:	Oh doctor, thank you so much.
context: What's the matter?\Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him.\It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much. response:	I'm so relieved, did you hear that?
context: Is Dr. Jukai's home close by?\A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him.\It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that? response:	Yes...
context: A passing samurai picked a fight with him and cut his arm off.\My poor son...\Don't worry. Master will save him.\It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes... response:	I couldn't thank you enough.
context: My poor son...\Don't worry. Master will save him.\It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough. response:	He'll be running around again in no time.
context: Don't worry. Master will save him.\It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough.\He'll be running around again in no time. response:	I was afraid the doctor might be a scary man.
context: It may take some time.\But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man. response:	But I'm ever so glad I came.
context: But I'll do everything I can.\Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came. response:	You should never believe rumors.
context: Oh doctor, thank you so much.\I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors. response:	Rumors?
context: I'm so relieved, did you hear that?\Yes...\I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors.\Rumors? response:	N-Nothing...
context: Yes...\I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors.\Rumors?\N-Nothing... response:	Kaname?
context: I couldn't thank you enough.\He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors.\Rumors?\N-Nothing...\Kaname? response:	Master.
context: He'll be running around again in no time.\I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors.\Rumors?\N-Nothing...\Kaname?\Master. response:	Is it true?
context: I was afraid the doctor might be a scary man.\But I'm ever so glad I came.\You should never believe rumors.\Rumors?\N-Nothing...\Kaname?\Master.\Is it true? response:	That you used to serve Lord Shiba?
context: But I'm ever so glad I came.\You should never believe rumors.\Rumors?\N-Nothing...\Kaname?\Master.\Is it true?\That you used to serve Lord Shiba? response:	A foreign ship picked me up after I'd fallen into the sea.
context: You should never believe rumors.\Rumors?\N-Nothing...\Kaname?\Master.\Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea. response:	I went with them to their country.
context: Rumors?\N-Nothing...\Kaname?\Master.\Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country. response:	There, I learned how to make prosthetics for those who've lost their limbs.
context: N-Nothing...\Kaname?\Master.\Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs. response:	I dare not say it's to atone for my sins.
context: Kaname?\Master.\Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins. response:	But to just die peacefully as if nothing happened...
context: Master.\Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened... response:	I didn't think it could be forgiven.
context: Is it true?\That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven. response:	I was supposed to have died, but was made to live.
context: That you used to serve Lord Shiba?\A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live. response:	It meant there was something I still had to do.
context: A foreign ship picked me up after I'd fallen into the sea.\I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do. response:	During the war with the Shiba clan...
context: I went with them to their country.\There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan... response:	my father was killed.
context: There, I learned how to make prosthetics for those who've lost their limbs.\I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed. response:	Father, Father...!
context: I dare not say it's to atone for my sins.\But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed.\Father, Father...! response:	Father!
context: But to just die peacefully as if nothing happened...\I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed.\Father, Father...!\Father! response:	You... You killed Father!
context: I didn't think it could be forgiven.\I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed.\Father, Father...!\Father!\You... You killed Father! response:	Kaname.
context: I was supposed to have died, but was made to live.\It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed.\Father, Father...!\Father!\You... You killed Father!\Kaname. response:	Please.
context: It meant there was something I still had to do.\During the war with the Shiba clan...\my father was killed.\Father, Father...!\Father!\You... You killed Father!\Kaname.\Please. response:	Begging for your life after what you did?
context: During the war with the Shiba clan...\my father was killed.\Father, Father...!\Father!\You... You killed Father!\Kaname.\Please.\Begging for your life after what you did? response:	I care not for my life.
context: my father was killed.\Father, Father...!\Father!\You... You killed Father!\Kaname.\Please.\Begging for your life after what you did?\I care not for my life. response:	Do whatever you wish when this job is over. Just...
context: Father, Father...!\Father!\You... You killed Father!\Kaname.\Please.\Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just... response:	let me fulfill my promise to that child.
context: Father!\You... You killed Father!\Kaname.\Please.\Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child. response:	This is for him.
context: You... You killed Father!\Kaname.\Please.\Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him. response:	Thank you.
context: Kaname.\Please.\Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him.\Thank you. response:	Thank you, Doc!
context: Please.\Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him.\Thank you.\Thank you, Doc! response:	Farewell!
context: Begging for your life after what you did?\I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him.\Thank you.\Thank you, Doc!\Farewell! response:	You could never atone for what you did.
context: I care not for my life.\Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him.\Thank you.\Thank you, Doc!\Farewell!\You could never atone for what you did. response:	You will never be my salvation.
context: Do whatever you wish when this job is over. Just...\let me fulfill my promise to that child.\This is for him.\Thank you.\Thank you, Doc!\Farewell!\You could never atone for what you did.\You will never be my salvation. response:	It can't be... alive?
context: let me fulfill my promise to that child.\This is for him.\Thank you.\Thank you, Doc!\Farewell!\You could never atone for what you did.\You will never be my salvation.\It can't be... alive? response:	You wish to live?
context: This is for him.\Thank you.\Thank you, Doc!\Farewell!\You could never atone for what you did.\You will never be my salvation.\It can't be... alive?\You wish to live? response:	ONE YEAR LATER
context: Thank you.\Thank you, Doc!\Farewell!\You could never atone for what you did.\You will never be my salvation.\It can't be... alive?\You wish to live?\ONE YEAR LATER response:	Is it born?
context: Thank you, Doc!\Farewell!\You could never atone for what you did.\You will never be my salvation.\It can't be... alive?\You wish to live?\ONE YEAR LATER\Is it born? response:	Yes, it is a boy, my lord.
context: Farewell!\You could never atone for what you did.\You will never be my salvation.\It can't be... alive?\You wish to live?\ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord. response:	You did it, my lady.
context: You could never atone for what you did.\You will never be my salvation.\It can't be... alive?\You wish to live?\ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord.\You did it, my lady. response:	He will be my heir.
context: You will never be my salvation.\It can't be... alive?\You wish to live?\ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir. response:	6 YEARS LATER
context: It can't be... alive?\You wish to live?\ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir.\6 YEARS LATER response:	Seems like that crab took a liking to you.
context: You wish to live?\ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you. response:	Be careful, you'll scratch your mask up.
context: ONE YEAR LATER\Is it born?\Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up. response:	Here.
context: Is it born?\Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here. response:	Let's take some home for dinner.
context: Yes, it is a boy, my lord.\You did it, my lady.\He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner. response:	Time to head back.
context: You did it, my lady.\He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner.\Time to head back. response:	Once again, I was made to live.
context: He will be my heir.\6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner.\Time to head back.\Once again, I was made to live. response:	This boy is missing many body parts and doesn't seem to hear me.
context: 6 YEARS LATER\Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner.\Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me. response:	But, he has a curious power.
context: Seems like that crab took a liking to you.\Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner.\Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power. response:	The strong power to survive.
context: Be careful, you'll scratch your mask up.\Here.\Let's take some home for dinner.\Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive. response:	MARU
context: Here.\Let's take some home for dinner.\Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive.\MARU response:	This is your name.
context: Let's take some home for dinner.\Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive.\MARU\This is your name. response:	HYAKKIMARU
context: Time to head back.\Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive.\MARU\This is your name.\HYAKKIMARU response:	There are things in this world more terrifying than a hundred demons.
context: Once again, I was made to live.\This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive.\MARU\This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons. response:	But don't succumb to them, Hyakkimaru.
context: This boy is missing many body parts and doesn't seem to hear me.\But, he has a curious power.\The strong power to survive.\MARU\This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru. response:	You will overcome them.
context: But, he has a curious power.\The strong power to survive.\MARU\This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them. response:	Hyakkimaru, are you okay?
context: The strong power to survive.\MARU\This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay? response:	Just what was that?
context: MARU\This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay?\Just what was that? response:	What is it?
context: This is your name.\HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay?\Just what was that?\What is it? response:	Monsters.
context: HYAKKIMARU\There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay?\Just what was that?\What is it?\Monsters. response:	They must be drawn to his powers.
context: There are things in this world more terrifying than a hundred demons.\But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay?\Just what was that?\What is it?\Monsters.\They must be drawn to his powers. response:	Hyakkimaru.
context: But don't succumb to them, Hyakkimaru.\You will overcome them.\Hyakkimaru, are you okay?\Just what was that?\What is it?\Monsters.\They must be drawn to his powers.\Hyakkimaru. response:	I can't protect you forever.
context: You will overcome them.\Hyakkimaru, are you okay?\Just what was that?\What is it?\Monsters.\They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever. response:	In order for you to survive on your own...
context: Hyakkimaru, are you okay?\Just what was that?\What is it?\Monsters.\They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own... response:	You must be strong.
context: Just what was that?\What is it?\Monsters.\They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own...\You must be strong. response:	You win, sir.
context: What is it?\Monsters.\They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own...\You must be strong.\You win, sir. response:	Sir Tahomaru, how strong you are!
context: Monsters.\They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own...\You must be strong.\You win, sir.\Sir Tahomaru, how strong you are! response:	Yeah, I'm the strongest in this land!
context: They must be drawn to his powers.\Hyakkimaru.\I can't protect you forever.\In order for you to survive on your own...\You must be strong.\You win, sir.\Sir Tahomaru, how strong you are!\Yeah, I'm the strongest in this land! response:	Tahomaru.
