context: KING OF THE HILL FINAL BATTLE response:	This is a king of the hill final battle!
context: You tried hitting it?\- Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here?\Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir! response:	I'm coming, too!
context: - Better open it up... - Got it.\- Then poke around inside... - Poke around...\What's in here?\Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too! response:	No more TV stealing for me!
context: - Then poke around inside... - Poke around...\What's in here?\Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too!\No more TV stealing for me! response:	Here, Ryuko! Have some tea!
context: What's in here?\Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea! response:	Yeah!
context: Nothing, looks like.\There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah! response:	Eating Mom's boxed lunches gives you 1 million horsepower!
context: There's no parts inside!\No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower! response:	You'll win for sure!
context: No other choice, then! Let's go to the electronics store!\Aye-aye, sir!\I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure! response:	What a pickle this is, Matoi...
context: Aye-aye, sir!\I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi... response:	Mr. Mikisugi!
context: I'm coming, too!\No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi! response:	Did you come to cheer Ryuko on, too?
context: No more TV stealing for me!\Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too? response:	Yes, that's right.
context: Here, Ryuko! Have some tea!\Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right. response:	After all, I'm her homeroom teacher, more or less.
context: Yeah!\Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less. response:	You bastard! What did you do to Mako?!
context: Eating Mom's boxed lunches gives you 1 million horsepower!\You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?! response:	A freezing pressure point.
context: You'll win for sure!\What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point. response:	I've knocked her out for a bit, that's all, so don't worry.
context: What a pickle this is, Matoi...\Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry. response:	So what the hell do you want?
context: Mr. Mikisugi!\Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want? response:	Drop out of the fight against the Elite Four.
context: Did you come to cheer Ryuko on, too?\Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four. response:	Say what?!
context: Yes, that's right.\After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?! response:	They're on an entirely different level from the club presidents you've faced.
context: After all, I'm her homeroom teacher, more or less.\You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced. response:	If you're crazy enough to face four of them in a row,
context: You bastard! What did you do to Mako?!\A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row, response:	I don't know what will happen to you and Senketsu.
context: A freezing pressure point.\I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu. response:	If you don't know, keep your opinions to yourself.
context: I've knocked her out for a bit, that's all, so don't worry.\So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself. response:	Ryuko...
context: So what the hell do you want?\Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko... response:	Or are you going to tell me everything?
context: Drop out of the fight against the Elite Four.\Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything? response:	Stuff like why my father was killed.
context: Say what?!\They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed. response:	Then shut your mouth and watch from the sidelines.
context: They're on an entirely different level from the club presidents you've faced.\If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines. response:	Me and Senketsu will beat Satsuki Kiryuin.
context: If you're crazy enough to face four of them in a row,\I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin. response:	And then I'll wring the truth out of her.
context: I don't know what will happen to you and Senketsu.\If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her. response:	With my own two hands.
context: If you don't know, keep your opinions to yourself.\Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands. response:	Hurry up and snap Mako out of it.
context: Ryuko...\Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it. response:	Talking to her makes me feel a whole
context: Or are you going to tell me everything?\Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole response:	lot better than talking to you.
context: Stuff like why my father was killed.\Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you. response:	I'll be cheering for her all the way!
context: Then shut your mouth and watch from the sidelines.\Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way! response:	Because she's my friend!
context: Me and Senketsu will beat Satsuki Kiryuin.\And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend! response:	Yes, of course! Don't push yourself too hard, okay?
context: And then I'll wring the truth out of her.\With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay? response:	I'd rather not get on the Student Council's bad side because of you.
context: With my own two hands.\Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you. response:	Is something the matter?
context: Hurry up and snap Mako out of it.\Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter? response:	Nope! Your mom's lunches are delicious!
context: Talking to her makes me feel a whole\lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious! response:	Seriously, they're great.
context: lot better than talking to you.\I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great. response:	Begin!
context: I'll be cheering for her all the way!\Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin! response:	FIRST BATTLE
context: Because she's my friend!\Yes, of course! Don't push yourself too hard, okay?\I'd rather not get on the Student Council's bad side because of you.\Is something the matter?\Nope! Your mom's lunches are delicious!\Seriously, they're great.\Begin!\FIRST BATTLE response:	BEGIN FIGHTING
