context: Can't something fun happen for once? response:	Every single day bores me to death.
context: The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker... response:	Those...
context: No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those... response:	What are they?
context: I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they? response:	That's a pretty dirty trick you're using.
context: What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they?\That's a pretty dirty trick you're using. response:	Wanna cheat, you better learn from the best.
context: I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best. response:	If you wanna cheat, learn from the best.
context: And I won't give up before I fulfill it!\So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best. response:	Why, you!
context: So if I could ask a favor of you...\What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you! response:	Crap, I forgot Akko still had the leyline router!
context: What good would it do to sow the seeds of disorder in a troublemaker...\Those...\What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router! response:	Don't get caught, Akko.
context: Those...\What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko. response:	The verdict is guilty, the punishment torture, of course.
context: What are they?\That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course. response:	There is a proper way for respected members of our glorious Appleton to resolve conflicts!
context: That's a pretty dirty trick you're using.\Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts! response:	Fine then.
context: Wanna cheat, you better learn from the best.\If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then. response:	the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.
context: If you wanna cheat, learn from the best.\Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue. response:	the two parties are allowed to engage in a fair duel under the protection of the knight statue.
context: Why, you!\Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue. response:	It's been a tradition since our founding.
context: Crap, I forgot Akko still had the leyline router!\Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding. response:	If you win, I'll free both the rat and Grail.
context: Don't get caught, Akko.\The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail. response:	But if you lose, both you and the rat will be judged, and the Grail will be broken.
context: The verdict is guilty, the punishment torture, of course.\There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken. response:	What the?!
context: There is a proper way for respected members of our glorious Appleton to resolve conflicts!\Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?! response:	I don't need to fight a witch fair and square!
context: Fine then.\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square! response:	There's no need to fight fairly against a witch!
context: the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statue.\the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch! response:	It'd be a waste for a bastard like you!
context: the two parties are allowed to engage in a fair duel under the protection of the knight statue.\It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you! response:	A witch without magic is more worthless than a commoner!
context: It's been a tradition since our founding.\If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner! response:	Looks like this match is over.
context: If you win, I'll free both the rat and Grail.\But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over. response:	Was this a good enough experience for the Word?
context: But if you lose, both you and the rat will be judged, and the Grail will be broken.\What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word? response:	Is this a good enough experience for the Word?
context: What the?!\I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word? response:	Hey, is this supposed to be that Word magic?
context: I don't need to fight a witch fair and square!\There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic? response:	Hey, hey, is supposed to be that Word magic?
context: There's no need to fight fairly against a witch!\It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic? response:	Shit, if I could at least use magic...
context: It'd be a waste for a bastard like you!\A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic... response:	Adrew!
context: A witch without magic is more worthless than a commoner!\Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew! response:	Huh? It's those again...
context: Looks like this match is over.\Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew!\Huh? It's those again... response:	Oh, Louis! Look what the witch has done to you!
context: Was this a good enough experience for the Word?\Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you! response:	You may be a Hanbridge, but how will you explain what's happened to my son?!
context: Is this a good enough experience for the Word?\Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?! response:	It is indeed the case that she trespassed into our school.
context: Hey, is this supposed to be that Word magic?\Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school. response:	As you are aware, when two parties disagree they may face each other here.
context: Hey, hey, is supposed to be that Word magic?\Shit, if I could at least use magic...\Adrew!\Huh? It's those again...\Oh, Louis! Look what the witch has done to you!\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that she trespassed into our school.\As you are aware, when two parties disagree they may face each other here. response:	Before I knew what came over me, the situation was chaotic and I was on the verge of death.
