context: I'm sorry. response:	Senpai, what is this?
context: That's why...\I'm not surprised.\This is kind of... sci-fi.\Yeah.\It doesn't work?\I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system. response:	I'd been planning on just living here...
context: I'm not surprised.\This is kind of... sci-fi.\Yeah.\It doesn't work?\I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system.\I'd been planning on just living here... response:	That's why you went to Kirishima-kun's house?
context: This is kind of... sci-fi.\Yeah.\It doesn't work?\I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house? response:	There are other reasons, too...
context: Yeah.\It doesn't work?\I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too... response:	So what's that mecha thing we just saw?
context: It doesn't work?\I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw? response:	It attacked you, maybe?
context: I got into an accident on my way to this planet.\It can't fly now.\And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe? response:	No, that... that's an emergency rescue pod.
context: It can't fly now.\And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod. response:	The ship automatically sent a distress signal,
context: And there's a problem with the system.\I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal, response:	and it came to rescue me.
context: I'd been planning on just living here...\That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me. response:	And you broke it?
context: That's why you went to Kirishima-kun's house?\There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it? response:	Well... It just happened that way.
context: There are other reasons, too...\So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it?\Well... It just happened that way. response:	Happened that way?
context: So what's that mecha thing we just saw?\It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it?\Well... It just happened that way.\Happened that way? response:	This ship doesn't fly, right?
context: It attacked you, maybe?\No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it?\Well... It just happened that way.\Happened that way?\This ship doesn't fly, right? response:	Are you sure you don't want to be rescued?
context: No, that... that's an emergency rescue pod.\The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it?\Well... It just happened that way.\Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued? response:	Not really, but...
context: The ship automatically sent a distress signal,\and it came to rescue me.\And you broke it?\Well... It just happened that way.\Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but... response:	I wanted to stay on this planet.
context: and it came to rescue me.\And you broke it?\Well... It just happened that way.\Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet. response:	Why?
context: And you broke it?\Well... It just happened that way.\Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet.\Why? response:	I came to look for a certain place on this planet.
context: Well... It just happened that way.\Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet. response:	A certain place?
context: Happened that way?\This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet.\A certain place? response:	A place in my memories.
context: This ship doesn't fly, right?\Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet.\A certain place?\A place in my memories. response:	I don't even know if it really exists...
context: Are you sure you don't want to be rescued?\Not really, but...\I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet.\A certain place?\A place in my memories.\I don't even know if it really exists... response:	But I want to go there.
context: Not really, but...\I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet.\A certain place?\A place in my memories.\I don't even know if it really exists...\But I want to go there. response:	That's why I...
context: I wanted to stay on this planet.\Why?\I came to look for a certain place on this planet.\A certain place?\A place in my memories.\I don't even know if it really exists...\But I want to go there.\That's why I... response:	Don't worry, Senpai.
context: Why?\I came to look for a certain place on this planet.\A certain place?\A place in my memories.\I don't even know if it really exists...\But I want to go there.\That's why I...\Don't worry, Senpai. response:	We won't tell anybody you're an alien, right?
context: I came to look for a certain place on this planet.\A certain place?\A place in my memories.\I don't even know if it really exists...\But I want to go there.\That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right? response:	W-Well, sure.
context: A certain place?\A place in my memories.\I don't even know if it really exists...\But I want to go there.\That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure. response:	Nobody would believe us anyway.
context: A place in my memories.\I don't even know if it really exists...\But I want to go there.\That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway. response:	But if the Men in Black find out...
context: I don't even know if it really exists...\But I want to go there.\That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out... response:	Huh?
context: But I want to go there.\That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out...\Huh? response:	There is no such organization.
context: That's why I...\Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out...\Huh?\There is no such organization. response:	A-And dissection?
context: Don't worry, Senpai.\We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out...\Huh?\There is no such organization.\A-And dissection? response:	Won't happen to you.
context: We won't tell anybody you're an alien, right?\W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out...\Huh?\There is no such organization.\A-And dissection?\Won't happen to you. response:	Was that worrying you?
context: W-Well, sure.\Nobody would believe us anyway.\But if the Men in Black find out...\Huh?\There is no such organization.\A-And dissection?\Won't happen to you.\Was that worrying you? response:	B-But...
context: Nobody would believe us anyway.\But if the Men in Black find out...\Huh?\There is no such organization.\A-And dissection?\Won't happen to you.\Was that worrying you?\B-But... response:	Takatsuki-senpai, I won't tell anybody.
context: But if the Men in Black find out...\Huh?\There is no such organization.\A-And dissection?\Won't happen to you.\Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody. response:	Neither will I.
context: Huh?\There is no such organization.\A-And dissection?\Won't happen to you.\Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I. response:	Thank you.
context: There is no such organization.\A-And dissection?\Won't happen to you.\Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you. response:	I'm sorry for the trouble.
context: A-And dissection?\Won't happen to you.\Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you.\I'm sorry for the trouble. response:	There's no need to apologize.
context: Won't happen to you.\Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you.\I'm sorry for the trouble.\There's no need to apologize. response:	Um, since we're here, can we wander around?
context: Was that worrying you?\B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you.\I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around? response:	Tetsuro, how can you say that at a time like this?
context: B-But...\Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you.\I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this? response:	But this is a once in a lifetime chance, right?
context: Takatsuki-senpai, I won't tell anybody.\Neither will I.\Thank you.\I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right? response:	Don't you think so, Mio?
context: Neither will I.\Thank you.\I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio? response:	Well, maybe...
context: Thank you.\I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe... response:	It is interesting, isn't it?
context: I'm sorry for the trouble.\There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it? response:	Right?
context: There's no need to apologize.\Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it?\Right? response:	This is amazing.
context: Um, since we're here, can we wander around?\Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it?\Right?\This is amazing. response:	Really convenient!
context: Tetsuro, how can you say that at a time like this?\But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it?\Right?\This is amazing.\Really convenient! response:	Tetsuro-kun.
context: But this is a once in a lifetime chance, right?\Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it?\Right?\This is amazing.\Really convenient!\Tetsuro-kun. response:	Look at the time!
context: Don't you think so, Mio?\Well, maybe...\It is interesting, isn't it?\Right?\This is amazing.\Really convenient!\Tetsuro-kun.\Look at the time! response:	Everybody's gotta be really worried.
context: Well, maybe...\It is interesting, isn't it?\Right?\This is amazing.\Really convenient!\Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried. response:	I'll walk you home.
context: It is interesting, isn't it?\Right?\This is amazing.\Really convenient!\Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried.\I'll walk you home. response:	Oh, crap, I forgot about my sister!
context: Right?\This is amazing.\Really convenient!\Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister! response:	I'm sorry.
context: This is amazing.\Really convenient!\Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry. response:	Keeping you this late...
context: Really convenient!\Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late... response:	Making you listen to me...
context: Tetsuro-kun.\Look at the time!\Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late...\Making you listen to me... response:	Don't worry.
context: Look at the time!\Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late...\Making you listen to me...\Don't worry. response:	Just act like you usually do, Ichika.
context: Everybody's gotta be really worried.\I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late...\Making you listen to me...\Don't worry.\Just act like you usually do, Ichika. response:	Yeah.
context: I'll walk you home.\Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late...\Making you listen to me...\Don't worry.\Just act like you usually do, Ichika.\Yeah. response:	I'm really surprised that Takatsuki-senpai's an alien.
context: Oh, crap, I forgot about my sister!\I'm sorry.\Keeping you this late...\Making you listen to me...\Don't worry.\Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien. response:	In fact, I still can't believe it!
context: I'm sorry.\Keeping you this late...\Making you listen to me...\Don't worry.\Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it! response:	I'd be more likely to believe it was all just a prank.
context: Keeping you this late...\Making you listen to me...\Don't worry.\Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank. response:	Oh my, I'd suspected it.
context: Making you listen to me...\Don't worry.\Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it. response:	Really?
context: Don't worry.\Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really? response:	It sounds like a lie, but I can't totally say so.
context: Just act like you usually do, Ichika.\Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so. response:	It's true.
context: Yeah.\I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so.\It's true. response:	Because I'm an agent of the Men in Black.
context: I'm really surprised that Takatsuki-senpai's an alien.\In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black. response:	That's a lie.
context: In fact, I still can't believe it!\I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black.\That's a lie. response:	And what kind of joke is that?
context: I'd be more likely to believe it was all just a prank.\Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that? response:	Takatsuki-senpai would get scared!
context: Oh my, I'd suspected it.\Really?\It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared! response:	What's Kai gonna do?
context: Really?\It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do? response:	That's right.
context: It sounds like a lie, but I can't totally say so.\It's true.\Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right. response:	It's been a really long day, hasn't it?
context: It's true.\Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right.\It's been a really long day, hasn't it? response:	Let's get home and...
context: Because I'm an agent of the Men in Black.\That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right.\It's been a really long day, hasn't it?\Let's get home and... response:	Kaito-kun...
context: That's a lie.\And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right.\It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun... response:	There's something I haven't told you yet.
context: And what kind of joke is that?\Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right.\It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun...\There's something I haven't told you yet. response:	What?
context: Takatsuki-senpai would get scared!\What's Kai gonna do?\That's right.\It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun...\There's something I haven't told you yet.\What? response:	When I first came to this planet in my spaceship,
context: What's Kai gonna do?\That's right.\It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun...\There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship, response:	You saved me.
context: That's right.\It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun...\There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship,\You saved me. response:	If you weren't there, I might have died, right?
context: It's been a really long day, hasn't it?\Let's get home and...\Kaito-kun...\There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right? response:	You knew?
context: Let's get home and...\Kaito-kun...\There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right?\You knew? response:	I remembered, actually.
context: Kaito-kun...\There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right?\You knew?\I remembered, actually. response:	I used the technology from my planet to heal you,
context: There's something I haven't told you yet.\What?\When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right?\You knew?\I remembered, actually.\I used the technology from my planet to heal you, response:	so I was worried there might be some problems.
context: What?\When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right?\You knew?\I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems. response:	That's why you stayed with me?
context: When I first came to this planet in my spaceship,\You saved me.\If you weren't there, I might have died, right?\You knew?\I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me? response:	I'm sorry.
context: You saved me.\If you weren't there, I might have died, right?\You knew?\I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry. response:	No, don't worry about it.
context: If you weren't there, I might have died, right?\You knew?\I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry.\No, don't worry about it. response:	Whether it was an accident or whatever...
context: You knew?\I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever... response:	It led me to you, and that makes me really happy.
context: I remembered, actually.\I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy. response:	That's right.
context: I used the technology from my planet to heal you,\so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right. response:	The problem isn't that she's an alien.
context: so I was worried there might be some problems.\That's why you stayed with me?\I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien. response:	That's not the problem, it's...
context: That's why you stayed with me?\I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien.\That's not the problem, it's... response:	You don't have to apologize.
context: I'm sorry.\No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize. response:	I actually feel better after telling everybody.
context: No, don't worry about it.\Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody. response:	But when the Federation Police find out that their rescue pod was destroyed,
context: Whether it was an accident or whatever...\It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed, response:	they might send somebody to investigate.
context: It led me to you, and that makes me really happy.\That's right.\The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate. response:	That might cause problems for everyone.
context: That's right.\The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone. response:	I might hurt him again.
context: The problem isn't that she's an alien.\That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again. response:	I don't have much time.
context: That's not the problem, it's...\You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again.\I don't have much time. response:	Not much time left...
context: You don't have to apologize.\I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again.\I don't have much time.\Not much time left... response:	It's been a long time since you came to my house.
context: I actually feel better after telling everybody.\But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again.\I don't have much time.\Not much time left...\It's been a long time since you came to my house. response:	Sorry for just saying I wanted to stay over all of a sudden.
context: But when the Federation Police find out that their rescue pod was destroyed,\they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again.\I don't have much time.\Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden. response:	That's fine, but why?
context: they might send somebody to investigate.\That might cause problems for everyone.\I might hurt him again.\I don't have much time.\Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why? response:	Because I thought you weren't sure what to do.
context: That might cause problems for everyone.\I might hurt him again.\I don't have much time.\Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do. response:	Yeah, that's right.
context: I might hurt him again.\I don't have much time.\Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right. response:	Now that I know Takatsuki-senpai's an alien...
context: I don't have much time.\Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien... response:	Not that.
context: Not much time left...\It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that. response:	About Kirishima-kun.
context: It's been a long time since you came to my house.\Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun. response:	What's he going to do? If she's an alien, then someday...
context: Sorry for just saying I wanted to stay over all of a sudden.\That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday... response:	Don't say it!
context: That's fine, but why?\Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it! response:	When I think about that, I hate myself.
context: Because I thought you weren't sure what to do.\Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself. response:	I feel like I'm not being fair.
context: Yeah, that's right.\Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair. response:	That's fine.
context: Now that I know Takatsuki-senpai's an alien...\Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine. response:	You can't help loving someone.
context: Not that.\About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine.\You can't help loving someone. response:	You can't, huh...
context: About Kirishima-kun.\What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine.\You can't help loving someone.\You can't, huh... response:	Wait, how do you know how I feel?
context: What's he going to do? If she's an alien, then someday...\Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine.\You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel? response:	It's obvious, isn't it?
context: Don't say it!\When I think about that, I hate myself.\I feel like I'm not being fair.\That's fine.\You can't help loving someone.\You can't, huh...\Wait, how do you know how I feel?\It's obvious, isn't it? response:	Kaito-kun, thank you so much for everything!
