context: Chaos response:	SHOGI HALL
context: TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school! response:	There was no point in becoming a professional!
context: So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional! response:	Then, we'll just have to...
context: ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to... response:	become the winners of the Newcomer Tournament's A Block and B Block,
context: Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block, response:	and go up against each other in the finals, otherwise we won't have
context: Ugh, so noisy.\Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have response:	a single match together this year!
context: Why does he blame me?\BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year! response:	BRISK WALKING
context: BRISK WALKING\We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING response:	STOMP STOMP
context: We had more matches together at the kids' tournaments back in elementary school!\There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING\STOMP STOMP response:	Kiriyama, don't tell me you're thinking,
context: There was no point in becoming a professional!\Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking, response:	After all, the Newcomer Tournament is full of newbies, so this'll be easy.
context: Then, we'll just have to...\become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy. response:	It's called the Newcomer Tournament, but don't underestimate it!
context: become the winners of the Newcomer Tournament's A Block and B Block,\and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it! response:	I am not underestimating it.
context: and go up against each other in the finals, otherwise we won't have\a single match together this year!\BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it. response:	KATSURA ROOM
context: a single match together this year!\BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM response:	He made his move. Kumakura 9th-Dan, Pawn to 2-7.
context: BRISK WALKING\STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7. response:	Um, Kishou Yanagihara, at this current point,
context: STOMP STOMP\Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point, response:	who would you like to support, Meijin Souya or Kumakura 9th-Dan?
context: Kiriyama, don't tell me you're thinking,\After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan? response:	Well, I don't want to support either of them.
context: After all, the Newcomer Tournament is full of newbies, so this'll be easy.\It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them. response:	Be serious, Kiriyama!
context: It's called the Newcomer Tournament, but don't underestimate it!\I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama! response:	- Arrogance leads to self-destruction! - Pardon me.
context: I am not underestimating it.\KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me. response:	- Hey, Kiriyama. - Yo.
context: KATSURA ROOM\He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo. response:	Yes, you're arrogant!
context: He made his move. Kumakura 9th-Dan, Pawn to 2-7.\Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant! response:	If I had to sum it up in one word, it would be chaos.
context: Um, Kishou Yanagihara, at this current point,\who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos. response:	I'd go so far as to say you're both arrogant and pompous!
context: who would you like to support, Meijin Souya or Kumakura 9th-Dan?\Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous! response:	I don't even know which of them is superior.
context: Well, I don't want to support either of them.\Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior. response:	Where do you get that from?
context: Be serious, Kiriyama!\- Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from? response:	But I need something! A headline for the internet!
context: - Arrogance leads to self-destruction! - Pardon me.\- Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet! response:	From everything!
context: - Hey, Kiriyama. - Yo.\Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet!\From everything! response:	The prodigy who turned professional in middle school, destined to become Meijin!
context: Yes, you're arrogant!\If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin! response:	Okay, how about, The Meijin Battle's final game is a close contest.
context: If I had to sum it up in one word, it would be chaos.\I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest. response:	You've been relying on that reputation!
context: I'd go so far as to say you're both arrogant and pompous!\I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation! response:	But Mr. Yanagihara...
context: I don't even know which of them is superior.\Where do you get that from?\But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara... response:	Ugh, it's so noisy.
context: Where do you get that from?\But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy. response:	Issa, Smith.
context: But I need something! A headline for the internet!\From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith. response:	Throw those two out.
context: From everything!\The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith.\Throw those two out. response:	Yep. At once.
context: The prodigy who turned professional in middle school, destined to become Meijin!\Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith.\Throw those two out.\Yep. At once. response:	Yes, sir. Right away!
context: Okay, how about, The Meijin Battle's final game is a close contest.\You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith.\Throw those two out.\Yep. At once.\Yes, sir. Right away! response:	Me too?
context: You've been relying on that reputation!\But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith.\Throw those two out.\Yep. At once.\Yes, sir. Right away!\Me too? response:	COMPACT...
context: But Mr. Yanagihara...\Ugh, it's so noisy.\Issa, Smith.\Throw those two out.\Yep. At once.\Yes, sir. Right away!\Me too?\COMPACT... response:	Sheesh. That's what I hate about youngsters.
context: Ugh, it's so noisy.\Issa, Smith.\Throw those two out.\Yep. At once.\Yes, sir. Right away!\Me too?\COMPACT...\Sheesh. That's what I hate about youngsters. response:	Don't use words to fight. Settle it with shogi.
context: Issa, Smith.\Throw those two out.\Yep. At once.\Yes, sir. Right away!\Me too?\COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi. response:	Geez.
context: Throw those two out.\Yep. At once.\Yes, sir. Right away!\Me too?\COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez. response:	Whoa. Souya moved his Rook to 3-7.
context: Yep. At once.\Yes, sir. Right away!\Me too?\COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7. response:	Well, it's nice to see some enthusiasm, don't you think?
context: Yes, sir. Right away!\Me too?\COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think? response:	I wish they would share a little with their mentor.
context: Me too?\COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor. response:	You mean Mr. Shimada?
context: COMPACT...\Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada? response:	Recently he's been lacking ambition, right?
context: Sheesh. That's what I hate about youngsters.\Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right? response:	It's like he's lost or something.
context: Don't use words to fight. Settle it with shogi.\Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something. response:	Like you know, what happened to him?
context: Geez.\Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him? response:	In the Kishou Tournament qualifiers,
context: Whoa. Souya moved his Rook to 3-7.\Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers, response:	he kept making moves that were unusual for him.
context: Well, it's nice to see some enthusiasm, don't you think?\I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him. response:	Maybe Mr. Souya sucked the soul right out of him?
context: I wish they would share a little with their mentor.\You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him? response:	It looks like even his shadow has become lighter, you know?
context: You mean Mr. Shimada?\Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know? response:	In fact, his shadow's not the only thing that's been thinning out!
context: Recently he's been lacking ambition, right?\It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out! response:	Whoa, calm down a little!
context: It's like he's lost or something.\Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little! response:	Guys who'll never get close to a title match are so happy-go-lucky.
context: Like you know, what happened to him?\In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky. response:	Gotou.
context: In the Kishou Tournament qualifiers,\he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou. response:	Instead of worrying about another player's mental health,
context: he kept making moves that were unusual for him.\Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health, response:	you should worry about your own life, and the possibility that it could end
context: Maybe Mr. Souya sucked the soul right out of him?\It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end response:	without ever being in a title match.
context: It looks like even his shadow has become lighter, you know?\In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match. response:	Gotou.
context: In fact, his shadow's not the only thing that's been thinning out!\Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou. response:	That's a bit harsh.
context: Whoa, calm down a little!\Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou.\That's a bit harsh. response:	Oh, Kumakura moved his Silver to 3-6.
context: Guys who'll never get close to a title match are so happy-go-lucky.\Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6. response:	As expected. I thought he might do that.
context: Gotou.\Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that. response:	This is also...
context: Instead of worrying about another player's mental health,\you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also... response:	Dammit!
context: you should worry about your own life, and the possibility that it could end\without ever being in a title match.\Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also...\Dammit! response:	Let it go. Come on.
context: without ever being in a title match.\Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also...\Dammit!\Let it go. Come on. response:	There, you see? They left.
context: Gotou.\That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also...\Dammit!\Let it go. Come on.\There, you see? They left. response:	Who cares. Probably went to the can.
context: That's a bit harsh.\Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also...\Dammit!\Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can. response:	What are you going to do about this mood?
context: Oh, Kumakura moved his Silver to 3-6.\As expected. I thought he might do that.\This is also...\Dammit!\Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood? response:	It's colder than ice in here now. Geez...
context: As expected. I thought he might do that.\This is also...\Dammit!\Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez... response:	Everyone who's gotten their butts kicked in a title match
context: This is also...\Dammit!\Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match response:	will always lose their composure for a bit.
context: Dammit!\Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit. response:	That's just...
context: Let it go. Come on.\There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just... response:	At this rate, I'll just lose.
context: There, you see? They left.\Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just...\At this rate, I'll just lose. response:	That's what they come to realize in between matches of a series.
context: Who cares. Probably went to the can.\What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series. response:	They have to break themselves apart, and then reconstruct it again from the shattered pieces.
context: What are you going to do about this mood?\It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces. response:	They start over from square one.
context: It's colder than ice in here now. Geez...\Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one. response:	It's the same for everyone.
context: Everyone who's gotten their butts kicked in a title match\will always lose their composure for a bit.\That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone. response:	Well, by everyone, I mean players who've experienced that.
context: will always lose their composure for a bit.\That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that. response:	I'm sure if you leave Shimada alone, he'll just start winning again.
context: That's just...\At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again. response:	It just disgusts me...
context: At this rate, I'll just lose.\That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me... response:	to see people heckling others when they themselves haven't even climbed into the ring.
context: That's what they come to realize in between matches of a series.\They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring. response:	And so, you're always slashing up everything like a knife itself.
context: They have to break themselves apart, and then reconstruct it again from the shattered pieces.\They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself. response:	You're always so touchy. What are you, a middle school student?
context: They start over from square one.\It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student? response:	Geez, act like an adult already.
context: It's the same for everyone.\Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already. response:	GLOOMY
context: Well, by everyone, I mean players who've experienced that.\I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY response:	Excuse us.
context: I'm sure if you leave Shimada alone, he'll just start winning again.\It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY\Excuse us. response:	We haven't been in a title match at all.
context: It just disgusts me...\to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY\Excuse us.\We haven't been in a title match at all. response:	So how much time is left? Is this Souya's side?
context: to see people heckling others when they themselves haven't even climbed into the ring.\And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY\Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side? response:	Sheesh. You don't listen, do you?
context: And so, you're always slashing up everything like a knife itself.\You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY\Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you? response:	Kuma just passed the one hour mark.
context: You're always so touchy. What are you, a middle school student?\Geez, act like an adult already.\GLOOMY\Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark. response:	Tell me, Rei. What should I do?
context: Geez, act like an adult already.\GLOOMY\Excuse us.\We haven't been in a title match at all.\So how much time is left? Is this Souya's side?\Sheesh. You don't listen, do you?\Kuma just passed the one hour mark.\Tell me, Rei. What should I do? response:	I'm...
