context: Does the phrase, Zawsze in love ring a bell? response:	Wait, how do you know about that?
context: Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation response:	Episode 12: Confirmation
context: But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation response:	Episode 12: Confirmation
context: and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation response:	There's no way that could be true, right?
context: I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right? response:	I know, right? No chance in hell!
context: That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell! response:	Yeah! And besides, I don't recall ever meeting you in my life!
context: So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life! response:	And you're totally different from the girl I have in mind!
context: Are you saying my key's...\Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind! response:	Yup. It's clearly impossible.
context: Episode 12: Confirmation\Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible. response:	This is just one big coincidence.
context: Episode 12: Confirmation\Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence. response:	After all, you're nothing like the boy I wrote about in my diary!
context: Episode 12: Confirmation\There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary! response:	Unlike you, the boy in my diary was sweet, and so handsome!
context: There's no way that could be true, right?\I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome! response:	You wouldn't believe how attractive he was!
context: I know, right? No chance in hell!\Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was! response:	Oh, is that right?
context: Yeah! And besides, I don't recall ever meeting you in my life!\And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right? response:	Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!
context: And you're totally different from the girl I have in mind!\Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless! response:	Oh, yeah? Well, it goes without saying,
context: Yup. It's clearly impossible.\This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying, response:	but why would I be so torn up over leaving you that I'd make some weird promise?
context: This is just one big coincidence.\After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise? response:	How ludicrous!
context: After all, you're nothing like the boy I wrote about in my diary!\Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous! response:	Right back at you! Why would someone ever fall for you?
context: Unlike you, the boy in my diary was sweet, and so handsome!\You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you? response:	You wanna try opening it, just to make sure?
context: You wouldn't believe how attractive he was!\Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure? response:	If your key's the real deal, then my locket will open, right?
context: Oh, is that right?\Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right? response:	If it doesn't, then you and I have no connection.
context: Well, unlike you, the girl I'm thinking about is cute, feminine, and flawless!\Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection. response:	Well, not that it's gonna open, anyway!
context: Oh, yeah? Well, it goes without saying,\but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway! response:	I don't see a problem with it.
context: but why would I be so torn up over leaving you that I'd make some weird promise?\How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it. response:	It's not like you're that boy.
context: How ludicrous!\Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy. response:	Unlike you, he's like a prince.
context: Right back at you! Why would someone ever fall for you?\You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince. response:	He can do anything, and he always comes to save me!
context: You wanna try opening it, just to make sure?\If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me! response:	Oh, yeah? You sure talk big, don't you?
context: If your key's the real deal, then my locket will open, right?\If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you? response:	Okay, if it does turn out that we made a promise, what'll you do?
context: If it doesn't, then you and I have no connection.\Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do? response:	If it is you, I'll do anything you want!
context: Well, not that it's gonna open, anyway!\I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want! response:	I'll even kiss you! You name it!
context: I don't see a problem with it.\It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it! response:	B-Bring it on, then! I'll do whatever you say!
context: It's not like you're that boy.\Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say! response:	Because there's no way you're him!
context: Unlike you, he's like a prince.\He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him! response:	S-Sure! All right then, ready when you are!
context: He can do anything, and he always comes to save me!\Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are! response:	It's not gonna open, no way it's gonna open!
context: Oh, yeah? You sure talk big, don't you?\Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open! response:	There's no way she's that girl.
context: Okay, if it does turn out that we made a promise, what'll you do?\If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl. response:	Just watch me! You'll see soon enough!
context: If it is you, I'll do anything you want!\I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough! response:	There's just no chance that it's you!
context: I'll even kiss you! You name it!\B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you! response:	Here I go! Are you ready?
context: B-Bring it on, then! I'll do whatever you say!\Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready? response:	Well hey, I know it's impossible, but if you insist, I have no choice.
context: Because there's no way you're him!\S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice. response:	Right, show me the money!
context: S-Sure! All right then, ready when you are!\It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money! response:	Just leave it to me! I'll make it clear to you in a second!
context: It's not gonna open, no way it's gonna open!\There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second! response:	It's a fact that you and I don't have a thing to do with each other!
context: There's no way she's that girl.\Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other! response:	All right, that's the spirit! Come on! Just do it!
context: Just watch me! You'll see soon enough!\There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it! response:	Don't worry, you'll be laughing out of the other side of your mouth soon enough!
context: There's just no chance that it's you!\Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough! response:	Just the notion that you and I were friends years ago is ridiculous enough.
context: Here I go! Are you ready?\Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough. response:	Hurry up and do it!
context: Well hey, I know it's impossible, but if you insist, I have no choice.\Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it! response:	Here goes.
context: Right, show me the money!\Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes. response:	It's in!
context: Just leave it to me! I'll make it clear to you in a second!\It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes.\It's in! response:	I-It snapped in two!
context: It's a fact that you and I don't have a thing to do with each other!\All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes.\It's in!\I-It snapped in two! response:	What were you thinking, using your brute strength to turn it!?
context: All right, that's the spirit! Come on! Just do it!\Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes.\It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!? response:	Hey! I couldn't help it!
context: Don't worry, you'll be laughing out of the other side of your mouth soon enough!\Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes.\It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it! response:	I was so nervous I twisted it too hard!
context: Just the notion that you and I were friends years ago is ridiculous enough.\Hurry up and do it!\Here goes.\It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard! response:	Oh man, what am I gonna do now?
context: Hurry up and do it!\Here goes.\It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now? response:	Now it's stuck inside! Look!
context: Here goes.\It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look! response:	I don't care! Don't look at me! It's not my problem!
context: It's in!\I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem! response:	What the hell? Now I can't try Onodera's key!
context: I-It snapped in two!\What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key! response:	My locket!
context: What were you thinking, using your brute strength to turn it!?\Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket! response:	Well, it's no big deal.
context: Hey! I couldn't help it!\I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal. response:	There's no way you and I ever made a promise, anyway.
context: I was so nervous I twisted it too hard!\Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway. response:	All right, end of story!
context: Oh man, what am I gonna do now?\Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story! response:	Hey! Don't run away! Where do you think you're going?
context: Now it's stuck inside! Look!\I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going? response:	To where everybody else is.
context: I don't care! Don't look at me! It's not my problem!\What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is. response:	What the hell? How can she just shrug it off?
context: What the hell? Now I can't try Onodera's key!\My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off? response:	But if it had opened,
context: My locket!\Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened, response:	what do you think we would've done?
context: Well, it's no big deal.\There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done? response:	Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.
context: There's no way you and I ever made a promise, anyway.\All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys. response:	No way this is just a coincidence.
context: All right, end of story!\Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence. response:	Does this mean that one of them is the girl I made that promise with after all?
context: Hey! Don't run away! Where do you think you're going?\To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all? response:	In other words, I met one of them all those years ago?
context: To where everybody else is.\What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago? response:	If I could just figure out who I met, then I'll know who the girl is.
context: What the hell? How can she just shrug it off?\But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is. response:	Which one is it?
context: But if it had opened,\what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it? response:	Ah, long time no see, Raku-kun.
context: what do you think we would've done?\Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun. response:	Did you come to celebrate her birthday?
context: Damn it! Now both Onodera and Kirisaki are talking about ten-year-old promises and keys.\No way this is just a coincidence.\Does this mean that one of them is the girl I made that promise with after all?\In other words, I met one of them all those years ago?\If I could just figure out who I met, then I'll know who the girl is.\Which one is it?\Ah, long time no see, Raku-kun.\Did you come to celebrate her birthday? response:	Thank you very much.
