context: Good morning, sir. response:	Do you know what the most important trick to living in this country is, Stevens?
context: Maybe he'll come visit you tonight, Colin!\That's enough.\All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again.\This is the most pleasant spot. response:	I see.
context: That's enough.\All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again.\This is the most pleasant spot.\I see. response:	I envy you.
context: All right...\It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again.\This is the most pleasant spot.\I see.\I envy you. response:	You want to rest in this girl's lap?
context: It's okay, there's no such thing as the grim reaper!\The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again.\This is the most pleasant spot.\I see.\I envy you.\You want to rest in this girl's lap? response:	No!
context: The minute father leaves the room, the place turns into a zoo.\Eh?\So you're out here again.\This is the most pleasant spot.\I see.\I envy you.\You want to rest in this girl's lap?\No! response:	Well, what is it then?
context: Eh?\So you're out here again.\This is the most pleasant spot.\I see.\I envy you.\You want to rest in this girl's lap?\No!\Well, what is it then? response:	Because you can act as you please.
context: So you're out here again.\This is the most pleasant spot.\I see.\I envy you.\You want to rest in this girl's lap?\No!\Well, what is it then?\Because you can act as you please. response:	You can too, if you wish.
context: This is the most pleasant spot.\I see.\I envy you.\You want to rest in this girl's lap?\No!\Well, what is it then?\Because you can act as you please.\You can too, if you wish. response:	Balance, common sense, principles and self-control.
context: I see.\I envy you.\You want to rest in this girl's lap?\No!\Well, what is it then?\Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control. response:	Will those virtues make you happy?
context: I envy you.\You want to rest in this girl's lap?\No!\Well, what is it then?\Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy? response:	I wonder if Beardsley would dismiss those virtues so easily.
context: You want to rest in this girl's lap?\No!\Well, what is it then?\Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily. response:	So as heir to the Jones estate, employing nearly a hundred servants,
context: No!\Well, what is it then?\Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants, response:	you can't just do as you please.
context: Well, what is it then?\Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please. response:	And yet... the world can change, if you want it to.
context: Because you can act as you please.\You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to. response:	Young Master.
context: You can too, if you wish.\Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master. response:	Yes?
context: Balance, common sense, principles and self-control.\Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master.\Yes? response:	You're not making any headway on your work.
context: Will those virtues make you happy?\I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master.\Yes?\You're not making any headway on your work. response:	Hmm... Nice weather, isn't it?
context: I wonder if Beardsley would dismiss those virtues so easily.\So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master.\Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it? response:	It's cloudy today.
context: So as heir to the Jones estate, employing nearly a hundred servants,\you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master.\Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today. response:	It might rain this afternoon.
context: you can't just do as you please.\And yet... the world can change, if you want it to.\Young Master.\Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon. response:	Master.
context: And yet... the world can change, if you want it to.\Young Master.\Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon.\Master. response:	We must decide the new footman's wages. What shall we do?
context: Young Master.\Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do? response:	I'll leave that up to you.
context: Yes?\You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you. response:	Yes, sir.
context: You're not making any headway on your work.\Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir. response:	Is William here?
context: Hmm... Nice weather, isn't it?\It's cloudy today.\It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir.\Is William here? response:	I believe he has gone out, sir.
context: It's cloudy today.\It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir.\Is William here?\I believe he has gone out, sir. response:	To where?
context: It might rain this afternoon.\Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir.\Is William here?\I believe he has gone out, sir.\To where? response:	I'm sorry, sir. I did not ask.
context: Master.\We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir.\Is William here?\I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask. response:	Honestly. I wonder if he plans to attend the ball tonight?
context: We must decide the new footman's wages. What shall we do?\I'll leave that up to you.\Yes, sir.\Is William here?\I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight? response:	I'll stop by again soon.
context: I'll leave that up to you.\Yes, sir.\Is William here?\I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon. response:	He's blatantly using our store as a rendezvous point now.
context: Yes, sir.\Is William here?\I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now. response:	It certainly is cloudy today.
context: Is William here?\I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today. response:	Yes.
context: I believe he has gone out, sir.\To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes. response:	And it was so nice this morning...
context: To where?\I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes.\And it was so nice this morning... response:	Yes.
context: I'm sorry, sir. I did not ask.\Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes.\And it was so nice this morning...\Yes. response:	It made me want to go out somewhere.
context: Honestly. I wonder if he plans to attend the ball tonight?\I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes.\And it was so nice this morning...\Yes.\It made me want to go out somewhere. response:	That's true.
context: I'll stop by again soon.\He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes.\And it was so nice this morning...\Yes.\It made me want to go out somewhere.\That's true. response:	Shall we go somewhere?
context: He's blatantly using our store as a rendezvous point now.\It certainly is cloudy today.\Yes.\And it was so nice this morning...\Yes.\It made me want to go out somewhere.\That's true.\Shall we go somewhere? response:	If the weather's fine.
context: It certainly is cloudy today.\Yes.\And it was so nice this morning...\Yes.\It made me want to go out somewhere.\That's true.\Shall we go somewhere?\If the weather's fine. response:	Do you not want to?
context: Yes.\And it was so nice this morning...\Yes.\It made me want to go out somewhere.\That's true.\Shall we go somewhere?\If the weather's fine.\Do you not want to? response:	I do want to...
context: And it was so nice this morning...\Yes.\It made me want to go out somewhere.\That's true.\Shall we go somewhere?\If the weather's fine.\Do you not want to?\I do want to... response:	That's good.
context: Yes.\It made me want to go out somewhere.\That's true.\Shall we go somewhere?\If the weather's fine.\Do you not want to?\I do want to...\That's good. response:	Rain...
context: It made me want to go out somewhere.\That's true.\Shall we go somewhere?\If the weather's fine.\Do you not want to?\I do want to...\That's good.\Rain... response:	Here.
context: That's true.\Shall we go somewhere?\If the weather's fine.\Do you not want to?\I do want to...\That's good.\Rain...\Here. response:	I'm fine. I'll hurry home.
context: Shall we go somewhere?\If the weather's fine.\Do you not want to?\I do want to...\That's good.\Rain...\Here.\I'm fine. I'll hurry home. response:	Are you sure?
context: If the weather's fine.\Do you not want to?\I do want to...\That's good.\Rain...\Here.\I'm fine. I'll hurry home.\Are you sure? response:	Goodbye.
context: Do you not want to?\I do want to...\That's good.\Rain...\Here.\I'm fine. I'll hurry home.\Are you sure?\Goodbye. response:	I'll send you a letter, sometime...
context: I do want to...\That's good.\Rain...\Here.\I'm fine. I'll hurry home.\Are you sure?\Goodbye.\I'll send you a letter, sometime... response:	Yes... Sometime...
context: That's good.\Rain...\Here.\I'm fine. I'll hurry home.\Are you sure?\Goodbye.\I'll send you a letter, sometime...\Yes... Sometime... response:	It appears he's not coming.
context: Rain...\Here.\I'm fine. I'll hurry home.\Are you sure?\Goodbye.\I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming. response:	Mr. Jones.
context: Here.\I'm fine. I'll hurry home.\Are you sure?\Goodbye.\I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming.\Mr. Jones. response:	Oh, Mrs. Campbell.
context: I'm fine. I'll hurry home.\Are you sure?\Goodbye.\I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell. response:	That conspicuous young man is a friend ofWilliam's?
context: Are you sure?\Goodbye.\I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's? response:	Yes. William should take a leaf out of his book when it comes to social skills.
context: Goodbye.\I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills. response:	Excuse me... but where is William?
context: I'll send you a letter, sometime...\Yes... Sometime...\It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William? response:	He's an unpredictable boy...
context: Yes... Sometime...\It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy... response:	Please invite him out for a drive when the weather clears.
context: It appears he's not coming.\Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears. response:	I'll relay the message to him.
context: Mr. Jones.\Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him. response:	Yes, of course!
context: Oh, Mrs. Campbell.\That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course! response:	Go and get yourself something to drink.
context: That conspicuous young man is a friend ofWilliam's?\Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink. response:	Eleanor speaks of nothing but your son William these days.
context: Yes. William should take a leaf out of his book when it comes to social skills.\Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days. response:	I apologize, he's a boorish child.
context: Excuse me... but where is William?\He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child. response:	Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.
context: He's an unpredictable boy...\Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage. response:	It would be an honor.
context: Please invite him out for a drive when the weather clears.\I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor. response:	By the way, have you heard?
context: I'll relay the message to him.\Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard? response:	I probably haven't, I'm afraid.
context: Yes, of course!\Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid. response:	The ladies are much more up-to-date than myself when it comes to gossip.
context: Go and get yourself something to drink.\Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip. response:	It's about Mrs. Stownar...
context: Eleanor speaks of nothing but your son William these days.\I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar... response:	She's apparently had an accident.
context: I apologize, he's a boorish child.\Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident. response:	What? To Mrs. Stownar's?
context: Not at all! I'd be delighted ifWilliam would take my daughter's hand in marriage.\It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's? response:	That's right. I informed her by post that we'd visit this afternoon.
context: It would be an honor.\By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon. response:	A visit... today?
context: By the way, have you heard?\I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today? response:	Honestly, William. Why didn't you tell me about the accident?
context: I probably haven't, I'm afraid.\The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident? response:	Well, l... didn't hear about it directly.
context: The ladies are much more up-to-date than myself when it comes to gossip.\It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly. response:	Directly or indirectly, if your mentor is sick, you should call upon her.
context: It's about Mrs. Stownar...\She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her. response:	Yes, sir...
context: She's apparently had an accident.\What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir... response:	Get ready then!
context: What? To Mrs. Stownar's?\That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then! response:	Y-yes, sir...
context: That's right. I informed her by post that we'd visit this afternoon.\A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then!\Y-yes, sir... response:	Good day!
context: A visit... today?\Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then!\Y-yes, sir...\Good day! response:	Do you have any asparagus?
context: Honestly, William. Why didn't you tell me about the accident?\Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then!\Y-yes, sir...\Good day!\Do you have any asparagus? response:	I do. It just arrived yesterday.
context: Well, l... didn't hear about it directly.\Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then!\Y-yes, sir...\Good day!\Do you have any asparagus?\I do. It just arrived yesterday. response:	Miss Emma!
context: Directly or indirectly, if your mentor is sick, you should call upon her.\Yes, sir...\Get ready then!\Y-yes, sir...\Good day!\Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma! response:	Hello.
context: Yes, sir...\Get ready then!\Y-yes, sir...\Good day!\Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma!\Hello. response:	I'm going to boarding school soon!
context: Get ready then!\Y-yes, sir...\Good day!\Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma!\Hello.\I'm going to boarding school soon! response:	Going soon!
context: Y-yes, sir...\Good day!\Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma!\Hello.\I'm going to boarding school soon!\Going soon! response:	Boarding school?
context: Good day!\Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma!\Hello.\I'm going to boarding school soon!\Going soon!\Boarding school? response:	You're not going!
context: Do you have any asparagus?\I do. It just arrived yesterday.\Miss Emma!\Hello.\I'm going to boarding school soon!\Going soon!\Boarding school?\You're not going! response:	A state school, miss. Some strange new changes have been made to the school system.
context: I do. It just arrived yesterday.\Miss Emma!\Hello.\I'm going to boarding school soon!\Going soon!\Boarding school?\You're not going!\A state school, miss. Some strange new changes have been made to the school system. response:	I'm losing my helper to the education board.
context: Miss Emma!\Hello.\I'm going to boarding school soon!\Going soon!\Boarding school?\You're not going!\A state school, miss. Some strange new changes have been made to the school system.\I'm losing my helper to the education board. response:	Besides, no one wants to marry an educated woman!
context: Hello.\I'm going to boarding school soon!\Going soon!\Boarding school?\You're not going!\A state school, miss. Some strange new changes have been made to the school system.\I'm losing my helper to the education board.\Besides, no one wants to marry an educated woman! response:	It's fine!
context: I'm going to boarding school soon!\Going soon!\Boarding school?\You're not going!\A state school, miss. Some strange new changes have been made to the school system.\I'm losing my helper to the education board.\Besides, no one wants to marry an educated woman!\It's fine! response:	We're in the era of learning.
context: Going soon!\Boarding school?\You're not going!\A state school, miss. Some strange new changes have been made to the school system.\I'm losing my helper to the education board.\Besides, no one wants to marry an educated woman!\It's fine!\We're in the era of learning. response:	If a girl can recite a piece of poetry, she might even attract a man of noble birth.
